timestamp;body_idx;PELVIS (c);PELVIS (x);PELVIS (y);SPINE_NAVEL (c);SPINE_NAVEL (x);SPINE_NAVEL (y);SPINE_CHEST (c);SPINE_CHEST (x);SPINE_CHEST (y);NECK (c);NECK (x);NECK (y);CLAVICLE_LEFT (c);CLAVICLE_LEFT (x);CLAVICLE_LEFT (y);SHOULDER_LEFT (c);SHOULDER_LEFT (x);SHOULDER_LEFT (y);ELBOW_LEFT (c);ELBOW_LEFT (x);ELBOW_LEFT (y);WRIST_LEFT (c);WRIST_LEFT (x);WRIST_LEFT (y);HAND_LEFT (c);HAND_LEFT (x);HAND_LEFT (y);HANDTIP_LEFT (c);HANDTIP_LEFT (x);HANDTIP_LEFT (y);THUMB_LEFT (c);THUMB_LEFT (x);THUMB_LEFT (y);CLAVICLE_RIGHT (c);CLAVICLE_RIGHT (x);CLAVICLE_RIGHT (y);SHOULDER_RIGHT (c);SHOULDER_RIGHT (x);SHOULDER_RIGHT (y);ELBOW_RIGHT (c);ELBOW_RIGHT (x);ELBOW_RIGHT (y);WRIST_RIGHT (c);WRIST_RIGHT (x);WRIST_RIGHT (y);HAND_RIGHT (c);HAND_RIGHT (x);HAND_RIGHT (y);HANDTIP_RIGHT (c);HANDTIP_RIGHT (x);HANDTIP_RIGHT (y);THUMB_RIGHT (c);THUMB_RIGHT (x);THUMB_RIGHT (y);HIP_LEFT (c);HIP_LEFT (x);HIP_LEFT (y);KNEE_LEFT (c);KNEE_LEFT (x);KNEE_LEFT (y);ANKLE_LEFT (c);ANKLE_LEFT (x);ANKLE_LEFT (y);FOOT_LEFT (c);FOOT_LEFT (x);FOOT_LEFT (y);HIP_RIGHT (c);HIP_RIGHT (x);HIP_RIGHT (y);KNEE_RIGHT (c);KNEE_RIGHT (x);KNEE_RIGHT (y);ANKLE_RIGHT (c);ANKLE_RIGHT (x);ANKLE_RIGHT (y);FOOT_RIGHT (c);FOOT_RIGHT (x);FOOT_RIGHT (y);HEAD (c);HEAD (x);HEAD (y);NOSE (c);NOSE (x);NOSE (y);EYE_LEFT (c);EYE_LEFT (x);EYE_LEFT (y);EAR_LEFT (c);EAR_LEFT (x);EAR_LEFT (y);EYE_RIGHT (c);EYE_RIGHT (x);EYE_RIGHT (y);EAR_RIGHT (c);EAR_RIGHT (x);EAR_RIGHT (y)
333500;1;2;855.906067;776.936218;2;842.672180;722.702942;2;831.307556;678.082458;2;811.383606;639.070862;2;828.056702;643.087891;2;884.383057;650.132812;2;946.977905;726.979492;2;927.727539;818.237305;2;931.080261;856.873962;2;893.754089;866.386414;2;880.825500;841.535645;2;801.728027;648.041382;2;758.442383;675.334351;2;724.774902;776.841736;2;766.968384;861.024048;2;794.875916;870.793640;0;820.143250;876.703796;2;792.219177;855.534912;2;887.501160;774.435852;2;935.748291;902.484131;1;946.660339;971.593201;1;964.309875;1045.312988;2;827.678650;779.207642;2;836.424072;935.582520;1;870.716309;961.541687;1;875.393250;1020.924072;2;803.366699;627.778625;2;804.786072;693.638245;2;820.182312;678.118164;2;844.403809;630.621704;2;797.496826;679.590942;2;774.689148;627.154236
366888;1;2;856.420959;777.796021;2;842.723145;722.727539;2;830.864746;677.587219;2;809.967651;638.955200;2;827.034851;642.812988;2;884.484924;649.702515;2;948.357422;726.539673;2;926.914185;818.741943;2;928.891785;857.845459;2;892.553833;867.491089;2;879.464355;840.117004;2;800.272644;647.955444;2;756.703979;676.286133;2;723.833130;780.041809;2;766.568481;866.023376;2;799.662476;875.184570;2;830.082153;883.904175;2;796.161255;855.556885;2;888.437622;775.320435;2;936.209412;901.562988;1;947.031738;972.089722;1;965.135925;1047.115479;2;827.840027;780.044678;2;836.160645;939.290649;1;871.113098;961.743835;1;875.816284;1021.237488;2;801.542419;627.902222;2;805.452881;695.097473;2;822.399475;679.254395;2;845.031555;630.955811;2;800.046570;680.867432;2;776.947449;627.327759
400222;1;2;857.069153;778.609314;2;843.145630;722.133423;2;830.787476;676.372375;2;809.522705;636.834412;2;826.871338;640.721252;2;885.398438;648.014771;2;954.029175;726.518311;2;924.503418;818.366089;2;923.320190;859.192017;2;886.870667;871.897827;2;880.355225;840.134644;2;799.675842;646.128845;2;755.618835;676.107361;2;720.440491;781.260681;2;765.558716;867.748840;2;803.354004;884.819336;2;834.020569;887.065430;2;796.873779;858.531250;2;889.293701;776.838013;2;938.426697;903.832275;1;949.639343;976.811462;1;967.905823;1053.873047;2;828.388000;780.225830;2;835.177734;941.953369;1;872.868530;964.639954;1;879.519958;1024.390381;2;800.971558;625.442139;2;808.676880;693.652039;2;824.020081;676.754883;2;844.556030;625.693054;2;800.971497;680.172607;2;773.237183;627.783081
433555;1;2;857.059448;778.621338;2;843.132812;722.139221;2;830.770935;676.374268;2;809.516846;636.842407;2;826.866821;640.728271;2;885.402161;648.033203;2;953.953369;726.519531;2;924.419800;818.359253;2;923.298828;859.216064;2;886.730408;871.863220;2;880.059753;839.989868;2;799.664856;646.135803;2;755.593079;676.119202;2;720.385986;781.301025;2;765.512268;867.814148;2;803.298767;884.953003;2;834.152344;887.479065;2;797.028564;858.627563;2;889.289307;776.849365;2;938.447205;903.855713;1;949.683960;976.893555;1;967.965515;1053.979004;2;828.373596;780.238403;2;835.125244;942.007446;1;872.811768;964.606445;1;879.448853;1024.337646;2;800.970459;625.453735;2;808.586914;693.685730;2;824.007568;676.805298;2;844.608154;625.790894;2;800.967834;680.170532;2;773.356323;627.700073
466866;1;2;858.350525;779.081665;2;843.547546;721.191956;2;830.151917;674.459839;2;808.814087;634.131897;2;826.740295;638.338013;2;887.494568;645.354980;2;957.032593;727.061462;2;918.853760;819.497192;2;919.436035;863.218384;2;880.667236;871.789001;2;879.344299;840.256104;2;798.452209;643.393311;2;751.322388;673.561401;2;714.051270;785.405823;2;762.826416;875.112671;2;801.873413;881.766479;2;842.120117;896.717773;2;801.149414;859.305176;2;891.180359;778.114441;2;940.184143;906.415405;1;953.050903;984.780151;1;970.009827;1066.103394;2;829.235779;779.981506;2;833.303589;946.704224;1;873.537781;964.424316;1;879.039429;1024.771484;2;800.108887;622.566284;2;806.159058;694.142639;2;823.962402;677.555176;2;846.437500;625.463074;2;800.577698;680.091187;2;775.007324;624.179199
500222;1;2;858.354736;779.086914;2;843.549927;721.194641;2;830.152649;674.460266;2;808.808899;634.130188;2;826.737122;638.336487;2;887.496033;645.359253;2;957.052307;727.093384;2;918.844543;819.533203;2;919.416382;863.260742;2;880.663269;871.801392;2;879.363892;840.276978;2;798.447205;643.392212;2;751.317505;673.566833;2;714.060547;785.429749;2;762.862549;875.130493;2;801.938721;881.785889;2;842.207214;896.734497;2;801.238342;859.319824;2;891.186768;778.119446;2;940.283020;906.403931;1;953.212036;984.790039;1;970.225220;1066.111572;2;829.238037;779.986938;2;833.321777;946.723389;1;873.552979;964.386841;1;879.060547;1024.718994;2;800.101013;622.564026;2;806.135925;694.150513;2;823.949951;677.568298;2;846.436462;625.477417;2;800.566284;680.098572;2;775.014465;624.174377
533544;1;2;858.487183;779.289490;2;843.810242;721.158875;2;830.458618;674.295532;2;809.390564;634.658203;2;827.436829;638.823059;2;888.750549;646.164551;2;958.079956;728.852173;2;916.903931;820.922791;2;917.373169;864.828003;2;879.116943;875.957275;2;877.668579;840.235840;2;798.824463;643.720398;2;750.874817;673.462830;2;711.648315;786.121033;2;762.264038;875.870483;2;803.990723;884.046875;2;846.220459;899.539062;2;802.851807;859.078491;2;891.642883;778.372559;2;946.175293;906.677734;1;956.810974;987.567993;1;974.387939;1069.534424;2;829.074158;780.146118;2;833.588806;948.211670;1;872.344482;963.861206;1;877.909302;1023.821045;2;800.769653;623.449585;2;804.376953;696.225403;2;821.347290;679.878418;2;846.255493;626.918152;2;796.874268;682.297607;2;770.920532;625.658020
566888;1;2;858.437866;781.718262;2;844.107056;722.913208;2;831.044312;675.440613;2;808.830688;634.865356;2;827.155823;639.262573;2;889.049988;646.259033;2;960.325806;729.339111;2;914.884644;820.212891;2;915.805603;864.540405;2;880.523682;871.911682;2;876.399292;839.643188;2;798.412659;644.022583;2;749.453003;673.439026;2;707.247925;788.063599;2;760.931519;877.252625;2;803.371277;886.755127;2;846.408630;902.435669;2;803.117188;858.918701;2;891.775024;781.196289;2;950.936401;900.569702;1;958.904968;985.678772;1;976.517944;1068.566162;2;828.886230;782.225220;2;833.823792;951.007935;1;871.121155;964.916809;1;876.896851;1024.614868;2;799.637939;623.284851;2;804.920959;696.043762;2;823.481201;679.175049;2;846.894836;626.733459;2;799.726318;681.263245;2;774.668213;623.700317
600222;1;2;857.442627;783.241272;2;843.190430;723.395386;2;829.959229;675.445923;2;808.641663;633.676758;2;827.033569;638.351501;2;889.649658;645.559692;2;961.127258;730.219849;2;911.632202;819.801392;2;911.908936;864.561890;2;876.428894;877.625305;2;872.144165;840.070068;2;797.840942;642.981812;2;747.734680;672.839539;2;702.514709;788.911987;2;760.981995;876.626343;2;802.672485;888.195923;2;846.618530;902.616943;2;803.184631;858.670410;2;891.133484;782.827881;2;955.766785;896.651062;1;961.011841;986.479248;1;978.817200;1071.016113;2;827.589233;783.652893;2;835.496338;954.461060;1;870.205933;967.209412;1;876.105103;1026.883667;2;799.805054;621.625427;2;804.378052;695.424744;2;823.689880;678.648132;2;847.801941;625.957153;2;799.840393;680.386597;2;775.606689;621.626587
633555;1;2;857.632141;783.602783;2;843.216553;723.642700;2;829.849792;675.611084;2;808.386658;633.842773;2;826.887390;638.496033;2;889.885742;645.567749;2;961.962891;730.915466;2;910.500488;820.026855;2;910.338196;865.045776;2;873.443604;877.205688;2;870.948853;840.269165;2;797.531616;643.170654;2;746.803284;672.822998;2;701.051392;789.549316;2;760.453979;877.241333;2;803.580200;887.549805;2;848.115356;901.816162;2;805.050598;858.208374;2;891.547607;783.008728;2;957.565125;895.580566;1;962.434692;987.432434;1;980.720215;1072.574219;2;827.566284;784.175110;2;835.590881;955.336304;1;869.906921;967.942383;1;876.034912;1027.826172;2;799.488159;621.816895;2;805.785034;695.787903;2;824.928833;678.436584;2;847.928284;625.106567;2;801.028687;680.618958;2;775.433960;621.971069
