timestamp;body_idx;PELVIS (w);PELVIS (x);PELVIS (y);PELVIS (z);SPINE_NAVEL (w);SPINE_NAVEL (x);SPINE_NAVEL (y);SPINE_NAVEL (z);SPINE_CHEST (w);SPINE_CHEST (x);SPINE_CHEST (y);SPINE_CHEST (z);NECK (w);NECK (x);NECK (y);NECK (z);CLAVICLE_LEFT (w);CLAVICLE_LEFT (x);CLAVICLE_LEFT (y);CLAVICLE_LEFT (z);SHOULDER_LEFT (w);SHOULDER_LEFT (x);SHOULDER_LEFT (y);SHOULDER_LEFT (z);ELBOW_LEFT (w);ELBOW_LEFT (x);ELBOW_LEFT (y);ELBOW_LEFT (z);WRIST_LEFT (w);WRIST_LEFT (x);WRIST_LEFT (y);WRIST_LEFT (z);HAND_LEFT (w);HAND_LEFT (x);HAND_LEFT (y);HAND_LEFT (z);HANDTIP_LEFT (w);HANDTIP_LEFT (x);HANDTIP_LEFT (y);HANDTIP_LEFT (z);THUMB_LEFT (w);THUMB_LEFT (x);THUMB_LEFT (y);THUMB_LEFT (z);CLAVICLE_RIGHT (w);CLAVICLE_RIGHT (x);CLAVICLE_RIGHT (y);CLAVICLE_RIGHT (z);SHOULDER_RIGHT (w);SHOULDER_RIGHT (x);SHOULDER_RIGHT (y);SHOULDER_RIGHT (z);ELBOW_RIGHT (w);ELBOW_RIGHT (x);ELBOW_RIGHT (y);ELBOW_RIGHT (z);WRIST_RIGHT (w);WRIST_RIGHT (x);WRIST_RIGHT (y);WRIST_RIGHT (z);HAND_RIGHT (w);HAND_RIGHT (x);HAND_RIGHT (y);HAND_RIGHT (z);HANDTIP_RIGHT (w);HANDTIP_RIGHT (x);HANDTIP_RIGHT (y);HANDTIP_RIGHT (z);THUMB_RIGHT (w);THUMB_RIGHT (x);THUMB_RIGHT (y);THUMB_RIGHT (z);HIP_LEFT (w);HIP_LEFT (x);HIP_LEFT (y);HIP_LEFT (z);KNEE_LEFT (w);KNEE_LEFT (x);KNEE_LEFT (y);KNEE_LEFT (z);ANKLE_LEFT (w);ANKLE_LEFT (x);ANKLE_LEFT (y);ANKLE_LEFT (z);FOOT_LEFT (w);FOOT_LEFT (x);FOOT_LEFT (y);FOOT_LEFT (z);HIP_RIGHT (w);HIP_RIGHT (x);HIP_RIGHT (y);HIP_RIGHT (z);KNEE_RIGHT (w);KNEE_RIGHT (x);KNEE_RIGHT (y);KNEE_RIGHT (z);ANKLE_RIGHT (w);ANKLE_RIGHT (x);ANKLE_RIGHT (y);ANKLE_RIGHT (z);FOOT_RIGHT (w);FOOT_RIGHT (x);FOOT_RIGHT (y);FOOT_RIGHT (z);HEAD (w);HEAD (x);HEAD (y);HEAD (z);NOSE (w);NOSE (x);NOSE (y);NOSE (z);EYE_LEFT (w);EYE_LEFT (x);EYE_LEFT (y);EYE_LEFT (z);EAR_LEFT (w);EAR_LEFT (x);EAR_LEFT (y);EAR_LEFT (z);EYE_RIGHT (w);EYE_RIGHT (x);EYE_RIGHT (y);EYE_RIGHT (z);EAR_RIGHT (w);EAR_RIGHT (x);EAR_RIGHT (y);EAR_RIGHT (z)
333500;1;0.613003;-0.247066;0.641798;-0.388949;0.621816;-0.232188;0.647329;-0.374698;0.655997;-0.153479;0.673599;-0.303934;0.678258;-0.098967;0.683738;-0.250349;0.949049;-0.294058;-0.110992;0.022719;0.861725;-0.198030;-0.345026;0.314916;0.629657;-0.331509;-0.219910;0.667288;-0.454542;0.577216;0.455383;-0.502831;-0.358967;0.648343;0.346706;-0.574970;-0.358967;0.648343;0.346706;-0.574970;0.796714;-0.324591;-0.009121;0.509711;0.263241;0.930739;-0.225411;-0.116703;0.058976;0.812055;-0.480785;-0.325475;-0.210798;-0.472610;0.816840;0.254905;-0.417792;-0.364086;0.724701;0.409512;0.253956;0.588489;-0.558060;-0.527026;0.253956;0.588489;-0.558060;-0.527026;0.073701;-0.518882;0.845501;-0.102262;-0.419307;0.403020;-0.500827;0.641037;0.697961;-0.071108;0.638906;-0.315584;0.673054;-0.123673;0.636643;-0.355513;0.731059;0.362244;0.534688;0.220092;0.595287;0.497829;0.502733;0.380867;0.263189;0.697287;0.119732;0.655886;0.267532;0.702473;0.189480;0.631709;-0.257064;0.635889;-0.358642;0.633198;0.820297;0.226915;0.497460;0.167796;0.820297;0.226915;0.497460;0.167796;0.461388;0.512211;0.191304;0.698687;-0.167796;0.497460;-0.226915;0.820297;0.461388;0.512211;0.191304;0.698687;0.820297;0.226915;0.497460;0.167796
366888;1;0.591119;-0.272747;0.648304;-0.394829;0.603564;-0.251665;0.656775;-0.375529;0.661365;-0.131669;0.689157;-0.265182;0.680501;-0.075980;0.697497;-0.211291;0.964606;-0.246827;-0.084423;0.038537;0.879331;-0.144151;-0.254079;0.376086;0.639077;-0.237769;-0.169711;0.711509;0.597321;-0.462963;-0.488182;0.436521;0.511212;-0.541625;-0.399124;0.534794;0.511212;-0.541625;-0.399124;0.534794;0.802078;-0.219272;0.011638;0.555387;0.225843;0.941765;-0.225812;-0.105272;0.014424;0.816576;-0.533520;-0.219891;-0.115595;-0.472219;0.853492;0.187611;0.513536;0.267139;-0.703345;-0.412582;-0.291814;-0.538684;0.525239;0.590582;-0.291814;-0.538684;0.525239;0.590582;0.001670;-0.537485;0.839815;-0.076277;-0.352680;0.470944;-0.453912;0.669173;0.688932;-0.093728;0.647346;-0.312299;0.679148;-0.117655;0.649474;-0.321091;0.711149;0.375718;0.539663;0.248731;0.625181;0.458420;0.539037;0.329301;0.264023;0.698225;0.114656;0.655460;0.241280;0.711527;0.161653;0.639830;-0.281573;0.622645;-0.384632;0.620555;0.832244;0.232847;0.479026;0.153902;0.832244;0.232847;0.479026;0.153902;0.479660;0.503371;0.174075;0.697311;-0.153902;0.479026;-0.232847;0.832244;0.479660;0.503371;0.174075;0.697311;0.832244;0.232847;0.479026;0.153902
400211;1;0.588441;-0.273646;0.649608;-0.396060;0.602249;-0.250205;0.658992;-0.374731;0.662226;-0.122204;0.692306;-0.259297;0.680887;-0.066292;0.699876;-0.205356;0.967065;-0.236764;-0.085157;0.038411;0.881467;-0.135415;-0.242810;0.381735;0.640915;-0.224578;-0.163886;0.715496;0.594601;-0.454897;-0.522606;0.407924;0.514155;-0.539234;-0.435058;0.505566;0.514155;-0.539234;-0.435058;0.505566;0.798227;-0.210417;-0.029799;0.563623;0.215335;0.942751;-0.231227;-0.106706;-0.011722;0.816536;-0.536335;-0.213252;-0.088265;-0.475772;0.853245;0.194482;-0.455238;-0.272747;0.335140;0.778491;0.560577;0.222705;-0.370287;-0.706430;0.560577;0.222705;-0.370287;-0.706430;-0.309144;-0.507207;0.724812;0.349025;-0.335130;0.483671;-0.441463;0.677393;0.686157;-0.099316;0.647290;-0.316765;0.677056;-0.120100;0.647862;-0.327789;0.714390;0.372811;0.540225;0.242521;0.634410;0.456016;0.536479;0.319004;0.266338;0.696613;0.102187;0.658295;0.240758;0.711659;0.153740;0.641826;-0.283384;0.617172;-0.390332;0.621637;0.812889;0.283273;0.467071;0.202022;0.812889;0.283273;0.467071;0.202022;0.431948;0.530573;0.129965;0.717650;-0.202022;0.467071;-0.283273;0.812889;0.431948;0.530573;0.129965;0.717650;0.812889;0.283273;0.467071;0.202022
433555;1;0.564059;-0.272049;0.651512;-0.428205;0.559251;-0.279293;0.648440;-0.434465;0.680612;-0.084186;0.687322;-0.239306;0.697611;-0.028797;0.691860;-0.183955;0.973604;-0.201068;-0.097301;0.046904;0.878921;-0.141878;-0.217724;0.399957;0.625793;-0.220926;-0.136838;0.735425;-0.442043;0.509637;0.724292;-0.142369;-0.410430;0.628169;0.624286;-0.217296;-0.410430;0.628169;0.624286;-0.217296;0.722996;-0.334468;-0.325537;0.509347;0.174486;0.942869;-0.277402;-0.060002;-0.043321;0.818209;-0.535602;-0.204423;-0.060447;-0.459284;0.863361;0.200029;-0.429365;-0.258949;0.400784;0.766787;0.554411;0.186440;-0.439229;-0.681869;0.554411;0.186440;-0.439229;-0.681869;-0.348086;-0.467162;0.760635;0.286409;-0.290171;0.493987;-0.423435;0.701770;0.679522;-0.094832;0.643704;-0.338973;0.682977;-0.096993;0.664234;-0.287973;0.690500;0.400925;0.535690;0.274782;0.587209;0.455234;0.587814;0.320036;0.219816;0.732128;0.129238;0.631639;0.185389;0.740766;0.109098;0.636392;-0.319172;0.606146;-0.442318;0.578853;0.820352;0.320242;0.414125;0.230148;0.820352;0.320242;0.414125;0.230148;0.417337;0.519276;0.066385;0.742816;-0.230148;0.414125;-0.320242;0.820352;0.417337;0.519276;0.066385;0.742816;0.820352;0.320242;0.414125;0.230148
466877;1;0.552247;-0.298503;0.648129;-0.431100;0.542679;-0.312618;0.641440;-0.443085;0.669828;-0.088309;0.700313;-0.230422;0.686149;-0.031864;0.705139;-0.175964;0.977039;-0.192642;-0.073855;0.053197;0.875618;-0.131903;-0.212582;0.413162;0.623849;-0.208481;-0.138293;0.740421;-0.453694;0.515093;0.711082;-0.152325;-0.419609;0.632717;0.608792;-0.230152;-0.419609;0.632717;0.608792;-0.230152;0.723566;-0.336047;-0.301620;0.522063;0.173814;0.945727;-0.257763;-0.094592;0.152336;0.808526;-0.529268;-0.207255;-0.237073;-0.422618;0.869041;0.099785;0.073875;0.600805;-0.532020;-0.592057;-0.175575;-0.499279;0.628277;0.570230;-0.175575;-0.499279;0.628277;0.570230;0.175656;-0.476180;0.855228;0.104793;-0.265548;0.507474;-0.407962;0.711000;0.677310;-0.096362;0.643978;-0.342428;0.687383;-0.080628;0.655854;-0.301429;0.703011;0.406592;0.518139;0.268310;0.583930;0.433793;0.618151;0.297891;0.219102;0.740024;0.150315;0.617871;0.200293;0.740922;0.103366;0.632640;-0.305973;0.602267;-0.446575;0.586708;0.812022;0.295458;0.460517;0.203096;0.812022;0.295458;0.460517;0.203096;0.430576;0.534555;0.116715;0.717797;-0.203096;0.460517;-0.295458;0.812022;0.430576;0.534555;0.116715;0.717797;0.812022;0.295458;0.460517;0.203096
500222;1;0.530268;-0.333511;0.669154;-0.399774;0.500780;-0.379834;0.643990;-0.436145;0.672861;-0.082387;0.702509;-0.216683;0.688071;-0.025785;0.706853;-0.162026;0.983562;-0.170183;-0.044462;0.040831;0.876442;-0.113573;-0.194773;0.425457;0.615207;-0.185130;-0.128694;0.755437;0.506840;-0.472701;-0.681261;0.235689;-0.458213;0.583819;0.588829;-0.320120;-0.458213;0.583819;0.588829;-0.320120;0.740528;-0.271460;-0.242938;0.564720;0.159733;0.950359;-0.263337;-0.044231;0.030626;0.824445;-0.549337;-0.132596;-0.089559;-0.467772;0.873310;0.102465;-0.349967;-0.115774;0.028240;0.929151;0.506004;0.109111;-0.047916;-0.854259;0.506004;0.109111;-0.047916;-0.854259;-0.004903;-0.490105;0.473732;0.731677;-0.213220;0.577775;-0.368946;0.696127;0.650024;-0.133619;0.672407;-0.327847;0.668652;-0.087427;0.699032;-0.237940;0.645177;0.432378;0.553891;0.300002;0.554324;0.416765;0.668176;0.269392;0.191135;0.770195;0.163982;0.585984;0.132865;0.781793;0.083154;0.603516;-0.333589;0.616650;-0.489549;0.518462;0.753667;0.337122;0.508142;0.245209;0.753667;0.337122;0.508142;0.245209;0.359534;0.597692;0.120929;0.706311;-0.245209;0.508142;-0.337122;0.753667;0.359534;0.597692;0.120929;0.706311;0.753667;0.337122;0.508142;0.245209
533544;1;0.526829;-0.346044;0.674657;-0.384113;0.504836;-0.382735;0.654540;-0.412592;0.667586;-0.093032;0.703519;-0.225244;0.683499;-0.036315;0.708713;-0.170983;0.983426;-0.178912;-0.028294;0.008002;0.875537;-0.100748;-0.186675;0.434094;0.618713;-0.168747;-0.128539;0.756437;0.529304;-0.459159;-0.652193;0.289230;-0.471000;0.565493;0.562495;-0.376796;-0.471000;0.565493;0.562495;-0.376796;0.749336;-0.249060;-0.194335;0.581978;0.173144;0.952026;-0.248588;-0.043270;0.026674;0.821324;-0.556354;-0.123229;-0.080413;-0.472961;0.872015;0.097112;-0.336225;-0.104342;0.026173;0.935618;-0.493587;-0.098212;0.043895;0.863018;-0.493587;-0.098212;0.043895;0.863018;0.012672;-0.476726;0.480085;0.736267;-0.189983;0.620160;-0.339112;0.681404;0.634617;-0.160529;0.688383;-0.312443;0.657470;-0.102222;0.705037;-0.245371;0.642564;0.426041;0.568594;0.286884;0.547558;0.404373;0.685855;0.257422;0.182840;0.778070;0.168688;0.576820;0.124367;0.791476;0.094612;0.590887;-0.330721;0.631505;-0.488251;0.503424;0.757413;0.333758;0.511150;0.231640;0.757413;0.333758;0.511150;0.231640;0.371778;0.597440;0.125435;0.699366;-0.231640;0.511150;-0.333758;0.757413;0.371778;0.597440;0.125435;0.699366;0.757413;0.333758;0.511150;0.231640
566888;1;0.524789;-0.339933;0.676999;-0.388220;0.515735;-0.355390;0.669014;-0.400169;0.663485;-0.094654;0.703151;-0.237503;0.680394;-0.037962;0.708477;-0.183531;0.978821;-0.195213;-0.061644;0.001018;0.867957;-0.112976;-0.215076;0.433163;0.613553;-0.191324;-0.149720;0.751353;0.578754;-0.359429;-0.568394;0.461283;0.489354;-0.453123;-0.496932;0.555221;0.489354;-0.453123;-0.496932;0.555221;0.676810;-0.162524;-0.038045;0.716985;0.183697;0.945760;-0.258993;-0.068677;0.016675;0.813400;-0.557525;-0.165133;-0.089831;-0.471607;0.866049;0.139561;-0.306456;-0.128549;-0.263214;0.905692;-0.459085;-0.172306;-0.236890;0.838710;-0.459085;-0.172306;-0.236890;0.838710;0.038140;-0.373355;0.291515;0.879870;-0.197338;0.627119;-0.345353;0.669710;0.628736;-0.165291;0.696613;-0.303480;0.643766;-0.128469;0.704211;-0.270457;0.650625;0.406683;0.586460;0.259538;0.542074;0.414762;0.681808;0.263185;0.178867;0.781040;0.163713;0.575483;0.133665;0.793356;0.127628;0.580027;-0.316343;0.656084;-0.466218;0.502117;0.854343;0.214695;0.451514;0.141913;0.854343;0.214695;0.451514;0.141913;0.503764;0.471081;0.167456;0.704459;-0.141913;0.451514;-0.214695;0.854343;0.503764;0.471081;0.167456;0.704459;0.854343;0.214695;0.451514;0.141913
600211;1;0.515933;-0.335280;0.675832;-0.405772;0.500996;-0.359385;0.663328;-0.424077;0.660807;-0.083497;0.707801;-0.235331;0.677551;-0.026467;0.712217;-0.181581;0.981875;-0.184375;-0.043874;0.001692;0.866336;-0.118156;-0.213447;0.435822;0.604215;-0.196680;-0.144353;0.758554;0.584929;-0.338128;-0.600664;0.427471;0.516691;-0.421728;-0.545227;0.507841;0.516691;-0.421728;-0.545227;0.507841;0.608523;-0.149103;-0.070780;0.776182;0.174820;0.944516;-0.270139;-0.065970;-0.006760;0.807382;-0.571022;-0.148398;-0.062744;-0.451069;0.880039;0.134651;-0.251891;-0.085350;-0.291515;0.918850;-0.407639;-0.134680;-0.272262;0.861142;-0.407639;-0.134680;-0.272262;0.861142;0.030711;-0.366035;0.230890;0.900980;-0.180047;0.632051;-0.338841;0.673262;0.622505;-0.167365;0.697379;-0.313273;0.644047;-0.115734;0.705916;-0.271092;0.651228;0.416918;0.578691;0.259228;0.547710;0.403839;0.691649;0.241971;0.183792;0.785022;0.158543;0.569934;0.136920;0.796356;0.105478;0.579607;-0.313841;0.642627;-0.484072;0.504191;0.812633;0.295717;0.467342;0.183770;0.812633;0.295717;0.467342;0.183770;0.444673;0.539564;0.121357;0.704563;-0.183770;0.467342;-0.295717;0.812633;0.444673;0.539564;0.121357;0.704563;0.812633;0.295717;0.467342;0.183770
633555;1;0.515653;-0.339624;0.679034;-0.397077;0.501944;-0.362370;0.667173;-0.414271;0.664961;-0.085672;0.702604;-0.238398;0.681938;-0.029052;0.707212;-0.184305;0.980648;-0.189034;-0.050825;0.003418;0.868769;-0.103698;-0.202859;0.439699;0.603651;-0.179328;-0.140522;0.764003;0.592126;-0.331489;-0.560017;0.475271;0.533707;-0.393533;-0.518301;0.540050;0.533707;-0.393533;-0.518301;0.540050;0.599328;-0.135405;-0.014372;0.788837;0.177713;0.943428;-0.271960;-0.066327;-0.043265;0.802900;-0.582488;-0.119111;-0.016609;-0.443314;0.887363;0.125632;-0.201365;-0.128416;0.079300;0.967819;-0.225934;-0.126356;0.082543;0.962380;-0.225934;-0.126356;0.082543;0.962380;0.006516;-0.412862;0.567164;0.712620;-0.175565;0.636061;-0.331063;0.674537;0.620010;-0.176858;0.694942;-0.318377;0.641353;-0.127159;0.703130;-0.279474;0.655258;0.406805;0.584743;0.251440;0.549170;0.407100;0.688283;0.242794;0.184829;0.784495;0.154802;0.571351;0.138360;0.795907;0.107101;0.579585;-0.312794;0.643458;-0.482609;0.505184;0.831025;0.254416;0.471432;0.149740;0.831025;0.254416;0.471432;0.149740;0.481741;0.513252;0.153454;0.693505;-0.149740;0.471432;-0.254416;0.831025;0.481741;0.513252;0.153454;0.693505;0.831025;0.254416;0.471432;0.149740
