timestamp;body_idx;PELVIS (c);PELVIS (x);PELVIS (y);SPINE_NAVEL (c);SPINE_NAVEL (x);SPINE_NAVEL (y);SPINE_CHEST (c);SPINE_CHEST (x);SPINE_CHEST (y);NECK (c);NECK (x);NECK (y);CLAVICLE_LEFT (c);CLAVICLE_LEFT (x);CLAVICLE_LEFT (y);SHOULDER_LEFT (c);SHOULDER_LEFT (x);SHOULDER_LEFT (y);ELBOW_LEFT (c);ELBOW_LEFT (x);ELBOW_LEFT (y);WRIST_LEFT (c);WRIST_LEFT (x);WRIST_LEFT (y);HAND_LEFT (c);HAND_LEFT (x);HAND_LEFT (y);HANDTIP_LEFT (c);HANDTIP_LEFT (x);HANDTIP_LEFT (y);THUMB_LEFT (c);THUMB_LEFT (x);THUMB_LEFT (y);CLAVICLE_RIGHT (c);CLAVICLE_RIGHT (x);CLAVICLE_RIGHT (y);SHOULDER_RIGHT (c);SHOULDER_RIGHT (x);SHOULDER_RIGHT (y);ELBOW_RIGHT (c);ELBOW_RIGHT (x);ELBOW_RIGHT (y);WRIST_RIGHT (c);WRIST_RIGHT (x);WRIST_RIGHT (y);HAND_RIGHT (c);HAND_RIGHT (x);HAND_RIGHT (y);HANDTIP_RIGHT (c);HANDTIP_RIGHT (x);HANDTIP_RIGHT (y);THUMB_RIGHT (c);THUMB_RIGHT (x);THUMB_RIGHT (y);HIP_LEFT (c);HIP_LEFT (x);HIP_LEFT (y);KNEE_LEFT (c);KNEE_LEFT (x);KNEE_LEFT (y);ANKLE_LEFT (c);ANKLE_LEFT (x);ANKLE_LEFT (y);FOOT_LEFT (c);FOOT_LEFT (x);FOOT_LEFT (y);HIP_RIGHT (c);HIP_RIGHT (x);HIP_RIGHT (y);KNEE_RIGHT (c);KNEE_RIGHT (x);KNEE_RIGHT (y);ANKLE_RIGHT (c);ANKLE_RIGHT (x);ANKLE_RIGHT (y);FOOT_RIGHT (c);FOOT_RIGHT (x);FOOT_RIGHT (y);HEAD (c);HEAD (x);HEAD (y);NOSE (c);NOSE (x);NOSE (y);EYE_LEFT (c);EYE_LEFT (x);EYE_LEFT (y);EAR_LEFT (c);EAR_LEFT (x);EAR_LEFT (y);EYE_RIGHT (c);EYE_RIGHT (x);EYE_RIGHT (y);EAR_RIGHT (c);EAR_RIGHT (x);EAR_RIGHT (y)
934511;1;2;953.601990;773.782104;2;972.805664;732.452942;2;990.317749;691.531494;2;1026.579956;645.627625;2;1032.303223;656.678284;2;1069.781250;684.243408;2;1060.607422;761.236816;2;1040.044312;847.195068;2;1041.491821;883.811279;0;1010.465576;902.530945;0;1017.121887;888.120361;2;1008.173218;649.851562;2;956.107483;652.533142;2;887.829529;745.719910;1;898.123962;842.422852;1;873.051025;884.406128;1;870.567932;932.964722;1;900.240051;910.369629;2;983.890991;784.642456;1;946.146362;886.070679;1;915.244568;918.766235;1;897.527527;971.184570;2;926.257385;764.025391;1;875.431702;842.950806;1;865.348145;860.590088;1;846.420776;900.783936;2;1041.484741;631.399414;2;1046.674805;698.586792;2;1052.789551;687.007324;2;1071.749756;636.959900;2;1031.627319;689.722900;2;1002.723938;641.916321
967855;1;2;949.670593;783.482178;2;970.398804;737.339111;2;987.794617;693.421753;2;1026.086304;644.910339;2;1031.295166;655.544861;2;1068.643921;678.255615;2;1058.511841;760.336426;2;1041.356689;847.256775;2;1041.814941;880.454590;0;1012.352600;897.577148;0;1021.267578;883.584351;2;1007.394775;650.408752;2;955.103088;654.839905;2;888.452026;751.521301;1;909.064148;847.970581;1;874.837402;882.751953;1;870.937744;932.877075;1;898.592346;916.887939;2;980.837769;791.661011;1;946.903442;912.315918;1;908.277649;946.166504;1;893.959961;1001.666626;2;921.306030;776.089722;1;866.187500;874.197510;1;851.102844;889.221680;1;835.099365;931.581421;2;1042.349976;629.742676;2;1047.010742;697.350342;2;1054.000977;687.610962;2;1074.034546;638.486450;2;1032.488037;689.624512;2;1003.790222;641.695923
1001177;1;2;944.443542;787.802063;2;966.499939;741.807739;2;984.172180;699.162476;2;1020.867126;643.398071;2;1025.821167;654.658020;2;1062.991943;673.528564;2;1057.465698;759.247681;2;1042.194824;845.294495;2;1042.787964;878.334717;0;1016.010925;894.891357;0;1022.414673;881.047729;2;1002.993652;650.687561;2;952.647095;657.171204;2;888.404114;752.785767;1;904.883667;849.258911;1;872.870972;884.605042;1;871.273193;934.097046;1;898.702637;916.425537;1;974.590088;792.899048;1;943.996704;913.812622;1;899.447510;956.275452;1;891.462952;1015.370789;2;916.738403;783.165527;1;864.195801;887.614136;1;835.524597;911.013794;1;821.738403;958.815308;2;1036.855713;625.107605;2;1041.961914;688.986145;2;1048.662231;682.679443;2;1067.689331;637.755005;2;1028.024902;683.983887;2;999.755676;639.845337
1034522;1;2;946.478455;789.212585;2;967.226379;741.816467;2;983.759949;699.164795;2;1019.828369;644.586609;2;1024.747192;655.420105;2;1061.649170;674.056519;2;1058.218506;761.066101;2;1042.189697;846.974365;2;1034.760986;882.405762;0;1028.049438;898.664856;0;1025.733765;867.790527;2;1002.197327;651.900452;2;952.770630;659.252014;2;890.355469;755.110657;1;905.909851;852.258545;1;872.388062;885.061890;1;871.512451;934.462036;1;898.214844;918.405823;2;976.275757;792.924316;1;950.874512;921.838989;1;903.791016;966.578979;1;896.778259;1026.988037;2;919.041138;785.841125;1;867.513977;903.279053;1;835.052856;931.453552;1;821.132629;981.825439;2;1035.601440;626.772949;2;1041.374268;691.222046;2;1048.076904;677.652283;2;1066.289795;628.284058;2;1027.241577;681.173584;2;998.933350;634.904236
1067844;1;2;946.259033;789.670227;2;967.165466;741.938843;2;983.832397;699.019409;2;1020.541687;644.375122;2;1025.359863;655.248596;2;1062.086060;673.688232;2;1058.169312;760.935059;2;1042.304443;846.917725;2;1035.218872;882.649292;0;1027.956543;898.218323;0;1025.369263;868.531616;2;1002.783325;651.669617;2;953.031555;658.921814;2;890.300964;755.206055;1;905.516907;852.983093;1;871.671997;885.574463;1;871.501892;935.311646;1;897.984314;919.226440;2;976.198547;793.459595;1;951.985168;926.819519;1;904.503296;975.088135;1;898.627747;1037.806152;2;918.688782;786.227539;1;867.400574;909.291077;1;833.621643;942.638428;1;819.205750;995.866516;2;1036.593262;626.559448;2;1041.775269;691.768372;2;1048.747070;679.399597;2;1067.628418;630.317505;2;1027.801147;682.395813;2;999.780334;635.657410
1101188;1;2;939.235046;794.395630;2;964.514404;744.545105;2;984.731079;700.810425;2;1021.927734;643.841553;2;1026.784790;654.877686;2;1065.523804;670.963318;2;1058.112061;763.502563;2;1041.967529;852.123535;2;1035.432373;889.361694;0;1026.927368;898.914917;0;1024.930298;869.166992;2;1003.920654;651.763733;2;953.391541;659.489075;2;889.955017;758.935486;1;901.839478;860.443726;1;864.676941;890.177002;1;872.730835;939.555786;1;896.268433;929.419678;1;968.720276;798.415039;1;950.800476;942.254822;1;894.431885;985.406189;1;889.696655;1048.451660;1;911.902893;790.716309;1;862.669678;929.763794;1;820.699097;966.897461;1;807.224670;1024.296875;2;1038.385010;625.143433;2;1041.376953;691.631836;2;1047.931763;682.761047;2;1068.525513;635.303772;2;1026.902588;684.057434;2;999.642456;636.494629
1134511;1;2;939.272400;794.005859;2;964.066284;743.939209;2;983.929321;700.200500;2;1020.229004;644.399292;2;1025.360229;655.241150;2;1064.523438;671.042969;2;1059.048706;762.591064;1;1046.046509;850.277222;1;1036.890137;882.696777;0;1030.427612;897.043396;0;1027.629517;867.090088;2;1002.263733;652.134949;2;951.543945;659.119202;2;889.584229;758.989502;1;902.870728;859.497681;1;865.778870;889.881836;1;872.576111;938.977966;1;896.473816;929.020020;1;968.764954;798.062134;1;950.357849;943.404785;1;894.377747;985.732178;1;888.648499;1049.064087;1;911.949768;790.294556;1;862.843018;934.123291;1;820.481201;977.754395;1;805.748535;1037.758423;2;1036.239990;626.165955;2;1044.423584;692.549316;2;1051.487305;680.048523;2;1068.816284;629.329590;2;1030.152100;683.902710;2;999.610352;637.427124
1167855;1;2;935.762573;794.092041;2;960.724976;743.378784;2;980.972900;699.666016;2;1019.684082;642.792175;2;1024.289795;653.932983;2;1062.668579;669.735413;2;1060.085327;761.752930;1;1056.189697;850.829956;1;1040.984253;880.707520;0;1029.544800;895.724121;0;1029.133545;865.786865;2;1001.397949;650.570557;2;950.044067;656.923950;2;889.094604;758.976318;1;904.853455;860.877869;1;866.338379;888.641235;1;872.849243;939.180969;1;896.407104;929.320801;1;965.390808;797.456909;1;947.158875;945.939941;1;888.707092;990.314209;1;884.256836;1055.882446;1;908.253784;791.014771;1;859.316711;939.594727;1;814.330566;982.476746;1;799.157593;1044.701538;2;1036.755615;624.187317;2;1043.504150;689.090454;2;1050.897217;672.287354;2;1069.442139;621.002136;2;1028.978760;676.753479;2;999.250610;629.381165
1201177;1;2;936.011902;794.443481;2;961.008606;744.332520;2;981.984375;702.620178;2;1018.309937;642.075134;2;1023.162964;653.655212;2;1060.853638;669.336121;2;1060.754028;761.429810;2;1057.387207;852.263428;1;1042.791016;887.899536;0;1025.686646;893.329712;0;1023.690125;867.965332;2;1000.622742;650.633240;2;950.278259;657.200562;2;889.805298;757.993774;1;896.821838;860.774475;1;862.981323;891.540833;1;873.539124;940.259949;1;896.650452;927.100769;1;965.074646;797.347046;1;946.492737;943.051025;1;888.259521;990.540039;1;885.256714;1057.008911;1;908.997009;791.789673;1;862.158203;938.149170;1;814.654663;986.354980;1;799.789062;1049.872803;2;1034.519897;621.856750;2;1045.517822;687.349976;2;1052.664795;673.742432;2;1067.989380;622.373108;2;1031.426392;678.669067;2;999.241089;633.470032
1234522;1;2;935.972107;794.491272;2;960.948425;744.346252;2;981.918335;702.620483;2;1018.146057;642.033691;2;1023.048035;653.622009;2;1060.864014;669.289368;2;1060.950317;761.457397;2;1057.537476;852.383179;1;1042.761963;888.016296;0;1026.020996;893.351440;0;1024.049438;867.917847;2;1000.443481;650.600220;2;950.000916;657.212463;2;889.691833;758.249207;1;896.268372;861.195618;1;862.340759;892.023071;1;873.265381;940.634521;1;896.304016;927.711304;1;965.071838;797.391235;1;946.489075;943.252991;1;888.352600;990.988647;1;885.438477;1057.594849;1;908.923645;791.840942;1;862.276917;938.582153;1;814.706299;988.000732;1;799.933899;1051.939575;2;1034.311768;621.798096;2;1043.010498;687.044556;2;1049.924194;672.213257;2;1066.689941;621.001343;2;1028.577759;676.812805;2;997.801575;630.607544
