timestamp;body_idx;PELVIS (c);PELVIS (x);PELVIS (y);PELVIS (z);SPINE_NAVEL (c);SPINE_NAVEL (x);SPINE_NAVEL (y);SPINE_NAVEL (z);SPINE_CHEST (c);SPINE_CHEST (x);SPINE_CHEST (y);SPINE_CHEST (z);NECK (c);NECK (x);NECK (y);NECK (z);CLAVICLE_LEFT (c);CLAVICLE_LEFT (x);CLAVICLE_LEFT (y);CLAVICLE_LEFT (z);SHOULDER_LEFT (c);SHOULDER_LEFT (x);SHOULDER_LEFT (y);SHOULDER_LEFT (z);ELBOW_LEFT (c);ELBOW_LEFT (x);ELBOW_LEFT (y);ELBOW_LEFT (z);WRIST_LEFT (c);WRIST_LEFT (x);WRIST_LEFT (y);WRIST_LEFT (z);HAND_LEFT (c);HAND_LEFT (x);HAND_LEFT (y);HAND_LEFT (z);HANDTIP_LEFT (c);HANDTIP_LEFT (x);HANDTIP_LEFT (y);HANDTIP_LEFT (z);THUMB_LEFT (c);THUMB_LEFT (x);THUMB_LEFT (y);THUMB_LEFT (z);CLAVICLE_RIGHT (c);CLAVICLE_RIGHT (x);CLAVICLE_RIGHT (y);CLAVICLE_RIGHT (z);SHOULDER_RIGHT (c);SHOULDER_RIGHT (x);SHOULDER_RIGHT (y);SHOULDER_RIGHT (z);ELBOW_RIGHT (c);ELBOW_RIGHT (x);ELBOW_RIGHT (y);ELBOW_RIGHT (z);WRIST_RIGHT (c);WRIST_RIGHT (x);WRIST_RIGHT (y);WRIST_RIGHT (z);HAND_RIGHT (c);HAND_RIGHT (x);HAND_RIGHT (y);HAND_RIGHT (z);HANDTIP_RIGHT (c);HANDTIP_RIGHT (x);HANDTIP_RIGHT (y);HANDTIP_RIGHT (z);THUMB_RIGHT (c);THUMB_RIGHT (x);THUMB_RIGHT (y);THUMB_RIGHT (z);HIP_LEFT (c);HIP_LEFT (x);HIP_LEFT (y);HIP_LEFT (z);KNEE_LEFT (c);KNEE_LEFT (x);KNEE_LEFT (y);KNEE_LEFT (z);ANKLE_LEFT (c);ANKLE_LEFT (x);ANKLE_LEFT (y);ANKLE_LEFT (z);FOOT_LEFT (c);FOOT_LEFT (x);FOOT_LEFT (y);FOOT_LEFT (z);HIP_RIGHT (c);HIP_RIGHT (x);HIP_RIGHT (y);HIP_RIGHT (z);KNEE_RIGHT (c);KNEE_RIGHT (x);KNEE_RIGHT (y);KNEE_RIGHT (z);ANKLE_RIGHT (c);ANKLE_RIGHT (x);ANKLE_RIGHT (y);ANKLE_RIGHT (z);FOOT_RIGHT (c);FOOT_RIGHT (x);FOOT_RIGHT (y);FOOT_RIGHT (z);HEAD (c);HEAD (x);HEAD (y);HEAD (z);NOSE (c);NOSE (x);NOSE (y);NOSE (z);EYE_LEFT (c);EYE_LEFT (x);EYE_LEFT (y);EYE_LEFT (z);EAR_LEFT (c);EAR_LEFT (x);EAR_LEFT (y);EAR_LEFT (z);EYE_RIGHT (c);EYE_RIGHT (x);EYE_RIGHT (y);EYE_RIGHT (z);EAR_RIGHT (c);EAR_RIGHT (x);EAR_RIGHT (y);EAR_RIGHT (z)
333500;1;2;-164.465698;287.805450;2093.335205;2;-187.252701;177.811111;2003.693848;2;-205.458420;92.750542;1928.637695;2;-221.173401;23.439087;1768.842041;2;-191.864105;30.029629;1794.463989;2;-76.813812;25.135794;1794.346680;2;63.539902;158.278793;1904.469849;2;-23.390993;323.019806;1918.985596;2;-76.556145;379.497589;1918.249878;2;-136.202164;439.960968;1899.198975;2;-131.898666;346.796204;1928.069458;2;-245.406998;38.207855;1796.708618;2;-346.077789;70.826500;1791.794434;2;-433.319519;277.149078;1827.373779;2;-301.425812;409.692719;1856.233765;2;-230.877197;443.698700;1885.250000;2;-159.758621;488.348541;1901.637207;0;-264.487823;441.327515;1934.905151;2;-91.943916;278.801331;2085.948486;1;-68.081360;548.036743;1910.048218;1;-43.487816;678.914734;2187.991211;1;-23.807974;820.152649;2237.370850;2;-229.861771;295.924835;2099.996094;1;-239.052383;570.939514;1932.494629;1;-179.744278;673.758179;2220.428711;1;-166.652084;800.938599;2274.573242;2;-225.694138;7.502178;1705.158936;2;-233.754135;119.592056;1769.394043;2;-209.540695;119.392532;1731.359863;2;-156.969803;49.074471;1679.204102;2;-251.654419;119.076759;1731.760620;2;-289.869568;46.578026;1665.255737
366888;1;2;-149.447876;300.714355;2076.218506;2;-179.386032;178.333191;1998.789551;2;-202.972214;79.316124;1938.655640;2;-222.190094;19.692156;1769.952271;2;-191.547058;24.645836;1796.165527;2;-73.069153;24.852743;1794.258423;2;77.439529;152.614349;1910.417114;2;-26.008427;313.131409;1932.638672;2;-72.751480;373.471710;1909.294800;2;-121.205391;431.187622;1860.887939;2;-138.617676;347.448181;1929.184448;2;-246.590210;32.806114;1800.079590;2;-348.281982;71.941528;1796.884399;2;-443.371704;283.474640;1823.046509;2;-306.004883;419.643066;1845.209839;2;-231.693192;450.457458;1875.443848;2;-147.725021;475.766296;1883.155273;2;-236.794861;401.479095;1943.136230;2;-76.424164;294.551117;2057.725098;2;0.456676;495.252625;1804.891479;1;14.787120;651.712463;2080.372070;1;32.925873;795.007568;2137.390869;2;-215.296570;306.272003;2092.895020;1;-248.567520;571.899292;1897.408569;1;-168.479218;665.457458;2193.270752;1;-149.667465;787.381653;2265.331055;2;-228.056702;7.927497;1703.530273;2;-233.569153;118.065521;1778.231323;2;-207.430450;119.767715;1739.937500;2;-154.754745;49.419292;1682.331543;2;-250.730484;121.360954;1739.067749;2;-290.956848;54.120682;1663.866089
400222;1;2;-144.553055;308.698334;2075.765381;2;-174.130310;183.473404;2000.267456;2;-198.104462;84.282074;1938.537109;2;-220.626450;20.161942;1770.191895;2;-189.183960;26.092432;1795.806641;2;-69.734741;23.758568;1791.831421;2;79.411095;154.631622;1910.261597;2;-28.960272;312.768219;1939.656860;2;-74.690971;371.889465;1909.706543;2;-121.560204;426.284454;1854.855225;2;-141.865051;347.487701;1929.223389;2;-244.702072;33.782955;1800.843140;2;-349.134460;68.115616;1797.908447;2;-447.941193;280.325897;1823.237305;2;-306.778503;415.115082;1845.122314;2;-234.965027;448.359680;1880.538086;2;-152.252167;478.120667;1893.218628;2;-236.273239;399.634583;1942.840088;2;-71.334412;303.901428;2055.037598;2;10.299802;462.363831;1771.678345;1;22.833210;638.575806;2038.414429;1;43.714962;787.391174;2082.670898;2;-210.577515;313.023895;2094.456787;1;-241.059647;560.894775;1872.068115;1;-163.302170;653.111206;2172.019043;1;-146.928436;777.263062;2243.376221;2;-227.918762;6.745998;1703.613159;2;-232.428482;119.717979;1776.223145;2;-206.535431;120.428520;1737.239868;2;-154.193573;47.949711;1680.276611;2;-250.222885;122.074898;1736.859253;2;-291.810272;52.417629;1663.225220
433555;1;2;-153.347717;287.522980;2124.313965;2;-179.720566;173.574127;2033.199829;2;-201.061264;89.669495;1952.245728;2;-221.912704;26.547514;1784.515869;2;-190.936234;32.091579;1810.379517;2;-72.945412;22.464268;1800.444336;2;79.625809;155.931000;1908.372192;2;-28.781593;311.837036;1941.434204;2;-74.354645;370.779297;1912.234497;2;-118.108009;427.344513;1857.924316;2;-139.314575;336.874817;1915.501953;2;-246.096985;40.234531;1814.705811;2;-351.702667;67.913536;1809.635498;2;-449.368195;280.366913;1818.533936;2;-312.987915;416.310364;1850.444458;2;-237.218140;448.029846;1876.459961;2;-153.406418;475.604675;1878.892456;2;-236.759064;399.689514;1944.018311;2;-78.819504;278.533203;2113.984863;1;-48.476555;484.704468;1854.642822;1;-24.343323;642.349121;2129.706299;1;5.553512;791.104919;2164.579102;2;-220.553070;295.629456;2133.628418;1;-226.737625;526.556030;1894.709961;1;-164.939880;628.345581;2193.125977;1;-149.574448;760.801819;2245.440430;2;-228.444733;13.437053;1718.229858;2;-233.814514;126.713051;1788.744873;2;-209.013672;127.383392;1749.398682;2;-156.692184;55.652954;1692.685913;2;-252.454163;128.034729;1750.022095;2;-293.881409;56.740940;1678.912109
466877;1;2;-155.013702;290.410797;2113.198975;2;-180.739960;174.069504;2024.046143;2;-201.580765;87.673027;1944.958252;2;-221.053772;24.380438;1776.406372;2;-190.190109;29.919804;1802.641968;2;-71.353416;21.948713;1796.930908;2;79.671120;155.409927;1908.788696;2;-26.290617;314.092529;1940.734375;2;-73.157181;372.283691;1911.260498;2;-118.312180;427.935425;1856.602173;2;-139.157806;338.885803;1919.056030;2;-245.587570;38.122345;1806.496948;2;-351.314148;67.259659;1803.999390;2;-450.566559;279.307037;1822.620483;2;-313.836212;416.181213;1853.482300;2;-237.534103;448.866272;1877.750610;2;-153.044708;475.496613;1878.785522;0;-236.416870;399.430939;1946.046387;2;-80.146736;281.587799;2103.108887;2;-42.082928;490.639435;1845.507935;1;-25.411831;633.566467;2130.360352;1;1.258789;780.508667;2176.353271;2;-222.524521;298.366852;2122.297852;1;-225.194000;533.050354;1885.261353;1;-168.163040;626.498047;2188.602539;1;-153.166733;757.137207;2246.730225;2;-227.028214;11.245583;1709.814575;2;-235.912628;120.392059;1787.103271;2;-207.169907;122.599991;1750.378052;2;-151.498001;52.381008;1694.237793;2;-250.571762;124.868065;1746.761108;2;-287.008789;59.566895;1667.061523
500222;1;2;-158.464722;283.339417;2137.218506;2;-183.223984;170.870667;2041.514893;2;-202.922073;87.707794;1957.693848;2;-221.519287;27.976032;1786.550781;2;-190.602798;33.040146;1813.213867;2;-71.760460;21.046970;1801.889893;2;79.239326;158.791809;1911.526855;2;-32.547207;316.174438;1936.620117;2;-78.389854;376.970581;1909.525879;2;-125.688362;433.984619;1857.208008;2;-146.108078;344.644287;1925.799438;2;-246.392441;40.991497;1817.034424;2;-353.297668;67.291794;1809.102783;2;-451.529297;281.884613;1821.351074;2;-316.346405;419.444397;1862.137817;2;-235.799118;447.942505;1878.645630;2;-149.868942;470.392273;1870.992920;0;-229.846954;400.174530;1946.926147;2;-82.988503;273.563873;2129.180176;1;-67.853592;499.183563;1880.651611;1;-44.587307;631.897461;2172.134277;1;-18.216740;777.765625;2224.576416;2;-226.524948;292.154419;2144.466797;1;-231.234863;522.608093;1900.487793;1;-173.323502;616.861877;2205.544922;1;-157.792725;747.829285;2264.995361;2;-227.182922;16.324799;1719.225098;2;-235.510040;129.224976;1792.529907;2;-207.445709;130.165054;1754.867676;2;-151.981339;57.729080;1700.114502;2;-251.208755;131.885452;1752.130615;2;-288.977936;62.535545;1675.600342
533533;1;2;-162.127350;282.291870;2140.626221;2;-185.008469;171.105499;2043.692627;2;-203.204529;88.183495;1959.824707;2;-221.592575;26.388966;1789.999390;2;-190.769516;31.965643;1816.470337;2;-72.292587;20.609074;1804.623901;2;79.556427;158.370499;1911.507812;2;-32.743931;314.851868;1935.211548;2;-77.882187;375.983185;1908.439697;2;-125.624863;432.756866;1856.756470;2;-145.787842;344.430481;1928.770630;2;-246.429764;39.585583;1820.258667;2;-353.102509;65.523308;1812.789795;2;-450.838318;279.767609;1819.828003;2;-317.788727;418.377319;1861.111328;2;-237.949966;447.545929;1878.443970;2;-152.457809;470.829468;1871.651978;2;-230.812973;397.883118;1943.913330;2;-86.738335;273.201996;2133.257080;1;-78.137878;513.036865;1899.583618;1;-55.276302;635.139465;2194.615723;1;-31.548704;778.680908;2252.945068;2;-230.108932;290.488586;2147.271240;1;-237.535507;528.626587;1912.341675;1;-180.255203;619.553894;2217.455078;1;-164.421204;749.129150;2278.753418;2;-227.254395;13.898702;1723.041870;2;-232.063110;129.472427;1791.568848;2;-206.008347;128.790298;1752.660034;2;-153.406982;54.285862;1698.502930;2;-249.719940;130.408203;1752.056030;2;-291.039825;58.094204;1680.774780
566888;1;2;-172.832214;275.062134;2142.786377;2;-191.392578;167.915787;2041.573486;2;-205.918976;87.886330;1955.034790;2;-220.656128;27.399019;1785.312378;2;-190.500107;33.076431;1812.222778;2;-72.211601;22.417479;1804.260254;2;81.851105;154.083755;1913.244385;2;-31.539307;310.249207;1920.608398;2;-77.384010;374.120056;1904.863892;2;-126.459953;437.497742;1863.993530;2;-144.161011;344.285248;1926.220337;2;-246.025833;40.065739;1815.082642;2;-352.802948;63.431332;1808.416016;2;-455.656647;273.974396;1816.417358;2;-325.405792;414.870209;1854.267456;2;-249.138428;445.193878;1881.048096;2;-164.324768;469.973877;1884.813477;2;-247.440155;396.077332;1944.607666;2;-97.548126;266.332764;2138.221680;1;-80.718140;526.434631;1930.404175;1;-68.190544;637.756104;2228.641602;1;-46.424225;779.574890;2289.862061;2;-240.719193;282.933807;2146.902344;1;-239.385712;534.545410;1928.785156;1;-192.841232;621.909119;2235.122559;1;-179.868378;751.719116;2294.955322;2;-225.008789;15.382463;1718.504395;2;-236.968994;123.619606;1796.254272;2;-206.776062;126.130386;1760.837891;2;-148.988800;56.488998;1706.488525;2;-249.913315;128.487427;1755.453247;2;-283.014832;64.102028;1673.835449
600211;1;2;-187.822037;278.596893;2143.905273;2;-199.829590;172.188797;2040.777466;2;-209.047058;91.016121;1954.452271;2;-219.478165;28.237543;1785.097778;2;-189.995987;34.264069;1812.716187;2;-71.701469;21.835749;1806.193848;2;81.330437;154.810471;1915.408447;2;-32.732903;310.705139;1921.891968;2;-78.098770;374.874359;1905.672607;2;-126.578438;438.472321;1864.286377;2;-145.468475;344.689270;1927.499512;2;-245.613495;41.319157;1814.057983;2;-352.652435;63.406734;1806.015747;2;-456.555817;273.505707;1816.825806;2;-326.886353;414.596252;1856.658447;2;-250.703568;446.063660;1882.555908;2;-165.926193;471.293335;1885.664917;0;-246.739868;398.003052;1944.670654;2;-112.260765;270.621246;2143.336426;1;-85.287384;541.217224;1950.094360;1;-86.182396;643.599182;2252.030273;1;-66.666389;782.345154;2320.876465;2;-255.958969;285.788910;2144.417725;1;-242.951950;546.226807;1936.918945;1;-209.802032;635.681335;2244.647949;1;-197.165771;764.575989;2306.748535;2;-222.126282;15.326331;1718.315063;2;-235.132339;123.069069;1796.754517;2;-206.181213;126.634300;1760.358765;2;-147.877167;58.974697;1703.942505;2;-249.557388;127.573341;1756.375977;2;-283.171875;62.206924;1675.642212
633555;1;2;-171.985855;289.813782;2115.047363;2;-191.837555;172.803909;2026.271362;2;-208.110886;82.254585;1951.603027;2;-220.274078;24.574015;1781.147217;2;-190.576202;29.932428;1808.485718;2;-72.003540;24.949352;1804.098145;2;80.778915;154.573090;1916.164307;2;-32.215836;310.645416;1916.487427;2;-77.945244;374.698090;1902.155640;2;-124.675514;440.377014;1862.651001;2;-143.728073;353.529083;1938.543701;2;-246.036728;36.626396;1810.702637;2;-350.960541;66.157135;1803.277344;2;-454.526337;275.057312;1822.026245;2;-319.699615;413.680847;1848.058105;2;-249.215576;447.169342;1884.519409;2;-165.960373;470.531158;1902.073853;2;-255.473679;389.233154;1941.329590;2;-97.209175;285.786591;2103.634033;2;-31.446875;476.243256;1839.037598;1;-39.833122;606.537109;2128.827393;1;-26.287205;747.459778;2193.471924;2;-239.415253;293.445282;2125.339355;1;-256.345673;542.759644;1906.415771;1;-206.960510;621.444397;2213.875244;1;-197.978531;745.321106;2285.130859;2;-223.668930;13.639375;1714.258301;2;-232.649109;123.039032;1790.228882;2;-205.315643;125.483421;1752.691162;2;-150.038971;56.235886;1695.763062;2;-248.680435;126.642899;1750.512451;2;-285.961639;59.764580;1673.150146
