timestamp;body_idx;PELVIS (c);PELVIS (x);PELVIS (y);PELVIS (z);SPINE_NAVEL (c);SPINE_NAVEL (x);SPINE_NAVEL (y);SPINE_NAVEL (z);SPINE_CHEST (c);SPINE_CHEST (x);SPINE_CHEST (y);SPINE_CHEST (z);NECK (c);NECK (x);NECK (y);NECK (z);CLAVICLE_LEFT (c);CLAVICLE_LEFT (x);CLAVICLE_LEFT (y);CLAVICLE_LEFT (z);SHOULDER_LEFT (c);SHOULDER_LEFT (x);SHOULDER_LEFT (y);SHOULDER_LEFT (z);ELBOW_LEFT (c);ELBOW_LEFT (x);ELBOW_LEFT (y);ELBOW_LEFT (z);WRIST_LEFT (c);WRIST_LEFT (x);WRIST_LEFT (y);WRIST_LEFT (z);HAND_LEFT (c);HAND_LEFT (x);HAND_LEFT (y);HAND_LEFT (z);HANDTIP_LEFT (c);HANDTIP_LEFT (x);HANDTIP_LEFT (y);HANDTIP_LEFT (z);THUMB_LEFT (c);THUMB_LEFT (x);THUMB_LEFT (y);THUMB_LEFT (z);CLAVICLE_RIGHT (c);CLAVICLE_RIGHT (x);CLAVICLE_RIGHT (y);CLAVICLE_RIGHT (z);SHOULDER_RIGHT (c);SHOULDER_RIGHT (x);SHOULDER_RIGHT (y);SHOULDER_RIGHT (z);ELBOW_RIGHT (c);ELBOW_RIGHT (x);ELBOW_RIGHT (y);ELBOW_RIGHT (z);WRIST_RIGHT (c);WRIST_RIGHT (x);WRIST_RIGHT (y);WRIST_RIGHT (z);HAND_RIGHT (c);HAND_RIGHT (x);HAND_RIGHT (y);HAND_RIGHT (z);HANDTIP_RIGHT (c);HANDTIP_RIGHT (x);HANDTIP_RIGHT (y);HANDTIP_RIGHT (z);THUMB_RIGHT (c);THUMB_RIGHT (x);THUMB_RIGHT (y);THUMB_RIGHT (z);HIP_LEFT (c);HIP_LEFT (x);HIP_LEFT (y);HIP_LEFT (z);KNEE_LEFT (c);KNEE_LEFT (x);KNEE_LEFT (y);KNEE_LEFT (z);ANKLE_LEFT (c);ANKLE_LEFT (x);ANKLE_LEFT (y);ANKLE_LEFT (z);FOOT_LEFT (c);FOOT_LEFT (x);FOOT_LEFT (y);FOOT_LEFT (z);HIP_RIGHT (c);HIP_RIGHT (x);HIP_RIGHT (y);HIP_RIGHT (z);KNEE_RIGHT (c);KNEE_RIGHT (x);KNEE_RIGHT (y);KNEE_RIGHT (z);ANKLE_RIGHT (c);ANKLE_RIGHT (x);ANKLE_RIGHT (y);ANKLE_RIGHT (z);FOOT_RIGHT (c);FOOT_RIGHT (x);FOOT_RIGHT (y);FOOT_RIGHT (z);HEAD (c);HEAD (x);HEAD (y);HEAD (z);NOSE (c);NOSE (x);NOSE (y);NOSE (z);EYE_LEFT (c);EYE_LEFT (x);EYE_LEFT (y);EYE_LEFT (z);EAR_LEFT (c);EAR_LEFT (x);EAR_LEFT (y);EAR_LEFT (z);EYE_RIGHT (c);EYE_RIGHT (x);EYE_RIGHT (y);EYE_RIGHT (z);EAR_RIGHT (c);EAR_RIGHT (x);EAR_RIGHT (y);EAR_RIGHT (z)
267666;1;2;19.820879;319.588409;1945.542236;2;45.419449;185.379501;1905.340210;2;70.521729;82.036575;1864.673584;2;152.606628;2.787150;1734.215576;2;161.461945;14.208160;1770.577148;2;245.314758;48.524879;1839.960205;2;266.524689;134.377441;2042.061523;2;179.957932;297.432831;2056.237793;0;178.598236;365.283783;2020.134888;2;212.897690;393.689484;1946.261230;0;167.496384;342.891510;1968.899536;2;116.242554;16.062944;1741.631226;2;24.157934;56.971233;1712.159546;2;-54.870426;267.368225;1715.602905;2;39.332279;412.441162;1787.956055;2;78.924370;455.265808;1846.684082;2;135.554321;502.059052;1889.019531;2;82.426224;444.140747;1876.824829;2;83.446480;321.143097;1980.865601;1;155.406006;530.426147;1750.307373;1;43.643394;704.771729;1974.800171;1;55.684704;853.510742;1984.673462;2;-37.553123;318.186493;1913.689453;2;-90.799744;427.389648;1618.470337;1;-124.668121;634.026489;1845.211182;1;-136.676544;770.019775;1828.061279;2;185.988251;-17.112560;1681.851196;2;205.922928;88.332870;1611.573975;2;214.591537;49.008339;1592.210571;2;241.669281;-42.834938;1624.971802;2;175.862411;63.378342;1598.177246;2;113.926376;-10.590829;1638.578369
301011;1;2;18.454887;321.855835;1947.388184;2;47.392014;186.568542;1905.866699;2;75.893028;83.408699;1862.502930;2;158.117111;1.105212;1730.735352;2;167.452255;13.430893;1767.283569;2;251.888748;48.265522;1838.365845;2;267.946350;137.509796;2042.903931;2;181.206314;303.795898;2052.289795;0;176.796921;372.849976;2016.370117;2;215.552872;406.438416;1945.494141;0;164.753342;353.145233;1968.035156;2;121.239563;14.474816;1738.439087;2;26.013561;52.528946;1709.786255;2;-56.975067;264.728546;1717.166748;2;38.480682;411.480682;1791.419312;2;78.698219;454.120270;1851.510376;2;137.569794;498.314789;1895.957886;2;82.638504;443.841034;1879.882324;2;83.092049;324.771637;1982.934692;1;151.139893;538.556213;1749.004272;1;34.868641;711.478943;1978.204712;1;45.952965;862.535217;1986.266479;2;-39.831284;319.226532;1915.334351;2;-88.383499;429.955627;1614.978638;1;-128.295578;636.145264;1847.091553;1;-143.849823;773.431152;1827.470093;2;191.481934;-19.850700;1677.615479;2;209.489731;85.799751;1603.861328;2;218.447861;45.614342;1584.926514;2;247.419006;-46.517372;1619.671753;2;179.097565;59.882717;1591.240601;2;117.711861;-14.947817;1634.657715
367855;1;2;16.487934;320.815826;1946.919434;2;44.056465;184.527786;1907.006958;2;71.641319;80.383987;1864.955200;2;154.761322;1.176342;1731.506592;2;164.171844;13.519146;1768.095337;2;246.162262;52.060570;1840.403809;2;266.912323;137.456177;2046.528564;2;182.572281;305.485077;2051.348389;0;176.960861;372.246460;2011.248291;2;218.651581;409.121216;1943.580078;0;161.954620;348.804047;1968.080078;2;117.561165;13.488949;1739.719604;2;22.261530;51.011887;1710.028564;2;-55.796452;265.423981;1717.942261;2;33.069744;414.773102;1795.845825;2;78.762543;453.682251;1854.720215;2;140.248947;497.989288;1895.627197;2;82.342285;443.810791;1883.323364;2;80.847900;323.200012;1983.233276;1;150.390930;544.515686;1756.164429;1;31.416639;718.187256;1984.043945;1;37.164513;869.712708;1993.144409;2;-41.548279;318.665924;1914.173584;2;-89.299065;434.327850;1615.020508;1;-131.411407;641.810425;1846.232422;1;-148.723831;779.112915;1826.691528;2;188.150986;-18.511911;1677.795532;2;202.505997;89.464767;1606.294556;2;212.340530;49.935612;1586.279175;2;244.212234;-42.312218;1618.549316;2;172.634872;62.998867;1593.361450;2;113.683632;-14.590547;1635.689941
401177;1;2;16.751968;319.992645;1947.148438;2;44.991337;183.471512;1907.290161;2;73.113037;79.158562;1865.278198;2;157.468872;-0.062622;1732.076904;2;166.673508;12.467443;1768.754028;2;248.302765;51.723167;1841.514648;2;267.370117;137.566895;2048.177979;2;181.773193;305.466522;2052.239014;0;176.583359;372.671814;2012.473633;0;219.082779;410.605225;1945.636475;0;160.123642;348.822632;1969.924438;2;120.072258;12.063578;1740.124268;2;24.284988;48.400665;1709.652710;2;-58.061810;261.749237;1718.047729;2;28.810150;412.979126;1795.647461;2;74.383987;452.391235;1854.556885;2;135.649155;497.499298;1895.338989;2;78.813385;442.352203;1882.740356;2;81.194984;322.668060;1983.642090;1;154.510696;545.554810;1758.230469;1;30.953669;720.373596;1983.757812;1;36.001759;872.280151;1992.775146;2;-41.359135;317.580109;1914.240479;1;-50.923428;455.327881;1620.012085;1;-113.380592;652.222351;1856.797119;1;-126.726776;790.950806;1842.651123;2;191.278305;-19.728891;1678.431763;2;205.699173;87.339867;1605.054688;2;215.844421;47.429852;1585.724243;2;247.947830;-44.344604;1619.819458;2;175.949966;60.477066;1592.346558;2;116.899399;-16.811632;1635.690674
434522;1;2;17.549725;321.385620;1955.816772;2;48.442131;184.789169;1908.919312;2;78.117393;81.310219;1860.419678;2;164.712021;-0.468694;1725.826904;2;174.098526;13.307221;1762.820435;2;253.645721;54.353264;1840.228027;2;270.171661;138.764679;2052.206787;2;177.466599;306.887848;2049.747803;0;173.149872;375.433777;2009.285400;0;220.187180;419.536224;1947.286133;0;162.768112;350.621368;1964.335938;2;126.427116;11.238180;1734.066650;2;25.923424;41.086906;1704.733765;2;-63.724892;255.817657;1718.377686;2;29.253765;401.167938;1808.005859;2;77.712830;448.006866;1861.152954;2;145.086411;479.970734;1907.733887;2;36.933231;406.905609;1923.158691;2;85.406143;325.466919;1988.627930;1;146.427368;563.817322;1766.596191;1;17.587154;746.588440;1990.895264;1;17.805552;901.673645;1990.809448;2;-43.639400;317.705322;1926.229492;2;-54.604218;495.730225;1647.333008;1;-128.463989;679.692261;1898.608643;1;-153.673126;819.521912;1885.508423;2;199.150208;-20.947216;1671.351929;2;206.705505;89.769485;1598.003662;2;218.949554;50.022411;1577.577271;2;257.244293;-41.985630;1610.465698;2;177.754593;60.963703;1585.100952;2;122.687775;-21.547533;1628.962524
467844;1;2;17.615177;320.598053;1957.091431;2;48.030281;183.879639;1909.945557;2;76.882301;79.461205;1862.800903;2;162.100922;-0.692047;1726.215698;2;171.842209;12.472980;1763.367920;2;254.547089;48.854790;1839.907715;2;269.516022;138.745483;2049.895264;2;176.502441;306.840424;2047.748047;0;172.779785;376.007233;2008.194946;0;218.728668;422.047150;1946.708740;0;162.127884;351.989380;1962.928101;2;123.913925;11.077396;1734.934326;2;24.126976;42.552288;1704.616699;2;-63.333199;258.151825;1720.992188;2;28.798216;402.566498;1813.234863;2;77.802361;449.408203;1865.965332;2;145.331268;480.504944;1913.010376;2;39.288872;406.314697;1926.216919;2;84.977814;323.856659;1991.099487;1;145.382233;564.420227;1770.983154;1;19.595459;749.058594;1995.766724;1;19.328415;904.159851;2000.791016;2;-43.128674;317.659668;1926.424927;2;-54.638542;494.428925;1646.506592;1;-126.003502;680.887573;1896.917969;1;-149.270264;821.575439;1889.802612;2;196.044037;-20.503386;1671.134033;2;210.771744;91.681038;1601.025146;2;220.876251;51.853043;1579.546875;2;253.431732;-43.196640;1610.094727;2;180.294495;64.983215;1587.058105;2;120.042641;-15.413888;1628.108154
501188;1;2;17.090410;321.241669;1962.512451;2;50.266548;187.221085;1910.004883;2;79.494370;83.825005;1861.013550;2;163.150818;-0.551119;1726.127686;2;173.246353;13.558805;1762.814819;2;254.898071;51.401924;1839.690063;2;270.049774;139.383911;2050.354736;2;178.080017;307.961884;2049.700439;0;170.147995;372.984833;2004.252930;0;219.698822;421.229462;1947.497559;0;166.709106;354.167572;1962.899048;2;125.121803;11.692241;1734.793945;2;24.470783;41.274876;1705.632935;2;-64.406853;256.189941;1721.813477;2;28.263018;400.410828;1813.626221;2;70.781174;444.373077;1873.864502;1;133.487946;475.842438;1926.880249;1;37.539879;406.018921;1928.504395;2;86.303108;326.761444;1992.154663;1;138.464706;582.895630;1788.336182;1;9.167210;773.583984;2005.746094;1;6.704415;928.643127;2002.630493;2;-45.321724;316.264252;1935.782837;1;-32.777966;547.559509;1699.189697;1;-127.175003;718.625610;1952.754150;1;-153.767365;858.694519;1946.471436;2;196.541901;-22.073566;1671.390625;2;209.878494;88.708496;1598.931396;2;219.994247;48.533989;1578.162598;2;253.408905;-45.649612;1610.256470;2;179.433289;61.573643;1585.824951;2;120.111122;-18.288038;1629.080322
534511;1;2;28.029718;313.263580;1966.630127;2;55.343658;181.535706;1910.260498;2;78.632729;78.575241;1860.716309;2;163.547958;-0.474669;1726.374634;2;172.963318;12.578070;1763.074829;2;249.308441;52.921295;1841.839722;2;268.082184;138.762680;2049.986328;2;184.468643;308.960388;2049.294189;0;172.093201;370.258789;2001.467285;0;218.559189;420.518036;1945.614136;0;167.754547;357.719635;1964.380005;2;125.791077;11.062696;1734.794434;2;26.906647;42.054409;1706.119751;2;-64.052902;253.056976;1720.270264;2;24.283752;396.507019;1812.432251;2;64.889732;450.097107;1864.054688;1;125.470459;490.043854;1911.749268;1;34.468739;405.464233;1921.878906;2;98.213852;317.192627;1991.456177;1;133.734192;578.825928;1798.019897;1;18.318384;779.585144;2008.312256;1;15.539427;932.270813;1996.511841;2;-35.258396;309.720581;1944.243286;2;-41.750595;553.370300;1726.313354;1;-123.123367;712.629883;1986.951416;1;-152.665390;850.417480;1987.671021;2;197.345581;-20.004663;1672.183228;2;210.541534;91.444046;1603.881836;2;221.230026;52.450169;1582.447998;2;254.642487;-41.082108;1612.079956;2;180.942444;64.738022;1589.740845;2;122.488472;-15.817001;1629.351196
567855;1;2;25.207317;314.390289;1963.750122;2;52.286694;183.498718;1908.294922;2;74.676468;79.907104;1861.911133;2;161.424026;1.424097;1730.279541;2;170.120544;14.558300;1766.783325;2;244.737381;55.557083;1845.501953;2;268.732422;139.496979;2051.952148;2;188.485718;309.577759;2046.816772;0;172.462158;369.422119;1999.251099;0;219.036285;421.354340;1946.187134;0;167.730972;360.076813;1963.965210;2;123.779160;12.706019;1737.995605;2;26.132271;42.376755;1706.951416;2;-64.595695;251.658203;1718.446045;2;21.047897;393.985687;1811.736816;2;60.983082;447.669006;1862.686523;1;121.009201;488.425110;1909.137939;2;33.650955;406.679932;1920.325684;2;94.190819;317.435120;1990.248657;1;135.988922;581.024841;1805.263184;1;17.886780;782.071289;2010.058350;1;14.746291;933.718994;2000.891724;2;-36.998146;311.644653;1939.855103;2;-48.202507;551.860291;1722.161987;1;-130.754761;706.018616;1982.481201;1;-160.319870;842.520386;1988.768799;2;195.901245;-17.977400;1677.127319;2;204.879471;88.429977;1602.391724;2;216.716873;48.851547;1583.559326;2;253.170914;-40.695511;1618.576294;2;176.383163;60.108582;1590.267334;2;121.350876;-19.074492;1634.943359
601177;1;2;24.710773;316.838287;1964.393433;2;52.388153;186.340729;1908.645386;2;75.243813;83.041252;1862.097412;2;162.752457;3.925786;1731.564819;2;171.214401;17.269417;1768.008667;2;246.085876;57.686321;1846.632568;2;268.121368;140.459000;2053.552979;2;189.124115;310.674622;2042.794678;0;169.085388;364.994690;1990.474731;0;219.332596;419.837463;1944.262573;2;164.214783;359.820374;1958.723267;2;125.087784;15.212715;1738.984131;2;27.177296;42.615952;1707.029053;2;-67.334724;250.079178;1716.774658;2;17.869204;390.815918;1812.499512;2;57.201565;449.829346;1857.557617;1;117.262604;498.109344;1895.901978;2;33.489025;406.704956;1922.521240;2;93.462166;319.924866;1991.301392;1;133.980057;581.369629;1803.521362;1;14.633782;780.546875;2008.997437;1;10.982981;932.078125;2000.377686;2;-37.285385;314.054993;1940.129150;2;-47.684982;547.573547;1715.649902;1;-127.913788;696.399170;1979.436035;1;-157.371948;832.621826;1988.751221;2;197.528122;-15.742814;1678.780762;2;207.840118;91.385612;1605.465454;2;219.715790;52.010880;1586.331055;2;255.332642;-38.017414;1620.697754;2;179.391479;63.359978;1592.689941;2;123.542839;-16.016350;1635.753418
