timestamp;body_idx;PELVIS (w);PELVIS (x);PELVIS (y);PELVIS (z);SPINE_NAVEL (w);SPINE_NAVEL (x);SPINE_NAVEL (y);SPINE_NAVEL (z);SPINE_CHEST (w);SPINE_CHEST (x);SPINE_CHEST (y);SPINE_CHEST (z);NECK (w);NECK (x);NECK (y);NECK (z);CLAVICLE_LEFT (w);CLAVICLE_LEFT (x);CLAVICLE_LEFT (y);CLAVICLE_LEFT (z);SHOULDER_LEFT (w);SHOULDER_LEFT (x);SHOULDER_LEFT (y);SHOULDER_LEFT (z);ELBOW_LEFT (w);ELBOW_LEFT (x);ELBOW_LEFT (y);ELBOW_LEFT (z);WRIST_LEFT (w);WRIST_LEFT (x);WRIST_LEFT (y);WRIST_LEFT (z);HAND_LEFT (w);HAND_LEFT (x);HAND_LEFT (y);HAND_LEFT (z);HANDTIP_LEFT (w);HANDTIP_LEFT (x);HANDTIP_LEFT (y);HANDTIP_LEFT (z);THUMB_LEFT (w);THUMB_LEFT (x);THUMB_LEFT (y);THUMB_LEFT (z);CLAVICLE_RIGHT (w);CLAVICLE_RIGHT (x);CLAVICLE_RIGHT (y);CLAVICLE_RIGHT (z);SHOULDER_RIGHT (w);SHOULDER_RIGHT (x);SHOULDER_RIGHT (y);SHOULDER_RIGHT (z);ELBOW_RIGHT (w);ELBOW_RIGHT (x);ELBOW_RIGHT (y);ELBOW_RIGHT (z);WRIST_RIGHT (w);WRIST_RIGHT (x);WRIST_RIGHT (y);WRIST_RIGHT (z);HAND_RIGHT (w);HAND_RIGHT (x);HAND_RIGHT (y);HAND_RIGHT (z);HANDTIP_RIGHT (w);HANDTIP_RIGHT (x);HANDTIP_RIGHT (y);HANDTIP_RIGHT (z);THUMB_RIGHT (w);THUMB_RIGHT (x);THUMB_RIGHT (y);THUMB_RIGHT (z);HIP_LEFT (w);HIP_LEFT (x);HIP_LEFT (y);HIP_LEFT (z);KNEE_LEFT (w);KNEE_LEFT (x);KNEE_LEFT (y);KNEE_LEFT (z);ANKLE_LEFT (w);ANKLE_LEFT (x);ANKLE_LEFT (y);ANKLE_LEFT (z);FOOT_LEFT (w);FOOT_LEFT (x);FOOT_LEFT (y);FOOT_LEFT (z);HIP_RIGHT (w);HIP_RIGHT (x);HIP_RIGHT (y);HIP_RIGHT (z);KNEE_RIGHT (w);KNEE_RIGHT (x);KNEE_RIGHT (y);KNEE_RIGHT (z);ANKLE_RIGHT (w);ANKLE_RIGHT (x);ANKLE_RIGHT (y);ANKLE_RIGHT (z);FOOT_RIGHT (w);FOOT_RIGHT (x);FOOT_RIGHT (y);FOOT_RIGHT (z);HEAD (w);HEAD (x);HEAD (y);HEAD (z);NOSE (w);NOSE (x);NOSE (y);NOSE (z);EYE_LEFT (w);EYE_LEFT (x);EYE_LEFT (y);EYE_LEFT (z);EAR_LEFT (w);EAR_LEFT (x);EAR_LEFT (y);EAR_LEFT (z);EYE_RIGHT (w);EYE_RIGHT (x);EYE_RIGHT (y);EYE_RIGHT (z);EAR_RIGHT (w);EAR_RIGHT (x);EAR_RIGHT (y);EAR_RIGHT (z)
2867844;1;0.752625;-0.225411;0.497058;-0.368348;0.755179;-0.221933;0.498620;-0.363082;0.852396;-0.096385;0.444193;-0.258500;0.870381;-0.060453;0.450492;-0.189311;0.879126;-0.249419;-0.405882;0.013684;0.740294;-0.245220;-0.599355;0.180568;0.390298;-0.599289;-0.245382;0.654453;-0.005452;0.409710;0.648449;-0.641578;-0.354312;-0.010006;0.766973;-0.534897;-0.354312;-0.010006;0.766973;-0.534897;0.532763;0.158364;0.004566;0.831302;0.160594;0.936383;-0.244803;0.193566;-0.268251;0.735227;-0.584855;0.213137;0.336922;-0.374478;0.861615;-0.062207;0.443143;-0.336020;0.831048;0.008655;-0.270451;0.867978;-0.223973;0.351150;-0.270451;0.867978;-0.223973;0.351150;0.244416;-0.126141;0.811126;-0.516163;0.598206;-0.384990;0.335525;-0.617540;0.817875;-0.182885;0.476812;-0.265111;0.816674;-0.190186;0.484428;-0.249405;0.757821;0.208780;0.473437;0.397462;0.538967;0.352348;0.481182;0.594836;0.104944;0.563530;0.195203;0.795812;0.145612;0.552010;0.192108;0.798234;-0.460254;0.531097;-0.249621;0.666177;0.815048;-0.039195;0.570512;-0.093150;0.815048;-0.039195;0.570512;-0.093150;0.642192;0.375698;0.431128;0.510459;0.093150;0.570512;0.039195;0.815048;0.642192;0.375698;0.431128;0.510459;0.815048;-0.039195;0.570512;-0.093150
2901188;1;0.729009;-0.244232;0.510439;-0.385160;0.726826;-0.247106;0.509054;-0.389264;0.855301;-0.105173;0.419414;-0.285464;0.875439;-0.071200;0.426498;-0.215956;0.864926;-0.276059;-0.419159;-0.000221;0.729604;-0.260866;-0.611145;0.161643;0.389315;-0.621291;-0.235683;0.637875;0.477539;-0.262105;-0.583182;0.602624;0.365620;-0.359407;-0.528798;0.676403;0.365620;-0.359407;-0.528798;0.676403;0.485766;-0.073457;-0.029159;0.870509;0.181183;0.923326;-0.262503;0.213854;-0.260415;0.742584;-0.582459;0.203703;0.324161;-0.401870;0.853926;-0.065040;0.397669;-0.383982;0.832262;0.041927;0.384355;-0.233694;0.886278;0.110316;0.384355;-0.233694;0.886278;0.110316;0.258768;-0.151575;0.819428;-0.488468;0.585157;-0.409416;0.341519;-0.611011;0.800548;-0.206659;0.491480;-0.273611;0.802993;-0.206157;0.504809;-0.240559;0.742027;0.211795;0.499242;0.394078;0.501917;0.372260;0.501352;0.598454;0.076446;0.590337;0.203529;0.777325;0.110633;0.580241;0.172684;0.788201;-0.478221;0.537274;-0.283189;0.634386;0.769373;-0.059036;0.621376;-0.135911;0.769373;-0.059036;0.621376;-0.135911;0.640133;0.397634;0.481124;0.447925;0.135911;0.621376;0.059036;0.769373;0.640133;0.397634;0.481124;0.447925;0.769373;-0.059036;0.621376;-0.135911
2934511;1;0.706758;-0.235136;0.407649;-0.528229;0.727520;-0.218476;0.416815;-0.499247;0.870034;-0.020678;0.390679;-0.299974;0.891287;0.010718;0.391079;-0.229237;0.870234;-0.269892;-0.412068;-0.007144;0.730119;-0.166921;-0.624229;0.222264;0.409795;-0.532925;-0.365398;0.643850;0.114580;0.823631;0.538786;-0.134952;0.027637;0.423055;0.888642;-0.174862;0.027637;0.423055;0.888642;-0.174862;0.529173;-0.419438;-0.485929;0.554906;0.107312;0.902313;-0.368082;0.197055;-0.196363;0.794521;-0.550294;0.165390;0.250331;-0.453887;0.853273;-0.056981;-0.237712;-0.490559;-0.005914;0.838337;-0.364827;-0.485543;0.070222;0.791339;-0.364827;-0.485543;0.070222;0.791339;0.018037;0.722561;-0.418541;-0.549913;-0.111983;0.019385;-0.233412;0.965714;0.841407;0.175574;0.155012;-0.487010;0.813173;0.057010;0.231817;-0.530811;0.951668;0.204970;0.118900;0.195393;0.644432;0.125597;0.709399;0.256293;0.138510;0.662306;0.283323;0.679628;0.298403;0.600862;0.203561;0.713080;-0.291968;0.574130;-0.276877;0.713069;0.705742;0.029263;0.699297;-0.109798;0.705742;0.029263;0.699297;-0.109798;0.576674;0.515170;0.473786;0.421396;0.109798;0.699297;-0.029263;0.705742;0.576674;0.515170;0.473786;0.421396;0.705742;0.029263;0.699297;-0.109798
2967855;1;0.694532;-0.250675;0.403787;-0.540133;0.718038;-0.232329;0.414614;-0.508468;0.858951;-0.031222;0.437540;-0.264173;0.877369;0.003967;0.438635;-0.194440;0.895510;-0.244322;-0.370196;0.036383;0.721543;-0.146028;-0.626037;0.257156;0.453402;-0.471835;-0.436598;0.617398;0.231815;0.807764;0.400314;-0.365415;-0.044430;0.386042;0.814681;-0.430456;-0.044430;0.386042;0.814681;-0.430456;0.544021;-0.441861;-0.213960;0.680457;0.096348;0.909392;-0.368724;0.166630;-0.190065;0.769426;-0.591222;0.149383;0.234856;-0.455630;0.856715;-0.057294;-0.008420;-0.604296;0.419616;0.677258;-0.125878;-0.522265;0.518161;0.665510;-0.125878;-0.522265;0.518161;0.665510;0.299233;-0.520740;0.764075;0.235539;-0.046780;0.065165;-0.217999;0.972647;0.859571;0.153902;0.167601;-0.457560;0.838934;-0.010841;0.263471;-0.476083;0.931770;0.179467;0.189293;0.252517;0.663153;0.009901;0.711570;0.231944;0.120383;0.626267;0.337798;0.692235;0.276461;0.561664;0.219136;0.748386;-0.332181;0.557323;-0.237978;0.722781;0.689758;0.108768;0.713157;-0.061728;0.689758;0.108768;0.713157;-0.061728;0.531380;0.581189;0.427368;0.444084;0.061728;0.713157;-0.108768;0.689758;0.531380;0.581189;0.427368;0.444084;0.689758;0.108768;0.713157;-0.061728
3001177;1;0.699096;-0.237250;0.375639;-0.560244;0.723223;-0.220380;0.385779;-0.528731;0.863455;-0.027535;0.423321;-0.272923;0.882561;0.006501;0.424165;-0.202801;0.908723;-0.234840;-0.344701;0.015923;0.720893;-0.208272;-0.604697;0.266980;0.322851;-0.574096;-0.281868;0.697661;0.439602;0.511570;0.634820;0.376895;0.578637;-0.055598;0.813394;-0.021881;0.578637;-0.055598;0.813394;-0.021881;-0.165990;-0.311196;-0.559750;0.749856;0.096091;0.903899;-0.373968;0.184065;-0.164346;0.772649;-0.592198;0.159073;0.216319;-0.448319;0.864116;-0.074297;-0.062014;-0.614433;0.440426;0.651653;-0.174324;-0.528539;0.540509;0.630958;-0.174324;-0.528539;0.540509;0.630958;0.209632;-0.564705;0.775116;0.190675;-0.063097;0.136745;-0.127152;0.980384;0.881717;0.042181;0.181943;-0.433235;0.889249;0.016630;0.200176;-0.410961;0.921204;0.154807;0.125090;0.334320;0.644833;-0.006185;0.726231;0.238202;0.094431;0.637254;0.348205;0.680987;0.270325;0.558285;0.141289;0.771544;-0.353153;0.500173;-0.290746;0.735239;0.697608;0.093530;0.703507;-0.098355;0.697608;0.093530;0.703507;-0.098355;0.562831;0.563590;0.431319;0.423736;0.098355;0.703507;-0.093530;0.697608;0.562831;0.563590;0.431319;0.423736;0.697608;0.093530;0.703507;-0.098355
3034522;1;0.688749;-0.213001;0.383294;-0.577356;0.733055;-0.181406;0.399219;-0.519948;0.848943;-0.033812;0.413723;-0.327086;0.872439;-0.000525;0.415102;-0.257953;0.908646;-0.262886;-0.321238;-0.045377;0.790876;-0.226080;-0.504810;0.261858;0.331597;-0.527088;-0.167702;0.764263;0.301136;0.579597;0.711557;0.258981;0.392912;0.109902;0.911135;0.058086;0.392912;0.109902;0.911135;0.058086;-0.051427;-0.151107;-0.574394;0.802866;0.137475;0.888958;-0.387390;0.201951;-0.135041;0.779890;-0.583692;0.181218;0.203206;-0.424507;0.876765;-0.098910;-0.225888;-0.581168;0.307778;0.718673;-0.347901;-0.518502;0.404523;0.668193;-0.347901;-0.518502;0.404523;0.668193;0.031442;0.716349;-0.643088;-0.268874;-0.018200;0.194267;-0.264518;0.944436;0.829833;0.133782;0.299723;-0.451272;0.827759;0.037568;0.360357;-0.428423;0.890444;0.282237;0.224143;0.277869;0.650921;0.064000;0.748680;0.108091;0.206662;0.692683;0.291025;0.626727;0.378171;0.605238;0.170702;0.679363;-0.211746;0.554290;-0.303758;0.745424;0.735867;0.086922;0.653250;-0.155594;0.735867;0.086922;0.653250;-0.155594;0.630358;0.523380;0.400454;0.410315;0.155594;0.653250;-0.086922;0.735867;0.630358;0.523380;0.400454;0.410315;0.735867;0.086922;0.653250;-0.155594
3067844;1;0.683720;-0.220335;0.380852;-0.582178;0.723757;-0.192420;0.395690;-0.531583;0.846414;-0.045411;0.403371;-0.344693;0.871330;-0.012917;0.405713;-0.275707;0.905594;-0.285112;-0.311349;-0.040898;0.822534;-0.269353;-0.387872;0.316925;0.202136;-0.472210;0.003701;0.857989;0.078038;0.452368;0.883976;0.088657;0.073275;0.498160;0.859003;0.092632;0.073275;0.498160;0.859003;0.092632;0.167508;0.332166;-0.448338;0.812773;0.154773;0.872539;-0.397088;0.238834;-0.116199;0.762993;-0.592128;0.231784;0.209319;-0.407831;0.875470;-0.153008;-0.269832;-0.584380;0.323898;0.693384;-0.392040;-0.515322;0.425268;0.632373;-0.392040;-0.515322;0.425268;0.632373;0.073432;0.717014;-0.653267;-0.231821;-0.010844;0.199728;-0.262398;0.944001;0.826222;0.129508;0.303306;-0.456718;0.830227;0.051285;0.356193;-0.425698;0.890203;0.289054;0.211522;0.281504;0.648997;0.007645;0.747734;0.140136;0.172802;0.668089;0.335719;0.641162;0.425037;0.545879;0.180617;0.699097;-0.192081;0.519406;-0.255029;0.792643;0.754548;0.027630;0.630700;-0.179200;0.754548;0.027630;0.630700;-0.179200;0.660259;0.465510;0.426434;0.406832;0.179200;0.630700;-0.027630;0.754548;0.660259;0.465510;0.426434;0.406832;0.754548;0.027630;0.630700;-0.179200
3101188;1;0.673976;-0.273854;0.407412;-0.552065;0.711901;-0.243874;0.426035;-0.502212;0.837413;-0.074383;0.425435;-0.334981;0.861579;-0.040026;0.430030;-0.266747;0.931079;-0.285016;-0.227407;0.012015;0.900666;0.006825;-0.246874;0.357502;0.396984;-0.167111;-0.181844;0.883974;-0.267152;0.116295;0.940374;0.175506;-0.293581;0.277899;0.905869;0.126425;-0.293581;0.277899;0.905869;0.126425;0.061443;-0.553299;0.621708;-0.550967;0.172310;0.865507;-0.364314;0.297460;-0.086509;0.750048;-0.589343;0.287435;0.210974;-0.387010;0.871849;-0.213525;-0.365384;-0.495904;0.215415;0.757740;-0.492058;-0.450682;0.298681;0.682315;-0.492058;-0.450682;0.298681;0.682315;0.197797;0.711723;-0.582558;-0.339047;0.037553;0.225424;-0.250822;0.940671;0.819621;0.120113;0.315164;-0.463105;0.826488;0.010718;0.392190;-0.403721;0.872368;0.285718;0.265752;0.294476;0.669930;0.001941;0.735302;0.102568;0.196316;0.664226;0.315217;0.648770;0.387268;0.572273;0.213981;0.690463;-0.212788;0.561447;-0.249809;0.759667;0.795410;-0.039062;0.557273;-0.235040;0.795410;-0.039062;0.557273;-0.235040;0.728638;0.366431;0.421672;0.396242;0.235040;0.557273;0.039062;0.795410;0.728638;0.366431;0.421672;0.396242;0.795410;-0.039062;0.557273;-0.235040
3134511;1;0.703256;-0.262560;0.378075;-0.541805;0.771370;-0.207804;0.410726;-0.439442;0.821693;-0.092590;0.426335;-0.366723;0.848455;-0.058102;0.432388;-0.299648;0.936715;-0.310410;-0.157371;0.038026;0.897521;0.097647;-0.169046;0.395404;0.328462;-0.055920;-0.187041;0.924122;-0.414686;0.074629;0.906887;0.004720;-0.409205;0.230993;0.880145;-0.067370;-0.409205;0.230993;0.880145;-0.067370;0.414700;-0.307812;0.798200;-0.310084;0.218745;0.866000;-0.345374;0.287942;-0.044390;0.736142;-0.597959;0.313958;0.177442;-0.399790;0.860017;-0.262781;-0.387805;-0.402427;0.211668;0.801783;0.521958;0.359242;-0.278740;-0.721671;0.521958;0.359242;-0.278740;-0.721671;0.248966;0.679600;-0.558243;-0.405616;-0.052931;0.135245;-0.111303;0.983117;0.887746;0.032642;0.172134;-0.425690;0.874306;0.008110;0.184267;-0.448964;0.937358;0.137340;0.119717;0.296927;0.672445;-0.026438;0.720313;0.168130;0.136548;0.639300;0.332761;0.679647;0.357009;0.530391;0.121330;0.759282;-0.282942;0.466625;-0.285682;0.787776;0.794481;-0.062787;0.552114;-0.245008;0.794481;-0.062787;0.552114;-0.245008;0.735029;0.346006;0.434800;0.388536;0.245008;0.552114;0.062787;0.794481;0.735029;0.346006;0.434800;0.388536;0.794481;-0.062787;0.552114;-0.245008
3167855;1;0.706066;-0.257194;0.380453;-0.539052;0.771493;-0.204304;0.411282;-0.440348;0.816112;-0.089323;0.425544;-0.380651;0.844009;-0.054909;0.431336;-0.313978;0.938095;-0.312603;-0.147917;0.019444;0.935692;-0.104451;-0.090575;0.324602;0.496112;-0.138252;-0.000298;0.857181;-0.359948;0.265514;0.892528;0.057730;-0.364502;0.416872;0.832660;-0.005829;-0.364502;0.416872;0.832660;-0.005829;0.431423;-0.021374;0.823947;-0.366783;0.224778;0.855091;-0.359173;0.298813;-0.023909;0.708526;-0.610759;0.352694;0.165048;-0.399522;0.845823;-0.312608;-0.402055;-0.344002;0.311342;0.789355;0.500488;0.300981;-0.353102;-0.730918;0.500488;0.300981;-0.353102;-0.730918;0.299870;0.645780;-0.600214;-0.364403;-0.068929;0.114573;-0.132744;0.982090;0.885938;0.058005;0.165518;-0.429363;0.914163;-0.005252;0.215832;-0.343067;0.891178;0.150689;0.151793;0.400067;0.670171;-0.010267;0.718946;0.184069;0.118528;0.646224;0.315069;0.684892;0.216683;0.538515;-0.015346;0.814134;-0.421795;0.375785;-0.387629;0.728436;0.780254;-0.069881;0.548721;-0.291935;0.780254;-0.069881;0.548721;-0.291935;0.758152;0.338591;0.437418;0.345293;0.291935;0.548721;0.069881;0.780254;0.758152;0.338591;0.437418;0.345293;0.780254;-0.069881;0.548721;-0.291935
