timestamp;body_idx;PELVIS (w);PELVIS (x);PELVIS (y);PELVIS (z);SPINE_NAVEL (w);SPINE_NAVEL (x);SPINE_NAVEL (y);SPINE_NAVEL (z);SPINE_CHEST (w);SPINE_CHEST (x);SPINE_CHEST (y);SPINE_CHEST (z);NECK (w);NECK (x);NECK (y);NECK (z);CLAVICLE_LEFT (w);CLAVICLE_LEFT (x);CLAVICLE_LEFT (y);CLAVICLE_LEFT (z);SHOULDER_LEFT (w);SHOULDER_LEFT (x);SHOULDER_LEFT (y);SHOULDER_LEFT (z);ELBOW_LEFT (w);ELBOW_LEFT (x);ELBOW_LEFT (y);ELBOW_LEFT (z);WRIST_LEFT (w);WRIST_LEFT (x);WRIST_LEFT (y);WRIST_LEFT (z);HAND_LEFT (w);HAND_LEFT (x);HAND_LEFT (y);HAND_LEFT (z);HANDTIP_LEFT (w);HANDTIP_LEFT (x);HANDTIP_LEFT (y);HANDTIP_LEFT (z);THUMB_LEFT (w);THUMB_LEFT (x);THUMB_LEFT (y);THUMB_LEFT (z);CLAVICLE_RIGHT (w);CLAVICLE_RIGHT (x);CLAVICLE_RIGHT (y);CLAVICLE_RIGHT (z);SHOULDER_RIGHT (w);SHOULDER_RIGHT (x);SHOULDER_RIGHT (y);SHOULDER_RIGHT (z);ELBOW_RIGHT (w);ELBOW_RIGHT (x);ELBOW_RIGHT (y);ELBOW_RIGHT (z);WRIST_RIGHT (w);WRIST_RIGHT (x);WRIST_RIGHT (y);WRIST_RIGHT (z);HAND_RIGHT (w);HAND_RIGHT (x);HAND_RIGHT (y);HAND_RIGHT (z);HANDTIP_RIGHT (w);HANDTIP_RIGHT (x);HANDTIP_RIGHT (y);HANDTIP_RIGHT (z);THUMB_RIGHT (w);THUMB_RIGHT (x);THUMB_RIGHT (y);THUMB_RIGHT (z);HIP_LEFT (w);HIP_LEFT (x);HIP_LEFT (y);HIP_LEFT (z);KNEE_LEFT (w);KNEE_LEFT (x);KNEE_LEFT (y);KNEE_LEFT (z);ANKLE_LEFT (w);ANKLE_LEFT (x);ANKLE_LEFT (y);ANKLE_LEFT (z);FOOT_LEFT (w);FOOT_LEFT (x);FOOT_LEFT (y);FOOT_LEFT (z);HIP_RIGHT (w);HIP_RIGHT (x);HIP_RIGHT (y);HIP_RIGHT (z);KNEE_RIGHT (w);KNEE_RIGHT (x);KNEE_RIGHT (y);KNEE_RIGHT (z);ANKLE_RIGHT (w);ANKLE_RIGHT (x);ANKLE_RIGHT (y);ANKLE_RIGHT (z);FOOT_RIGHT (w);FOOT_RIGHT (x);FOOT_RIGHT (y);FOOT_RIGHT (z);HEAD (w);HEAD (x);HEAD (y);HEAD (z);NOSE (w);NOSE (x);NOSE (y);NOSE (z);EYE_LEFT (w);EYE_LEFT (x);EYE_LEFT (y);EYE_LEFT (z);EAR_LEFT (w);EAR_LEFT (x);EAR_LEFT (y);EAR_LEFT (z);EYE_RIGHT (w);EYE_RIGHT (x);EYE_RIGHT (y);EYE_RIGHT (z);EAR_RIGHT (w);EAR_RIGHT (x);EAR_RIGHT (y);EAR_RIGHT (z)
267666;1;0.473552;-0.510421;0.616884;-0.366977;0.472013;-0.512997;0.614744;-0.368955;-0.426712;0.587460;-0.572284;0.381181;0.455906;-0.539675;0.617551;-0.345734;0.756965;-0.600183;-0.057496;0.251952;0.720659;-0.269313;-0.297586;0.565300;0.659743;-0.298049;-0.268800;0.635337;0.045510;-0.559093;-0.429911;0.707475;0.119141;-0.511141;-0.485945;0.698854;0.119141;-0.511141;-0.485945;0.698854;0.464663;-0.329302;0.088827;0.817165;0.654950;0.703633;0.009878;-0.275396;0.455238;0.605158;-0.380419;-0.530870;0.537619;0.533003;-0.476280;-0.447247;0.678497;0.333265;-0.630828;-0.175022;0.631822;0.449003;-0.554442;-0.302970;0.631822;0.449003;-0.554442;-0.302970;0.418775;0.697348;-0.515705;0.269041;0.460002;-0.475817;0.573705;-0.482555;0.489051;-0.439393;0.602051;-0.453098;0.408328;-0.524749;0.611931;-0.428307;0.596076;0.058950;0.800592;-0.016423;0.319414;0.610622;0.574715;0.441382;0.295831;0.640052;0.541763;0.457504;0.307371;0.601884;0.616343;0.404203;-0.066385;0.864304;0.014139;0.498370;-0.416849;0.642306;-0.540093;0.349256;-0.416849;0.642306;-0.540093;0.349256;0.541717;-0.072276;0.836083;0.047795;0.349256;0.540093;0.642306;0.416849;0.541717;-0.072276;0.836083;0.047795;-0.416849;0.642306;-0.540093;0.349256
301011;1;0.482072;-0.505713;0.623077;-0.351620;0.476488;-0.515440;0.615054;-0.359150;-0.424662;0.594411;-0.565385;0.382986;0.454007;-0.547156;0.611232;-0.347697;0.748465;-0.609342;-0.045704;0.257707;0.704838;-0.306522;-0.340923;0.541313;0.596974;-0.362419;-0.280778;0.658360;0.055235;0.643951;0.501786;-0.574881;-0.198233;0.364397;0.730532;-0.542441;-0.198233;0.364397;0.730532;-0.542441;0.472963;-0.300362;-0.065457;0.825714;0.666005;0.700578;0.007292;-0.256074;0.480742;0.570405;-0.350163;-0.566491;0.567924;0.504534;-0.439797;-0.479047;0.810188;0.017472;-0.484191;-0.329922;0.708547;0.132061;-0.466161;-0.513045;0.708547;0.132061;-0.466161;-0.513045;0.563344;0.588199;-0.580170;-0.008244;0.459974;-0.475038;0.581889;-0.473464;0.477451;-0.452904;0.599270;-0.455843;-0.383861;0.558949;-0.554124;0.482879;0.617088;-0.006368;0.783566;-0.072013;0.302343;0.619982;0.584797;0.426876;0.286869;0.640659;0.562085;0.437404;0.353464;0.547529;0.648503;0.393343;-0.025653;0.848508;0.075014;0.523210;-0.410182;0.637922;-0.559211;0.334797;-0.410182;0.637922;-0.559211;0.334797;0.526780;-0.055657;0.846501;0.053305;0.334797;0.559211;0.637922;0.410182;0.526780;-0.055657;0.846501;0.053305;-0.410182;0.637922;-0.559211;0.334797
367855;1;0.483274;-0.511317;0.621815;-0.344016;0.479854;-0.517430;0.616737;-0.348771;-0.420126;0.594949;-0.561125;0.393281;0.450311;-0.548034;0.607028;-0.358323;0.740836;-0.616716;-0.046782;0.261983;0.697354;-0.308389;-0.348487;0.545115;0.594449;-0.363180;-0.290941;0.655808;0.072481;0.657870;0.472227;-0.582198;-0.211642;0.356098;0.727314;-0.547189;-0.211642;0.356098;0.727314;-0.547189;0.484870;-0.281455;-0.041075;0.827041;0.671961;0.696042;0.003050;-0.252951;0.482825;0.567970;-0.350066;-0.567226;0.567189;0.504797;-0.436252;-0.482867;0.820583;0.036722;-0.483892;-0.301898;0.683947;0.187085;-0.447771;-0.544717;0.683947;0.187085;-0.447771;-0.544717;0.547540;0.600229;-0.582666;0.020642;0.462902;-0.467995;0.576708;-0.483848;0.481372;-0.445290;0.594408;-0.465486;-0.360629;0.579212;-0.547686;0.484252;0.601630;-0.025379;0.793367;-0.089253;0.314536;0.614725;0.576678;0.436605;0.298849;0.634933;0.554366;0.447468;0.367507;0.533272;0.655274;0.388813;-0.012405;0.843194;0.089784;0.529913;-0.413449;0.639278;-0.566983;0.314508;-0.413449;0.639278;-0.566983;0.314508;0.514743;-0.051120;0.852955;0.069962;0.314508;0.566983;0.639278;0.413449;0.514743;-0.051120;0.852955;0.069962;-0.413449;0.639278;-0.566983;0.314508
401177;1;0.483247;-0.511236;0.621905;-0.344012;0.479794;-0.517410;0.616778;-0.348812;-0.419787;0.594933;-0.561133;0.393654;0.450004;-0.548018;0.607036;-0.358722;0.740566;-0.617006;-0.046419;0.262129;0.696763;-0.309205;-0.347786;0.545856;0.592996;-0.364194;-0.289699;0.657110;0.072082;0.655538;0.473002;-0.584246;-0.205761;0.363161;0.722202;-0.551544;-0.205761;0.363161;0.722202;-0.551544;0.479800;-0.283891;-0.038584;0.829282;0.672338;0.695689;0.001979;-0.252931;0.483403;0.567026;-0.351713;-0.566658;0.568057;0.503250;-0.438132;-0.481758;0.819949;0.034759;-0.485252;-0.301673;0.684840;0.184470;-0.450165;-0.542510;0.684840;0.184470;-0.450165;-0.542510;0.554302;0.596863;-0.579615;0.023451;0.462583;-0.468333;0.576985;-0.483497;0.480616;-0.446157;0.594292;-0.465585;-0.357315;0.582675;-0.546782;0.483575;0.598813;-0.028483;0.795182;-0.091091;0.314609;0.614791;0.576392;0.436837;0.298773;0.635164;0.553877;0.447797;0.370935;0.530071;0.655846;0.388970;-0.010066;0.841340;0.092430;0.532450;-0.408685;0.639276;-0.570992;0.313483;-0.408685;0.639276;-0.570992;0.313483;0.510650;-0.048284;0.855789;0.067317;0.313483;0.570992;0.639276;0.408685;0.510650;-0.048284;0.855789;0.067317;-0.408685;0.639276;-0.570992;0.313483
434522;1;0.486872;-0.510832;0.619320;-0.344164;0.483746;-0.516400;0.614685;-0.348543;-0.420523;0.594584;-0.559763;0.395342;0.450873;-0.547779;0.605642;-0.360346;0.739916;-0.618843;-0.046131;0.259674;0.691499;-0.321790;-0.364817;0.534031;0.576834;-0.385516;-0.296677;0.656218;0.067088;0.641132;0.510070;-0.569454;-0.200782;0.336867;0.746821;-0.537090;-0.200782;0.336867;0.746821;-0.537090;0.462777;-0.278853;-0.071346;0.838444;0.672137;0.695719;0.003181;-0.253372;-0.487256;-0.563452;0.347661;0.569417;0.578310;0.494911;-0.439783;-0.476668;0.810939;0.077459;-0.503117;-0.288533;0.673263;0.236667;-0.450684;-0.536274;0.673263;0.236667;-0.450684;-0.536274;0.554785;0.604402;-0.568046;0.065080;0.453967;-0.476501;0.585913;-0.472829;0.470384;-0.455592;0.602308;-0.456509;-0.351559;0.589345;-0.536584;0.491077;0.600002;-0.040455;0.792641;-0.100403;0.309483;0.617666;0.579710;0.432025;0.293508;0.638552;0.556636;0.443012;0.379123;0.518119;0.663670;0.383875;-0.000583;0.838377;0.106346;0.534615;-0.411581;0.646223;-0.568391;0.299881;-0.411581;0.646223;-0.568391;0.299881;0.503080;-0.055035;0.858862;0.078983;0.299881;0.568391;0.646223;0.411581;0.503080;-0.055035;0.858862;0.078983;-0.411581;0.646223;-0.568391;0.299881
467844;1;0.486848;-0.510778;0.619424;-0.344092;0.483878;-0.516073;0.615019;-0.348256;-0.420652;0.594393;-0.560500;0.394447;0.450929;-0.547531;0.606361;-0.359443;0.740461;-0.618032;-0.045398;0.260177;0.692248;-0.321319;-0.363812;0.534029;0.578440;-0.384470;-0.296291;0.655593;0.073310;0.649322;0.507729;-0.561443;-0.181716;0.358979;0.741985;-0.536257;-0.181716;0.358979;0.741985;-0.536257;0.465503;-0.288685;-0.077177;0.833074;0.671339;0.696236;0.004251;-0.254051;-0.486447;-0.563945;0.346042;0.570605;0.577297;0.496062;-0.437837;-0.478486;0.811338;0.079955;-0.501169;-0.290117;0.673567;0.238027;-0.448225;-0.537350;0.673567;0.238027;-0.448225;-0.537350;0.552917;0.607076;-0.567360;0.061989;0.453971;-0.476033;0.585981;-0.473211;0.470523;-0.454961;0.602482;-0.456765;-0.351834;0.588596;-0.538087;0.490133;0.599535;-0.038860;0.793182;-0.099548;0.309824;0.617580;0.579317;0.432431;0.293911;0.638355;0.556358;0.443380;0.382122;0.516342;0.662574;0.385186;0.000626;0.836362;0.106813;0.537670;-0.411686;0.642303;-0.573893;0.297672;-0.411686;0.642303;-0.573893;0.297672;0.501592;-0.048374;0.859980;0.080621;0.297672;0.573893;0.642303;0.411686;0.501592;-0.048374;0.859980;0.080621;-0.411686;0.642303;-0.573893;0.297672
501188;1;0.484396;-0.511590;0.622265;-0.341207;0.480810;-0.518054;0.616894;-0.346243;-0.423062;0.593301;-0.561852;0.391580;0.453102;-0.546333;0.607621;-0.356392;0.743755;-0.615662;-0.046002;0.256267;0.692960;-0.317670;-0.360193;0.537729;0.581378;-0.378885;-0.295126;0.656769;0.091172;0.662266;0.525493;-0.526259;-0.159707;0.348458;0.770270;-0.509661;-0.159707;0.348458;0.770270;-0.509661;0.454408;-0.308605;-0.114715;0.827718;0.670548;0.698246;-0.000512;-0.250635;0.479007;0.570664;-0.348389;-0.568788;0.574435;0.497813;-0.446335;-0.472220;0.814882;0.051998;-0.476721;-0.325577;0.686095;0.187490;-0.441378;-0.547089;0.686095;0.187490;-0.441378;-0.547089;0.560432;0.598081;-0.572851;0.007597;0.455052;-0.474501;0.585084;-0.474819;0.471703;-0.453405;0.601573;-0.458289;-0.351344;0.588525;-0.540406;0.488013;0.597702;-0.037169;0.794788;-0.098399;0.307372;0.618153;0.582266;0.429390;0.292565;0.637771;0.560725;0.439592;0.379321;0.520330;0.659491;0.387872;-0.003284;0.837021;0.101838;0.537601;-0.411416;0.638354;-0.579642;0.295393;-0.411416;0.638354;-0.579642;0.295393;0.499789;-0.041515;0.861253;0.082041;0.295393;0.579642;0.638354;0.411416;0.499789;-0.041515;0.861253;0.082041;-0.411416;0.638354;-0.579642;0.295393
534511;1;0.486164;-0.510040;0.620910;-0.343475;0.481709;-0.517977;0.614304;-0.349695;-0.420605;0.592241;-0.567722;0.387343;0.450313;-0.544806;0.613387;-0.352366;0.745639;-0.612432;-0.035013;0.260238;0.707369;-0.292819;-0.354630;0.536772;0.588905;-0.356444;-0.290608;0.664595;0.154745;0.702799;0.545479;-0.429628;-0.079575;0.338147;0.822879;-0.449660;-0.079575;0.338147;0.822879;-0.449660;0.397415;-0.345109;-0.183828;0.830162;0.667275;0.700377;0.004754;-0.253366;-0.485448;-0.564803;0.343710;0.572015;0.579418;0.494692;-0.438656;-0.476588;0.807015;0.081507;-0.498846;-0.305346;0.680670;0.225341;-0.452452;-0.530281;0.680670;0.225341;-0.452452;-0.530281;0.546304;0.615854;-0.566358;0.038928;0.452955;-0.477856;0.587263;-0.470752;0.469075;-0.457196;0.603480;-0.454700;-0.351937;0.589451;-0.539168;0.487838;0.597999;-0.038694;0.794560;-0.097848;0.310146;0.616729;0.580229;0.432192;0.294711;0.636947;0.557975;0.442841;0.382093;0.519254;0.657628;0.389751;-0.002642;0.834964;0.101269;0.540899;-0.405937;0.649955;-0.567405;0.301372;-0.405937;0.649955;-0.567405;0.301372;0.500143;-0.058372;0.860804;0.073939;0.301372;0.567405;0.649955;0.405937;0.500143;-0.058372;0.860804;0.073939;-0.405937;0.649955;-0.567405;0.301372
567855;1;0.484434;-0.511004;0.623032;-0.340632;0.479567;-0.519766;0.615741;-0.347451;-0.421861;0.593559;-0.564483;0.388691;0.451672;-0.546379;0.610264;-0.353609;0.746859;-0.614929;-0.042092;0.249583;0.694405;-0.309837;-0.356691;0.542747;0.585577;-0.368887;-0.295211;0.658689;0.179145;0.704531;0.569672;-0.383427;-0.034313;0.329827;0.843863;-0.421820;-0.034313;0.329827;0.843863;-0.421820;0.405909;-0.309849;-0.238279;0.826108;0.667736;0.700125;0.009756;-0.252704;-0.492849;-0.559722;0.343056;0.571073;0.583676;0.492423;-0.434161;-0.477857;0.803928;0.097642;-0.510450;-0.289149;0.663984;0.260194;-0.449880;-0.537618;0.663984;0.260194;-0.449880;-0.537618;0.554368;0.608024;-0.563017;0.077425;0.452187;-0.478268;0.586883;-0.471545;0.468475;-0.457436;0.603256;-0.455375;-0.347405;0.593734;-0.537154;0.488114;0.594987;-0.043172;0.796168;-0.101213;0.309095;0.617367;0.580797;0.431269;0.293799;0.637471;0.558673;0.441811;0.384879;0.512784;0.664002;0.384737;0.002920;0.834850;0.110319;0.539301;-0.407235;0.645854;-0.573204;0.297437;-0.407235;0.645854;-0.573204;0.297437;0.498278;-0.051371;0.862005;0.077639;0.297437;0.573204;0.645854;0.407235;0.498278;-0.051371;0.862005;0.077639;-0.407235;0.645854;-0.573204;0.297437
601177;1;0.486867;-0.508974;0.621626;-0.342764;0.483831;-0.514427;0.617121;-0.347036;-0.420219;0.597416;-0.560010;0.391023;0.450223;-0.550583;0.606115;-0.356065;0.741292;-0.618290;-0.043566;0.257498;0.691870;-0.316565;-0.363616;0.537482;0.582237;-0.377573;-0.299781;0.654653;0.174779;0.707033;0.561448;-0.392853;-0.060213;0.301569;0.850985;-0.425741;-0.060213;0.301569;0.850985;-0.425741;0.407194;-0.280392;-0.221405;0.840567;0.672984;0.695992;0.007247;-0.250270;-0.490278;-0.560416;0.342957;0.572662;0.577917;0.496263;-0.430591;-0.484073;0.809651;0.066291;-0.488997;-0.317731;0.682379;0.205531;-0.448631;-0.539301;0.682379;0.205531;-0.448631;-0.539301;0.585604;0.585152;-0.559287;0.043164;0.451844;-0.478967;0.587052;-0.470954;0.468583;-0.457503;0.603923;-0.454312;-0.348079;0.593569;-0.535028;0.490165;0.596902;-0.044559;0.794532;-0.102185;0.307852;0.618449;0.580897;0.430472;0.292428;0.638756;0.558507;0.441075;0.383083;0.513483;0.665458;0.383079;0.002815;0.836357;0.110861;0.536850;-0.403790;0.641338;-0.586744;0.285255;-0.403790;0.641338;-0.586744;0.285255;0.487228;-0.038603;0.868385;0.083817;0.285255;0.586744;0.641338;0.403790;0.487228;-0.038603;0.868385;0.083817;-0.403790;0.641338;-0.586744;0.285255
