timestamp;body_idx;PELVIS (w);PELVIS (x);PELVIS (y);PELVIS (z);SPINE_NAVEL (w);SPINE_NAVEL (x);SPINE_NAVEL (y);SPINE_NAVEL (z);SPINE_CHEST (w);SPINE_CHEST (x);SPINE_CHEST (y);SPINE_CHEST (z);NECK (w);NECK (x);NECK (y);NECK (z);CLAVICLE_LEFT (w);CLAVICLE_LEFT (x);CLAVICLE_LEFT (y);CLAVICLE_LEFT (z);SHOULDER_LEFT (w);SHOULDER_LEFT (x);SHOULDER_LEFT (y);SHOULDER_LEFT (z);ELBOW_LEFT (w);ELBOW_LEFT (x);ELBOW_LEFT (y);ELBOW_LEFT (z);WRIST_LEFT (w);WRIST_LEFT (x);WRIST_LEFT (y);WRIST_LEFT (z);HAND_LEFT (w);HAND_LEFT (x);HAND_LEFT (y);HAND_LEFT (z);HANDTIP_LEFT (w);HANDTIP_LEFT (x);HANDTIP_LEFT (y);HANDTIP_LEFT (z);THUMB_LEFT (w);THUMB_LEFT (x);THUMB_LEFT (y);THUMB_LEFT (z);CLAVICLE_RIGHT (w);CLAVICLE_RIGHT (x);CLAVICLE_RIGHT (y);CLAVICLE_RIGHT (z);SHOULDER_RIGHT (w);SHOULDER_RIGHT (x);SHOULDER_RIGHT (y);SHOULDER_RIGHT (z);ELBOW_RIGHT (w);ELBOW_RIGHT (x);ELBOW_RIGHT (y);ELBOW_RIGHT (z);WRIST_RIGHT (w);WRIST_RIGHT (x);WRIST_RIGHT (y);WRIST_RIGHT (z);HAND_RIGHT (w);HAND_RIGHT (x);HAND_RIGHT (y);HAND_RIGHT (z);HANDTIP_RIGHT (w);HANDTIP_RIGHT (x);HANDTIP_RIGHT (y);HANDTIP_RIGHT (z);THUMB_RIGHT (w);THUMB_RIGHT (x);THUMB_RIGHT (y);THUMB_RIGHT (z);HIP_LEFT (w);HIP_LEFT (x);HIP_LEFT (y);HIP_LEFT (z);KNEE_LEFT (w);KNEE_LEFT (x);KNEE_LEFT (y);KNEE_LEFT (z);ANKLE_LEFT (w);ANKLE_LEFT (x);ANKLE_LEFT (y);ANKLE_LEFT (z);FOOT_LEFT (w);FOOT_LEFT (x);FOOT_LEFT (y);FOOT_LEFT (z);HIP_RIGHT (w);HIP_RIGHT (x);HIP_RIGHT (y);HIP_RIGHT (z);KNEE_RIGHT (w);KNEE_RIGHT (x);KNEE_RIGHT (y);KNEE_RIGHT (z);ANKLE_RIGHT (w);ANKLE_RIGHT (x);ANKLE_RIGHT (y);ANKLE_RIGHT (z);FOOT_RIGHT (w);FOOT_RIGHT (x);FOOT_RIGHT (y);FOOT_RIGHT (z);HEAD (w);HEAD (x);HEAD (y);HEAD (z);NOSE (w);NOSE (x);NOSE (y);NOSE (z);EYE_LEFT (w);EYE_LEFT (x);EYE_LEFT (y);EYE_LEFT (z);EAR_LEFT (w);EAR_LEFT (x);EAR_LEFT (y);EAR_LEFT (z);EYE_RIGHT (w);EYE_RIGHT (x);EYE_RIGHT (y);EYE_RIGHT (z);EAR_RIGHT (w);EAR_RIGHT (x);EAR_RIGHT (y);EAR_RIGHT (z)
333511;1;0.619603;-0.378836;0.453417;-0.516710;0.622295;-0.376461;0.455390;-0.513464;0.574295;-0.398700;0.392036;-0.597940;0.620396;-0.365977;0.422746;-0.549959;0.685921;-0.677244;-0.265839;-0.013549;0.583144;-0.461805;-0.570801;0.347657;0.522155;-0.544760;-0.492254;0.433908;0.400676;0.583560;0.698497;-0.104972;0.411687;0.679003;0.606131;-0.045542;0.411687;0.679003;0.606131;-0.045542;0.165370;-0.522844;-0.572446;0.609584;0.623303;0.719713;-0.305186;0.019179;0.293370;0.719082;-0.553074;-0.301602;0.324161;0.655298;-0.627340;-0.268233;-0.405675;-0.458701;0.780481;0.125977;-0.423673;-0.269807;0.864154;0.030722;-0.423673;-0.269807;0.864154;0.030722;-0.261474;-0.499731;0.682871;-0.464314;0.590911;-0.325849;0.473713;-0.565900;0.639354;-0.282049;0.501014;-0.510549;0.608078;-0.285510;0.439486;-0.596303;0.854533;0.107264;0.508177;0.004919;0.466298;0.490858;0.522438;0.518347;0.400881;0.549986;0.459779;0.570449;0.470433;0.482223;0.404301;0.618623;-0.101992;0.631591;-0.051917;0.766809;0.657338;-0.281450;0.351411;-0.604320;0.657338;-0.281450;0.351411;-0.604320;0.892127;0.049470;0.447500;0.037489;0.604320;0.351411;0.281450;0.657338;0.892127;0.049470;0.447500;0.037489;0.657338;-0.281450;0.351411;-0.604320
366888;1;0.619981;-0.376797;0.451970;-0.519009;0.629813;-0.368066;0.459108;-0.507032;0.565769;-0.404642;0.387832;-0.604777;0.612446;-0.372238;0.419033;-0.557459;0.676068;-0.688277;-0.263049;-0.003398;0.578267;-0.466859;-0.573952;0.343846;0.511227;-0.557823;-0.486016;0.437344;0.446201;0.589230;0.667419;-0.090911;0.452572;0.646912;0.611674;-0.050380;0.452572;0.646912;0.611674;-0.050380;-0.117909;0.638250;0.582931;-0.488800;0.634108;0.709241;-0.306776;0.027791;0.305761;0.712381;-0.549512;-0.311544;0.340335;0.642680;-0.629613;-0.273352;0.604044;0.050481;-0.588121;-0.535440;0.500968;0.152671;-0.570199;-0.632927;0.500968;0.152671;-0.570199;-0.632927;-0.441538;-0.475233;0.757697;0.071361;0.610151;-0.280115;0.449525;-0.589219;0.638332;-0.257780;0.462677;-0.558580;0.544381;-0.336684;0.431368;-0.635779;0.837341;0.064826;0.538581;-0.067742;0.484609;0.482703;0.481293;0.548187;0.440933;0.518455;0.442554;0.583891;0.542404;0.430659;0.462247;0.553767;-0.004768;0.635821;0.024967;0.771418;0.668916;-0.326838;0.355585;-0.565055;0.668916;-0.326838;0.355585;-0.565055;0.872550;0.020328;0.482546;0.073441;0.565055;0.355585;0.326838;0.668916;0.872550;0.020328;0.482546;0.073441;0.668916;-0.326838;0.355585;-0.565055
400222;1;0.619596;-0.374225;0.452871;-0.520543;0.630955;-0.364119;0.461035;-0.506715;0.562813;-0.406999;0.390421;-0.604288;0.609461;-0.374379;0.421802;-0.557208;0.676886;-0.691602;-0.251981;0.004209;0.579886;-0.462850;-0.576904;0.341591;0.509882;-0.558081;-0.485380;0.439286;0.448232;0.589289;0.666077;-0.090381;0.456060;0.668726;0.586280;-0.033022;0.456060;0.668726;0.586280;-0.033022;-0.117129;0.624963;0.575956;-0.513787;0.634784;0.706832;-0.311317;0.022799;0.302171;0.710383;-0.553087;-0.313279;-0.340429;-0.632227;0.640966;0.271218;0.703347;-0.100323;-0.399167;-0.579572;-0.443614;-0.052122;0.408267;0.796121;-0.443614;-0.052122;0.408267;0.796121;0.508950;0.404108;-0.725000;-0.228128;0.610536;-0.281550;0.454653;-0.584179;0.632440;-0.264012;0.465039;-0.560408;0.524198;-0.355892;0.429953;-0.643193;0.828320;0.050091;0.551165;-0.087144;0.477933;0.489863;0.488346;0.541417;0.434880;0.526076;0.449107;0.576565;0.548840;0.426557;0.480572;0.534672;0.013341;0.645761;0.040760;0.762334;0.681315;-0.321067;0.343925;-0.560750;0.681315;-0.321067;0.343925;-0.560750;0.878273;0.016163;0.470220;0.085252;0.560750;0.343925;0.321067;0.681315;0.878273;0.016163;0.470220;0.085252;0.681315;-0.321067;0.343925;-0.560750
433555;1;0.619966;-0.373422;0.452811;-0.520731;0.631247;-0.363392;0.460899;-0.506996;0.565726;-0.405934;0.390866;-0.601993;0.612179;-0.373282;0.422160;-0.554687;0.679743;-0.689105;-0.251151;0.002676;0.576607;-0.465179;-0.577494;0.342977;0.506987;-0.559839;-0.486283;0.439401;0.431262;0.595061;0.671048;-0.098034;0.441849;0.705680;0.553551;-0.019165;0.441849;0.705680;0.553551;-0.019165;-0.133388;0.631676;0.577778;-0.499365;0.632405;0.708809;-0.311480;0.025173;0.299313;0.712609;-0.551949;-0.312974;-0.337899;-0.633769;0.640934;0.270859;0.701723;-0.093373;-0.407653;-0.576789;-0.465256;-0.050023;0.415208;0.780152;-0.465256;-0.050023;0.415208;0.780152;-0.495696;-0.397436;0.742255;0.213045;0.609964;-0.282995;0.454667;-0.584069;0.630973;-0.266193;0.464685;-0.561322;0.520046;-0.360520;0.429127;-0.644536;0.826336;0.046204;0.553852;-0.091002;0.475245;0.492315;0.486325;0.543375;0.437104;0.524425;0.451519;0.574499;0.555050;0.420394;0.486055;0.528146;0.022394;0.645246;0.048940;0.762077;0.666726;-0.307953;0.356121;-0.577771;0.666726;-0.307953;0.356121;-0.577771;0.879992;0.034060;0.469571;0.062900;0.577771;0.356121;0.307953;0.666726;0.879992;0.034060;0.469571;0.062900;0.666726;-0.307953;0.356121;-0.577771
466866;1;0.618574;-0.377074;0.453713;-0.518967;0.628829;-0.367925;0.461163;-0.506492;0.567883;-0.402940;0.396117;-0.598531;0.614052;-0.369877;0.427154;-0.551063;0.682014;-0.685765;-0.253795;0.013094;0.583806;-0.455321;-0.576955;0.344930;0.511203;-0.552805;-0.484356;0.445508;0.493487;0.564984;0.657335;-0.071931;0.498443;0.671885;0.547601;0.016072;0.498443;0.671885;0.547601;0.016072;-0.081986;0.624357;0.613481;-0.476547;0.627358;0.712277;-0.314020;0.021789;0.300714;0.712053;-0.550011;-0.316291;-0.340596;-0.631434;0.640954;0.272879;0.702080;-0.090918;-0.407750;-0.576678;-0.468417;-0.050883;0.414653;0.778498;-0.468417;-0.050883;0.414653;0.778498;-0.499549;-0.391998;0.744018;0.207909;0.612291;-0.277564;0.452981;-0.585548;0.632541;-0.261494;0.462424;-0.563627;0.511477;-0.365610;0.426938;-0.649958;0.824090;0.040994;0.555899;-0.100858;0.475319;0.493119;0.483198;0.545367;0.441944;0.521169;0.452809;0.572742;0.558643;0.417235;0.489401;0.523755;0.028064;0.645356;0.053507;0.761489;0.658384;-0.278754;0.368923;-0.593905;0.658384;-0.278754;0.368923;-0.593905;0.885502;0.063759;0.457976;0.045593;0.593905;0.368923;0.278754;0.658384;0.885502;0.063759;0.457976;0.045593;0.658384;-0.278754;0.368923;-0.593905
500222;1;0.618444;-0.376944;0.454321;-0.518684;0.628935;-0.367562;0.461945;-0.505911;0.567288;-0.403321;0.397891;-0.597661;0.613389;-0.370114;0.428953;-0.550244;0.682995;-0.685404;-0.252039;0.014660;0.584035;-0.452727;-0.577725;0.346662;0.512301;-0.549100;-0.487050;0.445892;0.492259;0.566527;0.655297;-0.085523;0.499629;0.672535;0.545952;0.002009;0.499629;0.672535;0.545952;0.002009;-0.084418;0.633875;0.606744;-0.472163;0.627172;0.712590;-0.313801;0.019977;0.301028;0.710989;-0.550352;-0.317789;-0.339594;-0.633854;0.637669;0.276194;0.698784;-0.099493;-0.405600;-0.580767;-0.477792;-0.034671;0.416183;0.772855;-0.477792;-0.034671;0.416183;0.772855;-0.499091;-0.387634;0.744688;0.214679;0.611189;-0.280073;0.453922;-0.584775;0.631738;-0.263701;0.463606;-0.562529;0.509799;-0.365996;0.423711;-0.653162;0.825147;0.038427;0.553875;-0.104299;0.473187;0.494949;0.483564;0.545238;0.440838;0.522214;0.453991;0.571705;0.561453;0.414450;0.492304;0.520229;0.032566;0.645420;0.057503;0.760964;0.661628;-0.293097;0.366109;-0.585070;0.661628;-0.293097;0.366109;-0.585070;0.881549;0.051627;0.466129;0.054135;0.585070;0.366109;0.293097;0.661628;0.881549;0.051627;0.466129;0.054135;0.661628;-0.293097;0.366109;-0.585070
533544;1;0.618958;-0.379080;0.458371;-0.512918;0.629743;-0.369230;0.466342;-0.499618;0.564349;-0.400062;0.399379;-0.601628;0.610778;-0.366746;0.430175;-0.554433;0.684020;-0.686240;-0.247324;0.004617;0.570399;-0.468861;-0.582391;0.340051;0.508207;-0.556512;-0.499304;0.427452;0.510116;0.549122;0.658696;-0.066078;0.513824;0.655563;0.552858;0.023880;0.513824;0.655563;0.552858;0.023880;-0.067374;0.614006;0.633032;-0.466612;0.625690;0.712000;-0.318539;0.010030;0.302084;0.710172;-0.550047;-0.319139;-0.340556;-0.633680;0.636667;0.277717;0.699516;-0.117023;-0.384322;-0.590999;-0.480889;-0.008375;0.401656;0.779325;-0.480889;-0.008375;0.401656;0.779325;0.520303;0.364662;-0.737353;-0.229384;0.608937;-0.285456;0.460043;-0.579716;0.629137;-0.269004;0.469834;-0.557745;0.504968;-0.372362;0.424603;-0.652738;0.821450;0.034522;0.559015;-0.107381;0.476656;0.492818;0.487523;0.540602;0.437937;0.525613;0.451979;0.572414;0.559448;0.417731;0.493041;0.519066;0.031951;0.648255;0.055719;0.758709;0.676200;-0.306381;0.367297;-0.560336;0.676200;-0.306381;0.367297;-0.560336;0.874363;0.043074;0.476363;0.081928;0.560336;0.367297;0.306381;0.676200;0.874363;0.043074;0.476363;0.081928;0.676200;-0.306381;0.367297;-0.560336
566888;1;0.619685;-0.377021;0.456108;-0.515570;0.629048;-0.368582;0.462954;-0.504103;0.563845;-0.400514;0.400778;-0.600870;0.610214;-0.367085;0.431606;-0.553718;0.685341;-0.686783;-0.242051;0.006913;0.573418;-0.462581;-0.583094;0.342361;0.512020;-0.549020;-0.502550;0.428784;0.555334;0.520248;0.646471;-0.054963;0.556405;0.625079;0.545765;0.042789;0.556405;0.625079;0.545765;0.042789;-0.012699;0.622264;0.638725;-0.452389;0.626371;0.712543;-0.315950;0.010823;0.304392;0.707679;-0.552224;-0.318722;-0.341757;-0.633302;0.636152;0.278282;0.701136;-0.113842;-0.387732;-0.587462;-0.480703;-0.013927;0.403860;0.778221;-0.480703;-0.013927;0.403860;0.778221;0.509562;0.381719;-0.734670;-0.234304;0.609489;-0.284453;0.459616;-0.579967;0.629220;-0.268419;0.469142;-0.558515;0.502677;-0.375079;0.425252;-0.652527;0.819690;0.033043;0.561401;-0.108838;0.473030;0.495521;0.487192;0.541614;0.438352;0.525031;0.455241;0.570040;0.560503;0.415792;0.492987;0.519536;0.032376;0.646847;0.057044;0.759794;0.675119;-0.300131;0.369872;-0.563321;0.675119;-0.300131;0.369872;-0.563321;0.875709;0.049314;0.473764;0.079052;0.563321;0.369872;0.300131;0.675118;0.875709;0.049314;0.473764;0.079052;0.675119;-0.300131;0.369872;-0.563321
600211;1;0.619129;-0.377575;0.456591;-0.515404;0.628753;-0.368884;0.463641;-0.503619;0.563697;-0.401415;0.400789;-0.600399;0.610030;-0.367982;0.431689;-0.553261;0.684903;-0.687142;-0.242187;0.009424;0.579224;-0.455279;-0.581822;0.344535;0.510068;-0.549986;-0.493266;0.440494;0.569957;0.509313;0.642379;-0.055667;0.570868;0.614296;0.542855;0.045382;0.570868;0.614296;0.542855;0.045382;-0.002109;0.618229;0.661461;-0.424568;0.626001;0.711804;-0.318409;0.008622;0.303919;0.709555;-0.551139;-0.316877;-0.341105;-0.635190;0.635419;0.276451;0.699291;-0.107006;-0.397135;-0.584658;-0.476443;-0.025169;0.410528;0.777068;-0.476443;-0.025169;0.410528;0.777068;0.508126;0.386575;-0.735710;-0.226050;0.609607;-0.284012;0.456751;-0.582319;0.629216;-0.268245;0.466167;-0.561088;0.506242;-0.369716;0.422212;-0.654802;0.823788;0.034711;0.555442;-0.107949;0.473619;0.494882;0.483857;0.544664;0.442450;0.521249;0.455338;0.570267;0.566058;0.410150;0.493148;0.517841;0.037538;0.642971;0.061101;0.762526;0.665383;-0.283781;0.373852;-0.580490;0.665383;-0.283781;0.373852;-0.580490;0.880965;0.063690;0.465016;0.060029;0.580490;0.373852;0.283781;0.665383;0.880965;0.063690;0.465016;0.060029;0.665383;-0.283781;0.373852;-0.580490
633555;1;0.619173;-0.377536;0.456547;-0.515418;0.628731;-0.368907;0.463548;-0.503714;0.563644;-0.401414;0.400687;-0.600518;0.609986;-0.367989;0.431588;-0.553384;0.684815;-0.687236;-0.242175;0.009281;0.579245;-0.455490;-0.581712;0.344406;0.510205;-0.550071;-0.493236;0.440262;0.569991;0.509909;0.642072;-0.053357;0.570494;0.614849;0.542424;0.047684;0.570494;0.614849;0.542424;0.047684;-0.002230;0.617620;0.662234;-0.424248;0.626064;0.711724;-0.318463;0.008633;0.303897;0.709564;-0.551158;-0.316845;0.340989;0.635404;-0.635230;-0.276534;0.699214;-0.105406;-0.396862;-0.585226;-0.476715;-0.026321;0.409777;0.777260;-0.476715;-0.026321;0.409777;0.777260;0.505464;0.390030;-0.734989;-0.228415;0.610209;-0.282916;0.456231;-0.582629;0.630116;-0.266930;0.465746;-0.561055;0.507924;-0.367939;0.422538;-0.654290;0.824614;0.036210;0.554416;-0.106408;0.473779;0.494725;0.483872;0.544654;0.442735;0.520994;0.455474;0.570170;0.565651;0.410484;0.492670;0.518477;0.036797;0.642873;0.060531;0.762691;0.667312;-0.281894;0.375070;-0.578406;0.667312;-0.281894;0.375070;-0.578406;0.880856;0.065885;0.464543;0.062866;0.578406;0.375070;0.281894;0.667312;0.880856;0.065885;0.464543;0.062866;0.667312;-0.281894;0.375070;-0.578406
