timestamp;body_idx;PELVIS (c);PELVIS (x);PELVIS (y);SPINE_NAVEL (c);SPINE_NAVEL (x);SPINE_NAVEL (y);SPINE_CHEST (c);SPINE_CHEST (x);SPINE_CHEST (y);NECK (c);NECK (x);NECK (y);CLAVICLE_LEFT (c);CLAVICLE_LEFT (x);CLAVICLE_LEFT (y);SHOULDER_LEFT (c);SHOULDER_LEFT (x);SHOULDER_LEFT (y);ELBOW_LEFT (c);ELBOW_LEFT (x);ELBOW_LEFT (y);WRIST_LEFT (c);WRIST_LEFT (x);WRIST_LEFT (y);HAND_LEFT (c);HAND_LEFT (x);HAND_LEFT (y);HANDTIP_LEFT (c);HANDTIP_LEFT (x);HANDTIP_LEFT (y);THUMB_LEFT (c);THUMB_LEFT (x);THUMB_LEFT (y);CLAVICLE_RIGHT (c);CLAVICLE_RIGHT (x);CLAVICLE_RIGHT (y);SHOULDER_RIGHT (c);SHOULDER_RIGHT (x);SHOULDER_RIGHT (y);ELBOW_RIGHT (c);ELBOW_RIGHT (x);ELBOW_RIGHT (y);WRIST_RIGHT (c);WRIST_RIGHT (x);WRIST_RIGHT (y);HAND_RIGHT (c);HAND_RIGHT (x);HAND_RIGHT (y);HANDTIP_RIGHT (c);HANDTIP_RIGHT (x);HANDTIP_RIGHT (y);THUMB_RIGHT (c);THUMB_RIGHT (x);THUMB_RIGHT (y);HIP_LEFT (c);HIP_LEFT (x);HIP_LEFT (y);KNEE_LEFT (c);KNEE_LEFT (x);KNEE_LEFT (y);ANKLE_LEFT (c);ANKLE_LEFT (x);ANKLE_LEFT (y);FOOT_LEFT (c);FOOT_LEFT (x);FOOT_LEFT (y);HIP_RIGHT (c);HIP_RIGHT (x);HIP_RIGHT (y);KNEE_RIGHT (c);KNEE_RIGHT (x);KNEE_RIGHT (y);ANKLE_RIGHT (c);ANKLE_RIGHT (x);ANKLE_RIGHT (y);FOOT_RIGHT (c);FOOT_RIGHT (x);FOOT_RIGHT (y);HEAD (c);HEAD (x);HEAD (y);NOSE (c);NOSE (x);NOSE (y);EYE_LEFT (c);EYE_LEFT (x);EYE_LEFT (y);EAR_LEFT (c);EAR_LEFT (x);EAR_LEFT (y);EYE_RIGHT (c);EYE_RIGHT (x);EYE_RIGHT (y);EAR_RIGHT (c);EAR_RIGHT (x);EAR_RIGHT (y)
267666;1;2;1005.662598;523.235291;2;1005.176208;435.017914;2;1004.862732;362.406860;2;1011.329956;253.780670;2;1026.751099;270.540405;2;1091.203125;293.327881;2;1117.354004;435.571106;2;1125.583984;553.121765;2;1137.701050;574.896790;2;1123.074951;622.283142;2;1095.557861;593.638367;2;994.338623;273.299896;2;936.700439;300.370056;2;913.029907;435.704651;2;888.505859;542.088318;2;868.618958;573.078186;2;857.960205;614.505188;2;885.944641;580.919983;2;1050.150269;523.643311;2;1071.949585;723.226562;2;1092.371704;915.533203;2;1092.994141;1004.813782;2;966.508301;522.864380;2;946.138794;714.361206;2;939.084717;889.424683;2;899.643188;961.625122;2;1011.814636;210.508179;2;972.949707;155.214813;2;998.080872;143.015381;2;1052.570435;172.886230;2;973.234070;146.346863;2;981.025269;178.379242
301011;1;2;1004.989563;526.065430;2;1005.061523;437.305511;2;1005.146545;364.221252;2;1011.774597;254.827881;2;1027.300415;271.756348;2;1093.200195;292.910736;2;1118.004272;436.414032;2;1125.552856;554.573853;2;1142.979736;578.524475;2;1124.446045;631.491882;2;1096.604736;597.235535;2;994.624817;274.436432;2;935.869629;301.097046;2;913.330078;437.430817;2;890.955383;545.171631;2;873.953369;571.773804;2;860.270874;608.762878;2;885.541138;578.903625;2;1049.717529;526.821777;2;1071.869019;727.608521;2;1093.178955;920.645996;2;1092.655640;1007.391296;2;965.649475;525.389465;2;945.831848;717.607788;2;937.028748;895.419006;2;898.692810;967.305115;2;1012.332581;211.249969;2;973.090576;154.672699;2;998.965820;142.988403;2;1053.841064;174.421478;2;974.205322;145.698608;2;982.768494;178.044525
367855;1;2;1003.225464;526.903625;2;1003.572754;437.249573;2;1003.858521;363.347595;2;1010.494324;253.453033;2;1026.135864;270.271790;2;1092.642334;291.012695;2;1121.195557;435.254822;2;1130.358521;554.302002;2;1147.285156;581.025330;2;1126.321045;635.859802;2;1097.412354;599.499207;2;993.252319;273.292999;2;934.938049;301.831543;2;915.562744;440.169098;2;893.784546;548.809570;2;874.374329;572.892578;2;861.566528;621.134521;2;898.577148;590.212219;2;1048.266357;527.935303;2;1070.695435;730.983765;2;1092.345215;926.297546;2;1092.600342;1009.713318;2;963.673157;525.987122;2;945.992249;719.752808;2;936.990479;899.484375;2;898.297913;967.930237;2;1010.966370;209.666870;2;972.631592;152.893707;2;998.787781;141.259369;2;1053.434204;173.453522;2;973.613403;143.331787;2;981.286743;175.092041
401188;1;2;1001.897461;528.122925;2;1003.310730;437.965057;2;1004.590881;363.680420;2;1010.992432;253.409302;2;1026.751953;270.199219;2;1093.468262;290.512848;2;1122.193848;435.591461;2;1130.607056;554.964172;2;1147.650757;582.422913;2;1126.351685;639.755798;2;1096.217041;601.405396;2;993.717163;273.387939;2;934.538086;301.327026;2;916.353760;440.536865;2;893.816833;549.353455;2;876.647217;572.561157;2;863.262024;622.442444;2;898.981262;591.824219;2;1046.969238;529.817139;2;1071.932739;734.262451;2;1096.228027;931.565552;2;1090.800903;1011.809814;2;962.405151;526.628113;2;944.811218;721.443848;2;935.936218;902.624207;2;896.020630;968.384827;2;1011.357910;209.478760;2;972.568665;154.921661;2;998.382812;142.190796;2;1053.529785;172.387482;2;972.866699;144.612427;2;980.236694;174.833710
434522;1;2;1001.536316;528.227051;2;1002.622925;437.709595;2;1003.298340;363.118744;2;1009.890198;253.047363;2;1025.617676;269.667908;2;1092.118774;289.453278;2;1121.324341;435.151367;2;1129.983276;555.316589;2;1151.857666;577.743774;2;1134.401489;637.010620;2;1096.845215;601.041687;2;992.604553;273.089691;2;934.038391;302.670258;2;916.498230;442.467224;2;895.154114;552.003662;2;877.204224;576.016846;2;863.210571;626.545410;2;902.441284;595.399658;2;1046.748291;529.701599;2;1071.610474;734.975891;2;1095.984375;932.943115;2;1091.430664;1011.189209;2;961.943481;526.925537;2;944.950989;722.201111;2;936.138794;903.601685;2;896.683838;967.571289;2;1010.251160;209.193848;2;970.402771;155.088470;2;996.355591;142.110626;2;1052.146729;171.898529;2;970.977478;144.609589;2;979.265991;174.493225
467844;1;2;1001.970825;528.641663;2;1002.813721;438.292969;2;1003.491089;363.946045;2;1008.788757;253.850586;2;1024.645508;270.282074;2;1091.736084;288.331757;2;1121.345093;433.531738;2;1130.042603;553.297546;2;1153.384521;576.605835;2;1134.385620;634.284668;2;1095.912231;600.543030;2;991.811523;274.097137;2;933.824219;303.725037;2;917.161560;443.175415;2;895.600037;552.434204;2;879.007019;575.662903;2;863.410583;625.896301;2;901.883118;595.522705;2;1047.047852;529.998291;2;1071.634399;734.971985;2;1096.049561;932.547852;2;1090.791748;1013.087585;2;962.521484;527.444641;2;944.988098;722.278564;2;936.018372;903.479919;2;894.501343;968.642151;2;1008.604431;210.032745;2;968.681335;153.324463;2;994.286804;140.884033;2;1050.003174;171.400940;2;968.945312;144.478088;2;977.072876;177.587860
501188;1;2;1001.448364;528.954224;2;1002.472595;438.526001;2;1003.409485;364.169556;2;1007.683167;254.018951;2;1023.752380;270.371765;2;1090.846924;287.968353;2;1121.493652;433.046509;2;1130.443726;552.633240;2;1152.799927;578.353516;2;1129.122192;633.059448;2;1095.184692;597.079285;2;990.817993;274.357788;2;932.785217;304.121338;2;917.435120;443.685364;2;897.186218;552.868286;2;882.330322;578.821960;2;863.187012;628.065063;2;900.532532;595.182617;2;1046.640015;530.357178;2;1071.580566;735.453979;2;1096.064697;933.227051;2;1090.794067;1012.937500;2;961.866455;527.715637;2;944.762512;722.682556;2;935.871704;903.627441;2;895.093445;967.790039;2;1007.168701;210.196075;2;966.426636;153.337219;2;991.475464;140.490692;2;1047.636108;169.870422;2;966.081421;145.266724;2;974.315186;179.673126
534511;1;2;1000.895630;528.203552;2;1001.869080;437.514404;2;1002.501709;362.799225;2;1006.132141;253.371521;2;1022.351624;269.353577;2;1089.820679;286.350372;2;1120.718994;431.573517;2;1131.125244;550.970459;2;1150.168579;578.598267;2;1125.302124;634.325500;2;1094.437256;595.902466;2;989.328979;273.767456;2;932.159790;305.868774;2;917.390442;445.853485;2;897.116333;555.653320;2;881.173645;579.754517;2;865.107361;629.682495;2;899.935913;597.264343;2;1046.178589;529.625244;2;1071.697754;735.235840;2;1096.781494;933.258911;2;1091.409668;1012.852173;2;961.244446;526.948486;2;944.620239;722.381287;2;936.418823;903.494080;2;896.525391;968.084961;2;1005.386719;209.837616;2;963.274841;153.449036;2;988.823425;140.571320;2;1045.725220;170.022644;2;963.827454;144.965912;2;973.701599;178.570129
567855;1;2;999.929443;527.987488;2;1001.246948;437.194061;2;1002.224487;362.473358;2;1005.117554;253.200836;2;1021.438660;269.011841;2;1089.236084;284.536804;2;1119.282715;429.987915;2;1130.187500;549.969299;2;1148.201294;578.911255;2;1119.700928;630.450500;2;1093.421265;594.425171;2;988.459045;273.701721;2;931.437195;306.096741;2;917.311768;446.141479;2;896.817139;555.820251;2;880.070007;581.543274;2;864.831116;631.466919;2;894.890015;599.020569;2;1045.211426;529.539185;2;1070.439331;735.301697;2;1095.480713;933.228271;2;1090.839844;1012.226135;2;960.291870;526.618835;2;944.243347;722.409119;2;936.622375;903.993652;2;896.571655;969.207642;2;1004.077637;209.745056;2;960.266846;155.690979;2;985.163391;141.603058;2;1042.968384;168.232300;2;960.263062;147.085175;2;970.948242;179.880554
601177;1;2;999.831848;528.264282;2;1000.935181;437.574341;2;1001.908325;362.940918;2;1004.650452;253.790863;2;1020.974304;269.563538;2;1088.753662;285.317108;2;1119.083496;430.456848;2;1129.897095;550.098999;2;1144.596802;575.574280;2;1119.468262;630.237061;2;1091.624146;592.824707;2;988.038696;274.287506;2;931.129211;306.354370;2;917.116882;446.295593;2;896.826477;556.135559;2;878.046265;583.681641;2;864.955139;633.670776;2;892.903503;598.117981;2;1045.095093;529.753662;2;1070.371704;735.212036;2;1095.357788;932.801147;2;1091.702759;1012.605835;2;960.196472;526.949890;2;944.205322;722.665283;2;936.582642;904.124390;2;896.704041;969.016785;2;1003.552063;210.391632;2;957.087341;155.556732;2;981.970276;141.417999;2;1041.056885;167.368042;2;957.710327;148.096069;2;970.774597;182.733765
