timestamp;body_idx;PELVIS (c);PELVIS (x);PELVIS (y);PELVIS (z);SPINE_NAVEL (c);SPINE_NAVEL (x);SPINE_NAVEL (y);SPINE_NAVEL (z);SPINE_CHEST (c);SPINE_CHEST (x);SPINE_CHEST (y);SPINE_CHEST (z);NECK (c);NECK (x);NECK (y);NECK (z);CLAVICLE_LEFT (c);CLAVICLE_LEFT (x);CLAVICLE_LEFT (y);CLAVICLE_LEFT (z);SHOULDER_LEFT (c);SHOULDER_LEFT (x);SHOULDER_LEFT (y);SHOULDER_LEFT (z);ELBOW_LEFT (c);ELBOW_LEFT (x);ELBOW_LEFT (y);ELBOW_LEFT (z);WRIST_LEFT (c);WRIST_LEFT (x);WRIST_LEFT (y);WRIST_LEFT (z);HAND_LEFT (c);HAND_LEFT (x);HAND_LEFT (y);HAND_LEFT (z);HANDTIP_LEFT (c);HANDTIP_LEFT (x);HANDTIP_LEFT (y);HANDTIP_LEFT (z);THUMB_LEFT (c);THUMB_LEFT (x);THUMB_LEFT (y);THUMB_LEFT (z);CLAVICLE_RIGHT (c);CLAVICLE_RIGHT (x);CLAVICLE_RIGHT (y);CLAVICLE_RIGHT (z);SHOULDER_RIGHT (c);SHOULDER_RIGHT (x);SHOULDER_RIGHT (y);SHOULDER_RIGHT (z);ELBOW_RIGHT (c);ELBOW_RIGHT (x);ELBOW_RIGHT (y);ELBOW_RIGHT (z);WRIST_RIGHT (c);WRIST_RIGHT (x);WRIST_RIGHT (y);WRIST_RIGHT (z);HAND_RIGHT (c);HAND_RIGHT (x);HAND_RIGHT (y);HAND_RIGHT (z);HANDTIP_RIGHT (c);HANDTIP_RIGHT (x);HANDTIP_RIGHT (y);HANDTIP_RIGHT (z);THUMB_RIGHT (c);THUMB_RIGHT (x);THUMB_RIGHT (y);THUMB_RIGHT (z);HIP_LEFT (c);HIP_LEFT (x);HIP_LEFT (y);HIP_LEFT (z);KNEE_LEFT (c);KNEE_LEFT (x);KNEE_LEFT (y);KNEE_LEFT (z);ANKLE_LEFT (c);ANKLE_LEFT (x);ANKLE_LEFT (y);ANKLE_LEFT (z);FOOT_LEFT (c);FOOT_LEFT (x);FOOT_LEFT (y);FOOT_LEFT (z);HIP_RIGHT (c);HIP_RIGHT (x);HIP_RIGHT (y);HIP_RIGHT (z);KNEE_RIGHT (c);KNEE_RIGHT (x);KNEE_RIGHT (y);KNEE_RIGHT (z);ANKLE_RIGHT (c);ANKLE_RIGHT (x);ANKLE_RIGHT (y);ANKLE_RIGHT (z);FOOT_RIGHT (c);FOOT_RIGHT (x);FOOT_RIGHT (y);FOOT_RIGHT (z);HEAD (c);HEAD (x);HEAD (y);HEAD (z);NOSE (c);NOSE (x);NOSE (y);NOSE (z);EYE_LEFT (c);EYE_LEFT (x);EYE_LEFT (y);EYE_LEFT (z);EAR_LEFT (c);EAR_LEFT (x);EAR_LEFT (y);EAR_LEFT (z);EYE_RIGHT (c);EYE_RIGHT (x);EYE_RIGHT (y);EYE_RIGHT (z);EAR_RIGHT (c);EAR_RIGHT (x);EAR_RIGHT (y);EAR_RIGHT (z)
267666;1;2;123.304893;-251.597260;1893.571899;2;117.011513;-434.927399;1855.860718;2;112.011589;-581.517700;1825.837646;2;129.944077;-808.708313;1826.255371;2;160.949707;-768.820129;1816.517212;2;287.596771;-698.392761;1777.554443;2;336.560242;-414.682709;1813.011841;2;338.067993;-172.668396;1786.506226;2;329.995667;-121.083733;1699.955811;2;245.134079;-46.591618;1689.239136;2;246.922516;-87.952454;1699.252441;2;93.787811;-773.453430;1837.920410;2;-31.227819;-737.391357;1884.049072;2;-75.959709;-462.915436;1984.159302;2;-104.547684;-218.068359;1988.473389;2;-146.461121;-137.447571;1928.569336;2;-152.480011;-62.234348;1846.491455;2;-112.139709;-129.520386;1889.938843;2;216.218262;-250.068909;1870.636108;2;268.911621;166.655930;1883.367310;2;317.181763;555.853394;1969.915894;2;290.275818;690.096375;1828.753418;2;39.520821;-252.975433;1914.253906;2;17.441391;159.401352;1989.594482;2;18.291826;546.476562;2111.572754;2;-68.148834;661.879150;2002.275757;2;132.350281;-893.390564;1812.996826;2;47.607578;-955.758301;1681.160278;2;94.700424;-985.802795;1699.372803;2;207.917419;-955.107239;1762.208496;2;46.778919;-986.210632;1726.121216;2;65.065430;-967.206421;1861.103027
301011;1;2;117.970261;-242.219513;1899.280396;2;116.127914;-429.851532;1858.382690;2;114.915520;-580.060242;1826.635864;2;134.429886;-812.888489;1831.940918;2;165.927811;-772.065063;1820.750854;2;297.076843;-703.258789;1778.972778;2;338.799103;-410.594299;1812.075317;2;340.716400;-162.102661;1787.922607;2;336.494019;-109.649269;1698.618408;2;257.721069;-25.845699;1715.973755;2;247.500870;-73.052116;1696.638672;2;97.298935;-776.654236;1843.485474;2;-31.647413;-738.868958;1888.049194;2;-75.561874;-455.357727;1985.833740;2;-116.416100;-205.851273;1984.975952;2;-150.628372;-132.885422;1907.763184;2;-151.738571;-34.381741;1849.734253;2;-118.700905;-106.366318;1885.234375;2;212.768677;-237.692902;1874.242798;2;264.606445;188.618439;1910.081421;2;315.364044;591.932861;1976.272705;2;287.662292;695.445496;1805.434448;2;32.486359;-246.301331;1921.858032;2;11.015017;175.396393;2005.663818;2;5.077840;576.665955;2115.913818;2;-79.331505;674.538696;1982.792969;2;137.180756;-899.991699;1820.210083;2;45.608154;-951.958801;1682.971924;2;93.505020;-985.183044;1698.213745;2;211.814545;-961.217163;1761.861938;2;45.004852;-986.390991;1726.741943;2;67.397606;-977.358887;1865.698364
367855;1;2;117.906822;-241.870529;1899.274658;2;116.064232;-429.518677;1858.291870;2;114.822624;-579.718079;1826.371582;2;134.290451;-812.598755;1831.351318;2;165.803345;-771.759216;1820.218384;2;296.982452;-702.890198;1778.538330;2;338.833038;-410.260895;1812.255615;2;341.096069;-161.641968;1789.004028;2;337.149109;-108.573051;1700.030273;2;259.256500;-23.421898;1714.734863;2;248.027527;-71.021355;1699.193848;2;97.159973;-776.366455;1842.946655;2;-31.793840;-738.595154;1887.580078;2;-75.748428;-455.222534;1985.912720;2;-116.607681;-205.670227;1985.981567;2;-151.203918;-132.018143;1909.567139;2;-152.414886;-32.829754;1852.677979;2;-118.944862;-104.415512;1887.918701;2;212.725281;-237.335373;1874.246460;2;264.609650;189.019638;1910.410767;2;315.403137;592.310059;1977.170288;2;287.685822;696.427490;1806.660278;2;32.404846;-245.960068;1921.843750;2;10.877826;175.784073;2005.791138;2;4.782881;577.147339;2115.968262;2;-79.792839;674.981689;1982.879150;2;137.023956;-899.701294;1819.496094;2;46.491348;-951.579285;1681.498047;2;94.504478;-984.601257;1696.855225;2;212.343430;-960.238464;1761.272827;2;45.848053;-986.219788;1725.115356;2;67.430557;-977.690735;1864.256958
401177;1;2;116.539818;-238.799988;1901.350708;2;115.382278;-427.136658;1858.998901;2;113.854355;-577.227051;1823.111450;2;133.721527;-811.122437;1832.317505;2;165.109009;-770.294067;1819.639282;2;296.356018;-701.610596;1775.107544;2;339.927704;-407.876465;1810.206299;2;343.967957;-157.949051;1787.756958;2;337.114899;-100.954491;1700.803223;2;259.430695;-17.072193;1725.281738;2;250.844864;-66.018509;1697.537354;2;96.633965;-774.500854;1844.051392;2;-30.165352;-732.846375;1893.409912;2;-74.840660;-446.390137;1987.069702;2;-120.325462;-196.350479;1987.135254;2;-153.245682;-124.632019;1907.393921;2;-153.173035;-15.731976;1870.673340;2;-118.282303;-95.372330;1885.452881;2;211.318634;-233.341888;1874.488403;2;263.943024;194.906158;1912.963989;2;316.406647;599.720703;1981.946045;2;286.006622;695.094604;1805.676636;2;31.073608;-243.721802;1925.573853;2;8.788461;180.017807;2010.370239;2;2.230626;583.857788;2119.369385;2;-86.875313;675.716431;1983.701660;2;136.285400;-898.879028;1822.078857;2;48.373779;-951.782654;1681.705688;2;96.538673;-984.627686;1698.119385;2;213.515930;-959.274536;1765.126831;2;47.105438;-986.551453;1725.563965;2;66.005585;-977.677917;1865.788940
434522;1;2;115.361702;-238.569321;1900.587769;2;115.245941;-427.167725;1859.203003;2;114.396263;-577.376770;1823.645630;2;133.848068;-811.351440;1833.035889;2;165.302002;-770.583252;1820.280396;2;296.007751;-701.551331;1774.592773;2;340.233429;-407.714874;1808.557617;2;344.511780;-157.677628;1786.770020;2;337.402618;-99.508621;1700.590820;2;260.659515;-16.011238;1729.138062;2;250.676895;-67.643997;1694.753296;2;96.834358;-774.643188;1844.785400;2;-30.229837;-731.715149;1892.431885;2;-75.180054;-445.186554;1985.955933;2;-121.429115;-195.245712;1983.196167;2;-153.956177;-122.511841;1904.182007;2;-154.874283;-16.030907;1860.887817;2;-118.103981;-91.864197;1883.551758;2;209.922470;-232.574081;1873.001831;2;263.125763;195.702789;1911.429810;2;316.597565;600.427979;1980.706299;2;285.938995;696.034607;1804.556641;2;30.092098;-243.975494;1925.463379;2;8.253942;179.856842;2010.397461;2;2.508185;583.760742;2119.557617;2;-85.462654;673.889648;1981.946777;2;136.238220;-899.140869;1822.869385;2;48.466839;-948.310364;1681.011597;2;96.523987;-981.686768;1696.702148;2;213.450592;-958.311096;1764.572998;2;47.017841;-984.166321;1723.995972;2;65.651146;-978.839661;1864.467407
467844;1;2;114.814247;-239.044464;1900.252197;2;114.752182;-427.675140;1858.357178;2;113.713425;-577.647766;1821.345459;2;132.665955;-811.729431;1833.101196;2;164.301010;-771.114685;1820.144043;2;295.817139;-701.739624;1776.987915;2;341.980560;-407.682922;1808.294556;2;345.707489;-158.354019;1777.877319;2;325.973877;-104.449173;1690.803589;2;262.312561;-17.375328;1736.209351;2;248.194244;-66.622108;1692.327515;2;95.623947;-774.813843;1844.276001;2;-29.048361;-729.603210;1896.245361;2;-75.286957;-441.854614;1986.049561;2;-122.957291;-191.979279;1984.790161;2;-157.030075;-121.800621;1904.019165;2;-155.857895;-14.195189;1863.368286;2;-116.675644;-90.865227;1880.486694;2;210.069092;-233.422653;1874.799072;2;261.749969;195.311737;1913.779541;2;312.587830;600.990662;1981.251221;2;289.444611;697.507935;1804.281250;2;28.918766;-244.113876;1923.204468;2;7.412236;179.747620;2009.680054;2;0.917901;583.148682;2121.793457;2;-82.163841;674.011047;1981.467773;2;134.950623;-899.680847;1823.782349;2;48.202000;-950.637024;1681.769775;2;95.936012;-984.065369;1698.474854;2;212.422379;-960.277954;1767.158203;2;46.116325;-985.815552;1725.337280;2;63.428135;-978.341370;1865.984741
501188;1;2;112.098053;-237.253418;1901.844604;2;114.194870;-427.115662;1860.762329;2;114.509644;-577.939148;1823.714478;2;133.667267;-813.223328;1836.478760;2;165.370743;-772.449829;1823.022583;2;297.054993;-703.197815;1777.261597;2;342.493835;-407.571960;1810.251099;2;345.270020;-156.787781;1780.503784;2;325.546814;-104.314056;1691.892822;2;262.107178;-16.464516;1737.740967;2;245.630447;-64.908005;1695.659424;2;96.509605;-776.058289;1847.822998;2;-29.854567;-730.222595;1897.201416;2;-75.330612;-441.671143;1990.347046;2;-123.350571;-190.674866;1980.083496;2;-147.078720;-124.773750;1891.539062;2;-164.746887;-12.805521;1868.591187;2;-115.360138;-90.734634;1878.073242;2;206.779236;-229.935852;1872.858887;2;263.435638;200.633133;1910.722900;2;321.252441;607.519165;1979.039062;2;281.528015;697.456665;1800.301147;2;26.719868;-243.851990;1927.982300;2;5.635221;182.634079;2013.361450;2;0.800915;589.140869;2122.750000;2;-85.879242;677.032593;1981.372314;2;135.898697;-901.690613;1827.502075;2;44.998913;-947.816284;1685.283691;2;93.097282;-982.277100;1699.902954;2;211.963303;-961.370972;1766.907715;2;43.635262;-984.515930;1728.005859;2;64.366402;-981.537292;1869.130005
534511;1;2;112.118172;-237.373703;1901.653076;2;114.233910;-427.360504;1860.604370;2;114.561302;-578.282654;1823.573364;2;133.710327;-813.700989;1836.465210;2;165.441895;-772.911438;1822.998901;2;297.208496;-703.612122;1777.233276;2;342.590118;-407.765900;1809.947510;2;345.184296;-156.890152;1779.692627;2;326.463684;-104.875626;1690.521973;2;262.773499;-16.353325;1734.883179;2;246.205719;-65.052078;1693.798950;2;96.526871;-776.506592;1847.779541;2;-29.937408;-730.558472;1897.042603;2;-75.368134;-441.685242;1989.809082;2;-123.282593;-190.528687;1979.210327;2;-146.394440;-124.425789;1890.568359;2;-163.591843;-12.182370;1868.271851;2;-115.942894;-90.152855;1877.828003;2;206.859344;-230.054947;1872.662720;2;263.139648;200.831772;1910.441895;2;320.553345;608.106445;1978.283691;2;282.260254;698.382568;1799.266602;2;26.685871;-243.973358;1927.794922;2;5.540775;182.883392;2012.617554;2;0.369824;589.883240;2121.111816;2;-86.211166;677.647949;1979.447510;2;135.942780;-902.224915;1827.526001;2;45.339272;-948.752441;1685.122070;2;93.506065;-983.119690;1699.885986;2;212.278793;-961.876892;1767.118164;2;43.967926;-985.416748;1727.918091;2;64.447327;-982.199524;1869.159058
567855;1;2;112.112335;-237.363510;1901.723633;2;114.224594;-427.345428;1860.674561;2;114.544632;-578.260071;1823.629028;2;133.677155;-813.677429;1836.454590;2;165.410156;-772.887512;1822.998291;2;297.188721;-703.589539;1777.278198;2;342.638672;-407.781281;1810.171997;2;345.343140;-156.886185;1780.140259;2;326.915619;-104.804878;1690.950562;2;263.193512;-16.082533;1734.856079;2;246.586746;-65.056961;1693.962158;2;96.497803;-776.484558;1847.780762;2;-29.947847;-730.564148;1897.107300;2;-75.360031;-441.785736;1990.152466;2;-123.273438;-190.620331;1979.916748;2;-146.525345;-124.326660;1891.457397;2;-163.685028;-11.936873;1869.895996;2;-115.944527;-90.267494;1878.558472;2;206.851852;-230.046799;1872.735474;2;263.098145;200.825256;1910.608276;2;320.476685;608.072083;1978.583496;2;282.295868;698.300476;1799.524048;2;26.681549;-243.961319;1927.863525;2;5.586689;182.895081;2012.645996;2;0.460480;589.884521;2121.141357;2;-85.906746;677.553894;1979.293701;2;135.902863;-902.196899;1827.490967;2;45.227669;-948.621155;1685.104126;2;93.357018;-983.041504;1699.860107;2;212.160858;-961.932617;1767.072510;2;43.821861;-985.283264;1727.899170;2;64.326042;-982.089783;1869.133545
601188;1;2;113.613930;-236.620071;1902.612915;2;114.996178;-426.721130;1860.687256;2;114.961754;-577.849060;1823.513916;2;132.604874;-813.669800;1837.665527;2;164.775314;-773.064758;1824.365601;2;297.419189;-704.969543;1778.529785;2;342.186951;-408.633240;1811.816528;2;342.305908;-157.842072;1777.808472;2;332.805756;-100.567741;1690.230469;2;270.145660;-9.292036;1730.785278;2;250.393219;-65.111160;1684.066406;2;95.458481;-776.153564;1848.409180;2;-31.661615;-730.335022;1896.722534;2;-75.882751;-441.282959;1991.029419;2;-122.867332;-189.809265;1975.598022;2;-143.908356;-126.746086;1884.056396;2;-163.456497;-13.007127;1873.422974;2;-114.793350;-91.720474;1872.099487;2;208.818680;-229.735886;1874.537109;2;263.200470;201.967743;1913.329956;2;317.224213;610.330811;1981.264771;2;285.161499;697.218933;1799.026123;2;27.763628;-242.827850;1927.930176;2;6.486302;184.666504;2012.874878;2;0.768576;592.055420;2122.336914;2;-85.673012;678.202576;1979.227295;2;134.421341;-902.376831;1829.123535;2;45.378590;-947.736450;1685.044678;2;92.922279;-982.786438;1700.581665;2;211.046631;-963.088013;1769.823120;2;42.840611;-984.450195;1727.856689;2;61.122517;-981.546631;1869.621826
