timestamp;body_idx;PELVIS (c);PELVIS (x);PELVIS (y);SPINE_NAVEL (c);SPINE_NAVEL (x);SPINE_NAVEL (y);SPINE_CHEST (c);SPINE_CHEST (x);SPINE_CHEST (y);NECK (c);NECK (x);NECK (y);CLAVICLE_LEFT (c);CLAVICLE_LEFT (x);CLAVICLE_LEFT (y);SHOULDER_LEFT (c);SHOULDER_LEFT (x);SHOULDER_LEFT (y);ELBOW_LEFT (c);ELBOW_LEFT (x);ELBOW_LEFT (y);WRIST_LEFT (c);WRIST_LEFT (x);WRIST_LEFT (y);HAND_LEFT (c);HAND_LEFT (x);HAND_LEFT (y);HANDTIP_LEFT (c);HANDTIP_LEFT (x);HANDTIP_LEFT (y);THUMB_LEFT (c);THUMB_LEFT (x);THUMB_LEFT (y);CLAVICLE_RIGHT (c);CLAVICLE_RIGHT (x);CLAVICLE_RIGHT (y);SHOULDER_RIGHT (c);SHOULDER_RIGHT (x);SHOULDER_RIGHT (y);ELBOW_RIGHT (c);ELBOW_RIGHT (x);ELBOW_RIGHT (y);WRIST_RIGHT (c);WRIST_RIGHT (x);WRIST_RIGHT (y);HAND_RIGHT (c);HAND_RIGHT (x);HAND_RIGHT (y);HANDTIP_RIGHT (c);HANDTIP_RIGHT (x);HANDTIP_RIGHT (y);THUMB_RIGHT (c);THUMB_RIGHT (x);THUMB_RIGHT (y);HIP_LEFT (c);HIP_LEFT (x);HIP_LEFT (y);KNEE_LEFT (c);KNEE_LEFT (x);KNEE_LEFT (y);ANKLE_LEFT (c);ANKLE_LEFT (x);ANKLE_LEFT (y);FOOT_LEFT (c);FOOT_LEFT (x);FOOT_LEFT (y);HIP_RIGHT (c);HIP_RIGHT (x);HIP_RIGHT (y);KNEE_RIGHT (c);KNEE_RIGHT (x);KNEE_RIGHT (y);ANKLE_RIGHT (c);ANKLE_RIGHT (x);ANKLE_RIGHT (y);FOOT_RIGHT (c);FOOT_RIGHT (x);FOOT_RIGHT (y);HEAD (c);HEAD (x);HEAD (y);NOSE (c);NOSE (x);NOSE (y);EYE_LEFT (c);EYE_LEFT (x);EYE_LEFT (y);EAR_LEFT (c);EAR_LEFT (x);EAR_LEFT (y);EYE_RIGHT (c);EYE_RIGHT (x);EYE_RIGHT (y);EAR_RIGHT (c);EAR_RIGHT (x);EAR_RIGHT (y)
333500;1;2;832.369080;561.011719;2;833.482483;468.274445;2;834.691406;393.884674;2;829.909546;284.308777;2;847.613159;303.978699;2;914.952515;333.403503;2;939.640320;469.891937;2;954.723633;581.114258;2;966.609131;614.246826;2;986.344482;653.207031;2;942.613586;633.621643;2;813.359375;301.000671;2;751.426636;324.061310;2;725.710327;472.351685;2;723.346985;597.636169;2;711.591125;637.127930;2;723.469727;690.711121;2;750.521118;645.297791;2;877.007996;561.631042;2;894.948853;761.105591;2;901.376770;936.260742;2;943.885986;1024.380127;2;790.194092;560.434326;2;773.022461;775.118225;2;759.676453;968.961304;2;756.301758;1068.909668;2;829.652283;240.982300;2;856.823059;180.822845;2;863.768616;175.761566;2;871.775513;217.424225;2;837.213013;169.302124;2;788.756592;197.214600
366888;1;2;832.387756;567.514954;2;835.829895;471.607758;2;838.653992;393.780701;2;832.279419;283.381927;2;850.904236;303.072113;2;920.389893;333.789490;2;937.950073;476.118103;2;955.849548;590.674133;2;967.335693;609.944580;2;976.370483;666.329834;2;942.633972;644.493958;2;815.326294;300.132904;2;751.280151;322.254333;2;729.432739;477.380707;2;721.314087;606.247498;2;701.863770;645.125244;2;735.646423;696.794861;2;747.893188;652.033386;2;880.187134;568.445801;2;897.745911;773.076721;2;908.794739;956.829590;2;950.101318;1035.557129;2;787.726318;566.657410;2;770.663086;787.188477;2;758.906006;994.224182;2;750.932556;1084.740479;2;831.354675;239.654877;2;855.525269;184.344421;2;864.480652;175.736389;2;876.039185;212.924469;2;836.266541;170.319916;2;789.049377;194.557007
400222;1;2;832.416260;567.485413;2;835.294067;471.327026;2;837.779480;393.214294;2;831.509277;282.607819;2;850.177307;302.361053;2;919.701965;334.379272;2;937.911682;477.097748;2;955.576965;592.035889;2;967.579346;610.225098;2;976.425171;666.413513;2;941.553223;643.995667;2;814.477661;299.355865;2;750.653381;321.149231;2;728.471436;476.971344;2;720.127991;606.962036;2;701.567871;643.473267;2;735.681763;696.750916;2;747.967102;655.273193;2;880.452637;568.184265;2;898.024170;773.229614;2;908.966858;956.967163;2;950.148193;1033.838745;2;787.578125;566.845154;2;770.933472;787.349915;2;758.781494;995.339844;2;750.921204;1083.973389;2;830.619934;238.795044;2;855.099487;183.667175;2;864.843628;175.536133;2;876.505432;213.523376;2;836.485657;169.189301;2;789.368530;192.374664
433555;1;2;831.930054;568.463440;2;834.914551;472.377563;2;837.454529;394.408234;2;832.341919;283.770477;2;850.816345;303.641357;2;920.261597;334.930786;2;937.809265;477.480988;2;955.822571;592.147705;2;967.175659;610.281616;2;976.216187;666.460754;2;938.940735;644.223694;2;815.134521;300.410828;2;750.989380;321.731018;2;727.358948;476.902008;2;716.852600;606.574463;2;700.268188;645.393494;2;736.096436;699.249573;2;747.319824;656.936218;2;879.962524;569.240540;2;897.802368;774.059448;2;909.153076;957.414856;2;949.901855;1035.257812;2;787.100525;567.750732;2;770.739990;788.131348;2;758.781189;996.235229;2;750.870850;1084.747803;2;831.856873;239.977386;2;859.079590;184.438782;2;867.910767;176.844360;2;877.286682;215.520721;2;840.030579;170.046143;2;791.081665;193.199310
466866;1;2;831.929016;568.467041;2;834.914062;472.375275;2;837.454285;394.401794;2;832.339600;283.761719;2;850.814819;303.633636;2;920.261536;334.926117;2;937.809998;477.481384;2;955.828430;592.151367;2;967.201721;610.284119;2;976.253357;666.467468;2;939.007019;644.201660;2;815.131897;300.401733;2;750.984863;321.719727;2;727.351685;476.898712;2;716.842041;606.580444;2;700.241516;645.408936;2;736.047485;699.284241;2;747.242920;656.980469;2;879.964417;569.244690;2;897.802795;774.081909;2;909.155212;957.464417;2;949.916687;1035.290405;2;787.096680;567.753784;2;770.735840;788.156921;2;758.762085;996.326172;2;750.854858;1084.937622;2;831.854370;239.967743;2;859.118774;184.400024;2;867.947876;176.830841;2;877.294189;215.549194;2;840.072449;170.009979;2;791.100037;193.166260
500222;1;2;831.617493;568.882629;2;834.428711;472.768005;2;836.904297;394.742645;2;832.016052;284.097351;2;850.423584;304.078613;2;919.631409;336.222229;2;937.622986;478.509247;2;955.927734;592.700500;2;965.528809;610.069702;2;976.220276;665.583069;2;940.613342;642.465576;2;814.785706;300.621307;2;750.767517;321.253571;2;726.444153;476.638062;2;716.151672;606.791809;2;700.341736;645.849976;2;736.886658;699.625366;2;745.689026;656.893311;2;879.550415;569.524963;2;897.578247;774.488525;2;908.586609;958.187073;2;950.423950;1035.004883;2;786.832397;568.295044;2;770.864380;788.614014;2;758.292847;997.374512;2;750.941284;1085.066040;2;831.679932;240.317108;2;862.152039;184.839752;2;868.840088;176.749420;2;875.160522;214.609558;2;841.638916;170.629883;2;789.963318;194.346344
533544;1;2;831.329163;569.549072;2;834.282593;473.010376;2;836.744080;394.646729;2;832.203125;283.875916;2;850.649719;303.894409;2;920.014587;336.162598;2;937.507507;479.056335;2;955.818420;593.720276;2;965.645569;613.048340;2;976.279480;669.593445;2;939.896545;644.636902;2;814.829224;300.384613;2;750.545898;320.832397;2;726.458984;476.849915;2;715.980164;607.356079;2;699.535645;647.106750;2;735.175537;701.638428;2;745.467041;658.764282;2;879.725037;570.314026;2;897.481384;776.294189;2;908.503784;960.401001;2;950.539734;1035.861206;2;786.209595;568.849121;2;770.298462;789.703491;2;757.945190;1000.509521;2;750.290405;1089.976318;2;831.953247;240.044861;2;863.552795;186.227112;2;870.684631;177.936676;2;876.428284;215.312439;2;843.441650;171.147766;2;791.215027;192.801575
566888;1;2;831.279419;569.244385;2;833.963684;472.475006;2;836.312439;393.914185;2;831.525879;283.308899;2;850.052368;303.273865;2;919.385071;335.957947;2;937.435425;479.013367;2;955.915649;593.744507;2;965.614075;613.031433;2;976.242859;669.952637;2;939.873413;644.525757;2;814.153442;299.799805;2;749.807739;320.417969;2;726.734497;476.779755;2;715.936707;607.869690;2;699.270447;648.370728;2;734.924866;703.211060;2;744.147156;658.864563;2;879.736450;569.893677;2;897.519043;776.235291;2;908.640747;960.698853;2;950.786438;1035.393066;2;786.074951;568.651611;2;770.188843;790.244629;2;757.801086;1002.049194;2;750.156616;1091.966431;2;831.170288;239.528687;2;863.568726;186.166229;2;869.981567;177.333496;2;874.923157;213.873932;2;842.903809;171.034790;2;789.869385;192.729248
600222;1;2;830.604492;569.877930;2;833.682068;473.033081;2;836.365479;394.417236;2;831.467529;283.870850;2;850.008911;303.840942;2;919.424072;336.316254;2;937.734741;479.293091;2;956.959473;593.752686;2;963.559814;612.313049;2;976.365845;669.678284;2;939.908997;644.644165;2;814.110107;300.328064;2;749.772766;320.796082;2;726.539429;477.359100;2;715.752991;608.534790;2;699.786255;647.699829;2;734.775391;702.958801;2;743.821899;658.855347;2;879.094238;570.699890;2;897.449707;777.085083;2;909.063782;961.698364;2;952.583435;1035.622314;2;785.357910;569.124390;2;770.156860;790.819336;2;757.998413;1002.807800;2;750.250854;1091.214844;2;831.094238;240.118195;2;865.117920;187.896759;2;871.012451;178.714661;2;874.595215;214.486176;2;844.216187;172.376923;2;790.078247;193.070343
633533;1;2;829.706909;570.030090;2;833.193115;473.314514;2;836.095459;394.861664;2;831.212341;284.571930;2;849.712524;304.507904;2;919.140076;336.509827;2;937.523315;479.296021;2;956.807068;593.741638;2;963.547241;613.168213;2;976.142212;670.353821;2;938.620544;645.757080;2;813.889954;300.975220;2;749.662720;321.041016;2;726.491516;477.348328;2;715.557190;608.488892;2;698.582031;647.384766;2;731.419739;703.925354;2;741.550537;659.563293;2;878.161804;571.048035;2;897.266602;777.197327;2;909.612000;961.517700;2;952.169617;1035.936646;2;784.497559;569.094116;2;769.525146;790.690308;2;757.743958;1002.583496;2;750.220581;1091.968994;2;830.851135;240.925903;2;867.506165;189.329132;2;871.646362;179.595001;2;872.577698;214.256470;2;845.614685;173.891815;2;789.493347;194.675079
