timestamp;body_idx;PELVIS (c);PELVIS (x);PELVIS (y);SPINE_NAVEL (c);SPINE_NAVEL (x);SPINE_NAVEL (y);SPINE_CHEST (c);SPINE_CHEST (x);SPINE_CHEST (y);NECK (c);NECK (x);NECK (y);CLAVICLE_LEFT (c);CLAVICLE_LEFT (x);CLAVICLE_LEFT (y);SHOULDER_LEFT (c);SHOULDER_LEFT (x);SHOULDER_LEFT (y);ELBOW_LEFT (c);ELBOW_LEFT (x);ELBOW_LEFT (y);WRIST_LEFT (c);WRIST_LEFT (x);WRIST_LEFT (y);HAND_LEFT (c);HAND_LEFT (x);HAND_LEFT (y);HANDTIP_LEFT (c);HANDTIP_LEFT (x);HANDTIP_LEFT (y);THUMB_LEFT (c);THUMB_LEFT (x);THUMB_LEFT (y);CLAVICLE_RIGHT (c);CLAVICLE_RIGHT (x);CLAVICLE_RIGHT (y);SHOULDER_RIGHT (c);SHOULDER_RIGHT (x);SHOULDER_RIGHT (y);ELBOW_RIGHT (c);ELBOW_RIGHT (x);ELBOW_RIGHT (y);WRIST_RIGHT (c);WRIST_RIGHT (x);WRIST_RIGHT (y);HAND_RIGHT (c);HAND_RIGHT (x);HAND_RIGHT (y);HANDTIP_RIGHT (c);HANDTIP_RIGHT (x);HANDTIP_RIGHT (y);THUMB_RIGHT (c);THUMB_RIGHT (x);THUMB_RIGHT (y);HIP_LEFT (c);HIP_LEFT (x);HIP_LEFT (y);KNEE_LEFT (c);KNEE_LEFT (x);KNEE_LEFT (y);ANKLE_LEFT (c);ANKLE_LEFT (x);ANKLE_LEFT (y);FOOT_LEFT (c);FOOT_LEFT (x);FOOT_LEFT (y);HIP_RIGHT (c);HIP_RIGHT (x);HIP_RIGHT (y);KNEE_RIGHT (c);KNEE_RIGHT (x);KNEE_RIGHT (y);ANKLE_RIGHT (c);ANKLE_RIGHT (x);ANKLE_RIGHT (y);FOOT_RIGHT (c);FOOT_RIGHT (x);FOOT_RIGHT (y);HEAD (c);HEAD (x);HEAD (y);NOSE (c);NOSE (x);NOSE (y);EYE_LEFT (c);EYE_LEFT (x);EYE_LEFT (y);EAR_LEFT (c);EAR_LEFT (x);EAR_LEFT (y);EYE_RIGHT (c);EYE_RIGHT (x);EYE_RIGHT (y);EAR_RIGHT (c);EAR_RIGHT (x);EAR_RIGHT (y)
333511;1;2;902.959229;536.733093;2;914.822266;462.319946;2;925.320740;397.051758;2;931.326416;278.697418;2;947.252319;299.849487;2;1020.909729;316.905182;2;1020.962036;432.954254;2;1010.972900;540.098511;0;980.913635;575.137085;0;970.129089;600.637024;0;964.566772;581.175720;2;912.874756;297.950928;2;851.129089;308.870483;2;794.750000;435.862610;2;815.055115;554.149536;2;834.736877;587.025146;2;838.314819;641.501648;2;861.989258;608.706360;2;943.940125;536.700378;2;973.529419;723.373413;2;980.137756;903.740723;2;1022.886292;990.806641;2;864.923096;536.760010;2;831.227600;728.533325;2;809.330200;918.976929;2;795.172241;1018.227112;2;935.817871;231.867096;2;974.755859;223.073395;2;979.626526;196.332275;2;979.671753;192.406464;2;952.707947;200.471924;2;894.244080;195.819183
366888;1;2;904.191406;539.135620;2;915.336975;464.088776;2;925.196960;398.184204;2;931.744019;278.824341;2;947.787598;300.192993;2;1022.268738;316.816071;2;1022.533264;436.620850;2;1000.244812;542.636536;0;980.077087;584.314148;0;978.794800;611.850342;0;956.115356;588.883789;2;912.991943;298.250610;2;851.225037;308.677856;2;796.385681;438.656738;2;816.017395;557.545044;2;836.341492;595.652771;2;838.261597;651.605591;2;856.710388;610.357483;2;945.584839;538.833618;2;973.614746;727.657166;2;979.954956;910.564209;2;1016.506226;1002.167236;2;865.795593;539.413025;2;832.142273;732.682007;2;810.986328;925.717651;2;796.405029;1025.168579;2;936.426086;231.569977;2;974.558350;223.365234;2;980.458435;196.501587;2;981.803711;192.820953;2;952.855713;199.946686;2;894.705078;193.957214
400211;1;2;902.950378;538.944885;2;914.616394;463.512024;2;924.761841;397.081787;2;932.820374;277.896545;2;948.638794;299.437500;2;1022.951111;317.179016;2;1023.528625;438.919617;2;1000.954956;546.133362;0;981.180786;588.355164;0;976.180176;622.868652;0;958.362122;594.210327;2;913.785217;297.117981;2;850.637756;306.603302;2;793.117004;436.937012;2;828.832336;553.171448;2;833.604736;606.620605;2;845.558594;660.837341;2;855.604553;608.151855;2;944.261597;538.755859;2;973.654602;727.445312;2;980.004272;910.535522;2;1016.592712;1002.245361;2;864.589783;539.117737;2;831.232788;732.971008;2;811.390442;926.009338;2;795.164062;1024.640747;2;938.052429;230.728851;2;974.597046;221.049133;2;980.236145;194.045746;2;982.707214;190.631134;2;952.411377;198.246368;2;895.017151;194.189728
433555;1;2;903.544312;538.331787;2;915.343201;463.281372;2;926.091980;397.970947;2;933.779480;278.406677;2;949.758789;300.011139;2;1023.964233;318.709717;2;1025.406616;440.054291;2;1002.490662;547.439331;0;981.175171;588.974731;0;975.533020;623.321655;0;958.419434;594.157349;2;914.733521;297.650757;2;850.894958;307.685059;2;793.874573;439.158813;2;828.834717;555.174072;2;832.872131;608.096191;2;838.398132;663.598206;2;856.292297;613.082458;2;944.968079;538.363098;2;973.517883;727.248413;2;979.988525;910.572388;2;1020.121826;1001.483521;2;865.112610;538.299927;2;831.610229;731.974243;2;810.968811;925.958496;2;796.358643;1024.802734;2;938.777588;231.072357;2;973.440552;224.655701;2;980.500732;197.365814;2;984.926270;192.409058;2;952.165100;200.880585;2;896.210815;193.575928
466877;1;2;905.181213;538.748779;2;915.833252;463.474792;2;926.062439;398.915283;2;935.690186;279.421509;2;951.284058;301.325012;2;1025.415161;320.362305;2;1025.464111;442.676453;2;1002.529358;550.255432;0;985.543274;593.810669;0;965.814880;642.382935;0;958.495422;597.895752;2;916.354736;298.308594;2;852.988098;308.042236;2;794.778564;440.186890;2;828.139771;557.548096;2;833.121155;610.796021;2;835.894165;666.726318;2;857.213745;617.009460;2;946.597656;538.193604;2;975.308655;727.218689;2;982.027710;911.063110;2;1025.183838;998.873047;2;866.768188;539.260742;2;831.483154;732.303772;2;811.081299;926.916748;2;795.114502;1026.688721;2;941.503845;232.167969;2;973.012451;223.807739;2;979.536926;196.130219;2;986.104614;190.976562;2;950.896240;201.212921;2;896.578613;197.083313
500222;1;2;905.475647;538.788025;2;915.860901;463.315643;2;925.786743;398.466248;2;933.876831;278.850677;2;949.813904;300.530090;2;1023.923401;320.118530;2;1026.947510;443.292603;2;1003.158630;551.229431;0;985.251465;594.406860;0;966.054443;643.277405;0;960.153809;601.094055;2;914.739929;298.032379;2;851.807190;308.670166;2;793.219727;440.187378;2;828.811401;556.945618;2;833.277466;610.361816;2;836.469666;666.215210;2;857.481201;616.532837;2;946.920532;538.162720;2;975.040222;727.250793;2;981.950623;911.084900;2;1024.838745;999.093872;2;867.042358;539.364929;2;832.078003;732.591064;2;811.157288;926.640381;2;796.955505;1026.145142;2;939.013000;231.503418;2;974.142822;223.418121;2;981.098511;196.538300;2;985.149292;192.998169;2;952.816040;199.765869;2;896.575806;193.460754
533544;1;2;905.133606;538.621399;2;916.655212;462.877686;2;927.497620;397.729614;2;934.121826;278.317474;2;950.198059;299.703186;2;1023.805054;320.513489;2;1026.311890;444.451599;2;1003.494629;553.017578;0;984.635803;595.729431;0;965.572571;644.234680;0;960.437073;602.725708;2;915.324951;297.743896;2;853.180237;310.088135;2;791.497375;440.405640;2;830.517151;556.093872;2;834.044006;609.317749;2;838.654236;664.954041;2;857.611023;614.914368;2;946.408386;538.437622;2;974.623840;727.190796;2;982.109375;911.128967;2;1024.721802;999.212524;2;866.816101;538.789185;2;831.865356;732.281433;2;810.908203;926.770020;2;795.290039;1026.557739;2;938.781555;231.030640;2;972.489197;224.503204;2;981.374512;198.412964;2;987.041748;195.836090;2;952.761902;199.608124;2;898.166687;190.081451
566888;1;2;905.491394;538.960754;2;917.156555;463.382751;2;928.052002;398.220062;2;935.155212;279.002655;2;951.093750;300.447571;2;1024.362061;321.597198;2;1025.932251;446.101013;2;1003.628357;554.545166;0;983.591309;596.585144;0;963.210571;644.629883;0;959.759705;603.492188;2;916.329712;298.272461;2;854.103271;309.925415;2;792.133301;439.075409;2;830.268372;554.614990;2;837.365173;606.897522;2;845.299561;661.758301;2;861.003052;610.870972;2;946.684326;538.738098;2;974.669067;727.230469;2;982.355103;910.460327;2;1022.090942;1000.221802;2;867.240112;539.164856;2;832.195312;732.659912;2;810.759094;926.332764;2;796.427612;1025.255737;2;940.019897;231.817322;2;972.635681;224.455475;2;981.609497;198.525574;2;988.060974;196.430603;2;952.913025;199.823334;2;899.062256;191.108154
600222;1;2;907.041809;540.054199;2;916.938782;465.018188;2;926.187378;399.986084;2;934.431763;280.992676;2;950.188599;302.540100;2;1024.246826;320.461945;2;1026.253296;446.706207;2;1003.423279;555.443848;0;981.511292;596.405579;0;956.394104;642.325623;0;960.615112;603.685547;2;915.399170;300.101013;2;852.945679;309.855072;2;790.786682;439.186096;2;830.483643;554.755432;2;837.260620;607.298767;2;844.798706;662.196899;2;860.582764;611.672729;2;948.200134;538.850220;2;974.773132;727.341797;2;981.520264;910.302246;2;1025.367798;997.268982;2;868.852905;541.168579;2;833.393555;734.244263;2;812.583008;927.701050;2;795.827759;1025.240845;2;939.729187;233.933899;2;974.838562;222.781067;2;982.920044;197.702148;2;987.222595;198.476746;2;954.639160;198.691589;2;899.120728;192.617737
633555;1;2;907.244202;540.222351;2;917.291199;465.171509;2;926.633667;400.042419;2;934.565735;281.004303;2;950.359009;302.532196;2;1024.329346;320.751556;2;1026.604492;447.697784;2;1004.258606;556.867920;0;981.613037;597.438538;0;956.899841;643.478394;0;959.908264;604.046143;2;915.602173;300.128784;2;853.506348;310.830566;2;792.141357;441.553650;2;831.215027;557.675232;2;837.322632;610.484985;2;843.622864;665.629089;2;862.061035;615.064941;2;948.363892;538.982727;2;974.716431;727.488281;2;982.079102;910.616333;2;1024.996826;997.969727;2;869.077515;541.370239;2;833.875977;734.644043;2;812.664490;928.430908;2;795.876160;1025.787109;2;939.751038;233.924805;2;972.942993;224.290100;2;982.022217;199.183807;2;988.048340;199.386536;2;953.406372;199.725128;2;899.361938;192.051636
