timestamp;body_idx;PELVIS (c);PELVIS (x);PELVIS (y);SPINE_NAVEL (c);SPINE_NAVEL (x);SPINE_NAVEL (y);SPINE_CHEST (c);SPINE_CHEST (x);SPINE_CHEST (y);NECK (c);NECK (x);NECK (y);CLAVICLE_LEFT (c);CLAVICLE_LEFT (x);CLAVICLE_LEFT (y);SHOULDER_LEFT (c);SHOULDER_LEFT (x);SHOULDER_LEFT (y);ELBOW_LEFT (c);ELBOW_LEFT (x);ELBOW_LEFT (y);WRIST_LEFT (c);WRIST_LEFT (x);WRIST_LEFT (y);HAND_LEFT (c);HAND_LEFT (x);HAND_LEFT (y);HANDTIP_LEFT (c);HANDTIP_LEFT (x);HANDTIP_LEFT (y);THUMB_LEFT (c);THUMB_LEFT (x);THUMB_LEFT (y);CLAVICLE_RIGHT (c);CLAVICLE_RIGHT (x);CLAVICLE_RIGHT (y);SHOULDER_RIGHT (c);SHOULDER_RIGHT (x);SHOULDER_RIGHT (y);ELBOW_RIGHT (c);ELBOW_RIGHT (x);ELBOW_RIGHT (y);WRIST_RIGHT (c);WRIST_RIGHT (x);WRIST_RIGHT (y);HAND_RIGHT (c);HAND_RIGHT (x);HAND_RIGHT (y);HANDTIP_RIGHT (c);HANDTIP_RIGHT (x);HANDTIP_RIGHT (y);THUMB_RIGHT (c);THUMB_RIGHT (x);THUMB_RIGHT (y);HIP_LEFT (c);HIP_LEFT (x);HIP_LEFT (y);KNEE_LEFT (c);KNEE_LEFT (x);KNEE_LEFT (y);ANKLE_LEFT (c);ANKLE_LEFT (x);ANKLE_LEFT (y);FOOT_LEFT (c);FOOT_LEFT (x);FOOT_LEFT (y);HIP_RIGHT (c);HIP_RIGHT (x);HIP_RIGHT (y);KNEE_RIGHT (c);KNEE_RIGHT (x);KNEE_RIGHT (y);ANKLE_RIGHT (c);ANKLE_RIGHT (x);ANKLE_RIGHT (y);FOOT_RIGHT (c);FOOT_RIGHT (x);FOOT_RIGHT (y);HEAD (c);HEAD (x);HEAD (y);NOSE (c);NOSE (x);NOSE (y);EYE_LEFT (c);EYE_LEFT (x);EYE_LEFT (y);EAR_LEFT (c);EAR_LEFT (x);EAR_LEFT (y);EYE_RIGHT (c);EYE_RIGHT (x);EYE_RIGHT (y);EAR_RIGHT (c);EAR_RIGHT (x);EAR_RIGHT (y)
267666;1;2;1003.699036;529.901550;2;991.776123;460.794495;2;982.123108;399.547668;2;961.121277;294.465271;2;980.101257;309.601746;2;1039.290161;309.969086;2;1098.805542;423.741089;2;1081.484741;533.716492;2;1066.636597;556.473877;0;1053.013184;576.683533;0;1040.604614;574.903870;2;949.983276;315.199860;2;888.125916;325.541260;2;894.385254;434.826141;2;895.949829;536.131348;0;925.685059;567.719116;0;950.268372;604.609253;0;949.941528;556.812500;2;1042.045044;530.474976;2;1064.205811;708.215088;2;1079.956665;881.737793;2;1084.853394;974.999878;2;970.175659;529.393799;2;934.650452;698.970337;2;938.071472;857.246887;2;900.441162;926.027222;2;950.388733;253.666901;2;909.865417;246.094696;2;926.614868;220.463898;2;980.573792;212.934540;2;901.469604;227.289032;2;905.436035;225.993134
301011;1;2;1001.595093;531.459167;2;991.123901;461.632721;2;981.924683;400.805359;2;962.459229;293.988800;2;981.436829;309.437317;2;1039.438599;311.002808;2;1090.124756;427.723938;2;1082.762573;538.793640;0;1049.381592;560.424011;0;1040.443604;597.633728;0;1029.774048;579.741699;2;950.770203;314.974731;2;887.701843;321.744934;2;896.815063;433.996033;2;896.838684;536.771545;0;924.526855;567.198914;0;942.504944;607.210693;0;944.366150;558.552917;2;1040.463989;532.331543;2;1062.500244;711.663086;2;1078.478638;887.754883;2;1085.680176;979.696777;2;967.549561;530.688904;2;933.415833;702.139771;2;934.993286;862.240662;2;902.284241;935.093628;2;952.430115;252.392822;2;909.276184;246.152527;2;926.895691;220.420868;2;982.834839;212.719177;2;901.854980;226.411407;2;908.127441;223.130280
367855;1;2;1002.020569;533.716431;2;992.067322;463.701172;2;983.056030;403.077271;2;963.497437;295.719910;2;982.643616;311.214600;2;1042.375977;307.496552;2;1084.962524;428.506409;2;1087.537476;538.510254;0;1056.680420;569.575806;0;1032.240601;612.762634;0;1033.944092;579.584045;2;951.659973;316.846710;2;887.721313;320.055237;2;901.086853;435.902344;2;902.805481;539.243164;0;927.057861;571.377625;0;941.561279;613.199158;0;945.211792;565.352844;2;1041.113159;534.819641;2;1062.866821;714.905884;2;1078.700806;890.651062;2;1085.509155;979.809326;2;967.767944;532.744385;2;933.185059;704.964600;2;935.390076;865.297852;2;896.614624;932.753052;2;953.497925;253.894653;2;910.994995;245.394348;2;927.875916;219.341797;2;983.252136;211.705139;2;902.692566;226.828430;2;907.958069;226.728241
401177;1;2;1002.365784;533.532715;2;991.902222;463.644897;2;982.328247;403.364899;2;963.634521;296.097534;2;982.571045;311.718323;2;1041.264526;308.179810;2;1086.086914;427.713928;2;1088.739746;537.529602;0;1059.025146;570.428528;0;1034.943848;614.223816;0;1035.580933;578.343445;2;951.718018;317.063599;2;888.052124;319.931580;2;900.728271;436.151917;2;901.474731;539.276733;0;926.223145;571.004761;0;941.750244;612.744141;0;943.537903;564.609985;2;1041.337280;534.419800;2;1062.795654;714.166809;2;1078.560425;889.646912;2;1085.630493;979.484131;2;968.231995;532.750244;2;933.288818;704.433228;2;935.170349;865.314087;2;896.716125;932.909058;2;953.928772;254.302368;2;911.463867;246.859406;2;929.019836;221.145905;2;984.635071;213.983337;2;903.755981;227.445953;2;909.285400;225.357788
434522;1;2;1002.076538;533.332886;2;991.749146;463.315002;2;982.346863;402.791779;2;963.833679;295.156952;2;982.787598;310.928955;2;1040.369019;306.492035;2;1089.061523;426.073792;2;1090.066406;537.513794;0;1060.412109;572.453674;0;1035.399414;615.410400;0;1040.564697;580.884644;2;951.852661;316.121521;2;887.929810;319.943298;2;899.237610;437.485840;2;900.319641;540.701843;0;925.281555;571.597839;0;941.779358;613.031555;0;943.002869;564.101379;2;1041.170166;534.285828;2;1062.814697;714.558228;2;1078.518921;891.235535;2;1085.667603;980.910400;2;967.830688;532.492493;2;933.328979;704.792480;2;935.885864;865.995483;2;897.333679;933.868652;2;954.149231;253.204865;2;910.548645;244.631866;2;928.742004;219.167847;2;985.307312;213.193390;2;903.442139;225.050690;2;910.021667;223.308624
467844;1;2;1001.412842;533.029114;2;991.779907;463.041687;2;983.147766;402.262665;2;964.129089;294.715027;2;983.164551;310.351074;2;1040.592163;308.252777;2;1094.414307;428.026642;2;1085.837280;540.927490;0;1063.209229;578.635010;0;1042.698120;625.112793;0;1039.730103;584.333618;2;952.231873;315.773132;2;888.133179;322.222961;2;899.149475;437.080383;2;902.359680;541.089355;0;929.526978;575.627991;0;946.023499;618.381042;0;950.750305;569.338196;2;1040.645752;533.987061;2;1062.975830;713.882812;2;1078.543579;890.358521;2;1085.669189;980.521912;2;966.996155;532.183044;2;933.602783;704.750488;2;935.503052;866.231323;2;898.705750;935.958252;2;954.278259;252.804474;2;911.363647;247.090149;2;930.737854;222.171844;2;987.446045;216.638184;2;905.121277;225.689545;2;911.572083;219.420776
501188;1;2;1001.396973;533.284912;2;991.840393;463.398407;2;983.356567;402.580322;2;964.165039;295.238159;2;983.190613;310.800659;2;1040.683960;308.797241;2;1094.071655;429.584076;2;1086.211182;542.534241;0;1062.523315;578.834534;0;1040.245483;624.033264;0;1039.723633;584.089600;2;952.335388;316.290009;2;888.490295;322.525940;2;896.977356;437.707947;2;898.328186;541.539673;0;927.016296;574.154358;0;945.482178;615.489624;0;949.352478;564.993225;2;1040.617920;534.198303;2;1063.031860;713.793152;2;1078.358276;890.340942;2;1086.985840;980.712463;2;966.980103;532.477783;2;933.850830;704.889404;2;935.136597;865.897705;2;898.840881;935.935059;2;954.246765;253.422485;2;911.347534;246.870941;2;930.693726;222.086060;2;987.310364;217.007263;2;905.142395;225.744293;2;911.643799;220.272278
534511;1;2;1002.153870;533.613403;2;992.265198;464.027618;2;983.276917;403.795471;2;965.303040;296.249176;2;984.140686;312.047913;2;1041.003296;308.974945;2;1091.985840;430.910706;2;1086.427979;543.926697;0;1066.302734;584.355469;0;1049.371094;632.999878;0;1041.392090;591.286682;2;953.248779;317.142212;2;889.337219;322.232849;2;897.466797;439.670471;2;899.034302;541.870361;0;925.699463;569.192749;0;944.952209;607.969360;0;944.336792;556.914307;2;1041.262207;534.606567;2;1062.923096;714.087280;2;1078.277954;890.357300;2;1083.145874;980.017212;2;967.861267;532.737000;2;933.659607;704.878418;2;935.682678;866.017883;2;902.458618;937.522339;2;955.841248;254.330566;2;913.644287;244.017181;2;932.135071;219.086884;2;987.994751;214.756500;2;906.575867;224.602203;2;912.116882;223.838074
567855;1;2;1002.460571;534.361511;2;992.612854;464.556732;2;983.942078;403.711304;2;965.420349;296.428528;2;984.374390;312.132446;2;1041.046997;308.779449;2;1091.201416;431.455170;2;1084.733154;544.508545;0;1064.006470;583.753113;0;1043.367554;630.576050;0;1041.301025;590.880920;2;953.431396;317.340393;2;889.395386;322.898926;2;897.209717;439.974121;2;899.909729;540.945862;0;926.118835;567.195068;0;944.784729;604.867065;0;944.979980;552.941467;2;1041.572754;535.402893;2;1063.422729;715.115845;2;1078.431763;890.975769;2;1083.744507;981.067200;2;968.174377;533.443420;2;933.795837;705.534363;2;934.507080;866.317505;2;902.326721;937.797791;2;955.784668;254.628571;2;914.246216;244.162323;2;932.937012;219.398499;2;988.536987;215.554535;2;907.201965;224.556671;2;912.228271;223.545135
601188;1;2;1002.675720;534.668396;2;992.832397;464.775574;2;984.580200;403.300110;2;965.645264;296.746948;2;984.633240;312.408478;2;1040.962646;308.359985;2;1089.929810;432.570435;2;1084.495605;545.689636;0;1063.954712;584.249573;0;1043.991699;630.940552;0;1041.485596;591.397034;2;953.773254;317.493591;2;889.839172;323.188721;2;898.000122;440.699951;2;901.415833;541.260559;0;927.314941;567.750122;0;945.764099;605.641968;0;946.649109;553.769775;2;1041.693604;535.708252;2;1063.553101;715.075562;2;1078.375732;890.886963;2;1084.665527;981.763672;2;968.480103;533.751892;2;933.661865;705.494629;2;933.873840;866.507935;2;902.080078;938.236694;2;955.835144;255.272705;2;913.970825;245.067352;2;932.900269;220.450226;2;988.734131;216.800232;2;907.227966;225.241974;2;912.674744;223.679199
