timestamp;body_idx;PELVIS (w);PELVIS (x);PELVIS (y);PELVIS (z);SPINE_NAVEL (w);SPINE_NAVEL (x);SPINE_NAVEL (y);SPINE_NAVEL (z);SPINE_CHEST (w);SPINE_CHEST (x);SPINE_CHEST (y);SPINE_CHEST (z);NECK (w);NECK (x);NECK (y);NECK (z);CLAVICLE_LEFT (w);CLAVICLE_LEFT (x);CLAVICLE_LEFT (y);CLAVICLE_LEFT (z);SHOULDER_LEFT (w);SHOULDER_LEFT (x);SHOULDER_LEFT (y);SHOULDER_LEFT (z);ELBOW_LEFT (w);ELBOW_LEFT (x);ELBOW_LEFT (y);ELBOW_LEFT (z);WRIST_LEFT (w);WRIST_LEFT (x);WRIST_LEFT (y);WRIST_LEFT (z);HAND_LEFT (w);HAND_LEFT (x);HAND_LEFT (y);HAND_LEFT (z);HANDTIP_LEFT (w);HANDTIP_LEFT (x);HANDTIP_LEFT (y);HANDTIP_LEFT (z);THUMB_LEFT (w);THUMB_LEFT (x);THUMB_LEFT (y);THUMB_LEFT (z);CLAVICLE_RIGHT (w);CLAVICLE_RIGHT (x);CLAVICLE_RIGHT (y);CLAVICLE_RIGHT (z);SHOULDER_RIGHT (w);SHOULDER_RIGHT (x);SHOULDER_RIGHT (y);SHOULDER_RIGHT (z);ELBOW_RIGHT (w);ELBOW_RIGHT (x);ELBOW_RIGHT (y);ELBOW_RIGHT (z);WRIST_RIGHT (w);WRIST_RIGHT (x);WRIST_RIGHT (y);WRIST_RIGHT (z);HAND_RIGHT (w);HAND_RIGHT (x);HAND_RIGHT (y);HAND_RIGHT (z);HANDTIP_RIGHT (w);HANDTIP_RIGHT (x);HANDTIP_RIGHT (y);HANDTIP_RIGHT (z);THUMB_RIGHT (w);THUMB_RIGHT (x);THUMB_RIGHT (y);THUMB_RIGHT (z);HIP_LEFT (w);HIP_LEFT (x);HIP_LEFT (y);HIP_LEFT (z);KNEE_LEFT (w);KNEE_LEFT (x);KNEE_LEFT (y);KNEE_LEFT (z);ANKLE_LEFT (w);ANKLE_LEFT (x);ANKLE_LEFT (y);ANKLE_LEFT (z);FOOT_LEFT (w);FOOT_LEFT (x);FOOT_LEFT (y);FOOT_LEFT (z);HIP_RIGHT (w);HIP_RIGHT (x);HIP_RIGHT (y);HIP_RIGHT (z);KNEE_RIGHT (w);KNEE_RIGHT (x);KNEE_RIGHT (y);KNEE_RIGHT (z);ANKLE_RIGHT (w);ANKLE_RIGHT (x);ANKLE_RIGHT (y);ANKLE_RIGHT (z);FOOT_RIGHT (w);FOOT_RIGHT (x);FOOT_RIGHT (y);FOOT_RIGHT (z);HEAD (w);HEAD (x);HEAD (y);HEAD (z);NOSE (w);NOSE (x);NOSE (y);NOSE (z);EYE_LEFT (w);EYE_LEFT (x);EYE_LEFT (y);EYE_LEFT (z);EAR_LEFT (w);EAR_LEFT (x);EAR_LEFT (y);EAR_LEFT (z);EYE_RIGHT (w);EYE_RIGHT (x);EYE_RIGHT (y);EYE_RIGHT (z);EAR_RIGHT (w);EAR_RIGHT (x);EAR_RIGHT (y);EAR_RIGHT (z)
267666;1;0.464368;-0.343240;0.810581;0.097502;0.450142;-0.248123;0.844565;0.150057;0.465460;-0.107209;0.867668;0.137863;0.452905;-0.037282;0.873471;0.174745;0.928009;0.124497;0.132438;0.325208;0.739430;0.106070;-0.235105;0.621866;0.651342;0.074270;-0.247001;0.713603;-0.491399;0.391810;0.736417;-0.250403;-0.489026;0.398710;0.732704;-0.255008;-0.489026;0.398710;0.732704;-0.255008;0.816278;-0.152945;-0.341278;0.440258;-0.015624;0.937867;0.019923;-0.346070;0.104842;0.624517;-0.530632;-0.563397;-0.253369;-0.457650;0.679815;0.514015;0.609080;0.115611;0.030411;-0.784048;-0.306734;-0.098421;-0.067853;0.944258;-0.306734;-0.098421;-0.067853;0.944258;-0.375686;-0.330456;0.605656;0.618741;-0.342368;0.623768;-0.524857;0.467143;0.444248;-0.480054;0.658879;-0.371577;0.386503;-0.482258;0.739650;-0.266384;0.466812;0.179666;0.861986;0.082381;0.281499;0.477541;0.715602;0.425001;-0.132764;0.852643;0.114585;0.492183;-0.225010;0.841770;0.156560;0.465063;-0.490112;0.708861;-0.478768;0.167592;0.587432;-0.138344;0.792348;-0.089270;0.587432;-0.138344;0.792348;-0.089270;0.478501;0.462450;0.658099;0.352254;0.089270;0.792348;0.138344;0.587432;0.478501;0.462450;0.658099;0.352254;0.587432;-0.138344;0.792348;-0.089270
301011;1;0.466998;-0.356562;0.806162;0.069841;0.453916;-0.248474;0.845751;0.130099;0.476922;-0.108057;0.864079;0.119315;0.465818;-0.038415;0.869962;0.157177;0.918082;0.114088;0.159019;0.344707;0.748435;0.134558;-0.207663;0.615317;0.619166;0.093043;-0.229287;0.745254;0.655390;-0.003918;-0.141874;0.741836;0.516291;-0.028548;-0.139027;0.844571;0.516291;-0.028548;-0.139027;0.844571;0.650151;0.050543;0.444577;0.614085;-0.000811;0.944777;-0.010539;-0.327545;0.113643;0.631993;-0.601187;-0.475652;-0.232565;-0.455402;0.743942;0.430202;0.525567;0.275217;-0.110897;-0.797331;-0.187389;-0.296719;-0.000664;0.936399;-0.187389;-0.296719;-0.000664;0.936399;-0.314580;-0.418496;0.687791;0.502837;-0.338453;0.635061;-0.495906;0.486028;0.457561;-0.476879;0.649483;-0.376027;0.452805;-0.465364;0.679654;-0.341285;0.566328;0.149333;0.806953;0.076148;0.352321;0.429198;0.737678;0.384044;-0.100743;0.848581;0.090918;0.511367;-0.170487;0.842280;0.131965;0.494048;-0.471918;0.692250;-0.496694;0.226667;0.540562;-0.096156;0.834735;-0.041996;0.540562;-0.096156;0.834735;-0.041996;0.411931;0.522254;0.658240;0.352540;0.041996;0.834735;0.096156;0.540562;0.411931;0.522254;0.658240;0.352540;0.540562;-0.096156;0.834735;-0.041996
367866;1;0.469324;-0.352417;0.808509;0.043011;0.458429;-0.233793;0.850427;0.109351;0.482961;-0.092683;0.863029;0.115495;0.472144;-0.023176;0.867682;0.153853;0.917413;0.121605;0.133707;0.354525;0.765751;0.128171;-0.240777;0.582429;0.592355;0.062689;-0.265465;0.758099;0.678975;-0.053591;-0.166605;0.712997;0.544809;-0.081715;-0.154764;0.820094;0.544809;-0.081715;-0.154764;0.820094;0.738382;0.003226;0.416547;0.530349;0.005511;0.939872;-0.054622;-0.337087;0.104598;0.627840;-0.605366;-0.477921;-0.250417;-0.404087;0.772894;0.420286;0.516087;0.361530;-0.135504;-0.764584;-0.158118;-0.385326;-0.024262;0.908809;-0.158118;-0.385326;-0.024262;0.908809;-0.296825;-0.506383;0.680285;0.438958;-0.347690;0.633814;-0.492056;0.485048;0.462434;-0.483158;0.640636;-0.377226;0.476829;-0.471367;0.630455;-0.391118;0.618321;0.110299;0.775986;0.057950;0.321690;0.458427;0.722719;0.405016;-0.114319;0.850557;0.094954;0.504447;-0.139640;0.841448;0.151851;0.499407;-0.453707;0.705814;-0.482094;0.252115;0.565191;-0.140961;0.810427;-0.062436;0.565191;-0.140961;0.810427;-0.062436;0.443799;0.473384;0.672733;0.355501;0.062436;0.810427;0.140961;0.565191;0.443799;0.473384;0.672733;0.355501;0.565191;-0.140961;0.810427;-0.062436
401188;1;0.482639;-0.352444;0.801679;-0.012360;0.479614;-0.236699;0.843137;0.055353;0.476805;-0.091267;0.866480;0.116362;0.465938;-0.021487;0.871008;0.154223;0.915418;0.124606;0.131056;0.359594;0.760893;0.135698;-0.221868;0.594477;0.595123;0.078204;-0.248039;0.760387;0.661811;-0.069638;-0.122047;0.736384;0.568690;-0.083777;-0.112811;0.810461;0.568690;-0.083777;-0.112811;0.810461;0.736458;0.034110;0.465139;0.490013;0.032019;0.924497;-0.095527;-0.367635;0.202744;0.604853;-0.552599;-0.536360;-0.293961;-0.498177;0.650410;0.492315;-0.353196;-0.289942;0.573343;0.680047;-0.437514;-0.213998;0.605800;0.629121;-0.437514;-0.213998;0.605800;0.629121;-0.366011;0.053932;0.925074;-0.085821;-0.349996;0.631887;-0.492521;0.485432;0.460239;-0.488768;0.634807;-0.382500;0.482586;-0.472453;0.613384;-0.409462;0.635270;0.097447;0.764545;0.049066;0.324371;0.469198;0.736467;0.363666;0.251216;0.597948;0.636373;0.417586;0.191117;0.675589;0.568542;0.428735;-0.166701;0.882586;-0.071120;0.433813;0.587729;-0.116010;0.799270;-0.047782;0.587729;-0.116010;0.799270;-0.047782;0.449374;0.483138;0.647201;0.381801;0.047782;0.799270;0.116010;0.587729;0.449374;0.483138;0.647201;0.381801;0.587729;-0.116010;0.799270;-0.047782
434533;1;0.484025;-0.330107;0.802321;-0.114151;0.496594;-0.182664;0.848129;-0.026547;0.478265;-0.095108;0.868802;0.086027;0.469826;-0.025130;0.873631;0.124104;0.918161;0.102928;0.165349;0.345029;0.760720;0.086736;-0.286066;0.576150;0.611636;0.020169;-0.298245;0.732492;0.660046;-0.094577;-0.197996;0.718465;0.542732;-0.123672;-0.181253;0.810737;0.542732;-0.123672;-0.181253;0.810737;0.760347;-0.040340;0.379981;0.525223;0.041549;0.936089;-0.129320;-0.324480;-0.250524;-0.564113;0.465642;0.634186;-0.401068;-0.429840;0.591847;0.551452;-0.419920;-0.355798;0.638912;0.537462;-0.492495;-0.260730;0.683243;0.471856;-0.492495;-0.260730;0.683243;0.471856;-0.360509;-0.535938;0.762681;-0.033493;-0.348117;0.647058;-0.500821;0.457503;0.447971;-0.507621;0.641748;-0.360282;0.460901;-0.520151;0.543334;-0.470957;0.663139;0.013907;0.748308;-0.009370;0.247236;0.515551;0.766704;0.291969;0.201440;0.623292;0.682001;0.325276;0.278214;0.576198;0.645586;0.416907;-0.095804;0.866592;0.053163;0.486841;0.606676;-0.078342;0.790769;-0.022145;0.606676;-0.078342;0.790769;-0.022145;0.444643;0.503762;0.614555;0.413326;0.022145;0.790769;0.078342;0.606676;0.444643;0.503762;0.614555;0.413326;0.606676;-0.078342;0.790769;-0.022145
467855;1;0.496898;-0.327340;0.791846;-0.137555;0.513436;-0.181375;0.837421;-0.047040;0.465222;-0.114342;0.875141;0.067993;0.458271;-0.043793;0.881491;0.105082;0.914565;0.080702;0.169874;0.358050;0.758097;0.101042;-0.280109;0.580188;0.631198;0.044806;-0.294386;0.716183;0.484010;-0.493130;-0.498076;0.523906;0.505169;-0.472206;-0.517956;0.503535;0.505169;-0.472206;-0.517956;0.503535;0.840209;-0.224331;-0.049554;0.491191;0.071844;0.931688;-0.132888;-0.330360;-0.295874;-0.547179;0.413932;0.664616;-0.441049;-0.437081;0.528871;0.578560;-0.442525;-0.222236;0.591812;0.636035;-0.489022;-0.177183;0.606825;0.601022;-0.489022;-0.177183;0.606825;0.601022;-0.357004;-0.467328;0.802063;0.104146;-0.358753;0.632949;-0.496683;0.473263;0.460018;-0.498418;0.631595;-0.375568;0.463590;-0.516146;0.538561;-0.478153;0.670083;0.013367;0.742060;-0.012577;0.264034;0.511732;0.752877;0.318737;0.212622;0.620241;0.666321;0.355119;0.300022;0.554086;0.645276;0.431965;-0.090833;0.850828;0.068486;0.512982;0.644174;-0.048536;0.763333;-0.002711;0.644174;-0.048536;0.763333;-0.002711;0.457417;0.505438;0.574078;0.453583;0.002711;0.763333;0.048536;0.644174;0.457417;0.505438;0.574078;0.453583;0.644174;-0.048536;0.763333;-0.002711
501200;1;0.495572;-0.327311;0.792491;-0.138684;0.512317;-0.181482;0.837997;-0.048539;0.461422;-0.107693;0.878520;0.060784;0.455061;-0.036895;0.884327;0.097592;0.917935;0.079868;0.171440;0.348747;0.759501;0.096868;-0.289894;0.574226;0.621988;0.033834;-0.303772;0.720909;0.500082;-0.505105;-0.497525;0.497248;0.508298;-0.496745;-0.505872;0.488846;0.508298;-0.496745;-0.505872;0.488846;0.881301;-0.309920;-0.077833;0.348140;0.081679;0.920433;-0.141853;-0.354977;-0.300501;-0.532971;0.422382;0.668756;-0.474708;-0.394402;0.553996;0.558737;-0.371050;-0.380918;0.571683;0.624822;-0.466786;-0.283930;0.625542;0.556948;-0.466786;-0.283930;0.625542;0.556948;-0.294553;-0.489313;0.819208;0.052050;-0.362830;0.632938;-0.498024;0.468739;0.461131;-0.501129;0.630493;-0.372433;0.467139;-0.516127;0.520603;-0.494334;0.683933;0.000673;0.729228;-0.021482;0.266729;0.510753;0.752835;0.318161;0.213538;0.622701;0.663220;0.356067;0.298146;0.555571;0.650594;0.423293;-0.086043;0.855584;0.071188;0.505476;0.658862;-0.057884;0.750030;-0.002452;0.658862;-0.057884;0.750030;-0.002452;0.467619;0.489421;0.571281;0.464152;0.002452;0.750030;0.057884;0.658862;0.467619;0.489421;0.571281;0.464152;0.658862;-0.057884;0.750030;-0.002452
534522;1;0.490537;-0.350755;0.782146;-0.156817;0.512631;-0.176986;0.838724;-0.049270;0.459299;-0.100056;0.881322;0.048013;0.453970;-0.029058;0.886507;0.084691;0.915801;0.080960;0.205656;0.335350;0.749409;0.140053;-0.242998;0.599769;0.613303;0.088259;-0.266221;0.738374;0.567429;-0.457722;-0.409034;0.548823;0.629199;-0.405319;-0.461015;0.476749;0.629199;-0.405319;-0.461015;0.476749;0.918745;-0.278805;0.023193;0.278633;0.090024;0.911254;-0.153871;-0.371261;-0.266898;-0.555973;0.482499;0.621976;-0.422635;-0.407706;0.612933;0.528648;-0.421614;-0.373242;0.479562;0.673017;0.531099;0.285186;-0.536617;-0.590461;0.531099;0.285186;-0.536617;-0.590461;-0.360338;-0.457938;0.807566;0.091035;-0.360064;0.635430;-0.497646;0.467901;0.459094;-0.502202;0.631846;-0.371210;0.469196;-0.512980;0.517033;-0.499383;0.688924;0.000378;0.724449;-0.023612;0.261482;0.506270;0.763654;0.303564;0.204327;0.632309;0.663060;0.344655;0.299241;0.561625;0.643875;0.424803;-0.086382;0.855161;0.062156;0.507321;0.680086;-0.063194;0.729749;0.030917;0.680086;-0.063194;0.729749;0.030917;0.459032;0.471326;0.560696;0.502754;-0.030917;0.729749;0.063194;0.680086;0.459032;0.471326;0.560696;0.502754;0.680086;-0.063194;0.729749;0.030917
567866;1;0.493084;-0.340198;0.786280;-0.151317;0.513182;-0.179437;0.837719;-0.051706;0.476667;-0.102142;0.872214;0.039980;0.471926;-0.031867;0.877596;0.078076;0.922576;0.067501;0.179403;0.334832;0.746880;0.112385;-0.268895;0.597691;0.601187;0.052051;-0.286750;0.744070;0.594209;-0.439479;-0.407279;0.536560;0.658705;-0.383021;-0.460774;0.455071;0.658705;-0.383021;-0.460774;0.455071;0.925631;-0.248237;0.038485;0.283028;0.101176;0.906798;-0.155942;-0.378369;-0.246053;-0.573338;0.482242;0.614966;-0.413041;-0.409793;0.627171;0.517806;-0.439426;-0.360210;0.464475;0.679276;0.537178;0.285757;-0.513645;-0.604939;0.537178;0.285757;-0.513645;-0.604939;-0.377875;-0.466709;0.792804;0.104184;-0.363112;0.631049;-0.498348;0.470719;0.460474;-0.501545;0.628521;-0.376002;-0.463104;0.519190;-0.511672;0.504151;0.687966;-0.007849;0.725028;-0.031242;0.260696;0.509793;0.761143;0.304647;0.205430;0.631372;0.663766;0.344358;0.306385;0.552901;0.648829;0.423614;-0.080415;0.852481;0.071782;0.511523;0.646060;-0.060294;0.760024;0.036537;0.646060;-0.060294;0.760024;0.036537;0.430998;0.494784;0.580053;0.482668;-0.036537;0.760024;0.060294;0.646060;0.430998;0.494784;0.580053;0.482668;0.646060;-0.060294;0.760024;0.036537
601188;1;0.493139;-0.340214;0.786238;-0.151323;0.513234;-0.179503;0.837672;-0.051727;0.476793;-0.102236;0.872135;0.039961;0.472053;-0.031967;0.877525;0.078068;0.922593;0.067389;0.179299;0.334861;0.746866;0.112309;-0.268972;0.597689;0.601192;0.051968;-0.286807;0.744049;0.594361;-0.439746;-0.407130;0.536287;0.659045;-0.383077;-0.460851;0.454454;0.659045;-0.383077;-0.460851;0.454454;0.925800;-0.248338;0.038443;0.282391;0.101196;0.906888;-0.155892;-0.378167;-0.246010;-0.573499;0.482251;0.614827;-0.412980;-0.409920;0.627242;0.517668;-0.439313;-0.360405;0.464691;0.679099;0.536969;0.285977;-0.513854;-0.604843;0.536969;0.285977;-0.513854;-0.604843;-0.377503;-0.466388;0.793209;0.103886;-0.363195;0.631026;-0.498316;0.470721;0.460583;-0.501484;0.628521;-0.375951;-0.463281;0.519053;-0.511840;0.503959;0.687957;-0.007632;0.725050;-0.030982;0.260735;0.509741;0.761144;0.304699;0.205451;0.631338;0.663759;0.344422;0.306328;0.553007;0.648660;0.423776;-0.080571;0.852438;0.071588;0.511599;0.647327;-0.060242;0.758991;0.035672;0.647327;-0.060242;0.758991;0.035672;0.432505;0.494090;0.579285;0.482953;-0.035672;0.758991;0.060242;0.647327;0.432505;0.494090;0.579285;0.482953;0.647327;-0.060242;0.758991;0.035672
