timestamp;body_idx;PELVIS (w);PELVIS (x);PELVIS (y);PELVIS (z);SPINE_NAVEL (w);SPINE_NAVEL (x);SPINE_NAVEL (y);SPINE_NAVEL (z);SPINE_CHEST (w);SPINE_CHEST (x);SPINE_CHEST (y);SPINE_CHEST (z);NECK (w);NECK (x);NECK (y);NECK (z);CLAVICLE_LEFT (w);CLAVICLE_LEFT (x);CLAVICLE_LEFT (y);CLAVICLE_LEFT (z);SHOULDER_LEFT (w);SHOULDER_LEFT (x);SHOULDER_LEFT (y);SHOULDER_LEFT (z);ELBOW_LEFT (w);ELBOW_LEFT (x);ELBOW_LEFT (y);ELBOW_LEFT (z);WRIST_LEFT (w);WRIST_LEFT (x);WRIST_LEFT (y);WRIST_LEFT (z);HAND_LEFT (w);HAND_LEFT (x);HAND_LEFT (y);HAND_LEFT (z);HANDTIP_LEFT (w);HANDTIP_LEFT (x);HANDTIP_LEFT (y);HANDTIP_LEFT (z);THUMB_LEFT (w);THUMB_LEFT (x);THUMB_LEFT (y);THUMB_LEFT (z);CLAVICLE_RIGHT (w);CLAVICLE_RIGHT (x);CLAVICLE_RIGHT (y);CLAVICLE_RIGHT (z);SHOULDER_RIGHT (w);SHOULDER_RIGHT (x);SHOULDER_RIGHT (y);SHOULDER_RIGHT (z);ELBOW_RIGHT (w);ELBOW_RIGHT (x);ELBOW_RIGHT (y);ELBOW_RIGHT (z);WRIST_RIGHT (w);WRIST_RIGHT (x);WRIST_RIGHT (y);WRIST_RIGHT (z);HAND_RIGHT (w);HAND_RIGHT (x);HAND_RIGHT (y);HAND_RIGHT (z);HANDTIP_RIGHT (w);HANDTIP_RIGHT (x);HANDTIP_RIGHT (y);HANDTIP_RIGHT (z);THUMB_RIGHT (w);THUMB_RIGHT (x);THUMB_RIGHT (y);THUMB_RIGHT (z);HIP_LEFT (w);HIP_LEFT (x);HIP_LEFT (y);HIP_LEFT (z);KNEE_LEFT (w);KNEE_LEFT (x);KNEE_LEFT (y);KNEE_LEFT (z);ANKLE_LEFT (w);ANKLE_LEFT (x);ANKLE_LEFT (y);ANKLE_LEFT (z);FOOT_LEFT (w);FOOT_LEFT (x);FOOT_LEFT (y);FOOT_LEFT (z);HIP_RIGHT (w);HIP_RIGHT (x);HIP_RIGHT (y);HIP_RIGHT (z);KNEE_RIGHT (w);KNEE_RIGHT (x);KNEE_RIGHT (y);KNEE_RIGHT (z);ANKLE_RIGHT (w);ANKLE_RIGHT (x);ANKLE_RIGHT (y);ANKLE_RIGHT (z);FOOT_RIGHT (w);FOOT_RIGHT (x);FOOT_RIGHT (y);FOOT_RIGHT (z);HEAD (w);HEAD (x);HEAD (y);HEAD (z);NOSE (w);NOSE (x);NOSE (y);NOSE (z);EYE_LEFT (w);EYE_LEFT (x);EYE_LEFT (y);EYE_LEFT (z);EAR_LEFT (w);EAR_LEFT (x);EAR_LEFT (y);EAR_LEFT (z);EYE_RIGHT (w);EYE_RIGHT (x);EYE_RIGHT (y);EYE_RIGHT (z);EAR_RIGHT (w);EAR_RIGHT (x);EAR_RIGHT (y);EAR_RIGHT (z)
333555;1;0.843343;-0.023961;0.372852;-0.386237;0.862374;-0.004445;0.373595;-0.341640;0.841553;-0.069882;0.417436;-0.335637;0.865758;-0.036181;0.421696;-0.267069;0.866739;-0.341612;-0.359993;0.049700;0.656919;-0.261468;-0.589448;0.390697;0.554517;-0.385088;-0.517224;0.526020;0.082092;0.305688;0.948329;-0.022086;0.081970;0.300486;0.949990;-0.022535;0.081970;0.300486;0.949990;-0.022535;-0.308203;0.479816;0.712298;-0.409169;0.169813;0.894919;-0.391149;0.131474;-0.138132;-0.686238;0.712406;-0.049744;-0.138296;-0.688596;0.710127;-0.049286;0.699373;0.155740;-0.525178;-0.459141;0.536614;0.301031;-0.457654;-0.641855;0.536614;0.301031;-0.457654;-0.641855;-0.327149;0.818707;-0.468607;-0.055676;0.808131;0.024951;0.362356;-0.463680;0.879185;0.090603;0.351674;-0.308463;0.850182;0.052119;0.361240;-0.379448;0.871779;0.293467;0.214620;0.328354;0.499894;0.358417;0.297911;0.729995;0.433936;0.383259;0.265237;0.771013;0.544197;0.332702;0.293839;0.711911;-0.115150;0.448340;-0.024962;0.886064;0.798729;-0.080913;0.366619;-0.470186;0.798729;-0.080913;0.366619;-0.470186;0.897259;0.202025;0.316453;0.232315;0.470186;0.366619;0.080913;0.798729;0.897259;0.202025;0.316453;0.232315;0.798729;-0.080913;0.366619;-0.470186
366877;1;0.844364;-0.023932;0.372432;-0.384410;0.864540;-0.003068;0.373188;-0.336590;0.843334;-0.069023;0.418782;-0.329614;0.867051;-0.035217;0.422968;-0.260923;0.866423;-0.339176;-0.361795;0.058086;0.654757;-0.259512;-0.586875;0.399406;0.549274;-0.383780;-0.514278;0.535284;0.069287;0.299882;0.951159;-0.023812;0.069600;0.312607;0.947053;-0.022880;0.069600;0.312607;0.947053;-0.022880;-0.305490;0.443917;0.721932;-0.434083;0.163576;0.890711;-0.402802;0.132769;-0.122934;-0.693170;0.706930;-0.068209;-0.122993;-0.693785;0.706326;-0.068102;0.684924;0.140212;-0.462891;-0.544933;0.697066;0.129714;-0.465941;-0.529312;0.697066;0.129714;-0.465941;-0.529312;0.441797;0.766199;-0.326093;-0.333795;0.807622;0.021650;0.363002;-0.464227;0.879479;0.088269;0.352714;-0.307113;0.847312;0.044119;0.363336;-0.384841;0.873585;0.289236;0.221735;0.322529;0.502774;0.357781;0.298448;0.728107;0.444910;0.379900;0.269774;0.764822;0.555924;0.332276;0.315748;0.693429;-0.093717;0.463439;-0.009233;0.881111;0.780714;-0.123612;0.393422;-0.469493;0.780714;-0.123612;0.393422;-0.469493;0.884030;0.190785;0.365598;0.220066;0.469493;0.393422;0.123612;0.780714;0.884030;0.190785;0.365598;0.220066;0.780714;-0.123612;0.393422;-0.469493
400222;1;0.840910;-0.027991;0.376941;-0.387300;0.862562;-0.005405;0.377941;-0.336332;0.841581;-0.069862;0.423560;-0.327807;0.865159;-0.035670;0.427798;-0.259262;0.867377;-0.339426;-0.358260;0.064002;0.656192;-0.258602;-0.581004;0.406167;0.548314;-0.382383;-0.508157;0.543057;0.053387;0.295985;0.953297;-0.027707;0.054100;0.321045;0.945152;-0.026288;0.054100;0.321045;0.945152;-0.026288;-0.314453;0.414368;0.726828;-0.448487;0.162107;0.885455;-0.415672;0.130026;-0.109735;-0.696551;0.705318;-0.072814;-0.109914;-0.698286;0.703600;-0.072544;0.619534;0.205058;-0.515671;-0.555169;0.577816;0.241769;-0.499513;-0.598468;0.577816;0.241769;-0.499513;-0.598468;0.225595;0.838613;-0.433576;-0.240512;0.671817;-0.094510;0.508838;-0.529918;0.686370;-0.080314;0.511232;-0.510968;0.586792;-0.088889;0.434786;-0.677300;0.895710;0.243026;0.366028;-0.068308;0.503546;0.362854;0.303488;0.722962;0.447300;0.384905;0.275025;0.759034;0.573538;0.330747;0.339300;0.668234;-0.063366;0.478908;0.008387;0.875535;0.770809;-0.150083;0.405789;-0.467615;0.770809;-0.150083;0.405789;-0.467615;0.875698;0.180812;0.393061;0.214390;0.467615;0.405789;0.150083;0.770809;0.875698;0.180812;0.393061;0.214390;0.770809;-0.150083;0.405789;-0.467615
433555;1;0.840180;-0.028589;0.378496;-0.387325;0.862549;-0.005100;0.379540;-0.334562;0.841853;-0.068941;0.425272;-0.325075;0.865211;-0.034615;0.429431;-0.256517;0.867824;-0.337570;-0.358393;0.066947;0.655764;-0.256850;-0.580265;0.409016;0.546469;-0.381244;-0.507279;0.546528;0.049209;0.292006;0.954672;-0.030216;0.050142;0.322118;0.944937;-0.028641;0.050142;0.322118;0.944937;-0.028641;-0.312094;0.407590;0.726286;-0.457140;0.159278;0.883987;-0.419972;0.129697;0.102331;0.703365;-0.698857;0.080028;0.102413;0.704084;-0.698133;0.079923;0.643598;0.202018;-0.505506;-0.537991;0.611219;0.231077;-0.492900;-0.574512;0.611219;0.231077;-0.492900;-0.574512;0.328103;0.760737;-0.521318;-0.204586;0.659995;-0.099462;0.516928;-0.536003;0.672478;-0.087287;0.519084;-0.520294;0.578803;-0.097688;0.443514;-0.677303;0.890114;0.242903;0.378453;-0.073942;0.501673;0.365094;0.304620;0.722660;0.443686;0.387867;0.275081;0.759626;0.576670;0.332088;0.354263;0.657014;-0.053184;0.490364;0.018007;0.869707;0.767581;-0.165760;0.412609;-0.461623;0.767581;-0.165760;0.412609;-0.461623;0.869179;0.174548;0.408969;0.216345;0.461623;0.412609;0.165760;0.767581;0.869179;0.174548;0.408969;0.216345;0.767581;-0.165760;0.412609;-0.461623
466888;1;0.840179;-0.028592;0.378499;-0.387326;0.862549;-0.005101;0.379543;-0.334561;0.841853;-0.068944;0.425275;-0.325071;0.865210;-0.034617;0.429435;-0.256513;0.867825;-0.337569;-0.358391;0.066953;0.655764;-0.256849;-0.580261;0.409023;0.546466;-0.381242;-0.507275;0.546536;0.049206;0.292002;0.954673;-0.030224;0.050139;0.322121;0.944935;-0.028649;0.050139;0.322121;0.944935;-0.028649;-0.312091;0.407583;0.726283;-0.457153;0.159279;0.883990;-0.419966;0.129695;0.102324;0.703396;-0.698824;0.080056;0.102407;0.704117;-0.698097;0.079951;0.643906;0.201958;-0.505250;-0.537885;0.611606;0.230940;-0.492678;-0.574347;0.611606;0.230940;-0.492678;-0.574347;0.328865;0.760367;-0.521400;-0.204528;0.659973;-0.099483;0.516940;-0.536015;0.672448;-0.087315;0.519096;-0.520317;0.578764;-0.097735;0.443524;-0.677322;0.890101;0.242876;0.378494;-0.073982;0.501671;0.365097;0.304623;0.722658;0.443683;0.387871;0.275082;0.759626;0.576675;0.332088;0.354277;0.657002;-0.053172;0.490374;0.018016;0.869702;0.767576;-0.165783;0.412618;-0.461616;0.767576;-0.165783;0.412618;-0.461616;0.869170;0.174539;0.408991;0.216346;0.461616;0.412618;0.165783;0.767576;0.869170;0.174539;0.408991;0.216346;0.767576;-0.165783;0.412618;-0.461616
500200;1;0.840178;-0.028592;0.378499;-0.387326;0.862549;-0.005101;0.379543;-0.334561;0.841853;-0.068944;0.425275;-0.325071;0.865210;-0.034617;0.429435;-0.256513;0.867825;-0.337569;-0.358391;0.066953;0.655764;-0.256848;-0.580261;0.409023;0.546466;-0.381242;-0.507275;0.546536;0.049206;0.292002;0.954673;-0.030225;0.050139;0.322122;0.944935;-0.028649;0.050139;0.322122;0.944935;-0.028649;-0.312090;0.407583;0.726283;-0.457153;0.159279;0.883990;-0.419966;0.129695;0.102324;0.703397;-0.698823;0.080057;0.102407;0.704118;-0.698097;0.079951;0.643914;0.201956;-0.505243;-0.537883;0.611616;0.230935;-0.492673;-0.574342;0.611616;0.230935;-0.492673;-0.574342;0.328883;0.760359;-0.521400;-0.204528;0.659973;-0.099484;0.516940;-0.536015;0.672447;-0.087316;0.519096;-0.520317;0.578764;-0.097737;0.443525;-0.677323;0.890101;0.242876;0.378495;-0.073983;0.501671;0.365097;0.304623;0.722658;0.443683;0.387871;0.275082;0.759626;0.576675;0.332088;0.354277;0.657001;-0.053171;0.490374;0.018017;0.869702;0.767576;-0.165783;0.412619;-0.461616;0.767576;-0.165783;0.412619;-0.461616;0.869170;0.174539;0.408992;0.216346;0.461616;0.412619;0.165783;0.767576;0.869170;0.174539;0.408992;0.216346;0.767576;-0.165783;0.412619;-0.461616
533555;1;0.841026;-0.028960;0.377697;-0.386240;0.863886;-0.004883;0.378774;-0.331975;0.843270;-0.068064;0.424188;-0.322997;0.866456;-0.033828;0.428280;-0.254332;0.866814;-0.337092;-0.360723;0.069866;0.654441;-0.258640;-0.577984;0.413215;0.543215;-0.383403;-0.503946;0.551323;0.047686;0.289977;0.955144;-0.036603;0.049039;0.325983;0.943462;-0.034769;0.049039;0.325983;0.943462;-0.034769;-0.307538;0.406394;0.722365;-0.467389;0.155891;0.880836;-0.426701;0.133238;0.096969;0.707343;-0.694164;0.091648;0.097027;0.707783;-0.693716;0.091586;0.627669;0.310255;-0.511726;-0.497905;0.614124;0.323834;-0.503243;-0.514519;0.614124;0.323834;-0.503243;-0.514519;0.315107;0.701760;-0.633930;-0.079837;0.723971;-0.040226;0.453107;-0.518595;0.740661;-0.025340;0.454137;-0.494509;0.655257;-0.040306;0.411170;-0.632419;0.912358;0.261300;0.314942;0.011684;0.500697;0.364458;0.305552;0.723264;0.443072;0.387159;0.276266;0.759916;0.583240;0.328469;0.368406;0.645148;-0.040090;0.497733;0.030519;0.865865;0.761185;-0.185667;0.417185;-0.460524;0.761185;-0.185667;0.417185;-0.460524;0.863879;0.163708;0.426280;0.212600;0.460524;0.417185;0.185667;0.761185;0.863879;0.163708;0.426280;0.212600;0.761185;-0.185667;0.417185;-0.460524
566877;1;0.841361;-0.028936;0.377687;-0.385522;0.864562;-0.004415;0.378769;-0.330223;0.843814;-0.067441;0.424853;-0.320827;0.866824;-0.033154;0.428893;-0.252125;0.866905;-0.335658;-0.361439;0.071914;0.654119;-0.258090;-0.576984;0.415461;0.541767;-0.383206;-0.502666;0.554047;0.046339;0.287966;0.955696;-0.039673;0.047940;0.327234;0.942972;-0.037723;0.047940;0.327234;0.942972;-0.037723;-0.304699;0.406393;0.719913;-0.473000;0.153813;0.880347;-0.428391;0.133460;0.096325;0.711594;-0.689026;0.097971;0.096374;0.711935;-0.688674;0.097923;0.580406;0.412795;-0.588068;-0.383282;0.577607;0.417055;-0.585055;-0.387488;0.577607;0.417055;-0.585055;-0.387488;0.285501;0.781079;-0.551827;0.062380;0.746205;-0.019620;0.428817;-0.508831;0.764086;-0.004186;0.429197;-0.481607;0.681102;-0.024429;0.397658;-0.614305;0.917809;0.263216;0.294137;0.042741;0.499924;0.364502;0.305901;0.723629;0.442566;0.387123;0.276760;0.760049;0.585409;0.327327;0.375286;0.639776;-0.034734;0.501754;0.036177;0.863555;0.756852;-0.204326;0.426830;-0.450824;0.756852;-0.204326;0.426830;-0.450824;0.853956;0.157334;0.446294;0.216395;0.450824;0.426830;0.204326;0.756852;0.853956;0.157334;0.446294;0.216395;0.756852;-0.204326;0.426830;-0.450824
600222;1;0.841366;-0.028938;0.377682;-0.385516;0.864571;-0.004413;0.378763;-0.330206;0.843824;-0.067425;0.424845;-0.320815;0.866833;-0.033138;0.428883;-0.252113;0.866901;-0.335647;-0.361457;0.071917;0.654117;-0.258094;-0.576980;0.415468;0.541759;-0.383212;-0.502659;0.554057;0.046326;0.287967;0.955696;-0.039682;0.047928;0.327258;0.942964;-0.037732;0.047928;0.327258;0.942964;-0.037732;-0.304710;0.406369;0.719913;-0.473013;0.153781;0.880319;-0.428454;0.133479;0.096305;0.711555;-0.689069;0.097976;0.096352;0.711888;-0.688725;0.097929;0.577504;0.415972;-0.590374;-0.380677;0.575916;0.418423;-0.588640;-0.383075;0.575916;0.418423;-0.588640;-0.383075;0.273108;0.783157;-0.554857;0.064889;0.746202;-0.019558;0.428689;-0.508946;0.764100;-0.004118;0.429066;-0.481702;0.681113;-0.024436;0.397596;-0.614333;0.917837;0.263167;0.294097;0.042728;0.499915;0.364489;0.305921;0.723633;0.442568;0.387107;0.276787;0.760046;0.585383;0.327331;0.375389;0.639738;-0.034725;0.501829;0.036246;0.863509;0.756833;-0.204402;0.426853;-0.450799;0.756833;-0.204402;0.426853;-0.450799;0.853925;0.157296;0.446365;0.216399;0.450799;0.426853;0.204402;0.756834;0.853925;0.157296;0.446365;0.216399;0.756833;-0.204402;0.426853;-0.450799
633544;1;0.841387;-0.028933;0.377677;-0.385475;0.864611;-0.004384;0.378758;-0.330108;0.843847;-0.067325;0.424873;-0.320738;0.866850;-0.033036;0.428904;-0.252034;0.866926;-0.335554;-0.361478;0.071946;0.654201;-0.258092;-0.576842;0.415526;0.541805;-0.383200;-0.502510;0.554155;0.045963;0.287990;0.955704;-0.039749;0.047575;0.327453;0.942911;-0.037805;0.047575;0.327453;0.942911;-0.037805;-0.304848;0.406326;0.719719;-0.473256;0.153605;0.880175;-0.428806;0.133502;0.095891;0.711651;-0.689019;0.098032;0.095938;0.711979;-0.688680;0.097987;0.563677;0.433656;-0.601404;-0.364037;0.567841;0.426686;-0.606370;-0.357507;0.567841;0.426686;-0.606370;-0.357507;0.195166;0.797711;-0.565562;0.075544;0.746217;-0.019027;0.427717;-0.509761;0.764242;-0.003535;0.428076;-0.482361;0.681238;-0.024424;0.397132;-0.614495;0.918038;0.262848;0.293759;0.042703;0.499862;0.364483;0.305961;0.723656;0.442535;0.387097;0.276838;0.760052;0.585251;0.327422;0.375942;0.639487;-0.034640;0.502282;0.036575;0.863236;0.756500;-0.205406;0.427356;-0.450425;0.756500;-0.205406;0.427356;-0.450425;0.853425;0.156943;0.447430;0.216428;0.450425;0.427356;0.205406;0.756500;0.853425;0.156943;0.447430;0.216428;0.756500;-0.205406;0.427356;-0.450425
