timestamp;body_idx;PELVIS (c);PELVIS (x);PELVIS (y);PELVIS (z);SPINE_NAVEL (c);SPINE_NAVEL (x);SPINE_NAVEL (y);SPINE_NAVEL (z);SPINE_CHEST (c);SPINE_CHEST (x);SPINE_CHEST (y);SPINE_CHEST (z);NECK (c);NECK (x);NECK (y);NECK (z);CLAVICLE_LEFT (c);CLAVICLE_LEFT (x);CLAVICLE_LEFT (y);CLAVICLE_LEFT (z);SHOULDER_LEFT (c);SHOULDER_LEFT (x);SHOULDER_LEFT (y);SHOULDER_LEFT (z);ELBOW_LEFT (c);ELBOW_LEFT (x);ELBOW_LEFT (y);ELBOW_LEFT (z);WRIST_LEFT (c);WRIST_LEFT (x);WRIST_LEFT (y);WRIST_LEFT (z);HAND_LEFT (c);HAND_LEFT (x);HAND_LEFT (y);HAND_LEFT (z);HANDTIP_LEFT (c);HANDTIP_LEFT (x);HANDTIP_LEFT (y);HANDTIP_LEFT (z);THUMB_LEFT (c);THUMB_LEFT (x);THUMB_LEFT (y);THUMB_LEFT (z);CLAVICLE_RIGHT (c);CLAVICLE_RIGHT (x);CLAVICLE_RIGHT (y);CLAVICLE_RIGHT (z);SHOULDER_RIGHT (c);SHOULDER_RIGHT (x);SHOULDER_RIGHT (y);SHOULDER_RIGHT (z);ELBOW_RIGHT (c);ELBOW_RIGHT (x);ELBOW_RIGHT (y);ELBOW_RIGHT (z);WRIST_RIGHT (c);WRIST_RIGHT (x);WRIST_RIGHT (y);WRIST_RIGHT (z);HAND_RIGHT (c);HAND_RIGHT (x);HAND_RIGHT (y);HAND_RIGHT (z);HANDTIP_RIGHT (c);HANDTIP_RIGHT (x);HANDTIP_RIGHT (y);HANDTIP_RIGHT (z);THUMB_RIGHT (c);THUMB_RIGHT (x);THUMB_RIGHT (y);THUMB_RIGHT (z);HIP_LEFT (c);HIP_LEFT (x);HIP_LEFT (y);HIP_LEFT (z);KNEE_LEFT (c);KNEE_LEFT (x);KNEE_LEFT (y);KNEE_LEFT (z);ANKLE_LEFT (c);ANKLE_LEFT (x);ANKLE_LEFT (y);ANKLE_LEFT (z);FOOT_LEFT (c);FOOT_LEFT (x);FOOT_LEFT (y);FOOT_LEFT (z);HIP_RIGHT (c);HIP_RIGHT (x);HIP_RIGHT (y);HIP_RIGHT (z);KNEE_RIGHT (c);KNEE_RIGHT (x);KNEE_RIGHT (y);KNEE_RIGHT (z);ANKLE_RIGHT (c);ANKLE_RIGHT (x);ANKLE_RIGHT (y);ANKLE_RIGHT (z);FOOT_RIGHT (c);FOOT_RIGHT (x);FOOT_RIGHT (y);FOOT_RIGHT (z);HEAD (c);HEAD (x);HEAD (y);HEAD (z);NOSE (c);NOSE (x);NOSE (y);NOSE (z);EYE_LEFT (c);EYE_LEFT (x);EYE_LEFT (y);EYE_LEFT (z);EAR_LEFT (c);EAR_LEFT (x);EAR_LEFT (y);EAR_LEFT (z);EYE_RIGHT (c);EYE_RIGHT (x);EYE_RIGHT (y);EYE_RIGHT (z);EAR_RIGHT (c);EAR_RIGHT (x);EAR_RIGHT (y);EAR_RIGHT (z)
333555;1;2;-106.008560;109.561325;1845.945801;2;-51.584000;20.261080;1766.389648;2;-0.384893;-41.989857;1699.021973;2;67.412018;-142.178894;1594.454102;2;74.514542;-130.387054;1627.826782;2;151.992233;-95.420212;1689.955078;2;151.954651;71.792099;1805.994263;2;136.847672;239.496445;1834.776978;2;84.155861;284.486603;1819.633423;2;20.012804;329.628601;1806.160889;2;90.715897;315.183289;1806.862671;2;37.179916;-122.053680;1596.308716;2;-26.692778;-58.567593;1560.648438;2;-22.546574;141.352325;1505.674561;2;-20.225037;308.173309;1459.955200;2;-21.302317;365.699402;1409.747070;2;-2.305076;441.139923;1401.554443;2;-20.121672;385.114868;1487.102539;2;-62.531338;92.932961;1894.353760;1;-153.168823;308.573822;2073.861572;1;-311.633820;443.457245;2263.863770;1;-274.053528;571.754395;2298.006836;2;-145.213867;124.555847;1802.294434;2;-216.870697;402.420013;1868.694336;2;-310.732666;650.853638;1971.434937;2;-266.233429;748.380554;1903.434692;2;97.595871;-171.836746;1551.686646;2;183.579758;-140.725220;1476.548706;2;183.884338;-179.542511;1490.426514;2;153.476318;-222.681473;1567.448120;2;159.180679;-167.012497;1463.676025;2;69.114258;-195.560776;1483.302124
366877;1;2;-105.813652;111.247307;1849.748779;2;-50.730934;21.921873;1769.875732;2;1.442689;-39.684292;1702.061646;2;70.419487;-138.723206;1596.276978;2;77.460609;-127.069946;1629.854736;2;154.756897;-90.498497;1691.941772;2;153.144073;78.568733;1806.587158;2;135.652130;247.068527;1833.007690;2;81.857178;291.643188;1819.366089;2;18.366165;338.684570;1807.693359;2;82.798248;320.861755;1806.123047;2;39.869469;-118.856491;1598.322998;2;-22.372589;-53.321011;1562.518799;2;-20.539791;147.178650;1506.658813;2;-19.312403;314.434601;1460.085571;2;-17.712135;378.213837;1417.614014;2;-18.140318;445.641754;1377.394287;2;-25.562740;393.803589;1457.055298;2;-62.180656;94.671448;1898.376831;1;-152.573135;311.925964;2077.844971;1;-311.675812;447.096893;2268.646240;1;-272.862396;576.176147;2300.432617;2;-145.159439;126.194489;1805.898682;2;-215.641739;405.762726;1871.201660;2;-305.800812;658.846863;1968.677246;2;-261.078766;752.159485;1894.333252;2;100.976379;-167.844345;1553.096191;2;179.222961;-139.341904;1468.390625;2;181.381439;-177.617355;1483.956665;2;158.994766;-217.593140;1565.705688;2;153.961365;-166.508499;1459.086914;2;66.259125;-195.034119;1488.672363
400222;1;2;-101.338760;113.622917;1853.113281;2;-47.600555;23.361273;1772.838013;2;3.984284;-38.399536;1704.311523;2;72.223114;-137.230362;1597.257446;2;79.606606;-125.635414;1630.878662;2;157.480606;-88.109467;1692.114380;2;156.441437;82.587883;1805.243652;2;138.176041;251.742004;1829.641113;2;83.497322;296.046753;1817.836548;2;20.398258;344.413910;1808.296143;2;80.811317;324.217926;1805.639771;2;41.582062;-117.380501;1599.684814;2;-18.901434;-49.749397;1564.110107;2;-17.743294;151.940399;1510.644531;2;-17.633520;320.194672;1466.089722;2;-5.351063;386.227081;1428.777954;2;11.598885;459.672485;1406.120361;2;-13.237258;403.195038;1473.272583;2;-57.037300;97.074615;1901.376587;2;-33.463917;336.842621;2074.492188;2;-20.735723;558.997253;2250.196533;2;83.511940;639.446228;2206.221436;2;-141.287323;128.545258;1809.592163;2;-209.317154;409.584656;1874.498779;2;-296.284149;664.791138;1971.417480;2;-250.530991;751.873047;1889.942017;2;102.462799;-166.233932;1553.567871;2;176.006866;-139.475677;1463.817261;2;179.450729;-177.319031;1480.445068;2;161.809845;-215.071518;1564.642456;2;150.564392;-167.252106;1456.666504;2;64.669373;-195.845657;1491.761597
433555;1;2;-100.139420;114.763161;1855.937744;2;-46.579983;24.271839;1775.252319;2;5.129878;-37.297760;1706.237793;2;73.650124;-135.579895;1598.251587;2;81.090790;-124.097244;1631.997559;2;159.059204;-86.059464;1693.260254;2;157.416168;85.268646;1806.365479;2;138.108582;254.843002;1830.093506;2;82.828728;298.793793;1818.682251;2;19.614965;347.432434;1809.593750;2;79.149734;326.647827;1805.850464;2;42.863346;-115.808144;1600.859375;2;-17.087326;-47.300755;1565.385132;2;-19.260553;154.924301;1511.915527;2;-21.432264;323.609589;1467.325439;2;-13.650892;389.534027;1428.254272;2;-2.128217;462.924835;1401.660645;2;-7.529790;411.752838;1454.141846;2;-55.554974;98.155571;1904.159058;2;-23.128365;339.168610;2075.387939;2;-0.301022;563.830139;2248.011719;2;103.262383;643.993591;2200.902832;2;-140.343155;129.738953;1812.454346;2;-208.694214;411.242584;1878.421509;2;-296.415344;666.148926;1977.564819;2;-251.877136;750.736816;1892.367798;2;103.968063;-164.322159;1554.232788;2;174.544632;-137.545105;1461.747681;2;179.135101;-175.181519;1478.823608;2;164.594620;-212.121460;1564.230225;2;149.317612;-165.911972;1455.720215;2;64.782814;-195.510086;1493.834106
466888;1;2;-100.137924;114.764618;1855.940063;2;-46.578918;24.272800;1775.254395;2;5.130917;-37.296757;1706.239258;2;73.651184;-135.578537;1598.251953;2;81.092072;-124.095856;1631.998047;2;159.060822;-86.056976;1693.260254;2;157.417435;85.272614;1806.364258;2;138.108398;254.847580;1830.090332;2;82.827896;298.797913;1818.678955;2;19.614264;347.437073;1809.590576;2;79.147743;326.651428;1805.846680;2;42.864204;-115.806961;1600.859985;2;-17.087679;-47.300079;1565.385986;2;-19.278496;154.923828;1511.910400;2;-21.465866;323.608093;1467.315308;2;-13.744070;389.535339;1428.236450;2;-2.285975;462.926666;1401.615723;2;-7.571327;411.755371;1454.019043;2;-55.553032;98.157082;1904.161499;2;-23.111265;339.175629;2075.381348;2;-0.264117;563.846497;2247.991699;2;103.297264;644.003662;2200.866455;2;-140.342087;129.740372;1812.456787;2;-208.693008;411.244812;1878.424927;2;-296.414398;666.151245;1977.570312;2;-251.876862;750.736267;1892.369507;2;103.969070;-164.320602;1554.232666;2;174.541412;-137.544052;1461.743652;2;179.133423;-175.180099;1478.820312;2;164.597275;-212.118530;1564.228516;2;149.314636;-165.911682;1455.718018;2;64.781799;-195.510803;1493.836182
500200;1;2;-100.137901;114.764648;1855.940063;2;-46.578903;24.272821;1775.254395;2;5.130928;-37.296738;1706.239258;2;73.651176;-135.578522;1598.251953;2;81.092072;-124.095825;1631.998047;2;159.060837;-86.056923;1693.260254;2;157.417465;85.272659;1806.364136;2;138.108414;254.847610;1830.090210;2;82.827911;298.797913;1818.678833;2;19.614294;347.437073;1809.590454;2;79.147736;326.651398;1805.846558;2;42.864197;-115.806938;1600.859985;2;-17.087713;-47.300072;1565.385986;2;-19.278925;154.923798;1511.910278;2;-21.466646;323.608032;1467.315063;2;-13.746263;389.535339;1428.236084;2;-2.289803;462.926605;1401.614502;2;-7.572548;411.755310;1454.016357;2;-55.552998;98.157097;1904.161499;2;-23.110893;339.175781;2075.381348;2;-0.263302;563.846802;2247.991455;2;103.298035;644.003845;2200.865967;2;-140.342072;129.740402;1812.456787;2;-208.692993;411.244812;1878.424927;2;-296.414368;666.151184;1977.570312;2;-251.876831;750.736206;1892.369507;2;103.969055;-164.320587;1554.232666;2;174.541245;-137.544052;1461.743652;2;179.133301;-175.180099;1478.820190;2;164.597305;-212.118500;1564.228516;2;149.314499;-165.911682;1455.717896;2;64.781723;-195.510849;1493.836304
533555;1;2;-100.619453;115.134933;1859.503174;2;-46.605171;24.648151;1778.835815;2;5.660437;-36.602959;1709.747192;2;75.002228;-134.452042;1601.582275;2;82.296577;-123.018929;1635.427490;2;159.923874;-84.277763;1696.919067;2;157.945435;88.362396;1808.492798;2;137.959457;258.377075;1830.015259;2;82.379860;302.062195;1818.463623;2;19.469925;351.229980;1809.203857;2;78.121620;329.538177;1804.575806;2;44.091866;-114.779938;1604.145020;2;-14.638949;-45.305744;1568.167847;2;-18.717873;156.661011;1512.813721;2;-22.341711;325.128021;1466.642090;2;-18.683447;395.453094;1435.187256;2;-15.841785;471.133911;1412.680298;2;4.575143;415.789429;1443.701172;2;-56.010254;98.649170;1907.865601;1;-71.348640;333.123230;2090.820312;1;-99.365517;548.155457;2275.148682;1;0.692673;642.506165;2252.633057;2;-140.845520;130.000870;1815.892456;2;-210.142670;411.713531;1881.701538;2;-298.606018;666.904724;1980.522705;2;-254.439178;748.045959;1891.613525;2;105.614723;-162.994202;1557.529541;2;173.085159;-138.035065;1462.067383;2;178.626236;-175.182480;1480.038818;2;167.127914;-209.933670;1566.947998;2;147.968658;-166.852493;1457.602783;2;64.879227;-196.287033;1499.183716
566877;1;2;-101.119926;115.460968;1861.440186;2;-46.942699;25.080404;1780.714233;2;5.581785;-35.872864;1711.522217;2;75.210136;-133.140106;1602.963501;2;82.486214;-121.794701;1636.850830;2;159.959152;-82.724724;1698.370239;2;157.690048;90.266464;1809.478516;2;137.104980;260.349335;1830.191772;2;81.296249;303.773865;1818.663086;2;18.486538;353.100037;1809.409302;2;76.863602;331.099274;1804.041016;2;44.227726;-113.577431;1605.610474;2;-14.221807;-43.789825;1569.722290;2;-20.776995;157.696121;1512.701660;2;-26.417959;325.760498;1465.138062;2;-23.366642;395.474121;1432.247925;2;-24.562216;469.412750;1404.379150;2;-19.937586;415.443268;1442.879028;2;-56.488770;99.007355;1909.814697;1;-90.568962;330.215881;2094.494385;1;-138.305344;540.749695;2280.057617;1;-41.453175;639.889404;2265.214844;2;-141.365814;130.297913;1817.818726;2;-211.119507;411.933197;1883.777466;2;-299.875977;667.098755;1982.589233;2;-256.162842;746.696045;1892.033936;2;105.901482;-161.434845;1558.787354;2;169.026581;-136.247223;1460.423462;2;176.117950;-173.023163;1478.634155;2;168.812546;-206.857269;1566.377808;2;144.419617;-165.686615;1457.309814;2;63.693077;-196.427048;1502.495361
600222;1;2;-101.121330;115.465324;1861.455322;2;-46.940643;25.083862;1780.728882;2;5.587973;-35.867939;1711.535889;2;75.222336;-133.132294;1602.974121;2;82.497314;-121.787727;1636.862793;2;159.968811;-82.716225;1698.386230;2;157.699234;90.279968;1809.493286;2;137.112717;260.366333;1830.201904;2;81.302780;303.791656;1818.674316;2;18.494278;353.121857;1809.421631;2;76.867134;331.116364;1804.053589;2;44.239037;-113.569832;1605.621094;2;-14.200021;-43.772259;1569.730591;2;-20.730249;157.719284;1512.713257;2;-26.346344;325.788452;1465.152588;2;-23.128084;395.552643;1432.382446;2;-24.196104;469.350891;1404.135132;2;-19.450733;416.132111;1444.007568;2;-56.489708;99.012314;1909.831299;2;-90.566032;330.257843;2094.473877;1;-138.314758;540.823364;2280.005615;1;-41.457973;639.961548;2265.160400;2;-141.367630;130.301712;1817.832642;2;-211.133575;411.941254;1883.783203;2;-299.897614;667.114868;1982.582031;2;-256.203339;746.703430;1892.006592;2;105.916008;-161.425629;1558.797363;2;169.027481;-136.240646;1460.421509;2;176.124191;-173.015198;1478.634644;2;168.832657;-206.843323;1566.383301;2;144.421951;-165.682724;1457.313477;2;63.702255;-196.426254;1502.512817
633544;1;2;-101.140900;115.488564;1861.592773;2;-46.946247;25.106535;1780.857544;2;5.601395;-35.833000;1711.654175;2;75.249939;-133.074081;1603.059937;2;82.524040;-121.736809;1636.954590;2;159.998123;-82.661942;1698.488525;2;157.773438;90.364304;1809.582520;2;137.199066;260.470703;1830.262451;2;81.379128;303.904877;1818.778320;2;18.580347;353.267792;1809.573608;2;76.935974;331.229950;1804.122559;2;44.262810;-113.512291;1605.711182;2;-14.120989;-43.656216;1569.821655;2;-20.675743;157.880386;1512.900146;2;-26.309864;325.987152;1465.419189;2;-22.681744;395.953644;1433.110718;2;-23.393774;468.939056;1402.796753;2;-18.417181;420.204865;1451.859741;2;-56.505287;99.036034;1909.973389;2;-90.586060;330.521942;2094.355225;1;-138.460434;541.287170;2279.665283;1;-41.578762;640.418701;2264.824463;2;-141.390808;130.324539;1817.965820;2;-211.196625;411.980011;1883.922485;2;-299.989746;667.172302;1982.718994;2;-256.398193;746.711304;1892.035034;2;105.948967;-161.356842;1558.872803;2;168.835632;-136.198883;1460.333740;2;176.004990;-172.953995;1478.565674;2;168.928528;-206.714157;1566.367065;2;144.248505;-165.668747;1457.303223;2;63.645340;-196.448853;1502.703369
