timestamp;body_idx;PELVIS (w);PELVIS (x);PELVIS (y);PELVIS (z);SPINE_NAVEL (w);SPINE_NAVEL (x);SPINE_NAVEL (y);SPINE_NAVEL (z);SPINE_CHEST (w);SPINE_CHEST (x);SPINE_CHEST (y);SPINE_CHEST (z);NECK (w);NECK (x);NECK (y);NECK (z);CLAVICLE_LEFT (w);CLAVICLE_LEFT (x);CLAVICLE_LEFT (y);CLAVICLE_LEFT (z);SHOULDER_LEFT (w);SHOULDER_LEFT (x);SHOULDER_LEFT (y);SHOULDER_LEFT (z);ELBOW_LEFT (w);ELBOW_LEFT (x);ELBOW_LEFT (y);ELBOW_LEFT (z);WRIST_LEFT (w);WRIST_LEFT (x);WRIST_LEFT (y);WRIST_LEFT (z);HAND_LEFT (w);HAND_LEFT (x);HAND_LEFT (y);HAND_LEFT (z);HANDTIP_LEFT (w);HANDTIP_LEFT (x);HANDTIP_LEFT (y);HANDTIP_LEFT (z);THUMB_LEFT (w);THUMB_LEFT (x);THUMB_LEFT (y);THUMB_LEFT (z);CLAVICLE_RIGHT (w);CLAVICLE_RIGHT (x);CLAVICLE_RIGHT (y);CLAVICLE_RIGHT (z);SHOULDER_RIGHT (w);SHOULDER_RIGHT (x);SHOULDER_RIGHT (y);SHOULDER_RIGHT (z);ELBOW_RIGHT (w);ELBOW_RIGHT (x);ELBOW_RIGHT (y);ELBOW_RIGHT (z);WRIST_RIGHT (w);WRIST_RIGHT (x);WRIST_RIGHT (y);WRIST_RIGHT (z);HAND_RIGHT (w);HAND_RIGHT (x);HAND_RIGHT (y);HAND_RIGHT (z);HANDTIP_RIGHT (w);HANDTIP_RIGHT (x);HANDTIP_RIGHT (y);HANDTIP_RIGHT (z);THUMB_RIGHT (w);THUMB_RIGHT (x);THUMB_RIGHT (y);THUMB_RIGHT (z);HIP_LEFT (w);HIP_LEFT (x);HIP_LEFT (y);HIP_LEFT (z);KNEE_LEFT (w);KNEE_LEFT (x);KNEE_LEFT (y);KNEE_LEFT (z);ANKLE_LEFT (w);ANKLE_LEFT (x);ANKLE_LEFT (y);ANKLE_LEFT (z);FOOT_LEFT (w);FOOT_LEFT (x);FOOT_LEFT (y);FOOT_LEFT (z);HIP_RIGHT (w);HIP_RIGHT (x);HIP_RIGHT (y);HIP_RIGHT (z);KNEE_RIGHT (w);KNEE_RIGHT (x);KNEE_RIGHT (y);KNEE_RIGHT (z);ANKLE_RIGHT (w);ANKLE_RIGHT (x);ANKLE_RIGHT (y);ANKLE_RIGHT (z);FOOT_RIGHT (w);FOOT_RIGHT (x);FOOT_RIGHT (y);FOOT_RIGHT (z);HEAD (w);HEAD (x);HEAD (y);HEAD (z);NOSE (w);NOSE (x);NOSE (y);NOSE (z);EYE_LEFT (w);EYE_LEFT (x);EYE_LEFT (y);EYE_LEFT (z);EAR_LEFT (w);EAR_LEFT (x);EAR_LEFT (y);EAR_LEFT (z);EYE_RIGHT (w);EYE_RIGHT (x);EYE_RIGHT (y);EYE_RIGHT (z);EAR_RIGHT (w);EAR_RIGHT (x);EAR_RIGHT (y);EAR_RIGHT (z)
333511;1;0.521069;-0.320944;0.703850;-0.360662;0.583352;-0.171629;0.754290;-0.247569;0.559112;-0.026407;0.784890;-0.265790;0.578626;0.036621;0.784480;-0.220097;0.984140;-0.168484;0.049828;-0.024467;0.931279;0.123106;-0.184449;0.289040;0.507939;-0.029497;-0.219787;0.832359;-0.208090;-0.455959;-0.485773;0.716117;-0.378978;-0.041365;0.664954;-0.642263;-0.378978;-0.041365;0.664954;-0.642263;0.490261;-0.488546;-0.166443;0.702328;0.183724;0.854989;-0.394522;-0.282120;0.272561;0.660473;-0.620350;-0.323500;-0.324417;-0.543193;0.725258;0.271469;0.547695;0.339902;-0.475900;-0.598345;0.643849;0.251485;-0.527986;-0.493401;0.643849;0.251485;-0.527986;-0.493401;-0.336741;-0.654385;0.663499;0.134738;-0.233889;0.665830;-0.278357;0.651524;0.594120;-0.338129;0.637595;-0.355193;-0.455142;0.517701;-0.500960;0.523327;0.695784;-0.014450;0.716334;-0.050420;0.499286;0.295928;0.792818;0.185958;0.201585;0.783592;0.319430;0.493266;0.315216;0.673020;0.520320;0.420654;-0.073092;0.847288;-0.104093;0.515680;0.815479;0.030720;0.572460;-0.079616;0.815479;0.030720;0.572460;-0.079616;0.632928;0.426513;0.383068;0.520334;0.079616;0.572460;-0.030720;0.815479;0.632928;0.426513;0.383068;0.520334;0.815479;0.030720;0.572460;-0.079616
366888;1;0.508649;-0.329797;0.720944;-0.335783;0.583077;-0.111429;0.784927;-0.177470;0.550056;-0.017220;0.790656;-0.268338;0.569803;0.046241;0.789491;-0.223363;0.983159;-0.178244;0.010951;-0.038829;0.921539;0.148127;-0.179600;0.310754;0.516548;0.000942;-0.232802;0.824003;-0.163635;-0.265156;-0.476750;0.821964;0.385974;0.090970;-0.537888;0.743926;0.385974;0.090970;-0.537888;0.743926;0.388000;-0.462158;-0.129278;0.786863;0.179328;0.841075;-0.401518;-0.314988;0.289204;0.652707;-0.605528;-0.351668;-0.353946;-0.517778;0.724291;0.286411;-0.466593;-0.474422;0.580366;0.469458;0.541534;0.365560;-0.654420;-0.380580;0.541534;0.365560;-0.654420;-0.380580;-0.283918;-0.655487;0.695268;-0.079559;-0.242268;0.678365;-0.272978;0.637660;0.592913;-0.349119;0.642541;-0.337211;-0.441575;0.536619;-0.475700;0.539222;0.697338;-0.045791;0.711738;-0.071081;0.479549;0.262267;0.824693;0.145363;0.191259;0.804313;0.319215;0.463252;0.281471;0.694923;0.533972;0.390805;-0.076065;0.872188;-0.109810;0.470578;0.827619;0.065563;0.549132;-0.095927;0.827619;0.065563;0.549132;-0.095927;0.653046;0.434655;0.341935;0.517385;0.095927;0.549132;-0.065563;0.827619;0.653046;0.434655;0.341935;0.517385;0.827619;0.065563;0.549132;-0.095927
400222;1;0.506689;-0.336159;0.718618;-0.337420;0.585596;-0.100320;0.786988;-0.166324;0.552254;-0.007198;0.789129;-0.268774;0.572029;0.056108;0.787165;-0.223621;0.983153;-0.175770;-0.002007;-0.050104;0.920944;0.137262;-0.189754;0.311473;0.526214;-0.010882;-0.233942;0.817467;-0.142968;-0.176695;-0.442938;0.867263;0.378342;0.108155;-0.464454;0.793374;0.378342;0.108155;-0.464454;0.793374;0.278421;-0.456111;-0.071249;0.842240;0.162948;0.844712;-0.388229;-0.330437;0.276507;0.659469;-0.619708;-0.323429;-0.327441;-0.544582;0.722750;0.271744;0.523840;0.409156;-0.517554;-0.538814;0.610061;0.312254;-0.581179;-0.438810;0.610061;0.312254;-0.581179;-0.438810;-0.284142;-0.663527;0.690680;0.044232;-0.243801;0.677486;-0.274345;0.637423;0.593895;-0.347666;0.642984;-0.336139;-0.443057;0.540178;-0.480442;0.530173;0.692044;-0.044933;0.717640;-0.063622;0.480303;0.258475;0.826041;0.141972;0.186714;0.808176;0.309707;0.464834;0.274903;0.701868;0.526137;0.393689;-0.082820;0.871585;-0.120224;0.468003;0.830618;0.096936;0.545269;-0.057956;0.830618;0.096936;0.545269;-0.057956;0.628317;0.454107;0.317019;0.546354;0.057956;0.545269;-0.096936;0.830618;0.628317;0.454107;0.317019;0.546354;0.830618;0.096936;0.545269;-0.057956
433555;1;0.506924;-0.328821;0.722275;-0.336487;0.586003;-0.089967;0.788486;-0.163694;0.559832;-0.004831;0.784659;-0.266226;0.579378;0.058109;0.782519;-0.220473;0.983401;-0.173107;-0.011524;-0.053135;0.914389;0.178448;-0.171895;0.320159;0.528040;0.036176;-0.245118;0.812270;-0.115460;-0.044980;-0.414010;0.901799;0.359932;0.172150;-0.379199;0.834878;0.359932;0.172150;-0.379199;0.834878;0.156469;-0.363803;0.021569;0.917987;0.158092;0.848595;-0.387572;-0.323545;0.280160;0.662892;-0.614566;-0.323101;-0.330725;-0.549518;0.717737;0.271117;0.624865;0.360922;-0.366197;-0.587519;0.704107;0.303455;-0.415067;-0.489763;0.704107;0.303455;-0.415067;-0.489763;0.258920;0.684393;-0.644373;-0.222147;-0.235051;0.683088;-0.263559;0.639280;0.595454;-0.345280;0.645679;-0.330629;-0.435933;0.546375;-0.471920;0.537335;0.692029;-0.055392;0.715962;-0.073665;0.481113;0.249610;0.829953;0.131921;0.181965;0.814489;0.296053;0.464595;0.268594;0.706740;0.524602;0.391368;-0.085692;0.873927;-0.124728;0.461899;0.832657;0.103185;0.543034;-0.033902;0.832657;0.103185;0.543034;-0.033902;0.612750;0.456946;0.311021;0.564805;0.033902;0.543034;-0.103185;0.832657;0.612750;0.456946;0.311021;0.564805;0.832657;0.103185;0.543034;-0.033902
466866;1;0.508581;-0.317152;0.716934;-0.356042;0.593972;-0.078969;0.779964;-0.180606;0.543937;-0.002054;0.788878;-0.286006;0.565121;0.061215;0.786502;-0.241465;0.980084;-0.189882;-0.004185;-0.057984;0.909475;0.188021;-0.169153;0.329987;0.529547;0.048912;-0.248138;0.809701;-0.115658;-0.001604;-0.500330;0.858074;0.324717;0.246522;-0.435385;0.802637;0.324717;0.246522;-0.435385;0.802637;0.111100;0.040386;0.242746;0.962860;0.165964;0.835341;-0.398576;-0.340290;0.309935;0.660688;-0.593271;-0.339796;-0.363017;-0.550639;0.696618;0.282382;0.699552;0.236198;-0.194248;-0.645837;0.786292;0.205331;-0.226630;-0.536864;0.786292;0.205331;-0.226630;-0.536864;0.429699;0.649240;-0.513160;-0.361265;-0.238479;0.690190;-0.264720;0.629832;0.589855;-0.353976;0.648989;-0.324939;-0.433794;0.551947;-0.470771;0.534371;0.688441;-0.060151;0.719094;-0.073043;0.516582;0.329450;0.765047;0.198261;0.189538;0.793411;0.253484;0.519922;0.296162;0.676151;0.521261;0.428247;-0.091977;0.850125;-0.105519;0.507636;0.823071;0.068276;0.561960;-0.045758;0.823071;0.068276;0.561960;-0.045758;0.614354;0.445645;0.349087;0.549643;0.045758;0.561960;-0.068276;0.823071;0.614354;0.445645;0.349087;0.549643;0.823071;0.068276;0.561960;-0.045758
500222;1;0.498734;-0.314966;0.720333;-0.364939;0.587266;-0.076267;0.782475;-0.192443;0.534207;0.009599;0.794910;-0.287486;0.555541;0.073315;0.791580;-0.243720;0.980878;-0.181496;0.012775;-0.069102;0.911904;0.206317;-0.154827;0.319205;0.539833;0.072724;-0.247486;0.801275;-0.104549;0.004195;-0.504949;0.856784;0.318049;0.245236;-0.441418;0.802405;0.318049;0.245236;-0.441418;0.802405;0.104177;0.043009;0.231277;0.966338;0.159407;0.832635;-0.404841;-0.342653;0.293112;0.665476;-0.606677;-0.321202;-0.336020;-0.571911;0.695581;0.276000;0.670305;0.357594;-0.313860;-0.569482;0.714565;0.330773;-0.342009;-0.512850;0.714565;0.330773;-0.342009;-0.512850;0.264264;0.741728;-0.556222;-0.265747;-0.244051;0.693662;-0.270319;0.621450;0.584894;-0.360724;0.651278;-0.321890;-0.436457;0.546803;-0.471941;0.536454;0.691782;-0.055675;0.716280;-0.072669;0.521847;0.377480;0.731856;0.222645;0.196975;0.791040;0.228668;0.532135;0.312358;0.677849;0.502478;0.436428;-0.086324;0.838204;-0.120084;0.524920;0.813280;0.037412;0.571266;-0.104069;0.813280;0.037412;0.571266;-0.104069;0.648664;0.430401;0.377492;0.501488;0.104069;0.571266;-0.037412;0.813280;0.648664;0.430401;0.377492;0.501488;0.813280;0.037412;0.571266;-0.104069
533555;1;0.498856;-0.314988;0.720278;-0.364862;0.587400;-0.076139;0.782445;-0.192208;0.534418;0.009897;0.794941;-0.286998;0.555713;0.073614;0.791587;-0.243217;0.980978;-0.180935;0.012549;-0.069187;0.911696;0.207145;-0.155322;0.319023;0.539918;0.073135;-0.248365;0.800908;-0.104148;0.004484;-0.505856;0.856296;0.317998;0.245830;-0.442129;0.801852;0.317998;0.245830;-0.442129;0.801852;0.101472;0.048265;0.232762;0.966021;0.158797;0.832872;-0.404455;-0.342818;0.292280;0.665992;-0.606254;-0.321688;-0.335122;-0.572845;0.694938;0.276774;0.669633;0.360224;-0.312951;-0.569115;0.714343;0.333150;-0.341629;-0.511873;0.714343;0.333150;-0.341629;-0.511873;0.258623;0.744879;-0.553622;-0.267902;-0.243982;0.693658;-0.269913;0.621657;0.584841;-0.361250;0.650814;-0.322335;-0.435748;0.547530;-0.470736;0.537348;0.691907;-0.057047;0.715936;-0.073795;0.522346;0.380009;0.730091;0.222969;0.196640;0.791682;0.224961;0.532883;0.312767;0.679773;0.498576;0.437616;-0.086894;0.836829;-0.124205;0.526061;0.813264;0.037827;0.571356;-0.103553;0.813264;0.037827;0.571356;-0.103553;0.648287;0.430757;0.377262;0.501842;0.103553;0.571356;-0.037827;0.813264;0.648287;0.430757;0.377262;0.501842;0.813264;0.037827;0.571356;-0.103553
566888;1;0.500704;-0.316280;0.733278;-0.334014;0.578458;-0.078821;0.794681;-0.166302;0.540975;0.010981;0.792316;-0.281888;0.561838;0.074484;0.788884;-0.237598;0.981565;-0.174213;0.011734;-0.077733;0.912528;0.195385;-0.170352;0.316382;0.539387;0.053842;-0.253567;0.801166;-0.109996;-0.014143;-0.498155;0.859967;0.330896;0.234729;-0.439614;0.801343;0.330896;0.234729;-0.439614;0.801343;0.053409;0.092325;0.259905;0.959725;0.154348;0.834681;-0.402836;-0.342356;0.310191;0.662340;-0.586394;-0.348180;-0.361571;-0.560757;0.684181;0.294472;0.646746;0.426483;-0.329038;-0.539969;0.676837;0.406778;-0.353107;-0.501736;0.676837;0.406778;-0.353107;-0.501736;0.200548;0.750578;-0.587157;-0.227286;-0.244457;0.693073;-0.266305;0.623677;0.584941;-0.366200;0.645919;-0.326390;-0.444876;0.543225;-0.476161;0.529398;0.692784;-0.050100;0.716747;-0.061761;0.295500;0.442300;0.786052;0.314917;0.011618;0.852891;0.293359;0.431720;0.206971;0.709045;0.536961;0.407542;-0.140791;0.884078;-0.117255;0.429925;0.806599;-0.004078;0.573322;-0.143816;0.806599;-0.004078;0.573322;-0.143816;0.672045;0.402516;0.408284;0.468658;0.143816;0.573322;0.004078;0.806599;0.672045;0.402516;0.408284;0.468658;0.806599;-0.004078;0.573322;-0.143816
600200;1;0.528458;-0.286852;0.717528;-0.351571;0.602384;-0.087789;0.767739;-0.200010;0.541725;0.019703;0.789039;-0.289071;0.563162;0.082915;0.784918;-0.244698;0.978548;-0.174471;0.009345;-0.109161;0.908785;0.194013;-0.169989;0.327982;0.540107;0.056310;-0.251727;0.801091;-0.108762;-0.011640;-0.498158;0.860159;0.334232;0.238093;-0.437732;0.799995;0.334232;0.238093;-0.437732;0.799995;0.026222;0.106448;0.259759;0.959430;0.140803;0.843997;-0.388932;-0.341432;0.298194;0.671729;-0.590258;-0.333850;-0.352596;-0.556598;0.699874;0.275774;0.676458;0.325514;-0.173696;-0.637396;0.763149;0.296303;-0.219851;-0.530542;0.763149;0.296303;-0.219851;-0.530542;0.285800;0.700024;-0.515166;-0.403595;-0.235642;0.689426;-0.251885;0.636961;0.592433;-0.361488;0.638850;-0.331996;-0.451881;0.531953;-0.471128;0.539322;0.704682;-0.045663;0.705164;-0.063889;0.493793;0.428936;0.674257;0.342871;0.112864;0.778243;0.181381;0.590508;0.254991;0.665155;0.476378;0.515376;-0.182703;0.810899;-0.129109;0.540734;0.768108;-0.037093;0.617947;-0.163632;0.768108;-0.037093;0.617947;-0.163632;0.658840;0.410725;0.463183;0.427429;0.163632;0.617947;0.037093;0.768108;0.658840;0.410725;0.463183;0.427429;0.768108;-0.037093;0.617947;-0.163632
633555;1;0.530317;-0.297252;0.709785;-0.355824;0.606222;-0.096370;0.763457;-0.200853;0.539010;0.017806;0.792531;-0.284684;0.560104;0.081304;0.788551;-0.240542;0.978358;-0.167429;0.026267;-0.118717;0.904988;0.190388;-0.177870;0.336322;0.533456;0.049157;-0.255869;0.804699;-0.117749;-0.017296;-0.496373;0.859913;0.335339;0.237220;-0.436362;0.800539;0.335339;0.237220;-0.436362;0.800539;0.026905;0.111270;0.268623;0.956419;0.140858;0.857695;-0.376238;-0.320880;0.296199;0.678379;-0.586687;-0.328431;-0.350554;-0.561500;0.699369;0.269653;0.592371;0.437829;-0.320594;-0.595501;0.681856;0.379448;-0.387936;-0.490507;0.681856;0.379448;-0.387936;-0.490507;-0.201936;-0.668408;0.673865;0.241575;-0.236272;0.693795;-0.250902;0.632355;0.590149;-0.365012;0.641184;-0.327679;-0.450051;0.536369;-0.470314;0.537184;0.701892;-0.049368;0.707715;-0.063641;0.518620;0.428531;0.661516;0.331348;0.142066;0.768042;0.176928;0.598854;0.289559;0.656709;0.471970;0.511989;-0.155760;0.801929;-0.126446;0.562725;0.749881;-0.054777;0.633526;-0.182544;0.749881;-0.054777;0.633526;-0.182544;0.659324;0.409238;0.486704;0.401168;0.182544;0.633526;0.054777;0.749881;0.659324;0.409238;0.486704;0.401168;0.749881;-0.054777;0.633526;-0.182544
