timestamp;body_idx;PELVIS (c);PELVIS (x);PELVIS (y);SPINE_NAVEL (c);SPINE_NAVEL (x);SPINE_NAVEL (y);SPINE_CHEST (c);SPINE_CHEST (x);SPINE_CHEST (y);NECK (c);NECK (x);NECK (y);CLAVICLE_LEFT (c);CLAVICLE_LEFT (x);CLAVICLE_LEFT (y);SHOULDER_LEFT (c);SHOULDER_LEFT (x);SHOULDER_LEFT (y);ELBOW_LEFT (c);ELBOW_LEFT (x);ELBOW_LEFT (y);WRIST_LEFT (c);WRIST_LEFT (x);WRIST_LEFT (y);HAND_LEFT (c);HAND_LEFT (x);HAND_LEFT (y);HANDTIP_LEFT (c);HANDTIP_LEFT (x);HANDTIP_LEFT (y);THUMB_LEFT (c);THUMB_LEFT (x);THUMB_LEFT (y);CLAVICLE_RIGHT (c);CLAVICLE_RIGHT (x);CLAVICLE_RIGHT (y);SHOULDER_RIGHT (c);SHOULDER_RIGHT (x);SHOULDER_RIGHT (y);ELBOW_RIGHT (c);ELBOW_RIGHT (x);ELBOW_RIGHT (y);WRIST_RIGHT (c);WRIST_RIGHT (x);WRIST_RIGHT (y);HAND_RIGHT (c);HAND_RIGHT (x);HAND_RIGHT (y);HANDTIP_RIGHT (c);HANDTIP_RIGHT (x);HANDTIP_RIGHT (y);THUMB_RIGHT (c);THUMB_RIGHT (x);THUMB_RIGHT (y);HIP_LEFT (c);HIP_LEFT (x);HIP_LEFT (y);KNEE_LEFT (c);KNEE_LEFT (x);KNEE_LEFT (y);ANKLE_LEFT (c);ANKLE_LEFT (x);ANKLE_LEFT (y);FOOT_LEFT (c);FOOT_LEFT (x);FOOT_LEFT (y);HIP_RIGHT (c);HIP_RIGHT (x);HIP_RIGHT (y);KNEE_RIGHT (c);KNEE_RIGHT (x);KNEE_RIGHT (y);ANKLE_RIGHT (c);ANKLE_RIGHT (x);ANKLE_RIGHT (y);FOOT_RIGHT (c);FOOT_RIGHT (x);FOOT_RIGHT (y);HEAD (c);HEAD (x);HEAD (y);NOSE (c);NOSE (x);NOSE (y);EYE_LEFT (c);EYE_LEFT (x);EYE_LEFT (y);EAR_LEFT (c);EAR_LEFT (x);EAR_LEFT (y);EYE_RIGHT (c);EYE_RIGHT (x);EYE_RIGHT (y);EAR_RIGHT (c);EAR_RIGHT (x);EAR_RIGHT (y)
333555;1;2;915.404053;664.288574;2;900.482056;625.713501;2;888.917542;594.065491;2;870.919312;551.265869;2;886.296021;550.994507;2;941.543884;531.609131;2;1002.816101;547.824036;2;1012.862549;636.307922;0;1023.608093;672.166565;0;990.559753;698.242615;0;974.745361;671.792725;2;861.466370;566.111145;2;821.755859;607.460205;2;805.731384;713.890015;2;854.094055;798.932556;0;837.151794;841.825195;0;844.070740;884.446777;0;879.792114;827.981506;2;943.855225;647.777954;2;969.945129;794.130188;2;969.122192;889.603760;2;984.123230;959.916260;2;889.337891;679.438049;1;944.789185;816.150696;1;954.360901;857.013916;1;975.445557;913.106201;2;866.291687;537.567505;2;885.216248;606.644897;2;883.042358;590.009705;2;888.798462;530.288513;2;863.583069;599.697388;1;822.690796;556.970764
366888;1;2;955.734619;642.768738;2;932.579529;589.124451;2;913.873596;571.348816;2;872.548584;549.646301;2;891.206482;544.015442;2;946.015259;511.155884;2;1020.601074;550.710327;2;1007.966736;644.113708;0;1019.627808;682.044556;0;986.209778;662.174377;0;974.743286;668.938599;2;868.308533;562.232422;2;838.414551;605.010132;2;833.327087;726.662231;2;850.161987;832.533630;0;854.488770;882.252686;0;854.955139;935.833557;0;876.577026;887.457764;2;988.431335;634.483032;2;980.024536;760.996521;2;968.148010;889.928833;2;971.264587;962.400391;2;926.701050;650.151794;1;927.165527;807.354370;1;971.258545;837.599731;1;969.021545;903.525635;2;857.943481;545.249207;2;868.590698;612.255005;2;883.238647;590.451660;2;903.686890;538.733521;2;857.701111;593.831116;2;824.472412;539.203979
400222;1;2;955.839478;649.513245;2;933.889709;597.389465;2;917.785706;581.107605;2;874.996216;552.724121;2;893.912781;548.390015;2;944.996765;510.846375;2;1019.830566;550.904297;2;1008.006775;644.311951;0;1019.178955;682.352661;0;985.988953;662.128418;0;973.929688;670.032288;2;870.990662;566.399353;2;838.741760;608.747559;2;832.881836;730.731812;2;848.806396;836.885498;0;857.366943;886.159668;0;860.367371;939.557251;0;877.849060;891.074829;2;988.443237;640.906921;2;980.548950;759.586365;2;967.954956;890.108032;2;971.402100;962.575562;2;926.791382;657.208252;1;927.078918;812.544189;1;970.033630;842.927612;1;968.122742;909.347900;2;859.623596;545.342773;2;869.696411;611.786133;2;883.980713;590.280579;2;904.531067;538.913208;2;858.679382;593.694031;1;825.947998;539.727783
433544;1;2;958.778625;654.323914;2;937.233093;605.107300;2;918.552734;584.245300;2;877.660950;556.271606;2;896.544617;552.266968;2;944.724121;511.780029;2;1020.551575;550.901062;2;1007.802063;644.854370;0;1019.249634;683.030273;0;985.576904;662.490051;0;973.439392;670.444458;2;873.038879;569.459961;2;837.854065;611.559448;2;832.276123;734.931274;2;849.040588;842.024170;0;854.038513;892.418152;0;853.978760;946.920593;0;875.492126;898.354980;2;991.418823;647.677063;2;980.267517;758.503174;2;968.039551;890.578552;2;971.322937;962.475769;1;929.827698;660.247131;1;918.322876;813.225098;1;966.361755;846.657471;1;960.465759;913.283691;2;862.978394;549.196045;2;869.205078;611.369019;2;884.738892;589.465759;2;908.073975;542.755859;2;859.127808;590.905029;1;829.658875;537.129883
466888;1;2;955.954163;649.553162;2;933.479187;600.093750;2;915.416016;578.715454;2;878.329346;558.976929;2;896.757812;552.892273;2;947.288940;511.134369;2;1020.754883;550.356689;2;1007.207031;646.152344;0;1019.489197;684.780518;0;985.919800;662.215698;0;973.177856;672.010132;2;872.814148;571.319458;2;839.608765;612.608276;2;831.873108;738.069580;2;850.738831;847.231995;0;856.477600;898.940369;0;857.018677;954.686707;0;877.553833;905.536499;2;989.290466;641.297058;2;980.624146;759.258789;2;967.840271;892.137939;2;971.540894;962.781616;2;926.301025;656.925293;1;924.999023;814.369751;1;967.032043;842.548706;1;961.135376;910.096008;2;865.666443;555.586975;2;854.870239;612.370605;2;868.223999;587.774658;2;903.407593;543.124512;2;841.169189;589.581787;1;820.617188;539.335144
500200;1;2;955.619446;644.345825;2;931.462891;594.191406;2;911.731689;575.942688;2;870.050293;554.359436;2;888.877869;548.423645;2;943.540771;513.290894;2;1020.268738;550.045837;2;1008.870239;645.633911;0;1019.613403;684.889465;0;986.905762;662.628845;0;973.528137;673.767456;2;865.767822;567.212769;2;839.649719;612.697937;2;832.053772;737.364685;2;842.049744;847.357605;0;836.475586;898.881592;0;822.454407;953.012878;0;863.611023;910.824707;2;988.511292;636.042114;2;979.895813;758.101562;2;968.561340;892.414917;2;971.222778;964.020020;1;926.439087;651.738770;1;922.801880;808.500000;1;970.776367;839.239868;1;966.266968;906.565186;2;855.375671;550.036255;2;868.956726;614.709961;2;883.147339;591.178894;2;901.731628;540.157898;2;857.222168;595.152588;1;821.336853;541.917664
533555;1;2;955.173767;642.213928;2;930.204895;590.279480;2;911.398621;574.243652;2;870.755859;552.105591;2;889.294067;546.216064;2;944.893372;513.405090;2;1019.991516;551.909790;2;1008.440186;646.872742;0;1019.263794;685.711304;0;987.301880;662.238708;0;973.601196;673.471741;2;866.373230;565.125488;2;840.471680;611.198303;2;831.858948;734.431213;2;838.856445;843.605652;0;833.141907;894.331909;0;820.594360;947.574829;0;856.854553;906.750244;2;987.767395;632.690552;2;980.190308;756.203003;2;968.275269;891.256226;2;971.360107;963.960754;2;926.207214;650.703247;1;925.090210;806.771851;1;974.275757;840.354858;1;973.592468;908.051514;2;856.581482;547.465149;2;867.355530;614.552551;2;882.467041;592.380432;2;903.114868;540.825745;2;856.660706;595.513672;1;823.299133;540.252319
566888;1;2;955.233459;643.385620;2;929.482666;590.567871;2;910.666748;574.589722;2;869.409058;550.599304;2;887.893433;544.961243;2;944.392456;514.865479;2;1018.665222;553.024841;2;1009.291870;647.552612;0;1019.415955;686.396484;0;987.069946;663.195618;0;973.631531;674.121460;2;865.279480;564.041016;2;841.315552;609.844666;2;830.166077;731.688599;2;834.249939;840.007202;0;826.969177;889.010376;0;813.208435;940.988770;0;851.474731;900.463745;2;987.564392;633.166382;2;979.812073;757.946472;2;968.272705;890.937866;2;971.316223;964.595093;2;926.482544;652.499268;1;928.823914;807.847900;1;979.054932;841.221069;1;980.826050;909.040405;2;854.982910;545.057495;2;870.628479;614.259827;2;884.448120;592.637573;2;901.219543;537.800415;2;859.401733;597.835205;2;822.672729;544.152832
600222;1;2;955.782837;642.520325;2;930.010620;590.131104;2;911.019775;573.704041;2;870.054504;550.030701;2;888.556458;544.390808;2;945.145813;514.640564;2;1018.403809;553.666199;2;1008.714600;647.933777;0;1019.358215;686.533936;0;986.457886;663.870667;0;973.667847;673.941650;2;865.810303;563.357361;2;841.530884;608.612061;2;829.141174;729.853149;2;832.003723;837.940918;0;825.802795;885.752441;0;814.619141;937.762512;0;849.573547;894.821777;2;988.133179;632.339966;2;980.048157;758.981079;2;968.954346;891.603271;2;971.906616;962.162598;2;927.019836;651.597595;1;932.583374;806.426880;1;982.400940;840.632019;1;983.961426;908.407104;2;855.737732;544.659546;2;872.412048;613.463074;2;885.998047;591.510742;2;901.992981;536.606384;2;860.989502;596.984680;2;823.477295;543.746460
633533;1;2;955.831360;641.904236;2;929.557312;589.009521;2;909.889648;571.513916;2;870.005737;552.245544;2;888.484802;546.053467;2;945.605530;516.910400;2;1018.333069;553.811401;2;1008.659790;648.289307;0;1019.321716;686.626709;0;987.517456;661.957520;0;973.705994;673.959351;2;865.432617;564.527283;2;839.328857;607.911682;2;829.386108;728.773438;2;833.770020;836.649780;0;828.428345;885.304810;0;815.209229;937.139893;0;855.902466;895.121094;2;988.198547;631.544800;2;979.912842;760.074219;2;970.830933;892.964844;2;971.783569;964.110596;2;927.064880;651.137024;1;934.760437;805.865845;1;985.378723;842.640869;1;988.197388;910.819092;2;856.121216;548.937683;2;868.762573;611.025574;2;883.300842;587.475830;2;902.364014;538.936035;2;857.492859;590.663452;2;822.734497;538.190796
