timestamp;body_idx;PELVIS (w);PELVIS (x);PELVIS (y);PELVIS (z);SPINE_NAVEL (w);SPINE_NAVEL (x);SPINE_NAVEL (y);SPINE_NAVEL (z);SPINE_CHEST (w);SPINE_CHEST (x);SPINE_CHEST (y);SPINE_CHEST (z);NECK (w);NECK (x);NECK (y);NECK (z);CLAVICLE_LEFT (w);CLAVICLE_LEFT (x);CLAVICLE_LEFT (y);CLAVICLE_LEFT (z);SHOULDER_LEFT (w);SHOULDER_LEFT (x);SHOULDER_LEFT (y);SHOULDER_LEFT (z);ELBOW_LEFT (w);ELBOW_LEFT (x);ELBOW_LEFT (y);ELBOW_LEFT (z);WRIST_LEFT (w);WRIST_LEFT (x);WRIST_LEFT (y);WRIST_LEFT (z);HAND_LEFT (w);HAND_LEFT (x);HAND_LEFT (y);HAND_LEFT (z);HANDTIP_LEFT (w);HANDTIP_LEFT (x);HANDTIP_LEFT (y);HANDTIP_LEFT (z);THUMB_LEFT (w);THUMB_LEFT (x);THUMB_LEFT (y);THUMB_LEFT (z);CLAVICLE_RIGHT (w);CLAVICLE_RIGHT (x);CLAVICLE_RIGHT (y);CLAVICLE_RIGHT (z);SHOULDER_RIGHT (w);SHOULDER_RIGHT (x);SHOULDER_RIGHT (y);SHOULDER_RIGHT (z);ELBOW_RIGHT (w);ELBOW_RIGHT (x);ELBOW_RIGHT (y);ELBOW_RIGHT (z);WRIST_RIGHT (w);WRIST_RIGHT (x);WRIST_RIGHT (y);WRIST_RIGHT (z);HAND_RIGHT (w);HAND_RIGHT (x);HAND_RIGHT (y);HAND_RIGHT (z);HANDTIP_RIGHT (w);HANDTIP_RIGHT (x);HANDTIP_RIGHT (y);HANDTIP_RIGHT (z);THUMB_RIGHT (w);THUMB_RIGHT (x);THUMB_RIGHT (y);THUMB_RIGHT (z);HIP_LEFT (w);HIP_LEFT (x);HIP_LEFT (y);HIP_LEFT (z);KNEE_LEFT (w);KNEE_LEFT (x);KNEE_LEFT (y);KNEE_LEFT (z);ANKLE_LEFT (w);ANKLE_LEFT (x);ANKLE_LEFT (y);ANKLE_LEFT (z);FOOT_LEFT (w);FOOT_LEFT (x);FOOT_LEFT (y);FOOT_LEFT (z);HIP_RIGHT (w);HIP_RIGHT (x);HIP_RIGHT (y);HIP_RIGHT (z);KNEE_RIGHT (w);KNEE_RIGHT (x);KNEE_RIGHT (y);KNEE_RIGHT (z);ANKLE_RIGHT (w);ANKLE_RIGHT (x);ANKLE_RIGHT (y);ANKLE_RIGHT (z);FOOT_RIGHT (w);FOOT_RIGHT (x);FOOT_RIGHT (y);FOOT_RIGHT (z);HEAD (w);HEAD (x);HEAD (y);HEAD (z);NOSE (w);NOSE (x);NOSE (y);NOSE (z);EYE_LEFT (w);EYE_LEFT (x);EYE_LEFT (y);EYE_LEFT (z);EAR_LEFT (w);EAR_LEFT (x);EAR_LEFT (y);EAR_LEFT (z);EYE_RIGHT (w);EYE_RIGHT (x);EYE_RIGHT (y);EYE_RIGHT (z);EAR_RIGHT (w);EAR_RIGHT (x);EAR_RIGHT (y);EAR_RIGHT (z)
401188;1;0.808596;-0.153074;0.351509;-0.446299;0.847565;-0.118763;0.364535;-0.366939;0.888350;0.011175;0.424062;-0.175731;0.899581;0.045146;0.421800;-0.103925;0.882628;-0.172795;-0.428752;0.085331;0.693604;-0.321048;-0.520442;0.380765;0.387880;-0.547487;-0.272378;0.689650;-0.345914;0.667969;0.252401;-0.608650;-0.233256;0.701991;0.130754;-0.660078;-0.233256;0.701991;0.130754;-0.660078;0.650057;-0.391955;0.239398;0.605381;0.005257;0.920824;-0.369323;0.125127;0.015957;0.734932;-0.668942;-0.110167;-0.034158;-0.612694;0.782442;0.105946;0.631246;0.255172;-0.425120;-0.596397;-0.280652;-0.423860;0.257258;0.821824;-0.280652;-0.423860;0.257258;0.821824;0.444449;0.789078;-0.253103;-0.340234;-0.279045;0.111588;-0.249460;0.920572;0.916610;0.142240;0.233350;-0.291789;0.857156;0.116049;0.249588;-0.435340;0.915418;0.259934;0.090106;0.293812;0.677578;0.292185;0.453033;0.500277;0.371926;0.467718;0.267975;0.755712;0.529790;0.384542;0.474587;0.588402;-0.037871;0.611860;0.066401;0.787263;0.876496;-0.048564;0.455288;-0.148692;0.876496;-0.048564;0.455288;-0.148692;0.724917;0.287597;0.356278;0.514635;0.148692;0.455288;0.048564;0.876496;0.724917;0.287597;0.356278;0.514635;0.876496;-0.048564;0.455288;-0.148692
434522;1;0.779432;-0.115409;0.424871;-0.445703;0.850931;-0.031035;0.439171;-0.286498;0.863351;0.057184;0.481606;-0.139326;0.871743;0.095622;0.475469;-0.069642;0.923791;-0.088509;-0.368714;0.053169;0.660859;-0.328190;-0.508874;0.443400;0.367274;-0.532025;-0.289156;0.706008;0.339479;0.707763;0.520223;-0.336442;0.338896;0.706861;0.521448;-0.337029;0.338896;0.706861;0.521448;-0.337029;0.247936;-0.592380;-0.209536;0.737366;-0.048349;0.919033;-0.369443;0.128660;0.066671;0.719009;-0.674671;-0.152971;-0.093164;-0.585557;0.793271;0.138440;0.555384;-0.393280;0.574884;-0.454300;-0.390779;0.549583;-0.427924;0.601773;-0.390779;0.549583;-0.427924;0.601773;-0.296071;0.020332;-0.353748;0.887012;-0.274064;0.318083;-0.289553;0.860158;0.878650;0.084741;0.421735;-0.207200;0.843888;0.071258;0.420083;-0.326045;0.829835;0.348703;0.243115;0.361490;0.707783;0.187330;0.617815;0.286802;0.328932;0.555092;0.329499;0.689280;0.402733;0.515348;0.393063;0.646315;-0.169742;0.647027;-0.082827;0.738704;0.859462;-0.082111;0.483055;-0.145746;0.859462;-0.082111;0.483055;-0.145746;0.710789;0.283510;0.399632;0.504673;0.145746;0.483055;0.082111;0.859462;0.710789;0.283510;0.399632;0.504673;0.859462;-0.082111;0.483055;-0.145746
467844;1;0.780575;-0.124801;0.431359;-0.434806;0.855407;-0.029831;0.448058;-0.258133;0.859149;0.053518;0.487193;-0.147113;0.868179;0.092415;0.481332;-0.077741;0.927484;-0.089925;-0.360891;0.037997;0.660396;-0.321356;-0.435990;0.520115;0.403024;-0.466780;-0.274724;0.737709;0.028569;0.870782;-0.009087;-0.490754;-0.296235;0.669132;0.557321;-0.392302;-0.296235;0.669132;0.557321;-0.392302;0.534851;-0.515509;0.337471;0.578185;-0.041738;0.914957;-0.376987;0.137812;0.057087;0.714060;-0.685369;-0.130877;-0.078065;-0.590089;0.794611;0.119556;0.462063;-0.432061;0.626562;-0.455237;-0.346253;0.563394;-0.511707;0.548500;-0.346253;0.563394;-0.511707;0.548500;-0.312084;0.068156;-0.360621;0.876305;-0.230991;0.361052;-0.269214;0.862443;0.871249;0.071132;0.444754;-0.195090;0.824577;0.052265;0.440746;-0.350834;0.833765;0.349616;0.271137;0.330287;0.718915;0.181181;0.616008;0.266213;0.345193;0.552156;0.327601;0.684575;0.421909;0.506107;0.453551;0.600117;-0.123306;0.682952;-0.033647;0.719195;0.866630;-0.076771;0.473966;-0.135704;0.866630;-0.076771;0.473966;-0.135704;0.708757;0.280860;0.389430;0.516842;0.135704;0.473966;0.076771;0.866630;0.708757;0.280860;0.389430;0.516842;0.866630;-0.076771;0.473966;-0.135704
501188;1;0.780554;-0.125160;0.431790;-0.434313;0.855823;-0.029142;0.448618;-0.255850;0.860162;0.053633;0.486552;-0.143220;0.868877;0.092478;0.480684;-0.073780;0.927230;-0.087055;-0.361938;0.040834;0.658362;-0.318879;-0.440967;0.520023;0.403813;-0.465455;-0.281935;0.735391;0.049413;0.878427;0.004292;-0.475295;-0.264950;0.674020;0.563338;-0.397679;-0.264950;0.674020;0.563338;-0.397679;0.529642;-0.539904;0.314898;0.573431;-0.045010;0.915326;-0.373807;0.142899;0.054182;0.715519;-0.684916;-0.126439;-0.074542;-0.591056;0.794815;0.115612;0.463399;-0.434145;0.617624;-0.464026;-0.358067;0.551879;-0.515141;0.549405;-0.358067;0.551879;-0.515141;0.549405;-0.307359;0.060617;-0.375088;0.872448;-0.228177;0.363744;-0.268096;0.862410;0.871079;0.071562;0.446201;-0.192367;0.826656;0.052733;0.442516;-0.343566;0.830124;0.351233;0.272083;0.336899;0.719237;0.179527;0.618138;0.261483;0.343131;0.555047;0.325810;0.684129;0.407875;0.516214;0.454533;0.600467;-0.133554;0.690762;-0.040008;0.709514;0.855336;-0.088839;0.488119;-0.149156;0.855336;-0.088839;0.488119;-0.149156;0.710283;0.282333;0.407971;0.499345;0.149156;0.488119;0.088839;0.855336;0.710283;0.282333;0.407971;0.499345;0.855336;-0.088839;0.488119;-0.149156
534511;1;0.775120;-0.129385;0.434447;-0.440118;0.856459;-0.024369;0.452649;-0.246967;0.857241;0.053255;0.490948;-0.145850;0.866176;0.092455;0.485096;-0.076635;0.925070;-0.095921;-0.363881;0.051343;0.659418;-0.314856;-0.432641;0.528068;0.391042;-0.462384;-0.269284;0.748848;-0.024176;0.897974;0.000815;-0.439383;-0.318193;0.654460;0.614850;-0.303966;-0.318193;0.654460;0.614850;-0.303966;0.554344;-0.529038;0.329930;0.551332;-0.041334;0.915785;-0.376548;0.133571;0.045222;0.714390;-0.688791;-0.114752;-0.062918;-0.595591;0.793762;0.106086;0.465188;-0.423591;0.610025;-0.481706;-0.351799;0.543904;-0.505695;0.569805;-0.351799;0.543904;-0.505695;0.569805;-0.322720;0.046877;-0.330287;0.885757;-0.236611;0.370078;-0.269753;0.856908;0.868349;0.065987;0.453212;-0.190303;0.826764;0.044465;0.449289;-0.335593;0.824641;0.350173;0.282746;0.342637;0.716085;0.178541;0.621172;0.263610;0.342691;0.554814;0.331388;0.681855;0.411310;0.514593;0.443743;0.607545;-0.136138;0.682056;-0.046512;0.717010;0.866471;-0.055922;0.482076;-0.117063;0.866471;-0.055922;0.482076;-0.117063;0.695463;0.301336;0.380422;0.529912;0.117063;0.482076;0.055922;0.866471;0.695463;0.301336;0.380422;0.529912;0.866471;-0.055922;0.482076;-0.117063
567855;1;0.772475;-0.130982;0.437693;-0.441079;0.855682;-0.022248;0.456330;-0.243057;0.858638;0.048290;0.489283;-0.144951;0.867497;0.087371;0.483835;-0.075627;0.923715;-0.096852;-0.367220;0.050200;0.659823;-0.323507;-0.440330;0.515836;0.376031;-0.480675;-0.259805;0.748367;-0.087143;0.862643;0.038492;-0.496762;-0.382903;0.641713;0.577787;-0.328255;-0.382903;0.641713;0.577787;-0.328255;0.576343;-0.517933;0.333075;0.537249;-0.038659;0.916870;-0.372876;0.137181;0.046096;0.713395;-0.688568;-0.121724;-0.065126;-0.592992;0.794618;0.112695;0.480218;-0.413094;0.593779;-0.496155;-0.348150;0.542691;-0.478233;0.596298;-0.348150;0.542691;-0.478233;0.596298;-0.326045;0.032948;-0.290740;0.898932;-0.234121;0.371486;-0.269676;0.857006;0.867108;0.064871;0.454478;-0.193299;0.825403;0.039950;0.450877;-0.337377;0.824957;0.348078;0.287053;0.340424;0.715172;0.177435;0.624194;0.259669;0.343350;0.556744;0.333229;0.679047;0.413282;0.515207;0.444832;0.604883;-0.132861;0.683256;-0.046190;0.716502;0.870055;-0.063872;0.472840;-0.123881;0.870055;-0.063872;0.472840;-0.123881;0.702819;0.289184;0.379512;0.527624;0.123881;0.472840;0.063872;0.870055;0.702819;0.289184;0.379512;0.527624;0.870055;-0.063872;0.472840;-0.123881
601177;1;0.776391;-0.126956;0.433780;-0.439242;0.858875;-0.019594;0.451552;-0.240938;0.858763;0.045278;0.487351;-0.151543;0.868149;0.084215;0.482151;-0.082188;0.920507;-0.108611;-0.371179;0.055656;0.654065;-0.320320;-0.444669;0.521406;0.380638;-0.475263;-0.272874;0.744835;-0.054822;0.860899;0.068714;-0.501125;-0.307705;0.699247;0.506874;-0.399311;-0.307705;0.699247;0.506874;-0.399311;0.559523;-0.548504;0.305022;0.541330;-0.030582;0.917689;-0.376116;0.124296;0.052487;0.718345;-0.682006;-0.126858;-0.073349;-0.591539;0.794502;0.116050;0.477632;-0.412680;0.608411;-0.481040;-0.360430;0.536132;-0.503022;0.574127;-0.360430;0.536132;-0.503022;0.574127;-0.331541;0.033543;-0.324498;0.885244;-0.244700;0.366813;-0.273130;0.854968;0.868393;0.065627;0.452632;-0.191603;0.819212;0.043258;0.447905;-0.355530;0.833334;0.348232;0.282565;0.323182;0.713288;0.180797;0.624005;0.262966;0.338214;0.559795;0.329551;0.680909;0.425212;0.507826;0.443104;0.604124;-0.123833;0.676846;-0.042271;0.724402;0.858356;-0.045447;0.501477;-0.098387;0.858356;-0.045447;0.501477;-0.098387;0.676519;0.322462;0.386734;0.537380;0.098387;0.501477;0.045447;0.858356;0.676519;0.322462;0.386734;0.537380;0.858356;-0.045447;0.501477;-0.098387
634522;1;0.771750;-0.129322;0.441871;-0.438666;0.850519;-0.026842;0.459623;-0.254250;0.860247;0.051830;0.490273;-0.130080;0.867908;0.090980;0.484537;-0.060675;0.922079;-0.082577;-0.374531;0.051751;0.656003;-0.325083;-0.443226;0.517234;0.372375;-0.483200;-0.262004;0.747802;-0.082137;0.821830;0.080448;-0.558011;-0.338756;0.683532;0.463315;-0.450963;-0.338756;0.683532;0.463315;-0.450963;0.570934;-0.543922;0.310818;0.530637;-0.049580;0.921248;-0.362848;0.131093;0.059273;0.711917;-0.686783;-0.134127;-0.079306;-0.597117;0.788637;0.123344;0.466033;-0.405706;0.610907;-0.494984;-0.338376;0.536456;-0.500019;0.589659;-0.338376;0.536456;-0.500019;0.589659;-0.343955;0.028293;-0.292197;0.891916;-0.242745;0.376807;-0.274266;0.850805;0.863898;0.062104;0.461931;-0.190904;0.819821;0.043045;0.456192;-0.343409;0.825257;0.353972;0.288640;0.332177;0.710946;0.179281;0.627619;0.261740;0.339334;0.560198;0.334858;0.677422;0.423622;0.509341;0.443403;0.603747;-0.124701;0.678123;-0.043121;0.723007;0.842580;-0.095285;0.514544;-0.127375;0.842580;-0.095285;0.514544;-0.127375;0.685862;0.296461;0.431214;0.505726;0.127375;0.514544;0.095285;0.842580;0.685862;0.296461;0.431214;0.505726;0.842580;-0.095285;0.514544;-0.127375
667844;1;0.767708;-0.113765;0.438463;-0.453247;0.852273;-0.008319;0.452905;-0.261607;0.862814;0.047303;0.480485;-0.149826;0.872050;0.085682;0.475145;-0.080152;0.923856;-0.099562;-0.366596;0.046746;0.660646;-0.322838;-0.429319;0.524412;0.390853;-0.469330;-0.261282;0.747459;-0.000447;0.839900;0.113734;-0.530691;-0.236889;0.701212;0.476097;-0.474886;-0.236889;0.701212;0.476097;-0.474886;0.534648;-0.586913;0.258827;0.550175;-0.036452;0.915817;-0.373201;0.143775;0.037283;0.712574;-0.692707;-0.104909;-0.052506;-0.601345;0.791194;0.098179;0.464281;-0.408202;0.606622;-0.499824;-0.352436;0.523472;-0.510486;0.584098;-0.352436;0.523472;-0.510486;0.584098;-0.350620;0.027841;-0.283751;0.892063;-0.235730;0.382020;-0.269029;0.852124;0.862157;0.056043;0.463904;-0.195800;0.814632;0.047071;0.454451;-0.357258;0.831313;0.355525;0.284533;0.318686;0.713074;0.172230;0.630324;0.254073;0.333077;0.563396;0.330848;0.679842;0.423117;0.509217;0.442894;0.604579;-0.125647;0.677678;-0.043390;0.723244;0.859587;-0.059130;0.496717;-0.104339;0.859587;-0.059130;0.496717;-0.104339;0.681598;0.309421;0.393043;0.534041;0.104339;0.496717;0.059130;0.859587;0.681598;0.309421;0.393043;0.534041;0.859587;-0.059130;0.496717;-0.104339
701188;1;0.767661;-0.113728;0.438471;-0.453327;0.852236;-0.008299;0.452904;-0.261730;0.862713;0.047505;0.480580;-0.150042;0.871967;0.085891;0.475223;-0.080374;0.923839;-0.099555;-0.366709;0.046203;0.660748;-0.323049;-0.429785;0.523772;0.390817;-0.469848;-0.261378;0.747118;0.001229;0.840071;0.110573;-0.531086;-0.234782;0.703552;0.472188;-0.476373;-0.234782;0.703552;0.472188;-0.476373;0.532771;-0.587770;0.262690;0.549250;-0.036415;0.915742;-0.373570;0.143301;0.037311;0.712319;-0.692876;-0.105510;-0.052608;-0.601188;0.791232;0.098777;0.465108;-0.407570;0.606137;-0.500160;-0.352986;0.522920;-0.509970;0.584710;-0.352986;0.522920;-0.509970;0.584710;-0.352542;0.026339;-0.283302;0.891493;-0.234941;0.382194;-0.268771;0.852345;0.861927;0.055614;0.463950;-0.196822;0.814253;0.046670;0.454345;-0.358309;0.831786;0.355160;0.284738;0.317676;0.713101;0.172347;0.630314;0.253944;0.333134;0.563498;0.330715;0.679793;0.423245;0.509273;0.442910;0.604430;-0.125452;0.677729;-0.043419;0.723229;0.859380;-0.060487;0.496451;-0.106512;0.859380;-0.060487;0.496451;-0.106512;0.682988;0.308273;0.393814;0.532358;0.106512;0.496451;0.060487;0.859380;0.682988;0.308273;0.393814;0.532358;0.859380;-0.060487;0.496451;-0.106512
