timestamp;body_idx;PELVIS (c);PELVIS (x);PELVIS (y);PELVIS (z);SPINE_NAVEL (c);SPINE_NAVEL (x);SPINE_NAVEL (y);SPINE_NAVEL (z);SPINE_CHEST (c);SPINE_CHEST (x);SPINE_CHEST (y);SPINE_CHEST (z);NECK (c);NECK (x);NECK (y);NECK (z);CLAVICLE_LEFT (c);CLAVICLE_LEFT (x);CLAVICLE_LEFT (y);CLAVICLE_LEFT (z);SHOULDER_LEFT (c);SHOULDER_LEFT (x);SHOULDER_LEFT (y);SHOULDER_LEFT (z);ELBOW_LEFT (c);ELBOW_LEFT (x);ELBOW_LEFT (y);ELBOW_LEFT (z);WRIST_LEFT (c);WRIST_LEFT (x);WRIST_LEFT (y);WRIST_LEFT (z);HAND_LEFT (c);HAND_LEFT (x);HAND_LEFT (y);HAND_LEFT (z);HANDTIP_LEFT (c);HANDTIP_LEFT (x);HANDTIP_LEFT (y);HANDTIP_LEFT (z);THUMB_LEFT (c);THUMB_LEFT (x);THUMB_LEFT (y);THUMB_LEFT (z);CLAVICLE_RIGHT (c);CLAVICLE_RIGHT (x);CLAVICLE_RIGHT (y);CLAVICLE_RIGHT (z);SHOULDER_RIGHT (c);SHOULDER_RIGHT (x);SHOULDER_RIGHT (y);SHOULDER_RIGHT (z);ELBOW_RIGHT (c);ELBOW_RIGHT (x);ELBOW_RIGHT (y);ELBOW_RIGHT (z);WRIST_RIGHT (c);WRIST_RIGHT (x);WRIST_RIGHT (y);WRIST_RIGHT (z);HAND_RIGHT (c);HAND_RIGHT (x);HAND_RIGHT (y);HAND_RIGHT (z);HANDTIP_RIGHT (c);HANDTIP_RIGHT (x);HANDTIP_RIGHT (y);HANDTIP_RIGHT (z);THUMB_RIGHT (c);THUMB_RIGHT (x);THUMB_RIGHT (y);THUMB_RIGHT (z);HIP_LEFT (c);HIP_LEFT (x);HIP_LEFT (y);HIP_LEFT (z);KNEE_LEFT (c);KNEE_LEFT (x);KNEE_LEFT (y);KNEE_LEFT (z);ANKLE_LEFT (c);ANKLE_LEFT (x);ANKLE_LEFT (y);ANKLE_LEFT (z);FOOT_LEFT (c);FOOT_LEFT (x);FOOT_LEFT (y);FOOT_LEFT (z);HIP_RIGHT (c);HIP_RIGHT (x);HIP_RIGHT (y);HIP_RIGHT (z);KNEE_RIGHT (c);KNEE_RIGHT (x);KNEE_RIGHT (y);KNEE_RIGHT (z);ANKLE_RIGHT (c);ANKLE_RIGHT (x);ANKLE_RIGHT (y);ANKLE_RIGHT (z);FOOT_RIGHT (c);FOOT_RIGHT (x);FOOT_RIGHT (y);FOOT_RIGHT (z);HEAD (c);HEAD (x);HEAD (y);HEAD (z);NOSE (c);NOSE (x);NOSE (y);NOSE (z);EYE_LEFT (c);EYE_LEFT (x);EYE_LEFT (y);EYE_LEFT (z);EAR_LEFT (c);EAR_LEFT (x);EAR_LEFT (y);EAR_LEFT (z);EYE_RIGHT (c);EYE_RIGHT (x);EYE_RIGHT (y);EYE_RIGHT (z);EAR_RIGHT (c);EAR_RIGHT (x);EAR_RIGHT (y);EAR_RIGHT (z)
333555;1;2;17.039711;39.087845;2379.190918;2;-37.233376;-90.956985;2291.955811;2;-78.682396;-168.175629;2192.586914;2;-147.811646;-213.004639;2008.501587;2;-109.676643;-220.522568;2032.217773;2;20.140202;-248.482300;2033.225830;2;225.971924;-138.230865;2139.897705;2;108.642433;41.378693;2159.833008;0;26.671640;77.020584;2156.339355;0;108.037201;23.592852;2180.854004;0;51.305756;38.548759;2260.713135;2;-163.716187;-192.407272;2046.272095;2;-234.771667;-107.248169;2097.498535;2;-277.728546;144.409042;2154.432129;2;-248.239197;359.661865;2134.368164;0;-250.969589;452.977753;2110.675537;0;-266.662079;549.909729;2101.042236;0;-219.050369;461.781677;2105.419434;2;97.073669;16.094858;2363.674561;2;100.350830;321.931000;2152.107666;2;91.695129;625.529053;2336.703125;2;83.759560;739.439209;2205.369873;2;-55.130428;59.821629;2393.182861;2;-66.603638;417.441071;2293.251709;2;-7.167730;658.464539;2552.806885;1;-23.528748;790.960388;2464.405273;2;-168.977997;-218.855164;1935.864380;2;-174.609146;-120.087624;1824.078613;2;-154.060165;-166.673035;1813.536499;2;-98.718872;-249.766205;1876.000732;2;-201.810898;-159.319031;1818.516113;2;-252.087296;-243.912064;1890.143799
366877;1;2;39.739090;37.644802;2454.708984;2;-10.377671;-103.353828;2358.273926;2;-49.635929;-171.696930;2239.770508;2;-136.661484;-215.504990;2046.276611;2;-93.737251;-223.139755;2068.443604;2;35.906235;-271.515717;2033.802002;2;242.433670;-127.654137;2146.441650;2;92.970772;48.722832;2157.200684;0;11.569955;60.912170;2206.777344;0;99.187843;19.735376;2159.309082;0;37.810318;35.765930;2267.495605;2;-151.379822;-195.299088;2088.732422;2;-244.367477;-115.574448;2135.828857;2;-270.406982;163.092667;2160.491943;2;-245.070526;394.039032;2129.666016;0;-263.987946;495.746857;2130.750977;0;-302.318695;594.072937;2121.006592;0;-214.333115;526.491272;2135.107422;2;126.936737;19.089188;2436.523193;2;94.281837;279.980316;2135.774170;2;92.637428;613.878662;2320.872314;2;77.320572;704.867188;2158.293457;2;-38.890858;54.377216;2471.107910;2;-65.645256;408.139740;2288.424072;1;24.684183;638.085632;2584.735352;1;-2.065210;768.541199;2475.892090;2;-164.823685;-219.882141;1969.910034;2;-152.105392;-133.012756;1835.738037;2;-135.084030;-186.155228;1833.373047;2;-89.881523;-269.827301;1916.786865;2;-185.410553;-172.408508;1833.731323;2;-253.518906;-244.741531;1918.713867
400222;1;2;38.325283;22.974035;2460.090576;2;-14.795590;-119.711525;2359.997070;2;-55.701218;-184.828842;2236.282959;2;-144.857727;-217.286804;2035.876465;2;-101.367599;-227.635880;2058.403564;2;33.841843;-276.418152;2032.821655;2;241.208099;-124.139313;2148.861084;2;85.672485;52.883759;2173.016602;0;17.678843;42.759872;2243.345215;0;79.613777;25.167414;2153.716553;0;20.713036;31.270399;2281.077148;2;-159.520493;-198.172531;2080.176758;2;-248.626389;-115.068535;2136.691650;2;-269.762085;170.146408;2166.740967;2;-238.825272;406.008545;2135.862305;0;-255.687302;510.504608;2132.866211;0;-281.162292;615.875366;2129.044434;0;-209.612396;539.842346;2147.822021;2;127.314987;3.173793;2441.088379;2;93.408676;265.033722;2128.915283;2;95.404076;607.674500;2316.743652;2;79.475433;706.937988;2153.952881;2;-41.920650;40.828785;2477.225830;1;-63.879005;396.422729;2277.517334;1;36.275089;621.866943;2585.834473;1;11.360522;764.672913;2485.964111;2;-173.277054;-217.116531;1957.438477;2;-153.771515;-127.040268;1821.647705;2;-131.999207;-179.894989;1821.210327;2;-87.826767;-261.912720;1911.128784;2;-184.235336;-169.898834;1816.433960;2;-256.181519;-249.423859;1896.468506
433544;1;2;43.949863;6.057663;2459.322266;2;-15.662879;-133.647400;2352.009277;2;-61.216026;-196.410385;2225.158203;2;-146.502182;-224.614166;2017.430542;2;-103.233482;-236.796463;2041.722534;2;36.488018;-287.305603;2030.176636;2;243.334625;-124.477852;2147.161377;2;79.673378;50.896942;2177.423096;0;13.397768;35.876705;2251.300537;0;73.598534;21.222290;2157.232178;0;11.277095;27.740320;2288.276123;2;-162.317123;-205.097733;2062.354492;2;-244.631088;-117.314873;2128.024902;2;-272.647797;172.291870;2166.708252;2;-240.247208;412.008667;2128.860596;0;-255.204681;519.046997;2129.501709;0;-276.019196;627.771729;2131.509277;0;-199.217545;547.113037;2164.974609;2;133.917725;-15.835559;2437.846436;2;87.477295;260.219910;2128.337646;2;95.248459;608.985168;2321.650146;2;81.368713;707.566162;2153.641357;2;-37.178116;25.799744;2478.687988;1;-56.117252;386.427704;2270.426025;1;56.910946;602.513611;2591.304688;1;30.725121;754.841919;2499.686768;2;-172.871017;-222.727386;1936.484741;2;-153.316345;-118.131905;1807.115723;2;-128.989609;-170.966370;1802.517090;2;-82.834122;-260.799225;1887.744751;2;-182.535309;-162.348923;1797.121704;2;-254.637207;-253.134750;1869.326904
466888;1;2;62.842369;14.033577;2483.940918;2;3.371030;-123.806396;2372.248779;2;-47.188255;-189.623688;2247.795654;2;-136.348572;-215.108551;2039.830200;2;-92.179802;-227.140350;2063.219971;2;39.933308;-291.565643;2033.645630;2;246.240936;-123.570190;2148.610840;2;81.023872;50.255299;2189.385742;0;7.257305;25.945707;2253.939453;0;68.941795;7.807018;2160.614990;0;-5.800478;27.292343;2288.346436;2;-151.744537;-196.676575;2085.709229;2;-243.033722;-113.773598;2147.499756;2;-272.583221;179.368713;2167.631104;2;-237.998016;419.941071;2127.494141;0;-243.857117;528.524414;2127.736328;0;-256.645325;638.630615;2116.696533;0;-193.681168;553.274841;2160.572510;2;152.840958;-2.071978;2455.896484;2;88.935226;258.626312;2133.020264;2;94.611076;613.591431;2320.069092;2;76.703621;708.830261;2149.145752;1;-18.313318;28.556664;2509.229980;1;-66.585602;384.058990;2291.962158;1;61.903225;597.815552;2611.687256;1;25.286018;751.023254;2522.994873;2;-164.397949;-211.973053;1958.938354;2;-152.124115;-118.955940;1818.936646;2;-130.300598;-173.414413;1816.883789;2;-80.110512;-258.466553;1905.908936;2;-184.052719;-162.681046;1815.309448;2;-253.478882;-244.135681;1901.498047
500211;1;2;65.379471;2.259770;2483.342529;2;3.995154;-129.630890;2363.361816;2;-49.541084;-193.067795;2237.521240;2;-151.163010;-223.607986;2034.054565;2;-105.126640;-234.604858;2055.119629;2;34.614166;-287.565887;2032.807373;2;246.818237;-123.983131;2149.101562;2;84.892303;55.258648;2190.947266;0;-2.101474;26.686255;2235.384277;0;68.712242;7.860031;2147.777100;0;-31.164743;30.902956;2260.596436;2;-164.243973;-204.558456;2080.847412;2;-243.953461;-114.376740;2150.385010;2;-271.413940;181.416321;2168.418457;2;-236.188919;421.862000;2117.675049;0;-241.364441;530.993958;2126.208984;0;-257.970459;641.050842;2111.569824;0;-192.672333;547.883606;2103.806641;2;155.440292;-10.782605;2451.603027;2;87.058594;255.003754;2129.529541;2;95.444946;610.540344;2322.033691;2;73.497864;711.521057;2153.125000;1;-15.832327;14.020654;2511.963867;1;-69.476707;383.921173;2314.579834;1;66.451370;587.334900;2641.901611;1;21.323185;746.193237;2564.976074;2;-184.253784;-222.228607;1954.318481;2;-178.725525;-116.337013;1821.640991;2;-149.206680;-167.365891;1816.669556;2;-91.261803;-252.542587;1902.353760;2;-204.228912;-163.906967;1812.858276;2;-265.899597;-261.627747;1889.183838
533555;1;2;62.433701;-1.719913;2478.203857;2;-0.403691;-133.186417;2359.247803;2;-54.179947;-196.386230;2233.838135;2;-149.994217;-222.171600;2027.555664;2;-105.002319;-234.458649;2049.814941;2;35.177982;-287.369415;2033.471802;2;247.110870;-125.542534;2150.895508;2;86.136940;54.768993;2187.993896;0;-7.085726;25.158699;2215.204834;0;72.663223;8.928489;2135.479492;0;-42.422852;24.516567;2231.162598;2;-164.014160;-203.389603;2074.039795;2;-242.881958;-114.360649;2145.312744;2;-269.398712;180.493561;2167.497070;2;-231.567017;419.731323;2115.933838;0;-237.406677;527.874939;2130.793213;0;-253.660675;638.624207;2134.047607;0;-180.757751;537.797974;2085.282715;2;152.211792;-16.568413;2447.189453;2;87.418243;254.934433;2130.564453;2;94.607086;613.161072;2315.893066;2;78.347466;710.443970;2144.760498;2;-18.523153;11.669632;2506.170654;1;-64.766785;387.993744;2321.721191;1;67.695374;578.768982;2656.721191;1;26.767344;740.804504;2585.340820;2;-180.520493;-219.125366;1947.077881;2;-176.843903;-122.362885;1808.054077;2;-148.196381;-173.904953;1805.723999;2;-89.450844;-254.005844;1895.157715;2;-203.108582;-169.904434;1802.992310;2;-264.027405;-261.347443;1886.720215
566877;1;2;53.631809;-1.396831;2476.338867;2;-7.784363;-129.798325;2353.986816;2;-58.781166;-190.534149;2226.605225;2;-148.356064;-226.558228;2019.605591;2;-103.814781;-236.925446;2043.432495;2;37.068306;-288.627838;2033.565063;2;246.529465;-126.752617;2153.755615;2;86.200684;53.347469;2191.175293;0;-7.495731;24.381809;2216.569580;0;75.060783;10.766721;2139.614014;0;-51.892479;20.319998;2214.660645;2;-163.957779;-206.298477;2064.821045;2;-244.462723;-114.040497;2129.242188;2;-268.662201;178.681229;2167.714844;2;-220.894012;415.140625;2114.201416;0;-226.495300;522.548096;2132.376221;0;-245.186325;632.391968;2140.785645;0;-165.137833;529.943970;2069.299316;2;143.827103;-17.402136;2447.860840;2;87.802986;254.929993;2131.496338;2;94.398689;611.772888;2317.609619;2;76.794777;710.597961;2147.995117;2;-27.701241;13.035857;2502.018799;1;-59.543839;392.923279;2324.030029;1;66.965324;572.598328;2666.312500;1;30.841358;738.202454;2601.870850;2;-176.743240;-227.396896;1938.494141;2;-166.170517;-119.538773;1808.746826;2;-139.994965;-171.896072;1802.333374;2;-86.730751;-261.950562;1885.044556;2;-194.485336;-165.045547;1799.252441;2;-260.909973;-260.111237;1873.755737
600222;1;2;51.492672;-0.834855;2475.607178;2;-6.244320;-129.767990;2354.902100;2;-54.598038;-191.695221;2228.830811;2;-142.172455;-222.827362;2022.694092;2;-98.302765;-233.842697;2046.364014;2;40.122852;-287.320984;2034.266479;2;247.491028;-129.709473;2156.726562;2;87.164772;47.241478;2193.321777;0;-8.593753;29.766853;2217.475098;0;81.045456;12.713417;2151.599365;0;-52.210243;16.059042;2209.038086;2;-157.774597;-203.523071;2067.732666;2;-236.170624;-113.485428;2134.878662;2;-269.275391;175.799515;2169.833252;2;-221.408707;407.219421;2106.621826;0;-218.202103;514.966797;2113.044189;0;-230.321396;624.692688;2105.947998;0;-159.786606;525.894958;2072.879639;2;141.281433;-15.586170;2448.415283;2;87.821350;254.462479;2135.251221;2;94.253662;609.308716;2316.451172;2;77.076454;712.096558;2151.493652;2;-29.473793;12.467054;2500.127197;1;-59.538929;391.979828;2331.165527;1;60.388729;569.800415;2671.967773;1;26.355297;734.607239;2609.455566;2;-169.754395;-221.930527;1942.214844;2;-164.332977;-121.306274;1808.590454;2;-141.103104;-174.459427;1802.792847;2;-86.230667;-262.278473;1884.710449;2;-194.802505;-165.433105;1803.285522;2;-258.801147;-253.306717;1885.773804
633544;1;2;51.492779;-0.836490;2475.607910;2;-6.243564;-129.769485;2354.902832;2;-54.596729;-191.696350;2228.831299;2;-142.168945;-222.826172;2022.693604;2;-98.299644;-233.841919;2046.363770;2;40.125153;-287.321991;2034.267700;2;247.494675;-129.718964;2156.735107;2;87.174934;47.236858;2193.332764;0;-8.586235;29.770023;2217.480713;0;81.061378;12.714558;2151.616943;0;-52.204117;16.070057;2209.041992;2;-157.771439;-203.522217;2067.731934;2;-236.167267;-113.484650;2134.877686;2;-269.266083;175.799820;2169.837646;2;-221.394272;407.219849;2106.632324;0;-218.188873;514.966980;2113.056885;0;-230.311630;624.691467;2105.948486;0;-159.767868;525.913208;2072.946045;2;141.281479;-15.587639;2448.416260;2;87.821655;254.458542;2135.250977;2;94.250565;609.305847;2316.447510;2;77.071350;712.089783;2151.488037;2;-29.473648;12.465270;2500.127686;2;-59.550838;391.988647;2331.193848;2;60.351723;569.813782;2672.001953;1;26.308357;734.618530;2609.491211;2;-169.749954;-221.928497;1942.214233;2;-164.351898;-121.293274;1808.597534;2;-141.117554;-174.443649;1802.793457;2;-86.228378;-262.263763;1884.698120;2;-194.817688;-165.422531;1803.292236;2;-258.799316;-253.308685;1885.780029
666888;1;2;54.258667;1.078017;2473.819092;2;-2.256226;-132.650208;2360.675293;2;-50.045223;-197.666168;2237.623535;2;-136.053986;-218.655823;2031.874634;2;-93.263489;-231.973969;2055.301270;2;41.588665;-287.889496;2034.325562;2;254.052216;-143.261734;2157.718262;2;89.900208;25.226131;2201.598145;0;-0.710294;20.989597;2242.111572;0;65.421074;-3.127791;2155.666260;0;-21.540516;17.492382;2271.327637;2;-151.168701;-200.371811;2076.953857;2;-230.074646;-112.232475;2143.394043;2;-260.906830;175.593109;2167.771240;2;-221.295349;407.550171;2109.934082;0;-226.191345;514.179077;2102.980957;0;-241.990311;621.578369;2088.048340;0;-168.766296;539.126526;2109.365234;2;143.227203;-14.050028;2447.260010;2;87.726456;254.805954;2138.670898;2;95.001999;606.847778;2317.058838;2;73.826553;712.032288;2156.297119;2;-25.968180;14.719641;2497.768555;2;-64.901970;403.448120;2365.109619;2;12.153983;624.452881;2688.100830;1;-23.618589;771.712158;2595.057129;2;-162.596176;-214.191315;1952.011475;2;-157.121017;-120.759224;1815.173584;2;-138.635941;-175.274536;1810.584839;2;-86.624855;-262.947784;1892.526733;2;-190.857697;-162.091537;1813.543213;2;-256.017212;-240.369705;1902.419312
