timestamp;body_idx;PELVIS (c);PELVIS (x);PELVIS (y);PELVIS (z);SPINE_NAVEL (c);SPINE_NAVEL (x);SPINE_NAVEL (y);SPINE_NAVEL (z);SPINE_CHEST (c);SPINE_CHEST (x);SPINE_CHEST (y);SPINE_CHEST (z);NECK (c);NECK (x);NECK (y);NECK (z);CLAVICLE_LEFT (c);CLAVICLE_LEFT (x);CLAVICLE_LEFT (y);CLAVICLE_LEFT (z);SHOULDER_LEFT (c);SHOULDER_LEFT (x);SHOULDER_LEFT (y);SHOULDER_LEFT (z);ELBOW_LEFT (c);ELBOW_LEFT (x);ELBOW_LEFT (y);ELBOW_LEFT (z);WRIST_LEFT (c);WRIST_LEFT (x);WRIST_LEFT (y);WRIST_LEFT (z);HAND_LEFT (c);HAND_LEFT (x);HAND_LEFT (y);HAND_LEFT (z);HANDTIP_LEFT (c);HANDTIP_LEFT (x);HANDTIP_LEFT (y);HANDTIP_LEFT (z);THUMB_LEFT (c);THUMB_LEFT (x);THUMB_LEFT (y);THUMB_LEFT (z);CLAVICLE_RIGHT (c);CLAVICLE_RIGHT (x);CLAVICLE_RIGHT (y);CLAVICLE_RIGHT (z);SHOULDER_RIGHT (c);SHOULDER_RIGHT (x);SHOULDER_RIGHT (y);SHOULDER_RIGHT (z);ELBOW_RIGHT (c);ELBOW_RIGHT (x);ELBOW_RIGHT (y);ELBOW_RIGHT (z);WRIST_RIGHT (c);WRIST_RIGHT (x);WRIST_RIGHT (y);WRIST_RIGHT (z);HAND_RIGHT (c);HAND_RIGHT (x);HAND_RIGHT (y);HAND_RIGHT (z);HANDTIP_RIGHT (c);HANDTIP_RIGHT (x);HANDTIP_RIGHT (y);HANDTIP_RIGHT (z);THUMB_RIGHT (c);THUMB_RIGHT (x);THUMB_RIGHT (y);THUMB_RIGHT (z);HIP_LEFT (c);HIP_LEFT (x);HIP_LEFT (y);HIP_LEFT (z);KNEE_LEFT (c);KNEE_LEFT (x);KNEE_LEFT (y);KNEE_LEFT (z);ANKLE_LEFT (c);ANKLE_LEFT (x);ANKLE_LEFT (y);ANKLE_LEFT (z);FOOT_LEFT (c);FOOT_LEFT (x);FOOT_LEFT (y);FOOT_LEFT (z);HIP_RIGHT (c);HIP_RIGHT (x);HIP_RIGHT (y);HIP_RIGHT (z);KNEE_RIGHT (c);KNEE_RIGHT (x);KNEE_RIGHT (y);KNEE_RIGHT (z);ANKLE_RIGHT (c);ANKLE_RIGHT (x);ANKLE_RIGHT (y);ANKLE_RIGHT (z);FOOT_RIGHT (c);FOOT_RIGHT (x);FOOT_RIGHT (y);FOOT_RIGHT (z);HEAD (c);HEAD (x);HEAD (y);HEAD (z);NOSE (c);NOSE (x);NOSE (y);NOSE (z);EYE_LEFT (c);EYE_LEFT (x);EYE_LEFT (y);EYE_LEFT (z);EAR_LEFT (c);EAR_LEFT (x);EAR_LEFT (y);EAR_LEFT (z);EYE_RIGHT (c);EYE_RIGHT (x);EYE_RIGHT (y);EYE_RIGHT (z);EAR_RIGHT (c);EAR_RIGHT (x);EAR_RIGHT (y);EAR_RIGHT (z)
401177;1;2;-78.650780;-30.582014;2449.613281;2;-25.765528;-147.092133;2334.412354;2;37.255978;-203.465103;2225.804443;2;145.695709;-216.799332;2047.028809;2;152.450226;-228.877182;2092.261230;2;253.198929;-234.635056;2186.327637;2;295.916992;-93.092979;2408.277344;2;221.172577;70.241974;2274.729248;0;216.273087;148.408798;2224.714600;0;140.144669;203.938599;2180.051270;0;140.191727;144.058228;2188.084473;2;102.414436;-202.201859;2060.596680;2;23.286224;-103.121826;2055.201172;2;17.404732;166.777405;2086.134766;2;80.098389;384.442383;2094.381592;0;97.713531;482.116699;2107.063721;0;105.438858;583.285156;2092.532227;0;109.195358;493.056793;2096.371826;2;-8.241757;-47.915043;2499.465820;2;144.790451;294.904205;2408.264893;1;-36.390602;349.431732;2725.325928;1;28.071217;509.342682;2779.721436;2;-142.141693;-14.952064;2404.658936;2;-93.359581;272.010956;2151.256592;2;-144.328506;583.823181;2349.715820;2;-118.421204;689.871765;2224.213623;2;190.880325;-209.975983;1982.792603;2;244.123596;-80.187439;1916.703491;2;276.846191;-123.162956;1916.449097;2;291.200592;-221.880936;1987.273560;2;236.993256;-118.764595;1885.818237;2;168.446442;-225.005829;1884.514526
434511;1;2;-78.664314;-30.566780;2449.651123;2;-25.783262;-147.076920;2334.469238;2;37.243835;-203.435547;2225.871338;2;145.641861;-216.678375;2047.083618;2;152.403854;-228.778763;2092.304932;2;253.180862;-234.570175;2186.322754;2;296.020111;-93.138885;2408.293457;2;221.168472;70.335373;2275.006592;0;216.227097;148.550156;2225.084717;0;140.070847;204.115143;2180.532715;0;140.134277;144.220413;2188.484131;2;102.366852;-202.088257;2060.665527;2;23.238428;-103.014030;2055.409668;2;17.375200;166.816956;2086.746094;2;80.053696;384.456390;2095.272705;0;97.735680;482.073669;2108.234131;0;105.364281;583.291809;2094.060547;0;109.235626;493.043182;2097.424072;2;-8.263864;-47.898212;2499.503906;2;144.659164;294.922394;2408.257324;1;-36.584572;349.459595;2725.245605;1;27.815088;509.389832;2779.609375;2;-142.147507;-14.938269;2404.697021;2;-93.338455;271.822479;2151.118164;2;-144.151413;583.953674;2349.058350;2;-118.162430;689.681152;2223.320312;2;190.811218;-209.823257;1982.847900;2;243.840790;-80.093277;1916.501953;2;276.571869;-123.056564;1916.202393;2;291.138031;-221.695450;1987.076782;2;236.640747;-118.698509;1885.674438;2;168.125687;-224.951111;1884.651123
467833;1;2;-78.602242;-30.552723;2450.559814;2;-25.748667;-146.845963;2335.567871;2;37.275257;-202.995773;2227.145996;2;145.632980;-215.719070;2048.698975;2;152.353653;-227.915390;2093.819092;2;253.167389;-234.145569;2187.436768;2;296.757843;-95.836998;2410.700195;2;221.569244;71.365700;2282.959229;0;216.475128;150.364853;2234.595947;0;140.600830;206.064178;2190.130615;0;141.431732;144.981140;2195.321045;2;102.414513;-201.201080;2062.264160;2;23.374453;-102.302818;2057.402832;2;17.490778;166.932877;2089.969482;2;80.126778;384.158447;2099.435303;0;97.938484;481.541046;2112.714355;0;105.827026;582.612671;2098.855957;0;110.011887;492.461395;2101.627930;2;-8.347884;-47.873627;2500.367676;2;145.368103;293.948578;2409.389404;1;-35.229950;348.558502;2726.028809;1;29.569496;507.941956;2780.537598;2;-141.953674;-14.933701;2405.645752;2;-92.996407;271.521210;2152.713623;2;-143.676788;582.658813;2351.098633;2;-118.010559;689.109619;2226.268311;2;190.774200;-208.694550;1984.620605;2;243.303360;-78.088837;1920.217285;2;275.992950;-120.957047;1919.034668;2;290.962372;-220.572021;1988.090332;2;235.956650;-116.125244;1888.854614;2;167.584961;-222.201797;1886.478882
501177;1;2;-78.602837;-30.550640;2450.563965;2;-25.749750;-146.842529;2335.572266;2;37.274010;-202.990570;2227.150391;2;145.629639;-215.708679;2048.703369;2;152.350616;-227.906219;2093.823242;2;253.163040;-234.127548;2187.441406;2;296.746429;-95.768318;2410.672607;1;221.571915;71.467239;2282.969238;0;216.484909;150.475708;2234.621582;0;140.615402;206.192596;2190.171387;0;141.438950;145.108826;2195.350586;2;102.411575;-201.191132;2062.269531;2;23.372307;-102.293045;2057.413818;2;17.491821;166.938873;2089.997070;2;80.131096;384.161407;2099.474365;0;97.950157;481.540314;2112.766113;0;105.836761;582.613770;2098.924805;0;110.021042;492.462402;2101.676758;2;-8.348927;-47.871716;2500.371338;2;145.376038;293.937897;2409.371826;1;-35.213707;348.569122;2726.009277;1;29.591228;507.951965;2780.509521;2;-141.953888;-14.931463;2405.650391;2;-92.998459;271.522644;2152.720703;2;-143.680786;582.658142;2351.104004;2;-118.018356;689.112793;2226.277832;2;190.770081;-208.682358;1984.625366;2;243.297256;-78.072594;1920.231079;2;275.985840;-120.940971;1919.042725;2;290.957581;-220.561783;1988.087891;2;235.948074;-116.105797;1888.865479;2;167.574890;-222.180267;1886.484131
534500;1;2;-68.906731;-26.396427;2458.407959;2;-23.102619;-145.746384;2343.668457;2;36.587635;-201.962463;2233.505859;2;142.973389;-215.699188;2054.087891;2;150.312866;-227.316772;2099.237061;2;250.420517;-225.804321;2193.689941;2;275.984619;-32.671257;2374.914307;1;216.987640;173.662170;2313.127930;0;194.749695;210.426239;2230.969482;0;124.255997;194.369431;2156.155273;0;147.877121;143.112595;2195.632812;2;99.802498;-201.433289;2067.974854;2;20.650274;-102.913155;2060.068848;2;18.596104;165.645966;2097.111572;2;91.864922;379.441071;2105.212402;0;112.022003;476.305969;2118.503418;0;123.843208;576.877808;2104.236084;0;123.877571;486.767242;2108.447266;2;1.983218;-45.479065;2506.556641;2;154.372101;280.325378;2367.956787;1;-1.922727;340.294769;2696.105225;1;58.649876;501.724487;2749.096680;2;-132.831314;-9.188773;2414.989990;2;-98.929108;261.275604;2143.032471;2;-139.973068;571.201111;2345.115479;2;-120.745888;692.947449;2233.983887;2;187.294769;-208.989273;1989.460083;2;243.582199;-76.638069;1932.425781;2;275.348663;-120.082176;1929.610107;2;287.083130;-223.221329;1993.826660;2;235.933365;-112.894028;1899.130493;2;165.405273;-217.133255;1890.490845
567844;1;2;-77.954422;-21.520592;2475.384766;2;-30.908897;-139.557495;2357.546631;2;29.289938;-194.603165;2245.564209;2;138.730469;-215.745438;2066.540283;2;146.196365;-224.158463;2112.803711;2;244.614166;-226.290375;2210.738281;2;266.265625;-18.506824;2379.294678;1;211.864929;195.575134;2334.941406;0;185.171509;213.732376;2247.153809;0;129.931931;194.109879;2160.089600;0;158.350952;148.694855;2213.424561;2;94.498894;-202.292908;2079.300781;2;11.454880;-106.889122;2061.399170;2;21.876730;164.021576;2097.524170;2;96.410774;378.969025;2114.647217;0;113.780685;477.465393;2126.460938;0;124.777275;578.647949;2109.580322;0;135.490372;486.801025;2112.696289;2;-6.199062;-40.978867;2523.523438;2;154.683044;279.680481;2373.472656;1;-2.271607;349.931183;2702.937012;1;61.885109;513.815308;2749.204346;2;-142.659378;-3.974209;2431.976074;2;-101.018677;257.661346;2147.884033;2;-134.935699;575.528320;2344.983398;2;-116.192024;693.746216;2227.916260;2;183.717468;-211.383713;2001.323730;2;241.729462;-79.015480;1942.361084;2;273.764465;-122.921394;1940.927002;2;284.271088;-225.758347;2007.845215;2;234.581558;-116.204353;1909.322388;2;163.459900;-221.438080;1901.260498
601166;1;2;-78.129272;-20.631502;2475.502197;2;-30.999958;-139.038681;2357.476562;2;29.335760;-194.452118;2245.350342;2;139.461411;-216.580124;2066.287842;2;146.884979;-224.635757;2112.735352;2;243.035034;-220.521088;2213.282227;2;256.286865;-14.071062;2385.305908;1;202.080978;202.499771;2351.354492;0;184.115143;226.674088;2262.571533;0;133.947540;200.180344;2173.975830;0;163.479843;153.277222;2224.153809;2;95.051941;-203.166977;2078.890381;2;11.178873;-108.130913;2060.778320;2;22.221687;163.727585;2094.323975;2;98.265022;378.927704;2108.444580;0;130.368500;473.608032;2122.409180;0;155.295242;572.869995;2107.609131;0;156.986084;478.712006;2105.794678;2;-6.289147;-40.219688;2523.840332;2;156.862976;284.189484;2382.191895;1;-2.950027;357.242493;2710.646729;1;62.889301;521.983215;2753.008057;2;-142.910660;-2.967972;2431.913574;2;-100.392181;259.185730;2147.194580;2;-135.340851;574.164856;2350.322510;2;-116.595741;691.379761;2231.700684;2;184.664673;-212.530624;2000.976074;2;242.454041;-80.754128;1939.559204;2;274.248566;-124.981102;1937.867310;2;285.469421;-227.537613;2005.621704;2;234.390503;-118.267860;1906.923218;2;162.288651;-223.345657;1901.199219
634511;1;2;-77.082802;-27.442659;2498.989014;2;-34.188988;-144.617950;2372.470703;2;29.373537;-194.089859;2255.449951;2;139.000854;-218.466644;2070.654053;2;147.751984;-225.245789;2118.203369;2;248.439255;-217.368576;2218.571777;2;237.742859;7.490471;2376.954102;1;168.064590;226.837326;2356.930420;0;170.151428;263.647552;2268.388672;0;135.766785;206.998077;2183.583496;0;164.746826;157.956863;2231.298584;2;93.468094;-205.650238;2084.111084;2;3.361195;-113.226807;2061.820801;2;25.411150;164.222214;2096.325684;2;101.319008;384.867981;2113.123535;0;133.401672;482.604553;2122.227539;0;161.156906;582.570679;2101.543945;0;162.390884;486.513245;2108.161377;2;-6.911658;-55.899517;2549.134766;2;170.259003;268.357208;2399.239502;1;9.262264;337.083954;2737.734863;1;80.675972;501.167358;2790.603516;2;-140.359222;-1.781862;2453.770752;2;-100.523499;248.745255;2146.675049;2;-139.319626;575.835449;2346.176270;2;-112.644447;697.571472;2228.098389;2;183.791840;-214.827164;2002.827148;2;242.690384;-74.353378;1953.686401;2;276.966583;-118.288017;1951.955933;2;286.680817;-227.023636;2015.408081;2;238.727066;-110.747459;1917.418457;2;169.901321;-220.030655;1898.685547
667833;1;2;-81.133919;-16.451237;2532.498535;2;-35.028625;-140.716110;2399.690430;2;33.289295;-186.534454;2274.255371;2;153.986740;-208.168503;2081.642578;2;163.955261;-207.967361;2132.218750;2;248.525772;-137.841492;2234.852783;2;254.332993;141.411209;2315.173096;2;218.367035;380.832367;2285.408691;0;217.837006;477.940308;2256.671143;0;214.804352;574.542297;2196.893555;0;209.140091;472.997894;2174.064941;2;103.999878;-203.421265;2094.882324;2;-2.775870;-121.598564;2062.727539;2;14.546299;171.335159;2102.516113;2;98.630280;403.271729;2114.894775;0;138.886826;504.475769;2120.121094;0;171.889999;608.084229;2094.556885;0;171.592773;504.629150;2100.212891;2;-4.606545;-42.947659;2583.857422;2;178.649124;294.753113;2411.672607;1;-0.203207;355.138641;2767.026123;1;68.830589;537.656982;2794.246582;2;-150.142014;7.441753;2486.186035;2;-99.259956;250.200027;2146.524170;2;-139.685455;592.879639;2361.632568;2;-115.523705;695.474060;2214.149902;2;200.253036;-202.188004;2009.501221;2;250.849777;-65.209045;1924.429321;2;286.566956;-111.995270;1923.650146;2;309.637909;-214.901413;2005.223755;2;240.275620;-109.138023;1894.110962;2;166.312912;-224.773880;1906.181030
701177;1;2;-65.215706;-29.244715;2541.375488;2;-31.995192;-157.898514;2406.647949;2;30.010201;-199.900040;2275.208984;2;142.176651;-227.379745;2075.986084;2;153.813736;-230.385712;2126.565674;2;252.130829;-187.779877;2233.841553;2;259.875549;70.424500;2372.335938;1;213.980957;308.426758;2330.299561;0;207.302719;399.280243;2284.122559;0;199.293808;504.536743;2239.489990;0;217.307510;413.164154;2218.946045;2;93.092438;-217.488022;2091.331299;2;-9.825915;-127.421204;2063.898926;2;16.736345;167.877701;2099.738525;2;105.902435;400.151215;2112.336914;0;138.628204;504.947479;2118.664551;0;160.132797;613.026550;2095.274902;0;162.845825;511.373566;2098.683105;2;14.611215;-57.534546;2588.073242;2;184.164719;293.363434;2419.482910;1;24.608135;368.740570;2784.909668;1;96.117065;553.308655;2802.340088;2;-137.199158;-3.734533;2499.265869;2;-93.810898;246.330826;2159.416992;2;-136.478088;600.631226;2361.432617;2;-119.104393;696.612000;2206.811523;2;186.868866;-223.691681;2001.852539;2;247.054871;-72.658882;1950.714111;2;283.592468;-119.244858;1946.329590;2;296.910583;-236.569977;2010.651611;2;241.442352;-110.499527;1911.370239;2;167.770706;-226.647858;1891.514771
