timestamp;body_idx;PELVIS (c);PELVIS (x);PELVIS (y);SPINE_NAVEL (c);SPINE_NAVEL (x);SPINE_NAVEL (y);SPINE_CHEST (c);SPINE_CHEST (x);SPINE_CHEST (y);NECK (c);NECK (x);NECK (y);CLAVICLE_LEFT (c);CLAVICLE_LEFT (x);CLAVICLE_LEFT (y);SHOULDER_LEFT (c);SHOULDER_LEFT (x);SHOULDER_LEFT (y);ELBOW_LEFT (c);ELBOW_LEFT (x);ELBOW_LEFT (y);WRIST_LEFT (c);WRIST_LEFT (x);WRIST_LEFT (y);HAND_LEFT (c);HAND_LEFT (x);HAND_LEFT (y);HANDTIP_LEFT (c);HANDTIP_LEFT (x);HANDTIP_LEFT (y);THUMB_LEFT (c);THUMB_LEFT (x);THUMB_LEFT (y);CLAVICLE_RIGHT (c);CLAVICLE_RIGHT (x);CLAVICLE_RIGHT (y);SHOULDER_RIGHT (c);SHOULDER_RIGHT (x);SHOULDER_RIGHT (y);ELBOW_RIGHT (c);ELBOW_RIGHT (x);ELBOW_RIGHT (y);WRIST_RIGHT (c);WRIST_RIGHT (x);WRIST_RIGHT (y);HAND_RIGHT (c);HAND_RIGHT (x);HAND_RIGHT (y);HANDTIP_RIGHT (c);HANDTIP_RIGHT (x);HANDTIP_RIGHT (y);THUMB_RIGHT (c);THUMB_RIGHT (x);THUMB_RIGHT (y);HIP_LEFT (c);HIP_LEFT (x);HIP_LEFT (y);KNEE_LEFT (c);KNEE_LEFT (x);KNEE_LEFT (y);ANKLE_LEFT (c);ANKLE_LEFT (x);ANKLE_LEFT (y);FOOT_LEFT (c);FOOT_LEFT (x);FOOT_LEFT (y);HIP_RIGHT (c);HIP_RIGHT (x);HIP_RIGHT (y);KNEE_RIGHT (c);KNEE_RIGHT (x);KNEE_RIGHT (y);ANKLE_RIGHT (c);ANKLE_RIGHT (x);ANKLE_RIGHT (y);FOOT_RIGHT (c);FOOT_RIGHT (x);FOOT_RIGHT (y);HEAD (c);HEAD (x);HEAD (y);NOSE (c);NOSE (x);NOSE (y);EYE_LEFT (c);EYE_LEFT (x);EYE_LEFT (y);EAR_LEFT (c);EAR_LEFT (x);EAR_LEFT (y);EYE_RIGHT (c);EYE_RIGHT (x);EYE_RIGHT (y);EAR_RIGHT (c);EAR_RIGHT (x);EAR_RIGHT (y)
401177;1;2;928.167725;665.770142;2;947.102661;612.433533;2;970.622742;580.291138;2;1013.493042;541.930115;2;1015.048157;547.367249;2;1046.922852;561.968323;2;1062.753540;647.927551;2;1066.882568;718.869751;0;1072.891602;749.325317;0;1074.587158;791.184570;0;1051.652222;768.542786;2;996.613831;549.169434;2;962.385620;579.725830;2;946.007996;684.222107;2;975.000427;768.903992;0;978.360413;794.773315;0;982.781250;825.216064;0;979.711792;798.767334;2;953.445312;667.697632;2;1007.151428;769.665894;2;958.653687;883.312195;2;1010.455383;930.775757;2;904.547546;663.989319;2;920.061035;797.095093;2;888.097717;886.916016;2;889.108948;945.832825;2;1032.820557;530.810608;2;1068.398193;540.409912;2;1071.483643;521.149658;2;1064.892700;507.492859;2;1054.761719;524.444702;2;1010.694824;510.597198
434522;1;2;928.771606;657.157043;2;942.720398;605.454712;2;967.770752;579.013550;2;1009.035095;544.540222;2;1011.857117;546.813538;2;1052.250488;551.084656;2;1066.547485;649.247498;2;1062.187744;725.856873;0;1071.518433;752.096191;0;1075.038086;795.800171;0;1049.439819;763.301636;2;991.168396;553.697205;2;956.846191;590.975464;2;951.970276;708.029907;2;977.446655;803.251831;0;987.050842;844.463196;0;1003.519165;888.501465;0;981.887817;849.649292;2;953.673035;650.156372;2;1050.897339;751.434082;1;983.978638;813.763062;1;1013.761475;871.479553;2;905.321228;663.767395;2;913.279053;770.983459;2;889.917175;881.307861;2;887.904846;954.187256;2;1028.626465;535.285828;2;1071.600586;539.752075;2;1073.828003;519.563538;2;1063.288208;509.788696;2;1056.050537;522.068420;2;1005.173706;510.077332
467844;1;2;926.695496;657.940857;2;941.016174;604.905762;2;967.109436;578.490112;2;1008.681335;544.835327;2;1011.661499;546.792908;2;1053.467529;551.995911;2;1069.893311;651.023315;2;1059.296753;727.202209;0;1073.754639;751.973267;0;1074.957153;797.629089;0;1049.471558;765.008911;2;990.517090;554.026917;2;957.333740;594.284302;2;953.617310;713.177856;2;978.330750;810.311096;0;987.330200;852.375610;0;1003.274170;897.529419;0;982.142639;857.574707;2;951.917847;651.175720;2;1052.225952;751.272827;1;977.056519;793.143372;1;1001.213196;849.336792;2;902.917725;664.336548;2;912.299438;771.544861;2;889.758057;881.301025;2;889.472168;955.419495;2;1028.471069;535.992126;2;1071.416138;539.654114;2;1074.441040;519.756165;2;1064.594849;511.534668;2;1056.097168;521.199402;2;1005.055176;508.548767
501188;1;2;927.342224;661.507080;2;941.664673;607.008606;2;967.434631;580.412415;2;1008.756653;544.780762;2;1011.405579;546.652771;2;1052.799561;551.103882;2;1070.184082;650.506226;2;1059.220459;725.630249;0;1074.250977;753.205933;0;1074.841309;798.508362;0;1049.411011;766.412109;2;990.989136;554.770142;2;958.695557;595.560547;2;953.681824;714.484192;2;978.560974;811.443115;0;987.503174;853.779297;0;1003.651611;898.988281;0;985.595825;858.952087;2;953.411804;656.247925;2;1055.382202;753.645020;2;1009.162964;861.266968;2;1058.891846;914.504456;2;902.805237;666.476746;2;913.308533;773.263123;2;889.336670;879.826782;2;889.671692;953.756958;2;1028.655518;535.008728;2;1070.767456;541.772888;2;1074.390991;521.365845;2;1065.333496;510.868317;2;1055.878174;523.036987;2;1005.497681;508.311737
534511;1;2;926.108093;662.224792;2;940.778564;606.984253;2;967.052673;581.097351;2;1007.085693;544.193665;2;1009.960266;546.129700;2;1051.385864;550.163147;2;1071.396606;649.417053;2;1056.550293;725.251709;0;1073.775146;752.973572;0;1075.143066;797.143127;0;1051.659058;764.130737;2;989.531250;554.579041;2;958.352356;596.585083;2;954.848938;715.671204;2;978.291199;813.059692;0;987.886475;855.531860;0;1002.779785;901.665527;0;987.514160;860.558594;2;952.500427;657.724060;2;1057.678589;748.839966;2;1007.642639;855.954346;2;1054.580444;908.500854;2;901.275940;666.479797;2;913.510132;774.846375;2;889.566650;880.436890;2;892.073303;952.400513;2;1026.552612;533.835022;2;1070.579102;539.317688;2;1073.329346;518.966919;2;1062.441406;509.086792;2;1055.332642;520.854736;2;1003.761230;507.267639
567855;1;2;926.118530;662.232361;2;940.818481;606.951111;2;967.128906;581.071472;2;1007.251282;544.191223;2;1010.116577;546.129517;2;1051.482178;550.338440;2;1071.244141;649.798706;2;1056.456299;725.694458;0;1073.765015;753.441284;0;1075.117065;797.639709;0;1051.771606;764.660767;2;989.674255;554.565552;2;958.492065;596.626343;2;955.342957;715.822083;2;979.356323;813.203918;0;989.310486;855.800110;0;1005.061279;901.737183;0;989.623413;860.791016;2;952.528503;657.749512;2;1057.596313;748.669983;2;1007.710022;856.901611;2;1054.672974;909.717041;2;901.269470;666.470520;2;913.359253;774.638306;2;889.396545;880.198608;2;891.040466;952.124756;2;1026.753662;533.847351;2;1071.172363;539.923096;2;1073.943726;519.494995;2;1062.734497;509.244629;2;1056.041748;521.357666;2;1004.323059;507.284607
601177;1;2;926.183350;660.716431;2;939.856873;604.802734;2;966.289673;579.449829;2;1006.919128;543.379211;2;1009.636230;544.925415;2;1051.133057;547.931335;2;1071.121948;648.721924;2;1056.511597;728.206177;0;1073.572998;753.230164;0;1074.889771;795.825012;0;1051.760864;764.399048;2;989.293030;553.869751;2;958.105835;596.241760;2;955.513916;716.218140;2;980.488281;813.891296;0;991.736755;856.343445;0;1005.324951;903.494385;0;995.017273;861.263794;2;952.629639;655.807312;2;1056.722290;747.530273;2;1008.319153;856.277527;2;1053.789673;910.978210;2;901.293701;665.356689;2;913.077087;771.756653;2;889.962463;880.860413;2;891.702576;954.133789;2;1026.705933;533.381470;2;1070.453491;539.399658;2;1073.319092;518.718506;2;1062.866333;508.207184;2;1055.034058;520.862305;2;1003.349304;507.074158
634522;1;2;925.866577;659.114746;2;939.744751;603.420349;2;965.958557;577.960205;2;1005.582825;541.226257;2;1008.378601;542.664673;2;1050.068359;544.339111;2;1070.774414;645.278137;2;1055.751099;723.921448;0;1073.889893;752.533508;0;1075.271118;795.230225;0;1053.408569;762.477112;2;988.218689;552.072754;2;957.951416;595.365967;2;955.545898;715.013550;2;980.312683;812.598145;0;990.707642;855.096680;0;999.469238;903.260864;0;1000.816284;860.336731;2;952.396667;654.389526;2;1055.844482;746.333191;2;1006.362000;857.060059;2;1052.105591;913.104309;2;900.907471;663.580200;2;913.787537;771.643799;2;891.895508;882.307251;2;893.583496;955.228271;2;1025.053833;530.882812;2;1071.549683;538.542908;2;1073.768799;517.578918;2;1060.692017;505.710236;2;1056.379883;519.983826;2;1003.484131;505.192474
667844;1;2;924.942017;656.882385;2;939.021240;600.634521;2;965.522156;575.187683;2;1005.613281;538.616272;2;1008.461975;540.041321;2;1050.343262;543.361572;2;1070.229248;645.368652;2;1054.295654;726.746826;0;1071.844116;749.907471;0;1075.497803;794.362366;0;1053.328003;762.875488;2;988.019714;549.419617;2;958.180359;593.624817;2;958.629822;714.270996;2;983.427002;812.564209;0;993.265015;855.558228;0;1001.362488;904.241211;0;1004.434509;860.925903;2;951.760620;652.358276;2;1055.921997;745.760742;2;1006.559265;857.231201;2;1051.574585;912.581787;2;899.708130;661.159180;2;913.233582;771.297607;2;891.869873;882.560303;2;893.542480;955.412292;2;1025.289185;528.388977;2;1073.545776;536.707336;2;1075.830444;515.738281;2;1061.440063;503.914917;2;1058.724365;517.633118;2;1005.006409;501.685242
701188;1;2;925.774109;653.240540;2;939.667419;596.145203;2;967.085327;572.960815;2;1006.287354;537.008423;2;1009.384033;538.200317;2;1051.457397;541.288696;2;1068.746094;643.862305;2;1051.815430;725.267151;0;1071.744873;748.775024;0;1075.180054;793.330566;0;1053.203979;763.109619;2;988.748840;547.837280;2;958.372803;591.990234;2;958.729187;712.943604;2;985.531616;811.337646;0;995.124390;854.511292;0;1005.151794;903.011108;0;1006.078735;859.208740;2;952.748291;649.279114;2;1054.443359;744.932983;2;1005.325500;857.815674;2;1051.503052;913.518250;2;900.403931;656.986023;2;913.399658;769.351990;2;891.940430;885.559570;2;893.454285;958.362793;2;1025.628052;527.023499;2;1074.231323;532.462524;2;1076.263428;512.167725;2;1061.568481;502.887634;2;1059.215820;513.420044;2;1005.249390;498.962830
734500;1;2;926.334961;651.900513;2;941.571106;594.396606;2;969.348145;571.408386;2;1006.681824;533.559448;2;1010.408875;535.087036;2;1053.892090;537.079468;2;1065.183228;641.912415;2;1051.044312;728.765686;0;1068.812378;743.340332;0;1080.217407;790.658264;0;1051.242310;763.197998;2;989.148804;544.735291;2;957.263062;588.714966;2;958.765198;711.200562;2;985.806396;811.399170;0;995.207825;854.846924;0;1004.512207;903.975525;0;1006.529297;859.889404;2;953.904907;648.873352;2;1054.636108;746.464111;2;1004.872070;857.131897;1;1058.827148;908.692993;2;900.420471;654.766296;2;912.499512;767.145874;2;892.117126;883.094238;2;893.433289;956.825317;2;1025.336182;522.766296;2;1073.535767;527.437683;2;1075.952881;507.140625;2;1062.072510;498.641174;2;1058.339722;508.084167;2;1004.187378;493.764557
767855;1;2;928.120667;648.268616;2;943.099854;589.809937;2;971.410095;565.848938;2;1008.098572;526.843689;2;1011.905762;528.249817;2;1056.159302;531.915405;2;1065.317627;637.840271;2;1048.850708;726.354126;0;1065.660522;739.509338;0;1077.928101;784.468018;0;1048.981689;752.930603;2;990.676697;538.573730;2;959.885376;584.217102;2;959.654541;707.926025;2;984.336060;809.922974;0;996.489624;853.492432;0;1003.259399;903.426819;0;1005.602112;860.285034;2;955.637756;644.978882;2;1054.607422;746.375549;2;1002.616211;857.641907;2;1046.884277;915.359985;2;902.227478;651.384033;2;915.373840;766.891113;2;891.537903;883.237183;2;891.075134;956.215942;2;1026.670288;515.513000;2;1074.084595;521.972107;2;1077.165283;501.072266;2;1064.435913;491.146118;2;1058.918335;502.223785;2;1004.865417;486.647400
801177;1;2;928.208679;644.784851;2;943.272766;585.624634;2;971.490723;560.810669;2;1007.797424;521.062378;2;1011.928589;522.805481;2;1057.241089;529.507141;2;1064.048462;635.593445;2;1046.704834;722.789612;0;1061.635864;739.684204;0;1072.059814;787.950073;0;1045.734863;757.382446;2;990.185486;532.716553;2;959.801025;579.513123;2;960.151794;704.042603;2;982.478516;807.786987;0;997.556030;849.481201;0;1004.785950;898.141724;0;1007.196533;857.233643;2;956.014526;641.846558;2;1054.052612;745.972168;2;1002.789917;858.724243;1;1058.166992;910.521118;2;902.047180;647.569031;2;914.888367;764.949219;2;891.204773;883.020935;2;891.525146;956.354370;2;1026.172241;509.457275;2;1076.246338;516.136292;2;1078.448242;494.858734;2;1063.327148;484.294678;2;1060.827393;496.458984;2;1005.156128;481.037598
834522;1;2;928.091736;637.542664;2;942.126160;579.844971;2;967.597107;549.557495;2;1010.847412;511.269379;2;1013.640015;513.767578;2;1055.392944;522.352173;2;1060.598022;631.128418;2;1045.542114;722.096497;0;1061.739624;735.230225;0;1068.633911;783.021729;0;1044.226807;758.652588;2;992.183411;521.585632;2;957.949768;564.044189;2;957.107666;688.554810;2;982.039734;791.023560;0;993.030334;834.917297;0;997.404602;884.975891;0;1005.078064;841.966431;2;955.450684;632.801880;2;1047.367798;743.616150;2;1003.178223;862.510498;2;1052.155151;917.164246;2;902.330017;642.024170;2;912.582336;761.504272;2;891.722534;883.237000;2;889.345215;956.513794;2;1031.709351;500.528290;2;1079.621948;509.232910;2;1081.615723;486.708862;2;1068.301636;472.698273;2;1063.318115;490.409119;2;1008.088989;475.705566
867833;1;2;924.785583;632.899841;2;938.179688;575.517822;2;963.696899;545.039673;2;1009.531677;506.457458;2;1011.919434;509.633209;2;1057.594971;511.388733;2;1059.050903;620.014282;2;1043.013428;711.755005;0;1068.398682;734.030640;0;1067.944946;775.794434;0;1045.921875;748.475403;2;990.395203;516.165466;2;955.952698;557.091064;2;952.259705;681.575195;2;978.919922;783.943542;0;988.275696;827.823547;0;994.119080;877.596130;0;1000.903625;834.120850;2;951.688904;627.045410;2;1045.758911;738.916565;2;1005.524231;863.188538;2;1050.048462;919.921509;2;899.416138;638.436279;2;910.353638;761.158081;2;893.248535;881.852417;2;889.474915;954.429993;2;1031.257690;495.705872;2;1077.952148;503.004578;2;1080.572998;480.965424;2;1068.557617;468.712067;2;1061.823486;483.836273;2;1007.283081;469.298950
901188;1;2;924.907715;629.927246;2;939.059387;572.306946;2;965.323853;541.471130;2;1011.199646;504.065491;2;1013.799805;507.106567;2;1059.433472;507.542816;2;1058.778564;616.370605;2;1040.782471;707.663696;0;1067.007690;730.606262;0;1062.718994;774.938965;0;1040.369507;744.629272;2;991.828918;513.495239;2;955.428345;553.470032;2;951.993591;678.448975;2;978.317993;781.300110;0;987.727112;826.614441;0;993.720520;875.976501;0;1000.509155;833.081787;2;951.633057;624.143066;2;1044.830688;736.535034;2;1008.237976;861.442505;2;1048.111084;921.483887;2;899.680908;635.402161;2;908.868225;759.410645;2;891.922546;882.416626;2;889.914062;955.949829;2;1032.898438;493.857880;2;1082.033325;494.718964;2;1083.389648;473.914062;2;1069.110718;466.787506;2;1065.213257;475.903564;2;1009.079956;465.242188
934511;1;2;925.633484;626.045776;2;940.961914;567.813232;2;967.658875;535.568542;2;1012.113037;494.002899;2;1015.225586;498.138885;2;1061.828735;501.667603;2;1056.847168;611.919922;2;1035.399902;703.991211;0;1068.834717;727.884277;0;1061.956787;766.002441;0;1037.389526;739.503235;2;992.723633;503.813232;2;957.228760;545.886108;2;947.350159;671.621826;2;969.219238;776.998291;0;981.142883;820.556885;0;986.410889;870.210693;0;991.918884;828.148438;2;952.483643;620.792480;2;1042.266846;739.470276;2;1010.012207;862.226929;2;1032.821777;933.313232;2;900.270447;631.022766;2;905.957153;758.009277;2;891.388794;881.574097;2;889.783386;955.364990;2;1033.262207;482.000427;2;1078.348389;489.047668;2;1081.747559;466.733154;2;1071.732300;454.723206;2;1062.009277;469.471252;2;1007.808228;454.812134
