timestamp;body_idx;PELVIS (w);PELVIS (x);PELVIS (y);PELVIS (z);SPINE_NAVEL (w);SPINE_NAVEL (x);SPINE_NAVEL (y);SPINE_NAVEL (z);SPINE_CHEST (w);SPINE_CHEST (x);SPINE_CHEST (y);SPINE_CHEST (z);NECK (w);NECK (x);NECK (y);NECK (z);CLAVICLE_LEFT (w);CLAVICLE_LEFT (x);CLAVICLE_LEFT (y);CLAVICLE_LEFT (z);SHOULDER_LEFT (w);SHOULDER_LEFT (x);SHOULDER_LEFT (y);SHOULDER_LEFT (z);ELBOW_LEFT (w);ELBOW_LEFT (x);ELBOW_LEFT (y);ELBOW_LEFT (z);WRIST_LEFT (w);WRIST_LEFT (x);WRIST_LEFT (y);WRIST_LEFT (z);HAND_LEFT (w);HAND_LEFT (x);HAND_LEFT (y);HAND_LEFT (z);HANDTIP_LEFT (w);HANDTIP_LEFT (x);HANDTIP_LEFT (y);HANDTIP_LEFT (z);THUMB_LEFT (w);THUMB_LEFT (x);THUMB_LEFT (y);THUMB_LEFT (z);CLAVICLE_RIGHT (w);CLAVICLE_RIGHT (x);CLAVICLE_RIGHT (y);CLAVICLE_RIGHT (z);SHOULDER_RIGHT (w);SHOULDER_RIGHT (x);SHOULDER_RIGHT (y);SHOULDER_RIGHT (z);ELBOW_RIGHT (w);ELBOW_RIGHT (x);ELBOW_RIGHT (y);ELBOW_RIGHT (z);WRIST_RIGHT (w);WRIST_RIGHT (x);WRIST_RIGHT (y);WRIST_RIGHT (z);HAND_RIGHT (w);HAND_RIGHT (x);HAND_RIGHT (y);HAND_RIGHT (z);HANDTIP_RIGHT (w);HANDTIP_RIGHT (x);HANDTIP_RIGHT (y);HANDTIP_RIGHT (z);THUMB_RIGHT (w);THUMB_RIGHT (x);THUMB_RIGHT (y);THUMB_RIGHT (z);HIP_LEFT (w);HIP_LEFT (x);HIP_LEFT (y);HIP_LEFT (z);KNEE_LEFT (w);KNEE_LEFT (x);KNEE_LEFT (y);KNEE_LEFT (z);ANKLE_LEFT (w);ANKLE_LEFT (x);ANKLE_LEFT (y);ANKLE_LEFT (z);FOOT_LEFT (w);FOOT_LEFT (x);FOOT_LEFT (y);FOOT_LEFT (z);HIP_RIGHT (w);HIP_RIGHT (x);HIP_RIGHT (y);HIP_RIGHT (z);KNEE_RIGHT (w);KNEE_RIGHT (x);KNEE_RIGHT (y);KNEE_RIGHT (z);ANKLE_RIGHT (w);ANKLE_RIGHT (x);ANKLE_RIGHT (y);ANKLE_RIGHT (z);FOOT_RIGHT (w);FOOT_RIGHT (x);FOOT_RIGHT (y);FOOT_RIGHT (z);HEAD (w);HEAD (x);HEAD (y);HEAD (z);NOSE (w);NOSE (x);NOSE (y);NOSE (z);EYE_LEFT (w);EYE_LEFT (x);EYE_LEFT (y);EYE_LEFT (z);EAR_LEFT (w);EAR_LEFT (x);EAR_LEFT (y);EAR_LEFT (z);EYE_RIGHT (w);EYE_RIGHT (x);EYE_RIGHT (y);EYE_RIGHT (z);EAR_RIGHT (w);EAR_RIGHT (x);EAR_RIGHT (y);EAR_RIGHT (z)
333511;1;0.374872;-0.510496;0.771262;-0.063403;0.378722;-0.447665;0.809350;-0.033446;0.394989;-0.337169;0.848841;0.098838;0.385791;-0.268011;0.873146;0.130196;0.846388;-0.019594;0.138957;0.513745;0.709907;0.103945;0.040240;0.695420;0.639304;0.107350;0.029996;0.760833;0.550682;-0.295341;-0.341485;0.702076;0.625124;-0.255662;-0.372123;0.636696;0.625124;-0.255662;-0.372123;0.636696;0.530516;0.396079;0.036329;0.748568;0.270547;0.858366;0.071012;-0.430080;-0.198744;-0.666495;0.226548;0.681880;-0.409012;-0.557097;0.430329;0.580663;-0.340107;0.398091;-0.017368;0.851792;0.098577;0.359839;0.171156;0.911868;0.098577;0.359839;0.171156;0.911868;-0.173805;-0.023550;0.734602;0.655437;-0.331694;0.684623;-0.564942;0.319549;0.457183;-0.207330;0.863067;-0.055805;0.410054;-0.439446;0.744414;-0.290845;0.500606;0.213391;0.835001;0.081437;-0.142747;0.295768;0.921174;0.208768;-0.236481;0.770100;0.585688;0.089404;0.056492;0.676077;0.675389;0.289099;-0.163506;0.957038;0.004369;0.239424;0.339727;-0.203188;0.903754;0.162878;0.339727;-0.203188;0.903754;0.162878;0.125051;0.495375;0.782726;0.355395;-0.162878;0.903754;0.203188;0.339727;0.125051;0.495375;0.782726;0.355395;0.339727;-0.203188;0.903754;0.162878
366888;1;0.376184;-0.511719;0.769670;-0.065097;0.380158;-0.449141;0.807788;-0.035093;0.396539;-0.339618;0.846991;0.100117;0.387233;-0.270602;0.871498;0.131595;0.844856;-0.019710;0.132743;0.517890;0.708297;0.110123;0.028783;0.696678;0.638238;0.112376;0.018092;0.761378;0.557803;-0.294610;-0.360976;0.686846;0.607878;-0.266628;-0.382110;0.642951;0.607878;-0.266628;-0.382110;0.642951;0.531663;0.390077;0.017132;0.751586;0.273413;0.858546;0.070648;-0.427963;-0.201277;-0.667192;0.228199;0.679902;-0.411732;-0.556499;0.433047;0.577284;-0.378211;0.406713;0.037448;0.830746;0.058100;0.341026;0.224765;0.910937;0.058100;0.341026;0.224765;0.910937;-0.295940;0.043031;0.757514;0.580293;-0.331431;0.684938;-0.562363;0.323667;0.459596;-0.206977;0.861717;-0.058104;0.410754;-0.432345;0.742364;-0.305377;0.511308;0.216928;0.828480;0.071601;-0.134549;0.293311;0.923290;0.208330;-0.229773;0.770947;0.586667;0.093096;0.078936;0.669207;0.676411;0.297320;-0.153328;0.953008;0.009874;0.261091;0.311161;-0.249038;0.905114;0.148082;0.311161;-0.249038;0.905114;0.148082;0.115314;0.463915;0.816108;0.324734;-0.148082;0.905114;0.249038;0.311161;0.115314;0.463915;0.816108;0.324734;0.311161;-0.249038;0.905114;0.148082
400211;1;0.398045;-0.471461;0.778832;-0.112720;0.410672;-0.345615;0.842262;-0.049939;0.477299;-0.242868;0.842881;0.052459;0.471555;-0.174492;0.859643;0.090566;0.895535;-0.021755;0.064293;0.439784;0.727562;-0.111598;-0.185687;0.650938;0.565002;-0.150016;-0.156298;0.796140;0.603846;-0.336602;-0.456299;0.560232;0.497246;-0.410809;-0.390828;0.656686;0.497246;-0.410809;-0.390828;0.656686;0.731100;-0.139914;0.089521;0.661743;0.142140;0.944068;0.032358;-0.295777;0.160961;0.632711;-0.463457;-0.599146;-0.358144;-0.433507;0.653596;0.506574;-0.193607;0.487993;0.076442;0.847665;0.338999;0.351001;0.347533;0.800687;0.338999;0.351001;0.347533;0.800687;-0.255578;0.389553;0.793426;0.391666;-0.239962;0.735118;-0.433004;0.463171;0.491135;-0.243451;0.817711;-0.175691;0.317588;-0.538785;0.584383;-0.517053;0.594199;0.028860;0.790948;-0.143166;0.129713;0.222099;0.943891;0.207165;-0.055851;0.827003;0.506264;0.237997;0.247879;0.611367;0.686399;0.306011;-0.039223;0.919717;0.057035;0.386430;0.365672;-0.323731;0.826554;-0.279805;0.365672;-0.323731;0.826554;-0.279805;0.456421;0.355549;0.813374;0.060717;0.279805;0.826554;0.323731;0.365672;0.456421;0.355549;0.813374;0.060717;0.365672;-0.323731;0.826554;-0.279805
433555;1;0.402906;-0.468805;0.777285;-0.117119;0.416567;-0.336522;0.843032;-0.050217;0.480554;-0.234727;0.842828;0.060100;0.474187;-0.166381;0.858937;0.098444;0.894119;-0.011142;0.064730;0.442987;0.724978;-0.107648;-0.174614;0.657517;0.572739;-0.141542;-0.148472;0.793657;0.544272;-0.363459;-0.546247;0.522762;0.444762;-0.453154;-0.474489;0.609671;0.444762;-0.453154;-0.474489;0.609671;0.742119;-0.190144;-0.021731;0.642364;0.127406;0.941731;0.052447;-0.306854;0.120868;0.678105;-0.436478;-0.578837;-0.373083;-0.402089;0.699045;0.458770;-0.105300;0.468164;0.054402;0.875657;0.001570;0.458124;0.110724;0.881964;0.001570;0.458124;0.110724;0.881964;-0.265086;0.306241;0.701595;0.586268;-0.224325;0.739687;-0.402054;0.490810;0.503518;-0.247820;0.804614;-0.194042;0.316230;-0.539681;0.564876;-0.538199;0.608064;0.014386;0.777661;-0.159041;0.162125;0.207339;0.946395;0.187251;-0.025234;0.831438;0.497329;0.246452;0.274144;0.620316;0.668908;0.304328;-0.019500;0.913855;0.038199;0.403769;0.422340;-0.330429;0.804152;-0.256487;0.422340;-0.330429;0.804152;-0.256487;0.480003;0.334972;0.802270;0.117276;0.256487;0.804152;0.330429;0.422340;0.480003;0.334972;0.802270;0.117276;0.422340;-0.330429;0.804152;-0.256487
466877;1;0.414288;-0.458409;0.776851;-0.121362;0.428962;-0.318416;0.843948;-0.048528;0.497902;-0.241357;0.831710;0.045813;0.492625;-0.173882;0.848386;0.085594;0.895203;-0.031305;0.042670;0.442506;0.719963;-0.090747;-0.154897;0.670392;0.575101;-0.119263;-0.134181;0.798142;0.661875;-0.236522;-0.362052;0.612288;0.545044;-0.295997;-0.315293;0.718264;0.545044;-0.295997;-0.315293;0.718264;0.719666;-0.039698;0.198237;0.664234;0.141531;0.946257;0.040937;-0.287909;0.113634;0.687067;-0.411357;-0.588058;-0.400439;-0.376807;0.706606;0.445391;-0.182979;0.400319;0.135781;0.887596;-0.042720;0.374333;0.196383;0.905253;-0.042720;0.374333;0.196383;0.905253;-0.340361;0.271834;0.728464;0.528773;-0.211784;0.737326;-0.378465;0.517941;0.518960;-0.242710;0.792474;-0.209183;0.325239;-0.551674;0.555775;-0.530085;0.608748;-0.000467;0.779654;-0.146852;0.192511;0.205550;0.941157;0.186846;-0.007514;0.832588;0.484552;0.268236;0.280563;0.614447;0.670818;0.306173;-0.016210;0.911068;0.043669;0.409615;0.429112;-0.327056;0.789927;-0.291396;0.429112;-0.327056;0.789927;-0.291396;0.509476;0.327299;0.789827;0.097380;0.291396;0.789927;0.327056;0.429112;0.509476;0.327299;0.789827;0.097380;0.429112;-0.327056;0.789927;-0.291396
500222;1;0.562439;-0.258198;0.768813;-0.161006;0.573567;-0.195525;0.787089;-0.115247;0.537569;-0.220857;0.813761;0.005786;0.535374;-0.154888;0.828852;0.048877;0.914232;-0.055765;0.107848;0.386573;0.717708;-0.082507;-0.154567;0.673941;0.567779;-0.111860;-0.134853;0.804319;0.568852;-0.377555;-0.549679;0.481365;0.476201;-0.467620;-0.475423;0.573182;0.476201;-0.467620;-0.475423;0.573182;0.687550;-0.182406;-0.014755;0.702699;0.118970;0.974160;0.039343;-0.187909;0.052419;0.764082;-0.376324;-0.521354;-0.430390;-0.210334;0.825349;0.298869;-0.316592;-0.229947;0.669994;0.630874;-0.421348;-0.110091;0.699749;0.566302;-0.421348;-0.110091;0.699749;0.566302;-0.364531;-0.111151;0.923168;-0.050240;-0.145253;0.702007;-0.241637;0.653987;0.581297;-0.294076;0.681745;-0.332922;0.467786;-0.475019;0.580690;-0.467261;0.665386;0.072294;0.742987;-0.002225;0.328456;0.212404;0.907118;0.155364;0.106913;0.812975;0.454959;0.347353;0.344362;0.614055;0.626993;0.333515;0.009651;0.880306;0.012682;0.474139;0.437800;-0.348779;0.775813;-0.291203;0.437800;-0.348779;0.775813;-0.291203;0.515483;0.301959;0.795206;0.103660;0.291203;0.775813;0.348779;0.437800;0.515483;0.301959;0.795206;0.103660;0.437800;-0.348779;0.775813;-0.291203
533544;1;0.566727;-0.267779;0.761407;-0.165454;0.580540;-0.189504;0.784560;-0.107366;0.531569;-0.216027;0.818607;0.025468;0.527814;-0.149685;0.833295;0.068015;0.916007;-0.037177;0.114250;0.382747;0.719426;-0.056756;-0.131515;0.679639;0.570667;-0.081664;-0.117679;0.808592;0.516348;-0.431937;-0.581036;0.457398;0.428500;-0.526801;-0.496641;0.540570;0.428500;-0.526801;-0.496641;0.540570;0.683391;-0.254645;-0.053862;0.682079;0.094852;0.976877;0.064091;-0.180571;0.055264;0.759706;-0.400646;-0.509192;-0.405896;-0.236307;0.825729;0.312376;-0.335357;-0.139590;0.770834;0.523321;-0.421736;-0.002586;0.783367;0.456583;-0.421736;-0.002586;0.783367;0.456583;-0.401844;-0.066300;0.897967;-0.166677;-0.133340;0.701996;-0.229648;0.660821;0.581396;-0.296908;0.676341;-0.341155;0.476859;-0.464380;0.588672;-0.458717;0.665790;0.085538;0.741150;0.010155;0.337996;0.213170;0.903836;0.152963;0.117080;0.808540;0.456682;0.352132;0.334097;0.618224;0.627793;0.334746;0.001482;0.883792;0.010361;0.467763;0.439481;-0.361461;0.740386;-0.357815;0.439481;-0.361461;0.740386;-0.357815;0.563773;0.267941;0.779123;0.057747;0.357815;0.740386;0.361461;0.439481;0.563773;0.267941;0.779123;0.057747;0.439481;-0.361461;0.740386;-0.357815
566888;1;0.569056;-0.266289;0.759688;-0.167749;0.583445;-0.185630;0.783311;-0.107503;0.538390;-0.218466;0.813607;0.021265;0.534951;-0.152517;0.828506;0.064372;0.912293;-0.042356;0.109365;0.392385;0.712218;-0.047885;-0.124424;0.689181;0.583256;-0.068545;-0.114350;0.801273;0.510833;-0.440750;-0.561372;0.479220;0.419078;-0.532195;-0.475570;0.561226;0.419078;-0.532195;-0.475570;0.561226;0.677567;-0.265813;-0.026327;0.685240;0.099969;0.977650;0.060555;-0.174759;0.037766;0.759142;-0.422539;-0.493698;-0.368638;-0.256290;0.830151;0.330560;-0.382874;0.057504;0.797161;0.463288;-0.457517;0.195077;0.775059;0.389751;-0.457517;0.195077;0.775059;0.389751;0.521008;0.126386;-0.835690;0.119162;-0.131313;0.698665;-0.222003;0.667337;0.578385;-0.312697;0.663095;-0.357766;0.470827;-0.472793;0.570439;-0.478946;0.675728;0.066614;0.734087;-0.008339;0.344707;0.209873;0.902728;0.149042;0.128138;0.800749;0.466582;0.353106;0.358355;0.593774;0.640394;0.330016;0.022189;0.875388;0.036405;0.481536;0.451300;-0.355537;0.743636;-0.341946;0.451300;-0.355537;0.743636;-0.341946;0.560910;0.274427;0.777233;0.077325;0.341946;0.743636;0.355537;0.451300;0.560910;0.274427;0.777233;0.077325;0.451300;-0.355537;0.743636;-0.341946
600211;1;0.563949;-0.283290;0.760982;-0.150384;0.576690;-0.201229;0.786672;-0.089905;0.537889;-0.224354;0.811956;0.032668;0.533537;-0.158518;0.827333;0.075698;0.910243;-0.039226;0.075950;0.405155;0.705431;-0.072045;-0.145539;0.689924;0.594812;-0.092917;-0.133186;0.787291;-0.443729;0.472102;0.620456;-0.441879;-0.359695;0.573250;0.528423;-0.512613;-0.359695;0.573250;0.528423;-0.512613;0.636768;-0.296429;-0.108385;0.703498;0.102377;0.975098;0.059100;-0.187643;0.041343;0.773483;-0.394680;-0.494209;-0.382208;-0.258709;0.828926;0.316020;-0.261588;0.205428;0.618309;0.712085;-0.300752;0.239468;0.605938;0.696449;-0.300752;0.239468;0.605938;0.696449;-0.442084;-0.069955;0.862266;0.236992;-0.129136;0.701060;-0.221622;0.665375;0.584082;-0.298193;0.672114;-0.343789;0.479379;-0.461353;0.581521;-0.468169;0.674199;0.082617;0.733896;0.005243;0.343988;0.207345;0.902832;0.153543;0.126267;0.796578;0.472751;0.355002;0.350569;0.602231;0.630627;0.341657;0.008388;0.874530;0.023597;0.484324;0.440216;-0.382030;0.735974;-0.344392;0.440216;-0.382030;0.735974;-0.344392;0.554802;0.250276;0.790548;0.067758;0.344392;0.735974;0.382030;0.440216;0.554802;0.250276;0.790548;0.067758;0.440216;-0.382030;0.735974;-0.344392
633555;1;0.575596;-0.274448;0.754607;-0.154711;0.588152;-0.197857;0.778207;-0.096561;0.534385;-0.228367;0.813387;0.026148;0.530567;-0.162403;0.829081;0.068918;0.905204;-0.045226;0.077377;0.415419;0.702797;-0.073525;-0.143926;0.692788;0.599614;-0.092828;-0.132301;0.783800;-0.477372;0.451949;0.575284;-0.486731;0.385156;-0.545365;-0.487634;0.562535;0.385156;-0.545365;-0.487634;0.562535;0.632524;-0.259767;-0.044004;0.728353;0.105604;0.976300;0.063041;-0.178080;0.035616;0.783073;-0.391401;-0.482009;-0.366493;-0.275697;0.830897;0.315094;-0.182696;0.282184;0.455535;0.824307;-0.183789;0.282788;0.455161;0.824064;-0.183789;0.282788;0.455161;0.824064;-0.338118;0.002489;0.844888;0.414528;-0.129105;0.699608;-0.216602;0.668553;0.584217;-0.305263;0.665762;-0.349665;0.472751;-0.466329;0.560974;-0.494319;0.687865;0.064476;0.722748;-0.017877;0.347818;0.200144;0.902589;0.155880;0.125886;0.793198;0.474861;0.359856;0.366391;0.594844;0.623677;0.350635;0.013301;0.864495;0.023836;0.501900;0.427777;-0.388955;0.735198;-0.353844;0.427777;-0.388955;0.735198;-0.353844;0.552689;0.244830;0.794896;0.052279;0.353844;0.735198;0.388955;0.427777;0.552689;0.244830;0.794896;0.052279;0.427777;-0.388955;0.735198;-0.353844
