timestamp;body_idx;PELVIS (c);PELVIS (x);PELVIS (y);PELVIS (z);SPINE_NAVEL (c);SPINE_NAVEL (x);SPINE_NAVEL (y);SPINE_NAVEL (z);SPINE_CHEST (c);SPINE_CHEST (x);SPINE_CHEST (y);SPINE_CHEST (z);NECK (c);NECK (x);NECK (y);NECK (z);CLAVICLE_LEFT (c);CLAVICLE_LEFT (x);CLAVICLE_LEFT (y);CLAVICLE_LEFT (z);SHOULDER_LEFT (c);SHOULDER_LEFT (x);SHOULDER_LEFT (y);SHOULDER_LEFT (z);ELBOW_LEFT (c);ELBOW_LEFT (x);ELBOW_LEFT (y);ELBOW_LEFT (z);WRIST_LEFT (c);WRIST_LEFT (x);WRIST_LEFT (y);WRIST_LEFT (z);HAND_LEFT (c);HAND_LEFT (x);HAND_LEFT (y);HAND_LEFT (z);HANDTIP_LEFT (c);HANDTIP_LEFT (x);HANDTIP_LEFT (y);HANDTIP_LEFT (z);THUMB_LEFT (c);THUMB_LEFT (x);THUMB_LEFT (y);THUMB_LEFT (z);CLAVICLE_RIGHT (c);CLAVICLE_RIGHT (x);CLAVICLE_RIGHT (y);CLAVICLE_RIGHT (z);SHOULDER_RIGHT (c);SHOULDER_RIGHT (x);SHOULDER_RIGHT (y);SHOULDER_RIGHT (z);ELBOW_RIGHT (c);ELBOW_RIGHT (x);ELBOW_RIGHT (y);ELBOW_RIGHT (z);WRIST_RIGHT (c);WRIST_RIGHT (x);WRIST_RIGHT (y);WRIST_RIGHT (z);HAND_RIGHT (c);HAND_RIGHT (x);HAND_RIGHT (y);HAND_RIGHT (z);HANDTIP_RIGHT (c);HANDTIP_RIGHT (x);HANDTIP_RIGHT (y);HANDTIP_RIGHT (z);THUMB_RIGHT (c);THUMB_RIGHT (x);THUMB_RIGHT (y);THUMB_RIGHT (z);HIP_LEFT (c);HIP_LEFT (x);HIP_LEFT (y);HIP_LEFT (z);KNEE_LEFT (c);KNEE_LEFT (x);KNEE_LEFT (y);KNEE_LEFT (z);ANKLE_LEFT (c);ANKLE_LEFT (x);ANKLE_LEFT (y);ANKLE_LEFT (z);FOOT_LEFT (c);FOOT_LEFT (x);FOOT_LEFT (y);FOOT_LEFT (z);HIP_RIGHT (c);HIP_RIGHT (x);HIP_RIGHT (y);HIP_RIGHT (z);KNEE_RIGHT (c);KNEE_RIGHT (x);KNEE_RIGHT (y);KNEE_RIGHT (z);ANKLE_RIGHT (c);ANKLE_RIGHT (x);ANKLE_RIGHT (y);ANKLE_RIGHT (z);FOOT_RIGHT (c);FOOT_RIGHT (x);FOOT_RIGHT (y);FOOT_RIGHT (z);HEAD (c);HEAD (x);HEAD (y);HEAD (z);NOSE (c);NOSE (x);NOSE (y);NOSE (z);EYE_LEFT (c);EYE_LEFT (x);EYE_LEFT (y);EYE_LEFT (z);EAR_LEFT (c);EAR_LEFT (x);EAR_LEFT (y);EAR_LEFT (z);EYE_RIGHT (c);EYE_RIGHT (x);EYE_RIGHT (y);EYE_RIGHT (z);EAR_RIGHT (c);EAR_RIGHT (x);EAR_RIGHT (y);EAR_RIGHT (z)
333500;1;2;40.890579;20.693247;2440.603516;2;-6.206300;-100.585861;2323.109131;2;-52.917034;-161.049576;2205.620605;2;-127.143890;-227.033859;2016.817139;2;-83.980843;-218.047623;2036.204346;2;40.082829;-165.425781;1996.577759;2;115.364098;67.630707;2113.841064;2;-17.007164;249.937668;2079.451904;0;-21.169773;278.199158;1989.248047;2;-26.656553;366.506287;1930.552979;2;-33.167404;298.211212;1954.844116;2;-145.494690;-216.178467;2060.397705;2;-253.307526;-167.826431;2112.718018;2;-290.816956;77.707451;2234.602051;2;-238.222763;286.329285;2151.087402;0;-294.907684;288.861694;2066.472900;0;-248.335037;378.962524;2091.063232;0;-286.310608;343.532593;2045.856201;2;124.239769;20.167208;2407.736572;2;101.921913;282.192566;2115.179688;2;123.201607;614.403137;2289.876221;2;105.555695;721.721008;2141.357178;2;-34.269054;21.167599;2470.240967;2;-326.563477;244.084869;2331.375244;2;-261.185394;594.953430;2461.535889;2;-348.337128;679.568909;2343.512451;2;-155.854431;-238.999100;1942.821655;2;-202.399216;-121.491859;1848.181641;2;-174.790512;-162.982971;1824.918579;2;-90.230263;-245.791672;1863.771362;2;-223.962738;-166.672485;1839.335938;2;-245.209595;-275.519257;1904.725830
366888;1;2;41.381779;19.932821;2447.624756;2;-4.445445;-102.939880;2329.425537;2;-50.290161;-163.641037;2210.537598;2;-126.916733;-226.098404;2019.788696;2;-83.249939;-217.564758;2039.103271;2;40.905804;-164.353027;1997.083252;2;120.392441;67.204636;2118.923828;2;-14.249534;251.240021;2092.807861;0;-20.946489;270.932251;1999.815674;2;-25.647593;364.440735;1948.164917;2;-34.387520;302.810181;1966.515625;2;-144.977325;-215.981735;2064.047119;2;-254.153610;-170.302383;2118.180664;2;-293.322357;76.951820;2240.531738;2;-241.080795;286.070953;2153.573730;0;-290.005096;295.303070;2063.863037;0;-259.533051;388.578156;2101.519531;0;-285.654419;347.618561;2048.309814;2;125.627815;19.598454;2415.308838;2;102.185089;276.855408;2114.949951;2;117.996429;611.904602;2290.558105;2;102.204407;720.953125;2141.468994;2;-34.586575;20.234335;2476.765137;2;-328.804138;242.128082;2332.516113;2;-262.648193;597.363525;2458.250488;2;-348.500305;681.642883;2337.340576;2;-156.521347;-236.586823;1945.303833;2;-208.520538;-114.798836;1857.272339;2;-185.417709;-157.349045;1830.370850;2;-100.187881;-244.951569;1858.649292;2;-233.104309;-159.173996;1850.360596;2;-251.804321;-268.837463;1916.955811
400211;1;2;50.223442;15.011885;2416.380615;2;-1.094855;-96.580666;2298.107422;2;-46.573002;-160.024231;2186.352539;2;-127.361717;-219.318863;2004.654175;2;-84.459511;-212.377426;2022.142212;2;39.900116;-159.702179;2001.466553;2;114.124802;63.295959;2121.970215;2;-16.022623;240.062332;2091.051514;0;-18.204201;260.885773;2001.431519;2;-21.962271;351.478516;1951.989746;2;-39.087791;300.779388;1971.898438;2;-143.344559;-208.591003;2047.740234;2;-242.271805;-164.875977;2111.780762;2;-287.637024;67.395271;2239.902100;2;-237.933365;266.973969;2149.954590;0;-285.512939;290.163452;2066.180420;0;-276.248444;358.665039;2140.520264;0;-268.549957;323.391937;2041.379028;2;131.871658;9.156651;2386.478516;2;102.478226;280.608765;2118.424561;2;115.482788;606.082153;2284.601318;2;102.460037;728.074097;2154.186035;2;-23.402344;20.291805;2443.344727;1;-201.689560;303.317108;2258.416748;1;-116.170509;590.398071;2474.786133;1;-192.003204;723.701172;2414.635254;2;-158.143143;-229.066299;1933.569946;2;-228.183182;-119.714333;1851.571777;2;-200.443024;-156.542313;1824.441772;2;-105.319366;-227.631592;1848.495117;2;-245.155029;-165.664185;1844.806641;2;-244.899719;-273.828156;1907.908813
433555;1;2;55.130547;15.152161;2418.036865;2;0.746731;-103.507416;2306.400391;2;-48.196960;-170.464218;2196.966797;2;-130.529190;-230.410217;2014.443359;2;-87.219597;-223.490677;2031.853882;2;35.132736;-167.276260;2003.385498;2;117.881973;56.753368;2120.613770;2;-9.574987;237.908798;2092.381836;0;-16.304937;257.853271;2002.098755;2;-21.367353;353.393829;1961.256836;2;-41.648075;292.680725;1971.443237;2;-146.410522;-219.458588;2057.887451;2;-247.209610;-173.406647;2119.114258;2;-290.851593;75.953049;2216.056396;2;-256.481201;283.524261;2133.214355;0;-269.032196;381.228149;2117.096680;0;-297.890167;478.679474;2105.874756;0;-290.741089;347.461334;2035.471191;2;136.552628;7.948913;2386.028564;2;99.300743;285.383942;2121.099854;2;114.652405;610.131592;2294.236328;2;100.045258;719.469360;2151.545410;2;-18.291336;21.647648;2446.900391;2;-317.917236;229.533493;2323.477539;2;-279.507568;579.286926;2444.884766;2;-363.028748;668.606628;2332.716797;2;-161.872803;-240.316727;1943.000488;2;-239.618240;-130.339630;1866.889160;2;-218.626175;-170.363922;1837.544434;2;-123.888611;-246.335358;1849.738281;2;-259.966003;-175.788849;1865.744141;2;-254.563217;-281.273376;1934.698120
466877;1;2;43.637932;26.253210;2458.508301;2;1.306597;-101.061226;2343.773438;2;-41.275867;-172.669083;2229.855225;2;-120.757339;-252.649780;2046.995117;2;-77.017151;-240.339111;2063.954590;2;37.777454;-180.721436;2006.706909;2;126.903358;54.898216;2113.069336;2;-1.305103;245.123535;2106.001709;0;-14.884003;252.285507;2011.962646;0;-16.906464;351.495056;1972.141724;2;-40.601799;277.969391;1976.439697;2;-137.813095;-240.457184;2091.125488;2;-255.666702;-201.227188;2129.932373;2;-295.043518;49.787434;2244.257080;2;-225.122925;242.718719;2135.153320;0;-252.603806;315.427032;2068.191650;0;-262.568939;374.227570;2154.728760;0;-239.058807;320.212830;2050.068115;2;127.972481;27.103535;2426.449463;2;99.107414;274.359985;2118.297119;2;114.990265;611.903320;2289.003662;2;99.039879;723.640442;2141.950439;2;-32.410255;25.486435;2487.416992;2;-328.358490;231.357819;2324.258057;2;-275.112793;588.775024;2449.867432;2;-358.896027;678.672058;2331.596191;2;-152.292343;-270.020630;1974.625000;2;-252.941437;-147.729630;1988.672363;2;-250.189789;-172.619873;1939.271240;2;-162.681198;-237.243408;1876.804321;2;-274.581604;-193.297592;1979.941528;2;-242.801498;-318.068390;1995.136353
500222;1;2;37.741226;31.815811;2466.742432;2;-0.393126;-101.024208;2353.802490;2;-40.875332;-174.128235;2238.143555;2;-117.473839;-258.510712;2053.244141;2;-73.708740;-244.998840;2070.753906;2;42.178551;-188.070267;2009.252808;2;127.448845;54.445683;2110.968994;2;-0.672132;247.625656;2100.592529;0;-15.163442;253.292679;2005.522949;0;-18.184160;358.042419;1978.985718;2;-43.896847;278.276947;1969.769531;2;-135.471344;-246.069962;2097.530273;2;-255.551041;-210.842453;2138.148926;2;-290.551544;48.619286;2242.096680;2;-234.534439;257.145935;2149.405762;0;-253.883331;315.867828;2066.121094;0;-257.749695;375.299316;2154.117432;0;-239.540421;320.476044;2049.023193;2;123.430626;33.762657;2435.519531;2;102.463104;271.461609;2113.856934;2;116.514618;609.915588;2292.066406;2;96.070305;721.679871;2143.011963;2;-39.528671;30.060255;2494.897705;2;-332.853271;235.679245;2316.730713;2;-273.786957;592.782104;2453.092041;2;-358.007568;678.572388;2329.474609;2;-148.157700;-277.471436;1979.912476;2;-253.920074;-156.710922;1971.277466;2;-235.436859;-177.966827;1922.881592;2;-129.832748;-237.065918;1884.932983;2;-270.480225;-202.280624;1953.159668;2;-239.859940;-328.765717;1968.821777
533544;1;2;33.066227;38.272392;2463.044922;2;-5.354538;-95.025482;2350.890137;2;-44.772305;-171.492996;2237.145508;2;-121.937485;-260.792175;2054.942627;2;-78.059258;-247.363724;2072.159668;2;37.517399;-196.444870;2005.218018;2;121.649490;45.723320;2108.312012;2;-5.484819;239.564774;2101.404785;0;-13.213669;255.455551;2006.755859;2;-32.831821;334.128204;1935.345093;2;-44.623272;277.847961;1971.325684;2;-139.892548;-246.624588;2098.696045;2;-260.092407;-208.372971;2135.855957;2;-297.648712;47.801121;2246.457275;2;-241.126358;254.583511;2150.530518;0;-258.893890;311.125702;2065.471191;0;-261.849091;357.191437;2161.115967;0;-244.211929;315.379913;2048.734619;2;119.073036;38.934891;2432.794189;2;102.605629;273.397491;2108.761719;2;119.815918;609.755615;2290.207031;2;100.660843;721.739502;2141.268555;2;-44.489891;37.674984;2490.323242;2;-340.517670;241.406525;2314.946533;2;-277.958160;595.933777;2455.827393;2;-358.177277;678.924438;2327.839355;2;-152.628555;-281.715515;1982.197266;2;-259.776184;-161.983063;1982.504272;2;-243.813965;-181.810043;1932.660156;2;-139.981216;-238.771591;1887.466064;2;-276.879211;-207.236725;1964.176514;2;-244.273285;-333.672211;1974.876709
566888;1;2;31.646431;38.929958;2458.176758;2;-6.887253;-95.021088;2347.938965;2;-46.281071;-170.547897;2234.240234;2;-125.921043;-264.427979;2056.446045;2;-81.983612;-250.397766;2072.457520;2;31.737984;-195.565338;2006.604248;2;121.569305;44.846176;2106.110840;2;-11.558562;233.436508;2096.877930;0;-14.392022;253.007446;2003.021973;2;-33.934273;332.678009;1933.342041;2;-45.884991;272.627777;1966.317139;2;-143.094696;-249.319229;2099.985107;2;-261.039551;-207.986206;2139.235352;2;-298.195068;48.173904;2247.237305;2;-244.840622;251.887741;2145.313477;0;-259.211243;306.517426;2058.856445;0;-270.339050;342.563568;2157.696777;0;-248.059067;310.765381;2044.273804;2;117.563393;38.450378;2428.727295;2;101.220306;274.596069;2107.814209;2;118.613945;610.534546;2286.924072;2;100.518021;721.095886;2137.690430;2;-45.828671;39.362415;2484.732910;2;-341.638885;244.749100;2314.475830;2;-277.231079;596.467834;2457.496094;2;-361.188751;680.681274;2333.657959;2;-157.683670;-287.240845;1985.092163;2;-256.390137;-161.283859;1981.733032;2;-242.803818;-184.241165;1932.776001;2;-144.206421;-249.646729;1888.658936;2;-276.691406;-205.911667;1965.855591;2;-252.285355;-333.131042;1981.732666
600211;1;2;35.399075;38.540924;2449.204102;2;-6.209858;-94.930618;2338.924805;2;-48.681042;-170.252365;2225.841797;2;-127.179893;-264.027191;2046.957520;2;-83.375900;-249.343597;2063.048584;2;30.066944;-200.946106;1991.312622;2;118.539734;35.077065;2103.295654;2;-9.309366;228.021149;2099.161377;0;-14.306873;254.978836;2007.045288;2;-33.244392;322.583679;1925.177856;2;-52.506088;263.559540;1969.988525;2;-144.561295;-249.609650;2090.759277;2;-267.495209;-221.297684;2127.020752;2;-307.951080;28.489977;2249.290039;2;-276.805298;235.785919;2144.344238;0;-277.994110;282.694397;2052.111084;0;-279.065155;333.355896;2145.223877;0;-264.462830;290.706970;2037.946411;2;120.655563;38.269901;2417.364502;2;98.316940;276.950714;2097.691406;2;119.714905;606.664612;2289.144531;2;103.308861;721.633606;2142.599609;2;-41.480457;38.785320;2477.915527;2;-346.294373;239.515442;2316.327148;2;-275.818878;594.153198;2451.133789;2;-358.665192;681.298645;2328.098389;2;-158.747787;-286.767303;1975.307495;2;-262.819275;-165.320160;1987.243896;2;-250.633865;-183.457962;1935.828979;2;-151.450699;-240.496109;1881.798218;2;-282.039398;-209.406708;1968.440918;2;-251.616455;-336.535614;1972.168701
633555;1;2;36.509315;43.903202;2449.116455;2;-2.861109;-89.749756;2337.291504;2;-45.154762;-167.190567;2224.980713;2;-132.809448;-264.992859;2051.722412;2;-88.326401;-248.926971;2064.851074;2;21.459743;-197.714157;1988.581543;2;118.556793;34.860535;2102.865234;2;-7.758967;229.768570;2101.965088;0;-13.081040;258.014465;2009.920654;2;-33.551708;322.089935;1925.163208;2;-54.272587;264.588318;1972.589722;2;-147.740417;-250.612015;2096.611084;2;-270.962830;-227.937347;2137.177979;2;-309.158875;26.238472;2253.110107;2;-287.620636;228.795303;2135.522705;0;-281.241058;282.371399;2046.816772;0;-284.217163;334.739563;2139.342529;0;-268.361481;289.803680;2033.973633;2;120.909317;47.993397;2414.513184;2;96.789085;280.709076;2088.967285;2;118.573845;612.243713;2279.759521;2;100.722664;726.963989;2132.398682;2;-39.597874;40.214897;2480.320068;2;-343.232697;239.091431;2311.126221;2;-277.852051;592.966064;2453.934082;2;-360.254700;683.127380;2331.980225;2;-168.456711;-289.306580;1982.227051;2;-269.259155;-164.810684;1997.495850;2;-257.207062;-181.693314;1945.424805;2;-159.061035;-240.117523;1890.015381;2;-289.721375;-207.808365;1977.080566;2;-263.062164;-336.276123;1976.865234
