timestamp;body_idx;PELVIS (c);PELVIS (x);PELVIS (y);SPINE_NAVEL (c);SPINE_NAVEL (x);SPINE_NAVEL (y);SPINE_CHEST (c);SPINE_CHEST (x);SPINE_CHEST (y);NECK (c);NECK (x);NECK (y);CLAVICLE_LEFT (c);CLAVICLE_LEFT (x);CLAVICLE_LEFT (y);SHOULDER_LEFT (c);SHOULDER_LEFT (x);SHOULDER_LEFT (y);ELBOW_LEFT (c);ELBOW_LEFT (x);ELBOW_LEFT (y);WRIST_LEFT (c);WRIST_LEFT (x);WRIST_LEFT (y);HAND_LEFT (c);HAND_LEFT (x);HAND_LEFT (y);HANDTIP_LEFT (c);HANDTIP_LEFT (x);HANDTIP_LEFT (y);THUMB_LEFT (c);THUMB_LEFT (x);THUMB_LEFT (y);CLAVICLE_RIGHT (c);CLAVICLE_RIGHT (x);CLAVICLE_RIGHT (y);SHOULDER_RIGHT (c);SHOULDER_RIGHT (x);SHOULDER_RIGHT (y);ELBOW_RIGHT (c);ELBOW_RIGHT (x);ELBOW_RIGHT (y);WRIST_RIGHT (c);WRIST_RIGHT (x);WRIST_RIGHT (y);HAND_RIGHT (c);HAND_RIGHT (x);HAND_RIGHT (y);HANDTIP_RIGHT (c);HANDTIP_RIGHT (x);HANDTIP_RIGHT (y);THUMB_RIGHT (c);THUMB_RIGHT (x);THUMB_RIGHT (y);HIP_LEFT (c);HIP_LEFT (x);HIP_LEFT (y);KNEE_LEFT (c);KNEE_LEFT (x);KNEE_LEFT (y);ANKLE_LEFT (c);ANKLE_LEFT (x);ANKLE_LEFT (y);FOOT_LEFT (c);FOOT_LEFT (x);FOOT_LEFT (y);HIP_RIGHT (c);HIP_RIGHT (x);HIP_RIGHT (y);KNEE_RIGHT (c);KNEE_RIGHT (x);KNEE_RIGHT (y);ANKLE_RIGHT (c);ANKLE_RIGHT (x);ANKLE_RIGHT (y);FOOT_RIGHT (c);FOOT_RIGHT (x);FOOT_RIGHT (y);HEAD (c);HEAD (x);HEAD (y);NOSE (c);NOSE (x);NOSE (y);EYE_LEFT (c);EYE_LEFT (x);EYE_LEFT (y);EAR_LEFT (c);EAR_LEFT (x);EAR_LEFT (y);EYE_RIGHT (c);EYE_RIGHT (x);EYE_RIGHT (y);EAR_RIGHT (c);EAR_RIGHT (x);EAR_RIGHT (y)
401188;1;2;919.179382;671.123962;2;939.452271;629.326843;2;963.993103;601.955200;2;1004.482544;568.790344;2;1003.895996;569.845947;2;1030.951050;578.192017;2;1027.187622;640.565735;2;1021.923340;704.270447;0;1015.890381;724.779358;0;988.247498;730.205750;0;997.365295;722.278931;2;990.511475;578.705933;2;971.388306;618.704407;2;973.056396;719.247070;2;994.309753;801.903992;0;1003.025452;820.978149;0;1012.666870;843.198181;0;994.359802;809.809021;2;936.540161;663.087219;2;1027.582642;732.265015;1;954.308960;786.637939;1;979.690796;825.631592;2;902.762512;678.733276;2;910.674133;808.594727;2;870.577393;899.823608;2;883.940430;948.689148;2;1023.606812;559.285706;2;1058.313477;603.006836;2;1066.885498;586.860291;2;1056.851196;542.949890;2;1057.175537;599.058960;2;1025.759644;576.465759
434522;1;2;919.287476;671.163452;2;939.603088;629.350891;2;964.201416;601.989441;2;1004.854248;568.840393;2;1004.220459;569.889526;2;1031.183838;578.215149;2;1027.265015;640.524414;2;1021.928650;704.174255;0;1015.890930;724.648010;0;988.459900;730.255249;0;997.212219;721.980286;2;990.874329;578.756165;2;971.817505;618.785767;2;973.801636;719.433472;2;995.448608;802.163513;0;1004.609497;821.861755;0;1015.105347;845.082214;0;996.651917;811.994080;2;936.633972;663.120239;2;1027.776245;732.206116;1;954.522339;786.660583;1;979.951721;825.625000;2;902.883240;678.779297;2;910.993713;808.667542;2;871.066040;900.095886;2;884.805542;948.949158;2;1024.043457;559.345581;2;1058.774536;602.961426;2;1067.373779;586.772644;2;1057.176880;542.903931;2;1057.840332;598.994995;2;1026.683350;576.478210
467844;1;2;920.749023;668.357849;2;940.882263;626.367554;2;965.688904;599.561768;2;1006.566895;568.115723;2;1006.062195;568.736206;2;1033.557617;576.610352;2;1030.002319;638.719604;2;1024.280029;702.908630;0;1015.555298;726.069336;0;987.484802;722.756348;0;992.901001;707.613403;2;992.364441;577.877380;2;972.436462;618.137634;2;972.543091;718.122681;2;994.575684;799.115356;0;1006.378601;827.323975;0;1020.170410;862.124512;0;995.324036;828.353638;2;938.712158;660.730225;2;1033.136841;733.270630;1;958.842224;786.256592;1;983.778442;827.287292;2;903.774780;675.575562;2;910.557373;806.063232;2;874.660706;900.775757;2;886.720032;949.248047;2;1025.848877;559.344910;2;1060.525513;603.305542;2;1069.398315;586.307434;2;1057.897217;542.706665;2;1061.448730;597.988770;2;1032.818604;573.845703
501188;1;2;920.754578;668.357849;2;940.887573;626.367493;2;965.694458;599.561646;2;1006.570007;568.118591;2;1006.065430;568.736572;2;1033.565186;576.596985;2;1030.026245;638.685913;2;1024.315552;702.861389;0;1015.575134;726.009827;0;987.504272;722.634338;0;992.931335;707.546875;2;992.368103;577.881775;2;972.445740;618.148254;2;972.577209;718.131470;2;994.639221;799.112000;0;1006.482605;827.316528;0;1020.303223;862.110901;0;995.471924;828.380066;2;938.717468;660.728943;2;1033.148315;733.269409;2;958.908997;786.314697;1;983.878784;827.338867;2;903.780457;675.576721;2;910.571350;806.064087;2;874.680542;900.774292;2;886.753906;949.243347;2;1025.851562;559.348755;2;1060.536621;603.303650;2;1069.406860;586.303955;2;1057.897705;542.703735;2;1061.459351;597.987854;2;1032.825073;573.851257
534511;1;2;926.020203;657.650696;2;944.394043;614.706787;2;968.861023;591.574341;2;999.614197;569.058960;2;1002.366394;566.367004;2;1040.206299;567.341492;2;1043.746948;631.247314;2;1033.446289;704.846008;0;1014.499939;726.858093;0;999.047852;695.375061;0;1003.624512;694.512329;2;985.513489;579.115540;2;965.431458;622.815735;2;975.151123;725.573242;2;1005.471619;808.978882;0;1017.504089;848.100952;0;1025.220581;889.233398;0;1049.783081;825.298950;2;948.048279;652.273926;2;1039.793213;742.192383;1;966.118347;778.874268;1;994.852722;823.821289;2;905.330750;662.714355;2;906.270630;798.689453;2;879.770691;912.527954;2;888.550232;953.321106;2;1015.332642;563.849304;2;1060.919312;604.086731;2;1065.890625;583.562683;2;1042.486694;544.299561;2;1062.348755;592.731079;2;1030.070068;564.816650
567855;1;2;922.183350;656.339478;2;942.854370;611.831177;2;967.363098;591.976868;2;1006.240417;565.459534;2;1008.470032;564.875549;2;1048.848022;558.841736;2;1062.787720;638.301880;2;1028.909180;710.724426;0;1004.891113;720.622559;0;1014.769592;690.830994;0;992.002625;691.172363;2;989.820801;574.725952;2;964.601562;617.013733;2;973.071960;730.377808;2;1008.055115;822.810730;0;1020.578003;862.534424;0;1038.644165;905.360352;0;1022.115845;876.734070;2;948.334045;655.497375;2;1042.951538;745.013611;1;970.975037;780.883606;1;994.947510;834.882690;2;897.767883;657.144897;2;901.636902;775.116821;2;885.648560;891.120972;2;886.489319;953.631104;2;1024.975342;559.190552;2;1061.753174;605.233276;2;1072.156616;585.015320;2;1064.318115;548.998718;2;1058.377197;587.218933;2;1021.180603;546.132141
601177;1;2;923.699341;653.926514;2;942.432190;607.827332;2;966.395996;588.646912;2;1007.795898;562.373840;2;1009.430359;561.589783;2;1049.192871;559.189209;2;1065.706665;640.571594;2;1025.358521;710.625427;0;1003.848267;721.145020;0;1015.949829;693.332825;0;987.310303;700.369141;2;991.071594;571.752441;2;966.058655;614.811340;2;972.880737;729.925964;2;1007.608643;823.881714;0;1022.513611;864.061768;0;1041.747314;905.547607;0;1025.156372;876.389282;2;950.307129;652.333923;2;1044.870483;740.261780;2;1009.077576;836.745911;2;1054.251221;887.589050;2;898.865479;655.432312;2;908.429993;765.712524;2;884.102722;883.335693;2;890.097656;950.419922;2;1027.618042;556.259399;2;1061.994995;605.983704;2;1073.129150;585.309265;2;1068.371094;545.363342;2;1057.812012;588.943909;2;1020.514160;547.015991
634522;1;2;923.994263;652.066589;2;942.767578;606.521851;2;966.035278;586.805237;2;1008.230225;563.464600;2;1009.755066;562.087158;2;1049.836182;558.038696;2;1065.526489;637.422729;2;1020.932983;704.376160;0;997.020081;711.646362;0;1016.277588;690.775269;0;985.990845;692.021729;2;991.345032;572.402832;2;965.801086;615.345093;2;973.024048;729.984985;2;1003.921204;824.503540;0;1009.524170;867.675110;0;1037.227051;898.775146;0;1021.388550;877.819336;2;950.778992;650.834351;2;1044.681641;739.818115;2;1017.994202;839.588867;2;1063.620728;890.040100;2;899.022461;653.234741;2;917.454285;761.135925;2;885.873535;877.317627;2;893.294067;945.831177;2;1028.297363;558.597412;2;1063.200073;603.749451;2;1073.689209;582.910461;2;1068.838867;546.876038;2;1057.771484;585.484070;2;1019.042542;545.268250
667844;1;2;923.069458;651.786743;2;942.706604;606.054260;2;966.549438;586.539246;2;1007.399780;563.421143;2;1009.471191;561.977905;2;1050.961426;555.882263;2;1066.607788;634.755615;2;1021.459900;701.992188;0;993.595337;705.963867;0;1018.511719;689.465027;0;991.486694;689.514709;2;990.418823;572.349304;2;963.963806;615.478149;2;972.959717;730.866455;2;1002.104065;826.611938;0;1010.076111;870.354370;0;1029.987549;906.573364;0;1021.344238;877.719666;2;950.039001;650.985291;2;1043.941650;740.656128;2;1019.723206;836.735107;2;1062.243652;890.132446;2;897.917969;652.553772;2;919.825745;761.730164;2;885.308228;878.008179;2;892.549683;946.325684;2;1026.963135;558.681641;2;1063.838257;603.418396;2;1074.590332;583.045959;2;1067.429443;548.881836;2;1059.971313;584.149414;2;1021.852112;542.443604
701188;1;2;921.163940;653.128601;2;941.583374;606.440247;2;966.170349;587.422424;2;1005.711548;561.870911;2;1007.767944;560.709290;2;1049.927002;557.289368;2;1066.499146;639.590454;2;1017.371643;704.699829;0;989.884399;706.418701;0;1014.919067;692.099854;0;987.670044;694.802490;2;989.199890;571.388977;2;964.425354;614.989563;2;972.559326;729.639282;2;996.857849;826.057373;0;1004.914490;868.643555;0;1022.986450;897.877747;0;1014.309631;875.912231;2;947.919861;653.225342;2;1043.619751;740.323303;2;1018.912048;837.202393;2;1061.913330;890.158020;2;896.205322;653.058167;2;921.641052;763.919434;2;884.354614;880.815186;2;892.983459;948.498962;2;1024.853638;556.002563;2;1058.091553;603.152100;2;1070.037598;583.488464;2;1065.681641;548.333435;2;1055.195801;584.147034;2;1019.966248;540.621521
