timestamp;body_idx;PELVIS (c);PELVIS (x);PELVIS (y);PELVIS (z);SPINE_NAVEL (c);SPINE_NAVEL (x);SPINE_NAVEL (y);SPINE_NAVEL (z);SPINE_CHEST (c);SPINE_CHEST (x);SPINE_CHEST (y);SPINE_CHEST (z);NECK (c);NECK (x);NECK (y);NECK (z);CLAVICLE_LEFT (c);CLAVICLE_LEFT (x);CLAVICLE_LEFT (y);CLAVICLE_LEFT (z);SHOULDER_LEFT (c);SHOULDER_LEFT (x);SHOULDER_LEFT (y);SHOULDER_LEFT (z);ELBOW_LEFT (c);ELBOW_LEFT (x);ELBOW_LEFT (y);ELBOW_LEFT (z);WRIST_LEFT (c);WRIST_LEFT (x);WRIST_LEFT (y);WRIST_LEFT (z);HAND_LEFT (c);HAND_LEFT (x);HAND_LEFT (y);HAND_LEFT (z);HANDTIP_LEFT (c);HANDTIP_LEFT (x);HANDTIP_LEFT (y);HANDTIP_LEFT (z);THUMB_LEFT (c);THUMB_LEFT (x);THUMB_LEFT (y);THUMB_LEFT (z);CLAVICLE_RIGHT (c);CLAVICLE_RIGHT (x);CLAVICLE_RIGHT (y);CLAVICLE_RIGHT (z);SHOULDER_RIGHT (c);SHOULDER_RIGHT (x);SHOULDER_RIGHT (y);SHOULDER_RIGHT (z);ELBOW_RIGHT (c);ELBOW_RIGHT (x);ELBOW_RIGHT (y);ELBOW_RIGHT (z);WRIST_RIGHT (c);WRIST_RIGHT (x);WRIST_RIGHT (y);WRIST_RIGHT (z);HAND_RIGHT (c);HAND_RIGHT (x);HAND_RIGHT (y);HAND_RIGHT (z);HANDTIP_RIGHT (c);HANDTIP_RIGHT (x);HANDTIP_RIGHT (y);HANDTIP_RIGHT (z);THUMB_RIGHT (c);THUMB_RIGHT (x);THUMB_RIGHT (y);THUMB_RIGHT (z);HIP_LEFT (c);HIP_LEFT (x);HIP_LEFT (y);HIP_LEFT (z);KNEE_LEFT (c);KNEE_LEFT (x);KNEE_LEFT (y);KNEE_LEFT (z);ANKLE_LEFT (c);ANKLE_LEFT (x);ANKLE_LEFT (y);ANKLE_LEFT (z);FOOT_LEFT (c);FOOT_LEFT (x);FOOT_LEFT (y);FOOT_LEFT (z);HIP_RIGHT (c);HIP_RIGHT (x);HIP_RIGHT (y);HIP_RIGHT (z);KNEE_RIGHT (c);KNEE_RIGHT (x);KNEE_RIGHT (y);KNEE_RIGHT (z);ANKLE_RIGHT (c);ANKLE_RIGHT (x);ANKLE_RIGHT (y);ANKLE_RIGHT (z);FOOT_RIGHT (c);FOOT_RIGHT (x);FOOT_RIGHT (y);FOOT_RIGHT (z);HEAD (c);HEAD (x);HEAD (y);HEAD (z);NOSE (c);NOSE (x);NOSE (y);NOSE (z);EYE_LEFT (c);EYE_LEFT (x);EYE_LEFT (y);EYE_LEFT (z);EAR_LEFT (c);EAR_LEFT (x);EAR_LEFT (y);EAR_LEFT (z);EYE_RIGHT (c);EYE_RIGHT (x);EYE_RIGHT (y);EYE_RIGHT (z);EAR_RIGHT (c);EAR_RIGHT (x);EAR_RIGHT (y);EAR_RIGHT (z)
401188;1;2;-43.818142;67.954842;2195.727783;2;6.832957;-30.566111;2121.418701;2;64.125252;-90.997749;2054.800537;2;150.341507;-155.954834;1933.565430;2;151.250534;-156.644424;1970.195923;2;217.694702;-143.553268;2052.889404;2;219.011566;-2.351060;2203.727295;2;208.694534;154.795761;2276.337402;0;195.898300;208.721497;2322.293457;0;127.262581;225.133942;2361.626709;0;143.841476;193.095062;2217.768799;2;120.076797;-135.109253;1937.085693;2;77.237839;-49.012772;1916.567871;2;78.158028;161.300690;1926.048828;2;120.423012;331.439209;1936.372070;0;140.957855;380.557892;1992.721558;0;163.927826;437.087769;2043.546387;0;124.486656;363.890656;2029.653564;2;-2.595484;50.392220;2247.111328;2;225.351578;227.843018;2325.528320;1;38.726105;382.408417;2477.562256;1;106.640968;493.477417;2529.250000;2;-80.990425;83.791832;2149.393066;2;-64.082382;382.052460;2162.033447;2;-167.937668;616.945435;2294.713379;2;-128.833801;700.759705;2204.966064;2;188.185623;-171.920822;1888.362427;2;261.944946;-80.239372;1912.637451;2;278.335022;-113.122070;1892.599243;2;258.842285;-205.772507;1888.074463;2;255.277573;-86.841866;1875.108765;2;186.331589;-130.673523;1821.051636
434522;1;2;-43.572346;68.064568;2196.138916;2;7.181276;-30.512133;2121.821045;2;64.605591;-90.932541;2055.197266;2;151.171097;-155.879379;1934.066772;2;151.992920;-156.583466;1970.722412;2;218.291748;-143.547440;2053.628906;2;219.288559;-2.451554;2204.749023;2;208.818039;154.651047;2277.696533;0;196.011108;208.527374;2323.779541;0;127.898964;225.477676;2363.892822;0;143.560715;192.515030;2219.310059;2;120.877510;-135.023560;1937.525024;2;78.153198;-48.837921;1916.842407;2;79.703239;161.647049;1925.370850;2;122.725899;331.752777;1934.987915;0;144.168503;381.918854;1990.131592;0;168.835968;439.991241;2038.438843;0;129.242569;367.905151;2026.122070;2;-2.371754;50.486012;2247.592285;2;225.899551;227.764908;2326.183838;1;39.298473;382.591248;2478.325684;1;107.374550;493.633759;2530.100342;2;-80.724731;83.915924;2149.741211;2;-63.366943;382.331482;2162.627441;2;-166.790863;617.717590;2295.172119;2;-126.887383;701.603638;2205.726074;2;189.148575;-171.835938;1888.919678;2;263.076385;-80.381470;1913.907349;2;279.558990;-113.388092;1894.094238;2;259.699646;-206.018478;1889.486694;2;256.802765;-87.018089;1876.291504;2;188.239685;-130.660782;1821.486450
467844;1;2;-40.480339;61.801659;2210.530029;2;10.109227;-37.690865;2134.948975;2;68.259438;-96.961273;2066.255615;2;155.350342;-158.011444;1941.368774;2;156.557175;-159.706879;1978.344727;2;224.513321;-147.737442;2061.441162;2;226.979111;-6.797791;2215.473145;2;215.571915;152.285339;2288.089355;0;195.114456;212.076492;2324.144287;0;125.812340;206.807816;2366.981201;0;134.463730;159.432510;2236.146240;2;124.508621;-137.478851;1945.721680;2;79.765198;-50.507782;1928.183960;2;77.693504;160.995087;1951.060425;2;122.650009;331.543182;1970.691162;0;148.664856;396.321014;2006.242798;0;177.524734;470.489899;2016.541260;0;125.347015;400.419739;2017.571899;2;2.633736;44.959187;2261.559082;2;237.928955;228.893723;2309.511963;1;50.802216;380.355438;2469.542236;1;117.277580;495.667114;2517.709961;2;-79.358192;76.989250;2164.515137;2;-64.912743;378.616760;2175.029541;2;-158.954086;622.305542;2305.820312;2;-122.832924;704.031738;2211.076660;2;193.465546;-172.357635;1894.991821;2;267.672607;-79.934341;1921.300415;2;285.377136;-115.045235;1905.734253;2;263.205963;-208.229095;1905.849243;2;265.234955;-89.389938;1883.448242;2;201.038666;-136.100800;1824.312012
501188;1;2;-40.467632;61.802345;2210.550781;2;10.121595;-37.691151;2134.964355;2;68.272438;-96.962036;2066.267578;2;155.356888;-158.005081;1941.367188;2;156.564240;-159.705963;1978.343628;2;224.531204;-147.767868;2061.439209;2;227.043945;-6.879375;2215.524658;2;215.673279;152.177979;2288.213867;0;195.178375;211.942947;2324.294922;0;125.872643;206.510818;2367.109863;0;134.547165;159.283508;2236.288574;2;124.516579;-137.469315;1945.723511;2;79.785217;-50.485470;1928.203735;2;77.767372;161.019241;1951.119995;2;122.789032;331.551971;1970.776978;0;148.891968;396.317352;2006.291138;0;177.812469;470.469086;2016.559326;0;125.665382;400.474762;2017.554810;2;2.646796;44.956596;2261.580811;2;237.957657;228.890671;2309.508789;2;50.978809;380.512390;2469.574219;1;117.545654;495.799194;2517.685791;2;-79.345810;76.992897;2164.534912;2;-64.881966;378.626648;2175.072998;2;-158.910934;622.319824;2305.881592;2;-122.759056;704.044006;2211.143066;2;193.470703;-172.348999;1894.986328;2;267.696320;-79.938110;1921.300659;2;285.395020;-115.052338;1905.732544;2;263.206360;-208.234634;1905.842529;2;265.257080;-89.391556;1883.447021;2;201.050949;-136.088943;1824.306519
534511;1;2;-29.971045;37.583714;2302.078613;2;18.152639;-67.622543;2216.175293;2;77.146812;-118.933174;2131.573975;2;142.072617;-158.756699;1973.626343;2;150.430832;-167.819946;2011.246460;2;242.193680;-170.568192;2081.269531;2;264.442413;-25.073931;2249.060303;2;238.056030;157.006790;2284.326172;0;191.561905;212.899811;2311.950928;0;154.848450;135.374695;2328.036621;0;160.492126;127.441170;2222.829346;2;111.319756;-137.947556;1988.172852;2;65.813362;-42.233013;1995.274170;2;84.867348;182.859955;2021.547363;2;148.513123;361.539307;2024.758057;0;172.295349;441.221466;2014.869629;0;187.045181;525.725281;2015.609985;0;238.821594;386.730835;1973.955933;2;25.841936;25.205013;2348.505615;2;253.816330;250.588211;2306.288086;1;71.313393;369.635895;2525.405762;1;149.232895;494.934723;2558.930664;2;-80.300064;48.746132;2260.213379;2;-75.908478;365.237762;2195.862305;2;-146.359268;649.336487;2304.658447;2;-116.448250;702.932129;2179.704590;2;172.575592;-164.815628;1915.438110;2;268.944000;-78.426773;1925.165405;2;280.471863;-122.126801;1924.080200;2;235.007111;-210.015793;1950.397461;2;268.173218;-100.712402;1889.824585;2;196.705673;-155.419281;1834.162598
567855;1;2;-42.902420;35.583576;2406.148193;2;13.685961;-78.024384;2311.195312;2;75.103729;-122.434242;2209.639404;2;161.243851;-172.618652;2044.506348;2;169.133621;-177.570679;2087.047119;2;271.313568;-197.424896;2159.824219;2;318.544128;-7.488892;2308.064209;2;224.396347;169.572464;2260.628174;0;168.015625;197.811630;2318.448486;0;190.779556;121.103073;2265.398682;0;131.777344;118.503021;2210.712646;2;124.051544;-152.751053;2056.606934;2;64.677216;-55.999233;2028.926392;2;80.269211;193.674881;2026.984009;2;153.064926;388.954559;2016.343140;0;179.643829;475.377869;2033.955566;0;216.123886;562.238770;2028.555420;0;180.617340;499.026611;2010.819458;2;26.260015;34.781445;2448.326172;2;260.874725;256.795197;2299.398682;1;85.276443;380.616364;2562.807617;1;150.504044;530.864624;2592.390381;2;-105.269241;36.306896;2368.114502;2;-83.374596;302.305176;2133.579102;2;-131.796387;598.919617;2299.921143;2;-122.051765;707.608582;2192.481201;2;199.026794;-180.846146;1983.088623;2;269.693909;-75.646698;1917.346924;2;293.644165;-118.831703;1923.220337;2;288.163635;-204.008011;1996.713745;2;260.327728;-112.473251;1891.480225;2;183.926605;-200.295502;1892.544067
601177;1;2;-39.219009;29.438828;2418.729248;2;12.608878;-88.709030;2322.364746;2;72.964478;-131.075455;2216.840088;2;165.339249;-180.234802;2051.155029;2;171.997955;-185.895889;2094.524658;2;273.603699;-197.804443;2173.159424;2;327.043396;-1.700386;2317.738037;2;216.540283;170.072586;2271.800781;0;166.353729;200.552597;2335.883057;0;194.425522;127.893715;2277.188721;0;120.244484;140.582718;2215.362549;2;127.294258;-160.019745;2062.560791;2;68.108742;-61.068050;2034.345581;2;79.863426;192.706558;2027.118652;2;152.256042;391.826263;2019.746094;0;183.809601;478.694305;2034.449585;0;223.802216;565.677795;2039.441772;0;187.517944;499.593353;2015.719604;2;31.664457;26.505302;2460.449219;2;265.144196;244.402283;2291.390869;2;183.414215;515.127563;2489.597900;2;294.987274;632.423523;2440.748535;2;-103.137749;32.084114;2381.108643;2;-67.074715;279.856598;2121.108887;2;-134.800934;578.108521;2289.153809;2;-114.147446;702.655090;2198.238770;2;205.581512;-187.947067;1989.856934;2;271.497742;-74.478371;1928.078369;2;296.333679;-118.472946;1927.845459;2;297.013458;-211.778625;1994.079224;2;259.979340;-109.309837;1899.183838;2;182.911148;-199.002029;1897.927979
634522;1;2;-38.265388;24.495495;2414.062256;2;13.548982;-91.823967;2316.715820;2;72.032570;-135.282898;2211.307617;2;165.924133;-177.228546;2045.563965;2;172.336914;-184.189423;2088.571289;2;274.316010;-199.831818;2165.060059;2;326.559723;-9.695321;2315.920166;2;205.991516;154.827621;2273.291260;0;149.317932;176.553497;2334.939453;0;194.813812;121.212990;2269.426514;0;117.109566;120.278732;2208.948486;2;127.655060;-158.102936;2057.288818;2;67.462135;-59.784210;2031.397827;2;80.176193;192.829514;2027.029785;2;144.450333;393.790619;2023.653564;0;155.431992;485.730225;2033.820923;0;215.863220;556.171997;2055.989990;0;179.735291;503.676758;2020.749390;2;32.983353;22.441402;2454.440186;2;264.571564;243.185013;2290.111572;2;206.607849;521.363831;2483.531738;2;317.878479;635.984680;2430.526367;2;-102.513504;26.347761;2377.651611;2;-46.257103;269.738556;2119.422119;2;-130.230881;563.273560;2285.070068;2;-107.454689;696.194397;2208.956055;2;206.529510;-182.231216;1984.635620;2;271.722107;-78.389221;1908.419800;2;295.477844;-122.568962;1911.970337;2;297.113037;-207.697922;1987.618164;2;258.264221;-115.676605;1884.147339;2;179.704559;-202.545578;1895.918213
667844;1;2;-40.786533;23.746376;2416.357910;2;13.387598;-93.107765;2318.725586;2;73.328659;-136.004868;2212.603271;2;163.861588;-177.114258;2042.905518;2;171.513214;-184.227493;2086.062988;2;276.475891;-204.469879;2159.168701;2;329.468903;-16.446457;2315.731445;2;207.353363;148.955093;2272.378906;0;140.445892;161.674438;2326.889648;0;199.942245;117.719246;2262.777100;0;129.793533;113.626938;2192.756104;2;125.467537;-158.132401;2055.802979;2;63.320129;-59.523972;2031.142700;2;80.075974;195.004166;2029.916748;2;140.644226;398.968445;2027.869263;0;156.531250;491.334137;2034.069824;0;200.013809;573.191162;2059.890625;0;180.392731;506.010895;2031.017578;2;30.976667;22.845444;2457.256104;2;262.486572;245.004715;2288.197021;2;212.346909;516.942383;2497.172119;2;315.047546;637.812561;2436.787109;2;-105.498566;24.558788;2379.478271;2;-40.923813;271.522186;2122.400879;2;-131.886490;565.830078;2289.086914;2;-109.044434;696.574158;2206.830566;2;203.209671;-181.680771;1980.397827;2;272.545166;-78.892159;1904.119141;2;297.437103;-122.288948;1912.381958;2;294.624054;-203.833939;1993.203491;2;262.501587;-118.206459;1880.659668;2;185.294205;-207.860535;1890.134033
701188;1;2;-45.748188;27.182215;2412.392578;2;10.474451;-92.227943;2320.628418;2;72.432724;-134.055756;2216.096924;2;160.385193;-181.141769;2047.828613;2;167.914200;-187.668365;2090.854248;2;274.257538;-201.379730;2162.225342;2;327.446014;-4.135370;2304.575439;2;196.875351;155.304672;2269.876953;0;130.937073;162.634689;2325.790039;0;190.667404;123.887138;2259.382080;0;120.268616;125.830215;2189.013672;2;122.913170;-160.733368;2060.420410;2;64.440178;-60.742550;2035.442139;2;79.266342;192.499786;2031.633911;2;129.350388;398.110077;2030.054321;0;145.809784;489.386505;2041.232300;0;187.176575;562.387268;2087.253906;0;165.707489;503.797546;2037.770752;2;25.188915;28.753599;2453.810059;2;261.566589;244.042419;2286.800537;2;209.716568;516.860107;2491.062256;2;314.251648;638.004089;2437.306396;2;-109.715302;25.765224;2375.044922;2;-36.938286;277.109558;2127.324463;2;-133.982483;571.558411;2286.184326;2;-107.806595;700.165283;2203.151611;2;199.105225;-188.178543;1985.630493;2;261.442688;-79.927071;1912.427124;2;288.650696;-121.872742;1919.041992;2;291.244049;-205.478851;1996.828979;2;253.390228;-118.778488;1887.954712;2;181.785645;-212.355118;1895.237793
