timestamp;body_idx;PELVIS (c);PELVIS (x);PELVIS (y);SPINE_NAVEL (c);SPINE_NAVEL (x);SPINE_NAVEL (y);SPINE_CHEST (c);SPINE_CHEST (x);SPINE_CHEST (y);NECK (c);NECK (x);NECK (y);CLAVICLE_LEFT (c);CLAVICLE_LEFT (x);CLAVICLE_LEFT (y);SHOULDER_LEFT (c);SHOULDER_LEFT (x);SHOULDER_LEFT (y);ELBOW_LEFT (c);ELBOW_LEFT (x);ELBOW_LEFT (y);WRIST_LEFT (c);WRIST_LEFT (x);WRIST_LEFT (y);HAND_LEFT (c);HAND_LEFT (x);HAND_LEFT (y);HANDTIP_LEFT (c);HANDTIP_LEFT (x);HANDTIP_LEFT (y);THUMB_LEFT (c);THUMB_LEFT (x);THUMB_LEFT (y);CLAVICLE_RIGHT (c);CLAVICLE_RIGHT (x);CLAVICLE_RIGHT (y);SHOULDER_RIGHT (c);SHOULDER_RIGHT (x);SHOULDER_RIGHT (y);ELBOW_RIGHT (c);ELBOW_RIGHT (x);ELBOW_RIGHT (y);WRIST_RIGHT (c);WRIST_RIGHT (x);WRIST_RIGHT (y);HAND_RIGHT (c);HAND_RIGHT (x);HAND_RIGHT (y);HANDTIP_RIGHT (c);HANDTIP_RIGHT (x);HANDTIP_RIGHT (y);THUMB_RIGHT (c);THUMB_RIGHT (x);THUMB_RIGHT (y);HIP_LEFT (c);HIP_LEFT (x);HIP_LEFT (y);KNEE_LEFT (c);KNEE_LEFT (x);KNEE_LEFT (y);ANKLE_LEFT (c);ANKLE_LEFT (x);ANKLE_LEFT (y);FOOT_LEFT (c);FOOT_LEFT (x);FOOT_LEFT (y);HIP_RIGHT (c);HIP_RIGHT (x);HIP_RIGHT (y);KNEE_RIGHT (c);KNEE_RIGHT (x);KNEE_RIGHT (y);ANKLE_RIGHT (c);ANKLE_RIGHT (x);ANKLE_RIGHT (y);FOOT_RIGHT (c);FOOT_RIGHT (x);FOOT_RIGHT (y);HEAD (c);HEAD (x);HEAD (y);NOSE (c);NOSE (x);NOSE (y);EYE_LEFT (c);EYE_LEFT (x);EYE_LEFT (y);EAR_LEFT (c);EAR_LEFT (x);EAR_LEFT (y);EYE_RIGHT (c);EYE_RIGHT (x);EYE_RIGHT (y);EAR_RIGHT (c);EAR_RIGHT (x);EAR_RIGHT (y)
333555;1;2;934.599243;576.731018;2;908.353760;550.431335;2;885.932007;552.210449;2;856.824951;574.498474;2;876.669067;564.072815;2;946.944641;557.559937;2;966.063843;599.136169;2;937.141846;687.981445;0;957.994751;720.627441;0;914.844299;735.064453;0;892.924988;719.583130;2;847.286377;575.818665;2;820.000122;616.029053;2;818.237183;744.089783;2;831.914917;859.254517;0;822.293884;915.247925;0;813.463318;917.979553;0;866.632629;914.893250;2;969.028259;572.126282;2;956.869934;736.711426;2;955.521179;898.947876;2;964.938171;963.766479;1;904.242676;580.799255;1;902.096863;740.468872;1;943.954468;829.433289;1;931.972168;896.685913;2;847.078796;590.665039;2;838.674744;673.277405;2;855.978577;653.645630;2;893.678406;595.057495;2;826.170166;653.417603;2;801.697693;584.761963
366866;1;2;941.044983;571.678162;2;915.028625;544.654541;2;890.611755;546.760620;2;857.828003;571.075684;2;878.542908;560.624451;2;950.768921;555.133423;2;973.728516;599.131042;2;940.570618;687.437317;0;959.289124;720.945435;0;914.238953;734.473999;0;895.145874;715.311279;2;848.792847;571.655457;2;819.953979;612.466187;2;822.289185;745.799805;2;834.997620;864.836609;0;836.731873;921.250488;0;846.479797;952.423462;0;866.331909;927.944214;2;976.027466;570.167480;2;962.977600;736.289978;2;959.079590;900.412598;2;965.669617;966.703735;1;910.296387;573.013428;1;903.619141;735.464844;1;944.391174;823.218506;1;928.919739;890.514221;2;846.412476;588.284973;2;840.526184;669.478699;2;860.088013;647.913269;2;896.779297;590.473633;2;829.646790;647.376892;2;804.203369;577.970581
400222;1;2;942.098938;567.098999;2;916.803040;539.787415;2;892.129700;543.610168;2;861.684082;573.147888;2;882.239868;562.229553;2;954.235901;554.467712;2;978.013184;600.274414;2;943.427368;685.607666;0;958.661438;714.967773;0;917.193726;735.222900;0;898.048462;705.916931;2;851.966797;572.315918;2;821.583557;611.201294;2;822.496704;744.738586;2;831.977417;864.470215;0;826.695435;921.319031;0;836.589050;946.386230;0;842.658447;930.707886;2;977.189697;566.970459;2;965.114197;733.438721;2;961.092102;898.550903;2;965.895813;964.671143;1;911.269653;567.218201;1;903.466064;729.374390;1;942.443481;815.165344;1;926.097290;881.656250;2;851.230225;592.582825;2;836.404663;669.746460;2;854.471069;646.937561;2;896.832520;592.320923;2;823.849182;645.463379;2;803.754883;577.556946
433544;1;2;941.235229;572.607300;2;915.655396;545.825256;2;892.497681;545.411255;2;867.847778;567.607605;2;887.748108;558.100098;2;958.240601;552.208191;2;977.027527;602.916443;2;952.227234;682.037598;0;947.361084;710.879944;0;914.890503;745.325073;0;908.915222;705.867310;2;856.699585;568.015686;2;821.556152;606.050781;2;820.655090;735.634033;2;830.498413;853.600464;0;822.008606;909.618591;0;828.883850;941.458008;0;833.850586;918.179443;2;976.130859;569.655151;2;967.421570;734.521057;2;968.031616;897.065613;2;968.187622;964.415161;2;910.512024;575.214111;2;877.193970;733.881958;1;916.260376;813.822266;1;898.868530;879.319031;2;859.601501;583.988342;2;840.681763;663.157227;2;855.198425;641.433777;2;898.906799;584.799622;2;825.803894;640.351440;2;807.776917;572.534119
466888;1;2;941.806641;570.035583;2;918.371582;544.572083;2;895.314697;545.684021;2;866.874268;565.829590;2;887.497437;557.380615;2;957.470825;553.913452;2;974.469727;606.305176;2;946.953796;680.820007;0;942.719971;711.458984;0;913.713501;748.984985;0;911.919678;707.278381;2;856.432495;565.916809;2;822.922974;603.578552;2;820.289856;733.620972;2;826.522949;851.773743;0;820.007629;907.561401;0;822.902893;944.628723;0;829.756165;914.886108;2;976.702454;570.369995;2;968.795227;734.579285;2;967.822815;896.186096;2;967.494141;963.203857;1;911.091370;569.748413;1;890.151062;728.230103;1;921.100708;811.517944;1;900.267700;875.269287;2;856.689880;581.407654;2;838.705200;659.630066;2;857.271057;639.110168;2;901.547852;585.589905;2;827.247009;636.169373;2;810.176025;566.762695
500211;1;2;940.084167;570.571899;2;916.746216;546.543518;2;894.743469;547.763977;2;869.699707;557.549927;2;889.836914;550.116516;2;959.235291;551.576172;2;973.553833;606.725281;2;945.156250;682.985168;0;944.081055;713.972656;0;914.281799;749.180054;0;919.833008;699.553528;2;858.480530;560.367188;2;825.774536;601.870605;2;818.721252;729.805481;2;826.513184;847.512695;0;817.463623;902.544922;0;821.202148;948.487915;0;832.286987;910.946350;2;975.166565;569.589905;2;968.475037;733.331787;2;967.849182;894.864258;2;967.625977;962.960693;1;909.160095;571.444702;1;893.760437;729.622925;1;924.868652;810.229431;1;906.365356;874.163818;2;861.068054;568.703735;2;847.620667;652.676636;2;862.364319;633.565369;2;903.093872;574.145813;2;832.708313;632.756836;2;810.229126;563.058899
533555;1;2;942.430420;572.421997;2;918.467712;548.615051;2;897.105713;548.514587;2;870.661621;557.625183;2;891.178101;550.690002;2;961.147156;550.466614;2;973.243896;606.614624;2;946.383362;684.357910;0;943.465027;714.916565;0;914.895691;750.472778;0;919.668884;699.437256;2;859.605896;560.180481;2;824.944153;599.083130;2;816.804565;727.698669;2;821.242676;845.612061;0;815.919617;900.740479;0;823.144897;943.778076;0;832.373962;908.622559;2;977.583374;569.267029;2;968.133057;732.421143;2;968.074219;894.201172;2;968.091980;962.384888;2;911.421143;575.212708;2;872.194519;733.649475;1;910.150574;810.583252;1;890.838196;875.732300;2;861.247192;568.558655;2;848.268250;650.404846;2;862.205078;628.894226;2;902.292480;569.284180;2;832.468384;629.130920;2;809.386047;561.093689
566877;1;2;942.015320;574.446289;2;917.661682;547.154297;2;896.249146;545.109680;2;869.579346;561.148071;2;890.148682;553.468933;2;961.006470;551.263672;2;971.176147;610.814819;2;943.907227;689.336792;0;938.525452;719.688599;0;912.640320;752.352173;0;917.838928;699.731750;2;858.565491;561.938904;2;820.944031;598.545288;2;815.540161;728.985352;2;819.445557;846.415710;0;817.736755;901.418091;0;828.880188;939.965881;0;830.189758;908.060181;2;977.127563;570.419739;2;968.103516;732.917114;2;968.242676;895.434387;2;967.773743;963.648376;2;911.033264;578.007385;2;869.907715;736.450867;1;907.298157;821.513184;1;886.802734;888.232910;2;860.022034;575.061401;2;844.914001;649.573792;2;864.464050;627.114136;2;907.119080;575.503540;2;833.967773;624.488281;2;815.163330;556.975281
600222;1;2;941.150452;575.876465;2;917.337402;549.381714;2;896.593994;547.477539;2;870.161133;562.813232;2;890.524658;555.184143;2;960.743896;552.175781;2;970.428528;613.268250;2;946.222534;692.399658;0;935.348328;720.923401;0;911.579041;755.290222;0;917.173279;700.107056;2;859.254761;563.821777;2;821.933777;600.642883;2;814.726196;729.359436;2;814.412048;846.221558;0;816.960693;899.331726;0;828.248535;940.710938;0;831.980774;908.199524;2;976.054871;571.684082;2;968.158020;732.843506;2;969.151672;893.945496;2;967.035461;962.456360;2;910.325989;579.587341;2;868.980530;736.846191;1;902.684875;826.784302;1;880.687866;893.084290;2;860.735901;576.346863;2;845.567810;649.747009;2;864.104736;626.928772;2;906.356323;575.338989;2;833.891846;624.897705;2;814.930786;558.852173
633544;1;2;941.166626;576.450073;2;917.115967;548.944824;2;896.518616;547.363342;2;871.296692;564.189697;2;891.527649;556.338501;2;961.242188;554.264709;2;970.005066;614.512146;2;945.443420;695.385498;0;934.831177;722.944336;0;908.474609;756.289368;0;917.324219;699.934570;2;860.081055;564.879517;2;822.091797;600.711792;2;811.341309;729.116333;2;810.521851;846.288818;0;807.204956;898.207886;0;822.379700;940.043823;0;830.752197;913.028076;2;976.103638;571.740906;2;967.966248;733.130493;2;969.740662;894.188538;2;968.118408;962.334106;2;910.306580;580.618347;2;866.031006;737.552734;1;899.820190;830.502563;1;876.651489;897.190063;2;862.399963;578.374756;2;845.803223;651.071838;2;863.954102;627.885498;2;907.071106;576.529175;2;833.743164;625.936707;2;815.589355;560.409729
