timestamp;body_idx;PELVIS (w);PELVIS (x);PELVIS (y);PELVIS (z);SPINE_NAVEL (w);SPINE_NAVEL (x);SPINE_NAVEL (y);SPINE_NAVEL (z);SPINE_CHEST (w);SPINE_CHEST (x);SPINE_CHEST (y);SPINE_CHEST (z);NECK (w);NECK (x);NECK (y);NECK (z);CLAVICLE_LEFT (w);CLAVICLE_LEFT (x);CLAVICLE_LEFT (y);CLAVICLE_LEFT (z);SHOULDER_LEFT (w);SHOULDER_LEFT (x);SHOULDER_LEFT (y);SHOULDER_LEFT (z);ELBOW_LEFT (w);ELBOW_LEFT (x);ELBOW_LEFT (y);ELBOW_LEFT (z);WRIST_LEFT (w);WRIST_LEFT (x);WRIST_LEFT (y);WRIST_LEFT (z);HAND_LEFT (w);HAND_LEFT (x);HAND_LEFT (y);HAND_LEFT (z);HANDTIP_LEFT (w);HANDTIP_LEFT (x);HANDTIP_LEFT (y);HANDTIP_LEFT (z);THUMB_LEFT (w);THUMB_LEFT (x);THUMB_LEFT (y);THUMB_LEFT (z);CLAVICLE_RIGHT (w);CLAVICLE_RIGHT (x);CLAVICLE_RIGHT (y);CLAVICLE_RIGHT (z);SHOULDER_RIGHT (w);SHOULDER_RIGHT (x);SHOULDER_RIGHT (y);SHOULDER_RIGHT (z);ELBOW_RIGHT (w);ELBOW_RIGHT (x);ELBOW_RIGHT (y);ELBOW_RIGHT (z);WRIST_RIGHT (w);WRIST_RIGHT (x);WRIST_RIGHT (y);WRIST_RIGHT (z);HAND_RIGHT (w);HAND_RIGHT (x);HAND_RIGHT (y);HAND_RIGHT (z);HANDTIP_RIGHT (w);HANDTIP_RIGHT (x);HANDTIP_RIGHT (y);HANDTIP_RIGHT (z);THUMB_RIGHT (w);THUMB_RIGHT (x);THUMB_RIGHT (y);THUMB_RIGHT (z);HIP_LEFT (w);HIP_LEFT (x);HIP_LEFT (y);HIP_LEFT (z);KNEE_LEFT (w);KNEE_LEFT (x);KNEE_LEFT (y);KNEE_LEFT (z);ANKLE_LEFT (w);ANKLE_LEFT (x);ANKLE_LEFT (y);ANKLE_LEFT (z);FOOT_LEFT (w);FOOT_LEFT (x);FOOT_LEFT (y);FOOT_LEFT (z);HIP_RIGHT (w);HIP_RIGHT (x);HIP_RIGHT (y);HIP_RIGHT (z);KNEE_RIGHT (w);KNEE_RIGHT (x);KNEE_RIGHT (y);KNEE_RIGHT (z);ANKLE_RIGHT (w);ANKLE_RIGHT (x);ANKLE_RIGHT (y);ANKLE_RIGHT (z);FOOT_RIGHT (w);FOOT_RIGHT (x);FOOT_RIGHT (y);FOOT_RIGHT (z);HEAD (w);HEAD (x);HEAD (y);HEAD (z);NOSE (w);NOSE (x);NOSE (y);NOSE (z);EYE_LEFT (w);EYE_LEFT (x);EYE_LEFT (y);EYE_LEFT (z);EAR_LEFT (w);EAR_LEFT (x);EAR_LEFT (y);EAR_LEFT (z);EYE_RIGHT (w);EYE_RIGHT (x);EYE_RIGHT (y);EYE_RIGHT (z);EAR_RIGHT (w);EAR_RIGHT (x);EAR_RIGHT (y);EAR_RIGHT (z)
434522;1;0.747586;-0.232053;0.499069;-0.371748;0.770795;-0.198123;0.513484;-0.320868;0.791290;-0.172790;0.537838;-0.233953;0.807503;-0.129103;0.549962;-0.169743;0.904237;-0.287857;-0.270908;0.161564;0.742441;-0.314130;-0.353941;0.474161;0.560120;-0.407939;-0.239870;0.679937;0.511671;-0.754249;-0.084730;0.402644;0.540345;-0.745802;-0.140890;0.363258;0.540345;-0.745802;-0.140890;0.363258;0.500178;-0.141418;0.455570;0.722688;0.225664;0.939488;-0.256645;-0.023888;0.092220;0.770953;-0.523320;-0.351089;-0.224133;-0.499535;0.786573;0.285539;-0.492888;-0.453299;0.486515;0.561145;-0.282599;-0.587333;0.311797;0.691347;-0.282599;-0.587333;0.311797;0.691347;0.045960;-0.680509;0.710882;0.171586;-0.459460;0.010239;-0.371160;0.806865;0.794931;0.172212;0.328914;-0.479837;0.761857;0.047145;0.399667;-0.507560;0.899586;0.316156;0.245224;0.175087;0.444184;0.419169;0.585480;0.533114;0.147780;0.642247;0.325572;0.677999;0.328800;0.566605;0.243453;0.715248;-0.271607;0.578037;-0.224548;0.735990;0.803118;-0.070053;0.500230;-0.316013;0.803118;-0.070053;0.500230;-0.316013;0.791345;0.304181;0.403251;0.344435;0.316013;0.500230;0.070053;0.803118;0.791345;0.304181;0.403251;0.344435;0.803118;-0.070053;0.500230;-0.316013
467844;1;0.758600;-0.233076;0.488095;-0.363271;0.789875;-0.185310;0.508154;-0.289028;0.806567;-0.156840;0.537498;-0.189595;0.819174;-0.113231;0.548344;-0.124303;0.902799;-0.254317;-0.276785;0.208965;0.736986;-0.308760;-0.312628;0.513598;0.566703;-0.383022;-0.215320;0.696979;0.577649;-0.671629;-0.199033;0.419073;0.542427;-0.685350;-0.144895;0.463760;0.542427;-0.685350;-0.144895;0.463760;0.673519;-0.270780;0.361750;0.584967;0.187564;0.944134;-0.270946;-0.004346;0.072064;0.756591;-0.544228;-0.355237;-0.186584;-0.531348;0.765691;0.310762;0.515226;0.327465;-0.107570;-0.784689;0.663411;0.298908;-0.171635;-0.664139;0.663411;0.298908;-0.171635;-0.664139;0.322891;0.658057;-0.490179;-0.471622;-0.434083;0.018585;-0.349288;0.830195;0.789965;0.157818;0.312124;-0.503614;0.737394;0.054460;0.368796;-0.563271;0.921343;0.299268;0.218042;0.118419;0.471354;0.422524;0.556472;0.538181;0.201762;0.617224;0.327431;0.686379;0.384493;0.531814;0.282009;0.699864;-0.220929;0.580656;-0.172968;0.764271;0.821103;-0.088608;0.421700;-0.374309;0.821103;-0.088608;0.421700;-0.374309;0.845284;0.235532;0.360842;0.315931;0.374309;0.421700;0.088608;0.821103;0.845284;0.235532;0.360842;0.315931;0.821103;-0.088608;0.421700;-0.374309
501188;1;0.808714;-0.167808;0.500537;-0.259393;0.845290;-0.058089;0.524712;-0.082385;0.831385;-0.090614;0.539562;-0.097262;0.836507;-0.047053;0.545091;-0.030277;0.957895;-0.113889;-0.166197;0.204562;0.589915;-0.471836;-0.301213;0.581929;0.496234;-0.511584;-0.227248;0.663621;0.518025;-0.517777;-0.289651;0.616165;0.402190;-0.560479;-0.194560;0.697318;0.402190;-0.560479;-0.194560;0.697318;0.607613;-0.234247;0.280885;0.705010;0.033783;0.955923;-0.179999;0.229498;-0.014348;0.717355;-0.683888;-0.132261;-0.031409;-0.442552;0.886819;0.129276;-0.488896;-0.563912;0.337817;0.573466;0.580947;0.496776;-0.430501;-0.479982;0.580947;0.496776;-0.430501;-0.479982;0.244868;0.813135;-0.516136;-0.111603;-0.266946;0.320024;-0.225517;0.880606;0.775054;-0.096820;0.379376;-0.495975;0.657519;-0.168020;0.349403;-0.646031;0.923823;0.127122;0.361071;0.004379;0.706456;0.217494;0.604853;0.296260;0.402868;0.528452;0.365790;0.651640;0.551163;0.411354;0.526985;0.499294;0.040160;0.667515;0.084260;0.738722;0.774634;-0.266952;0.376567;-0.432291;0.774634;-0.266952;0.376567;-0.432291;0.853425;0.077510;0.455037;0.242073;0.432291;0.376567;0.266952;0.774634;0.853425;0.077510;0.455037;0.242073;0.774634;-0.266952;0.376567;-0.432291
534511;1;0.798785;-0.195277;0.485008;-0.297618;0.848653;-0.062732;0.519067;-0.080145;0.828433;-0.067830;0.550902;-0.074870;0.831769;-0.023433;0.554567;-0.008194;0.957888;-0.084092;-0.178252;0.208819;0.612082;-0.441202;-0.239523;0.611003;0.503829;-0.474454;-0.164085;0.702941;0.594366;-0.456938;-0.342986;0.565948;0.487004;-0.509577;-0.258386;0.660602;0.487004;-0.509577;-0.258386;0.660602;0.655667;-0.157435;0.207466;0.708712;-0.015111;0.941624;-0.245508;0.229874;0.001914;-0.689847;0.708185;0.150271;-0.042402;-0.450838;0.879864;0.144177;0.538261;0.530963;-0.352723;-0.551307;0.614696;0.472205;-0.428202;-0.464558;0.614696;0.472205;-0.428202;-0.464558;0.303330;0.796031;-0.516998;-0.083901;-0.213654;0.343253;-0.188482;0.894988;0.790117;-0.104596;0.377414;-0.471523;0.671075;-0.325988;0.435009;-0.504140;0.834413;0.076012;0.533648;0.114877;0.717105;0.183523;0.636342;0.217139;0.382855;0.564756;0.345778;0.644135;0.523613;0.467773;0.467351;0.537216;-0.006587;0.665618;0.002464;0.746260;0.767676;-0.273138;0.378782;-0.438855;0.767676;-0.273138;0.378782;-0.438855;0.853146;0.074702;0.460977;0.232512;0.438855;0.378782;0.273138;0.767676;0.853146;0.074702;0.460977;0.232512;0.767676;-0.273138;0.378782;-0.438855
567855;1;0.806696;-0.186143;0.476447;-0.295958;0.855524;-0.058323;0.508182;-0.080175;0.837323;-0.058628;0.538147;-0.076488;0.840760;-0.015283;0.541116;-0.009094;0.959135;-0.079468;-0.196217;0.187734;0.611525;-0.436592;-0.235418;0.616443;0.520291;-0.464981;-0.172706;0.695171;0.553009;-0.428697;-0.359079;0.617626;0.485510;-0.463841;-0.312364;0.671983;0.485510;-0.463841;-0.312364;0.671983;0.589014;-0.207156;0.232486;0.745720;-0.021620;0.938434;-0.253149;0.234073;-0.006204;-0.682233;0.717810;0.138810;-0.043813;-0.460690;0.876617;0.131861;-0.474536;-0.518087;0.369128;0.608396;0.573722;0.445461;-0.454131;-0.515920;0.573722;0.445461;-0.454131;-0.515920;0.265822;0.767086;-0.568122;-0.134740;-0.201101;0.337622;-0.189326;0.899848;0.781268;-0.102802;0.373226;-0.489648;0.658604;-0.254169;0.384706;-0.594676;0.888885;0.091098;0.447033;0.041777;0.724244;0.187764;0.625844;0.220306;0.388643;0.559430;0.337455;0.649707;0.529404;0.464344;0.463734;0.537649;-0.002781;0.660662;0.002287;0.750675;0.758330;-0.282880;0.381906;-0.446164;0.758330;-0.282880;0.381906;-0.446164;0.851706;0.070022;0.470075;0.220734;0.446164;0.381906;0.282880;0.758330;0.851706;0.070022;0.470075;0.220734;0.758330;-0.282880;0.381906;-0.446164
601177;1;0.812756;-0.179066;0.469364;-0.295059;0.860452;-0.057595;0.499049;-0.085183;0.840028;-0.048837;0.534001;-0.082534;0.843941;-0.005856;0.536197;-0.014903;0.957046;-0.081141;-0.206992;0.186100;0.609419;-0.420142;-0.254556;0.622326;0.493240;-0.457678;-0.178462;0.717911;0.517570;-0.452840;-0.432009;0.583460;0.420216;-0.514688;-0.356079;0.657056;0.420216;-0.514688;-0.356079;0.657056;0.605381;-0.261777;0.152493;0.736025;-0.023212;0.936257;-0.263513;0.231180;0.000751;-0.678435;0.726838;0.106926;-0.025881;-0.476223;0.872799;0.103749;-0.478863;-0.531551;0.401868;0.571530;0.503721;0.513219;-0.425030;-0.549746;0.503721;0.513219;-0.425030;-0.549746;0.270886;0.742565;-0.608361;-0.071517;-0.218253;0.335349;-0.170136;0.900533;0.824569;-0.090152;0.365119;-0.422667;0.722891;-0.213951;0.363572;-0.547238;0.900811;0.105181;0.403630;0.120662;0.725220;0.195570;0.622186;0.220665;0.390272;0.562174;0.330493;0.649940;0.525179;0.469765;0.473352;0.528626;0.000591;0.671229;0.005278;0.741231;0.758933;-0.276074;0.385521;-0.446293;0.758933;-0.276074;0.385521;-0.446293;0.852224;0.077390;0.467818;0.221070;0.446293;0.385521;0.276074;0.758933;0.852224;0.077390;0.467818;0.221070;0.758933;-0.276074;0.385521;-0.446293
634522;1;0.813485;-0.179975;0.468504;-0.293861;0.860947;-0.058180;0.498500;-0.082964;0.838104;-0.056585;0.536757;-0.079198;0.841756;-0.013358;0.539566;-0.011733;0.958760;-0.081017;-0.192365;0.192902;0.605490;-0.405027;-0.261836;0.633069;0.491180;-0.443088;-0.190467;0.725353;-0.425355;0.550407;0.516955;-0.498882;-0.495845;0.465985;0.594178;-0.428891;-0.495845;0.465985;0.594178;-0.428891;0.565616;-0.354679;0.053391;0.742584;-0.020545;0.938185;-0.252989;0.235338;-0.012902;-0.681896;0.724662;0.098575;-0.037438;-0.476220;0.873688;0.092097;-0.499374;-0.507809;0.341810;0.613124;0.518556;0.496720;-0.357733;-0.596989;0.518556;0.496720;-0.357733;-0.596989;0.291219;0.762050;-0.560015;-0.144408;-0.215030;0.342766;-0.175754;0.897432;0.824530;-0.086788;0.375340;-0.414414;0.728142;-0.215689;0.377729;-0.529725;0.892257;0.114016;0.414947;0.136737;0.729972;0.185718;0.617752;0.225903;0.393030;0.550490;0.336112;0.655375;0.526126;0.458776;0.479354;0.531918;-0.000985;0.667671;0.017289;0.744255;0.752388;-0.283811;0.389283;-0.449246;0.752388;-0.283811;0.389283;-0.449246;0.849684;0.074580;0.475950;0.214353;0.449246;0.389283;0.283811;0.752388;0.849684;0.074580;0.475950;0.214353;0.752388;-0.283811;0.389283;-0.449246
667844;1;0.814121;-0.160615;0.468129;-0.303751;0.864071;-0.039220;0.493360;-0.091867;0.843081;-0.042149;0.528659;-0.089202;0.847520;0.000381;0.530336;-0.021305;0.954893;-0.085200;-0.215961;0.185152;0.595263;-0.400470;-0.275379;0.639885;0.471960;-0.443064;-0.199759;0.735557;-0.465010;0.552968;0.460322;-0.515845;0.557358;-0.451666;-0.560060;0.414346;0.557358;-0.451666;-0.560060;0.414346;0.612037;-0.256927;0.063137;0.745261;-0.021819;0.934903;-0.272743;0.226036;-0.023855;-0.687473;0.716511;0.115862;-0.050858;-0.496280;0.860066;0.106801;0.507711;0.452211;-0.331632;-0.654030;0.613830;0.387564;-0.405302;-0.555642;0.613830;0.387564;-0.405302;-0.555642;0.330339;0.730427;-0.565617;-0.193471;-0.262085;0.332194;-0.194554;0.884934;0.843733;-0.067226;0.379098;-0.374006;0.750694;-0.192611;0.376152;-0.507809;0.892710;0.129454;0.397561;0.168092;0.724794;0.182558;0.628205;0.216113;0.384155;0.561190;0.336060;0.651579;0.524028;0.467451;0.462429;0.541336;-0.009213;0.661942;-0.000789;0.749498;0.745338;-0.293228;0.400330;-0.445224;0.745338;-0.293228;0.400330;-0.445224;0.841854;0.075732;0.490420;0.212213;0.445224;0.400330;0.293228;0.745338;0.841854;0.075732;0.490420;0.212213;0.745338;-0.293228;0.400330;-0.445224
701188;1;0.812723;-0.159595;0.465760;-0.311574;0.865197;-0.036120;0.491018;-0.095033;0.844252;-0.021853;0.527186;-0.094001;0.849071;0.020494;0.527241;-0.025995;0.954310;-0.078833;-0.233567;0.168891;0.591525;-0.406311;-0.282470;0.636569;0.476229;-0.447975;-0.210229;0.726862;0.002714;0.661577;0.740628;-0.117385;0.003279;0.665134;0.737435;-0.117370;0.003279;0.665134;0.737435;-0.117370;0.364117;-0.451612;-0.501650;0.641727;-0.027925;0.934223;-0.292571;0.202113;-0.074101;-0.677620;0.715455;0.153180;-0.097333;-0.556296;0.813375;0.139575;-0.380597;-0.525112;0.448125;0.615295;-0.481914;-0.439067;0.532709;0.539630;-0.481914;-0.439067;0.532709;0.539630;0.205606;0.712780;-0.662103;-0.106255;-0.292301;0.321453;-0.210923;0.875637;0.853097;-0.051238;0.381081;-0.352673;0.764251;-0.177094;0.379176;-0.490697;0.890217;0.142716;0.388786;0.189713;0.727407;0.184825;0.621475;0.224694;0.386417;0.555148;0.334819;0.656040;0.528967;0.461573;0.454618;0.548148;-0.010511;0.652317;-0.002187;0.757870;0.747876;-0.297824;0.383991;-0.452254;0.747876;-0.297824;0.383991;-0.452254;0.848620;0.060930;0.482116;0.209037;0.452254;0.383991;0.297824;0.747876;0.848620;0.060930;0.482116;0.209037;0.747876;-0.297824;0.383991;-0.452254
734511;1;0.812788;-0.158569;0.464796;-0.313362;0.865606;-0.035917;0.489785;-0.097709;0.845268;-0.021408;0.525318;-0.095415;0.850197;0.020788;0.525343;-0.027323;0.953027;-0.081293;-0.235207;0.172651;0.585074;-0.404613;-0.298172;0.636451;0.466709;-0.449923;-0.224026;0.727712;0.166259;0.639677;0.750080;0.023480;0.167908;0.526254;0.833584;-0.000453;0.167908;0.526254;0.833584;-0.000453;-0.277004;0.437213;0.651450;-0.554731;-0.030228;0.931234;-0.292653;0.215045;-0.052802;-0.688063;0.708573;0.147331;-0.076367;-0.561837;0.812308;0.136611;-0.446001;-0.488454;0.411920;0.626752;-0.440143;-0.492270;0.407351;0.630880;-0.440143;-0.492270;0.407351;0.630880;0.268147;0.744264;-0.594568;-0.143724;-0.327412;0.291326;-0.152810;0.885765;0.811191;-0.130722;0.301926;-0.483447;0.710036;-0.289521;0.344358;-0.541705;0.888019;0.038000;0.443333;0.115905;0.722113;0.189053;0.627023;0.222831;0.386503;0.560588;0.338440;0.649473;0.495575;0.490138;0.446466;0.561105;-0.043495;0.666771;-0.027899;0.743469;0.744513;-0.306336;0.387080;-0.449475;0.744513;-0.306336;0.387080;-0.449475;0.844277;0.057094;0.490319;0.208623;0.449475;0.387080;0.306336;0.744513;0.844277;0.057094;0.490319;0.208623;0.744513;-0.306336;0.387080;-0.449475
