timestamp;body_idx;PELVIS (c);PELVIS (x);PELVIS (y);SPINE_NAVEL (c);SPINE_NAVEL (x);SPINE_NAVEL (y);SPINE_CHEST (c);SPINE_CHEST (x);SPINE_CHEST (y);NECK (c);NECK (x);NECK (y);CLAVICLE_LEFT (c);CLAVICLE_LEFT (x);CLAVICLE_LEFT (y);SHOULDER_LEFT (c);SHOULDER_LEFT (x);SHOULDER_LEFT (y);ELBOW_LEFT (c);ELBOW_LEFT (x);ELBOW_LEFT (y);WRIST_LEFT (c);WRIST_LEFT (x);WRIST_LEFT (y);HAND_LEFT (c);HAND_LEFT (x);HAND_LEFT (y);HANDTIP_LEFT (c);HANDTIP_LEFT (x);HANDTIP_LEFT (y);THUMB_LEFT (c);THUMB_LEFT (x);THUMB_LEFT (y);CLAVICLE_RIGHT (c);CLAVICLE_RIGHT (x);CLAVICLE_RIGHT (y);SHOULDER_RIGHT (c);SHOULDER_RIGHT (x);SHOULDER_RIGHT (y);ELBOW_RIGHT (c);ELBOW_RIGHT (x);ELBOW_RIGHT (y);WRIST_RIGHT (c);WRIST_RIGHT (x);WRIST_RIGHT (y);HAND_RIGHT (c);HAND_RIGHT (x);HAND_RIGHT (y);HANDTIP_RIGHT (c);HANDTIP_RIGHT (x);HANDTIP_RIGHT (y);THUMB_RIGHT (c);THUMB_RIGHT (x);THUMB_RIGHT (y);HIP_LEFT (c);HIP_LEFT (x);HIP_LEFT (y);KNEE_LEFT (c);KNEE_LEFT (x);KNEE_LEFT (y);ANKLE_LEFT (c);ANKLE_LEFT (x);ANKLE_LEFT (y);FOOT_LEFT (c);FOOT_LEFT (x);FOOT_LEFT (y);HIP_RIGHT (c);HIP_RIGHT (x);HIP_RIGHT (y);KNEE_RIGHT (c);KNEE_RIGHT (x);KNEE_RIGHT (y);ANKLE_RIGHT (c);ANKLE_RIGHT (x);ANKLE_RIGHT (y);FOOT_RIGHT (c);FOOT_RIGHT (x);FOOT_RIGHT (y);HEAD (c);HEAD (x);HEAD (y);NOSE (c);NOSE (x);NOSE (y);EYE_LEFT (c);EYE_LEFT (x);EYE_LEFT (y);EAR_LEFT (c);EAR_LEFT (x);EAR_LEFT (y);EYE_RIGHT (c);EYE_RIGHT (x);EYE_RIGHT (y);EAR_RIGHT (c);EAR_RIGHT (x);EAR_RIGHT (y)
401177;1;2;915.534729;723.807861;2;938.512817;673.102417;2;957.417358;639.147827;2;980.218872;589.637512;2;986.924377;598.514587;2;1027.099487;619.976379;2;1070.442871;704.927368;2;1077.469604;782.220398;0;1074.214600;801.402832;2;1072.724121;821.723877;0;1066.448975;804.986206;2;965.430603;597.288452;2;930.354736;623.969238;2;925.305969;724.139587;2;961.461914;801.836304;0;979.059326;833.984131;0;1004.938904;863.466553;0;983.680664;835.719360;2;942.246094;734.011597;2;982.886047;844.045654;1;930.193298;907.076782;1;948.458374;972.964050;2;891.203735;714.549927;2;866.075439;832.624390;2;871.196716;887.464600;2;867.175171;947.155762;2;990.413269;573.315308;2;1025.713501;565.876221;2;1025.546631;551.090149;2;1016.468872;550.305298;2;1011.168640;553.058594;2;968.401855;551.372131
434522;1;2;915.485107;723.829956;2;938.581421;673.035950;2;957.620972;639.061340;2;980.816650;589.680908;2;987.427246;598.492249;2;1027.345459;619.737549;2;1069.897949;704.554077;2;1078.238892;782.655945;0;1076.259399;803.656799;0;1076.245117;826.846680;0;1071.170288;812.491577;2;965.978088;597.352234;2;931.238220;624.577271;2;927.617188;725.504395;2;963.213440;804.272827;0;977.840759;839.781494;0;1001.735840;872.395142;0;954.771118;846.097717;2;942.216553;734.064331;2;984.242432;842.361328;1;931.523315;907.115356;1;950.357361;973.046631;2;891.131348;714.542603;2;865.627869;832.097168;2;870.676941;888.244446;2;865.144775;947.838623;2;991.209106;573.427063;2;1027.251465;564.768372;2;1026.654541;550.232727;2;1016.816528;550.315552;2;1012.510132;552.137146;2;969.281677;551.311890
467844;1;2;912.703796;712.904663;2;929.171692;660.770874;2;952.375671;641.061523;2;982.210144;591.769775;2;988.240173;599.668579;2;1032.780029;618.032959;2;1085.254639;709.723145;2;1081.646606;788.744080;0;1079.510620;809.847351;0;1077.060303;839.988403;0;1070.691650;816.265625;2;965.447632;600.353760;2;925.927368;626.700867;2;928.113098;741.527283;2;973.620850;828.148254;0;984.918335;871.031921;0;1008.147705;910.771301;0;973.071899;874.456299;2;940.178040;712.337219;2;1017.806702;804.757812;2;959.920837;895.617554;2;1020.413025;928.574585;2;887.083252;713.463501;2;871.308655;807.246216;2;871.292542;888.345642;2;867.556702;948.417603;2;995.993835;576.039185;2;1028.935669;564.966553;2;1028.689209;547.848816;2;1023.669983;546.799011;2;1011.235291;552.208130;2;966.180176;554.843750
501188;1;2;913.273560;712.657043;2;927.473572;663.049438;2;948.081421;638.520447;2;977.584167;591.289673;2;984.552429;597.746948;2;1035.340210;609.702026;2;1082.239380;712.782410;2;1078.393433;796.553772;0;1078.908936;806.981445;0;1087.061035;854.379395;0;1068.059082;818.474487;2;959.847900;600.677979;2;918.240845;626.511353;2;923.332642;751.669312;2;966.087341;852.099121;0;977.005554;896.601135;0;1000.699097;938.566406;0;967.887390;904.133057;2;942.218323;707.898743;2;1066.532837;758.776611;2;1014.007812;854.843201;1;1065.487427;905.155579;2;886.225769;717.135315;2;872.753052;791.524048;2;872.885498;899.935425;2;866.832947;956.626099;2;991.678284;576.698242;2;1032.019531;561.177856;2;1030.802856;543.969788;2;1021.436890;546.753174;2;1012.821594;547.133545;2;961.508911;551.083313
534522;1;2;913.250732;712.766846;2;927.454285;663.165955;2;948.075439;638.677063;2;977.536377;591.544250;2;984.520874;597.973083;2;1035.345215;609.934570;2;1082.225464;713.098877;2;1078.274536;796.949341;0;1078.998779;807.686157;0;1087.184448;854.744629;0;1068.233276;819.325256;2;959.797729;600.927612;2;918.155396;626.866516;2;923.358521;752.041687;2;966.210205;852.424072;0;977.218872;896.946411;0;1000.926025;938.965088;0;968.300354;904.492432;2;942.202026;708.002197;2;1066.759277;758.703247;2;1013.436829;855.379150;1;1065.549194;905.221191;2;886.196716;717.251038;2;872.754333;791.580322;2;872.802856;900.242615;2;866.735596;956.878052;2;991.614380;576.996521;2;1031.607056;561.741089;2;1030.628418;544.491333;2;1021.662720;547.169067;2;1012.495544;547.585388;2;961.379761;551.247192
567855;1;2;912.613464;718.337769;2;926.081055;668.340210;2;946.278564;642.498169;2;976.675476;593.370300;2;983.372559;599.965149;2;1035.114502;609.697083;2;1082.722046;713.872986;2;1080.611328;794.295227;0;1080.851440;813.850220;0;1091.030762;855.462646;0;1067.957397;821.633423;2;958.870422;603.276062;2;918.719482;629.692139;2;920.919861;756.317627;2;970.447083;854.497070;0;984.164612;898.879150;0;1002.539978;944.014404;0;974.955627;906.905640;2;941.585144;712.636292;2;1068.163452;752.740417;2;1014.984802;857.455811;2;1064.184204;904.650024;2;885.510742;723.703979;2;875.101929;795.034363;2;873.015259;902.352539;2;866.789612;956.983154;2;991.298767;577.994751;2;1032.529907;562.157654;2;1031.178467;544.942017;2;1021.227112;548.044800;2;1013.206665;547.961792;2;961.219299;551.924988
601177;1;2;911.196838;717.490906;2;925.520996;667.507141;2;946.179138;642.624146;2;976.848022;593.702942;2;983.397827;600.262207;2;1034.884033;610.505310;2;1082.745239;713.988831;2;1076.511353;798.348633;0;1077.437622;805.843689;0;1091.010254;852.229553;0;1069.736328;825.784851;2;959.098206;603.567688;2;920.083557;632.202759;2;920.526611;758.260315;2;974.096802;853.475647;0;993.327271;895.430298;0;1005.249939;942.207275;0;983.090576;904.626526;2;940.322571;712.760620;2;1067.938965;752.805786;1;1000.990906;849.351440;1;1053.397949;900.373962;2;883.971802;721.945312;2;877.356018;794.812378;2;871.603210;905.366211;2;866.520691;959.307373;2;991.581055;578.404419;2;1032.186035;565.960510;2;1031.449707;547.955383;2;1022.173828;548.519897;2;1013.273010;551.282593;2;961.813232;552.956116
634522;1;2;913.433533;722.053833;2;927.056763;671.968567;2;945.492737;643.429565;2;975.084534;592.981995;2;981.970947;599.580383;2;1035.156128;609.486633;2;1083.224609;714.008118;2;1079.223877;798.732117;0;1081.377930;803.673523;0;1092.707397;848.099670;0;1071.969727;820.788208;2;957.350891;603.354248;2;918.371216;632.204407;2;922.027039;760.096130;2;979.385681;854.786804;0;1009.753418;888.457214;0;1017.223267;935.358154;0;1005.659851;899.927368;2;943.317261;717.327393;2;1071.522827;753.265869;1;1001.522705;846.648682;1;1053.589355;899.746033;2;885.542358;726.500427;2;880.718689;793.301819;2;870.870178;903.260925;2;866.367798;958.150085;2;989.492859;577.038452;2;1029.020996;572.314209;2;1030.043945;552.322754;2;1022.693848;547.326843;2;1010.796021;556.055420;2;959.739441;552.023560
667844;1;2;910.372986;720.426697;2;924.129700;669.438904;2;943.872070;643.176636;2;975.114563;592.828796;2;981.427856;599.524292;2;1033.207275;610.571899;2;1082.945435;713.267151;2;1081.348633;795.197083;0;1083.728760;805.216675;0;1093.121582;855.177979;0;1072.369995;825.501282;2;957.385864;603.048523;2;920.298462;634.656250;2;923.578186;761.506287;2;983.257141;853.937683;0;1014.320312;883.906250;0;1028.640625;926.486084;0;1010.911865;896.711426;2;939.950317;716.051147;2;1069.440918;750.621826;1;999.426331;845.600952;1;1051.034180;898.329041;2;882.751160;724.547119;2;875.679993;795.613281;2;872.133972;903.866699;2;864.605530;959.301086;2;990.188293;576.924377;2;1028.174438;576.072449;2;1030.045044;555.539795;2;1024.002808;547.863281;2;1010.598022;559.421997;2;960.820801;552.704834
701188;1;2;911.116028;721.087158;2;924.158264;669.950134;2;943.702637;643.265198;2;975.526855;594.546753;2;981.642212;600.765381;2;1032.981323;610.121155;2;1084.418823;712.347900;2;1087.947510;792.632141;0;1088.724609;803.992554;0;1095.144653;856.804993;0;1072.213745;827.618896;2;957.777344;604.681458;2;920.257874;635.085571;2;924.208130;762.051636;2;986.801880;852.668823;0;1018.229004;880.475464;0;1038.003418;919.170532;0;1014.595459;894.771973;2;940.433655;716.040039;2;1069.092651;748.668518;1;998.960022;842.244263;1;1050.067749;895.198242;2;883.717224;725.837585;2;873.860962;795.427124;2;872.532898;904.035034;2;864.571716;959.216797;2;990.888367;579.347595;2;1029.470703;578.764465;2;1032.877808;559.286682;2;1026.919189;553.771606;2;1013.350586;560.818726;2;964.039734;551.445312
