timestamp;body_idx;PELVIS (w);PELVIS (x);PELVIS (y);PELVIS (z);SPINE_NAVEL (w);SPINE_NAVEL (x);SPINE_NAVEL (y);SPINE_NAVEL (z);SPINE_CHEST (w);SPINE_CHEST (x);SPINE_CHEST (y);SPINE_CHEST (z);NECK (w);NECK (x);NECK (y);NECK (z);CLAVICLE_LEFT (w);CLAVICLE_LEFT (x);CLAVICLE_LEFT (y);CLAVICLE_LEFT (z);SHOULDER_LEFT (w);SHOULDER_LEFT (x);SHOULDER_LEFT (y);SHOULDER_LEFT (z);ELBOW_LEFT (w);ELBOW_LEFT (x);ELBOW_LEFT (y);ELBOW_LEFT (z);WRIST_LEFT (w);WRIST_LEFT (x);WRIST_LEFT (y);WRIST_LEFT (z);HAND_LEFT (w);HAND_LEFT (x);HAND_LEFT (y);HAND_LEFT (z);HANDTIP_LEFT (w);HANDTIP_LEFT (x);HANDTIP_LEFT (y);HANDTIP_LEFT (z);THUMB_LEFT (w);THUMB_LEFT (x);THUMB_LEFT (y);THUMB_LEFT (z);CLAVICLE_RIGHT (w);CLAVICLE_RIGHT (x);CLAVICLE_RIGHT (y);CLAVICLE_RIGHT (z);SHOULDER_RIGHT (w);SHOULDER_RIGHT (x);SHOULDER_RIGHT (y);SHOULDER_RIGHT (z);ELBOW_RIGHT (w);ELBOW_RIGHT (x);ELBOW_RIGHT (y);ELBOW_RIGHT (z);WRIST_RIGHT (w);WRIST_RIGHT (x);WRIST_RIGHT (y);WRIST_RIGHT (z);HAND_RIGHT (w);HAND_RIGHT (x);HAND_RIGHT (y);HAND_RIGHT (z);HANDTIP_RIGHT (w);HANDTIP_RIGHT (x);HANDTIP_RIGHT (y);HANDTIP_RIGHT (z);THUMB_RIGHT (w);THUMB_RIGHT (x);THUMB_RIGHT (y);THUMB_RIGHT (z);HIP_LEFT (w);HIP_LEFT (x);HIP_LEFT (y);HIP_LEFT (z);KNEE_LEFT (w);KNEE_LEFT (x);KNEE_LEFT (y);KNEE_LEFT (z);ANKLE_LEFT (w);ANKLE_LEFT (x);ANKLE_LEFT (y);ANKLE_LEFT (z);FOOT_LEFT (w);FOOT_LEFT (x);FOOT_LEFT (y);FOOT_LEFT (z);HIP_RIGHT (w);HIP_RIGHT (x);HIP_RIGHT (y);HIP_RIGHT (z);KNEE_RIGHT (w);KNEE_RIGHT (x);KNEE_RIGHT (y);KNEE_RIGHT (z);ANKLE_RIGHT (w);ANKLE_RIGHT (x);ANKLE_RIGHT (y);ANKLE_RIGHT (z);FOOT_RIGHT (w);FOOT_RIGHT (x);FOOT_RIGHT (y);FOOT_RIGHT (z);HEAD (w);HEAD (x);HEAD (y);HEAD (z);NOSE (w);NOSE (x);NOSE (y);NOSE (z);EYE_LEFT (w);EYE_LEFT (x);EYE_LEFT (y);EYE_LEFT (z);EAR_LEFT (w);EAR_LEFT (x);EAR_LEFT (y);EAR_LEFT (z);EYE_RIGHT (w);EYE_RIGHT (x);EYE_RIGHT (y);EYE_RIGHT (z);EAR_RIGHT (w);EAR_RIGHT (x);EAR_RIGHT (y);EAR_RIGHT (z)
333511;1;0.485082;-0.413874;0.655003;-0.405431;0.510577;-0.370118;0.680686;-0.372814;0.524264;-0.378651;0.703617;-0.294438;0.546188;-0.321006;0.731716;-0.251448;0.874707;-0.408725;0.067462;0.251557;0.714605;-0.255748;0.028097;0.650495;0.229076;-0.196383;0.166223;0.938791;0.012165;0.157057;-0.649943;0.743477;-0.119820;0.039359;-0.667491;0.733860;-0.119820;0.039359;-0.667491;0.733860;-0.046224;-0.111770;-0.152407;0.980889;0.453102;0.867361;-0.098596;-0.180727;0.507349;0.739377;-0.411201;-0.163805;0.500780;0.330053;-0.778993;0.182905;0.541346;0.282548;-0.755659;0.236835;0.589599;0.522303;-0.614860;0.038990;0.589599;0.522303;-0.614860;0.038990;0.453862;0.373178;-0.395583;0.705876;-0.270213;0.474036;-0.348001;0.762345;0.691872;-0.146575;0.569529;-0.418885;0.500707;-0.431010;0.512240;-0.548756;0.745727;0.055079;0.662953;-0.036737;0.092369;0.215116;0.923369;0.304274;-0.157582;0.818821;0.477924;0.276205;0.107364;0.748649;0.518864;0.398469;-0.205358;0.898998;-0.157619;0.353251;0.515863;-0.402253;0.700544;-0.285159;0.515863;-0.402253;0.700544;-0.285159;0.566408;0.210923;0.779795;0.163132;0.285159;0.700544;0.402253;0.515863;0.566408;0.210923;0.779795;0.163132;0.515863;-0.402253;0.700544;-0.285159
366888;1;0.505761;-0.470386;0.676056;-0.256694;0.550016;-0.309174;0.763364;-0.138450;0.526507;-0.387670;0.724283;-0.218897;0.542366;-0.328339;0.753039;-0.175970;0.867310;-0.342831;0.183200;0.310931;0.690253;-0.344817;0.192438;0.606316;0.192357;-0.161973;0.360134;0.898369;-0.212283;-0.068354;0.041066;0.973949;-0.378187;-0.060184;0.052312;0.922289;-0.378187;-0.060184;0.052312;0.922289;-0.132870;-0.458236;0.432401;0.765111;0.418244;0.894744;-0.117844;-0.103044;0.498353;0.747025;-0.434128;-0.071625;-0.422891;-0.278340;0.817949;-0.273221;-0.323267;-0.141757;0.879917;-0.318041;0.441166;0.820847;-0.347216;-0.104994;0.441166;0.820847;-0.347216;-0.104994;0.578604;0.262064;-0.434349;0.638655;-0.040297;0.589528;-0.176725;0.787147;0.707944;-0.131306;0.601326;-0.346383;0.527051;-0.438822;0.522057;-0.507060;0.735099;0.056728;0.675486;0.011401;0.257220;0.084574;0.945755;0.179534;-0.029505;0.864734;0.392155;0.312375;0.243409;0.648416;0.649466;0.313852;-0.048226;0.920026;0.004774;0.388850;0.496374;-0.398787;0.722804;-0.268583;0.496374;-0.398787;0.722804;-0.268583;0.540906;0.229115;0.793084;0.161073;0.268583;0.722804;0.398787;0.496374;0.540906;0.229115;0.793084;0.161073;0.496374;-0.398787;0.722804;-0.268583
400222;1;0.516398;-0.477099;0.659843;-0.265173;0.561948;-0.320944;0.748339;-0.145594;0.534525;-0.375155;0.724724;-0.219812;0.550431;-0.315828;0.752474;-0.176239;0.872366;-0.333308;0.201494;0.295439;0.677977;-0.359130;0.189072;0.612882;0.137939;-0.158768;0.373518;0.903465;-0.254923;0.044203;-0.202309;0.944527;-0.412813;0.008927;-0.206889;0.886963;-0.412813;0.008927;-0.206889;0.886963;-0.190840;-0.361058;0.225357;0.884552;0.409784;0.896907;-0.128791;-0.105111;0.565000;0.690084;-0.449236;-0.052392;-0.479228;-0.271669;0.777319;-0.303826;-0.344414;-0.101026;0.933240;-0.015377;0.195779;0.844640;-0.409543;-0.283775;0.195779;0.844640;-0.409543;-0.283775;0.501411;0.236878;-0.662446;0.503627;-0.020642;0.585277;-0.143069;0.797844;0.713611;-0.149304;0.583770;-0.357325;0.546380;-0.409287;0.512839;-0.520528;0.758148;0.071207;0.648000;0.015389;0.283427;0.066508;0.943270;0.159649;-0.008122;0.864387;0.383347;0.325290;0.240808;0.670444;0.623002;0.323086;-0.056776;0.917056;-0.029477;0.393594;0.467966;-0.421735;0.722715;-0.284308;0.467966;-0.421735;0.722715;-0.284308;0.531938;0.212825;0.809248;0.129866;0.284308;0.722715;0.421735;0.467966;0.531938;0.212825;0.809248;0.129866;0.467966;-0.421735;0.722715;-0.284308
433555;1;0.512689;-0.469032;0.668274;-0.265648;0.558544;-0.310658;0.755032;-0.146450;0.533492;-0.389394;0.716193;-0.225445;0.549853;-0.330706;0.745114;-0.181936;0.870087;-0.351485;0.199370;0.282240;0.680303;-0.362210;0.201579;0.604448;0.131273;-0.147321;0.387462;0.900521;-0.362343;-0.001343;0.058616;0.930199;-0.436196;0.003389;0.058533;0.897939;-0.436196;0.003389;0.058533;0.897939;-0.271563;-0.473056;0.367338;0.753349;0.414281;0.900639;-0.108084;-0.074421;0.537448;0.717647;-0.439131;-0.057413;-0.454582;-0.283458;0.792152;-0.292407;-0.166386;0.084954;0.924557;-0.332105;0.371408;0.796153;-0.477663;-0.005828;0.371408;0.796153;-0.477663;-0.005828;0.515839;-0.032497;-0.555891;0.651030;-0.014019;0.589113;-0.146670;0.794505;0.704981;-0.152078;0.587791;-0.366572;0.550171;-0.403188;0.530617;-0.503186;0.748662;0.088148;0.656368;0.030267;0.311939;0.055925;0.935890;0.153869;0.009813;0.853500;0.387928;0.347782;0.207798;0.682935;0.611165;0.341902;-0.093563;0.917528;-0.046463;0.383704;0.514984;-0.399398;0.696559;-0.300131;0.514984;-0.399398;0.696559;-0.300131;0.576374;0.210125;0.774958;0.151924;0.300131;0.696559;0.399397;0.514984;0.576374;0.210125;0.774958;0.151924;0.514984;-0.399398;0.696559;-0.300131
466866;1;0.511921;-0.475295;0.661881;-0.271930;0.562457;-0.301286;0.757112;-0.140181;0.520944;-0.402936;0.711318;-0.245532;0.538957;-0.344595;0.741340;-0.202965;0.852440;-0.368971;0.215111;0.301552;0.665030;-0.376703;0.205094;0.611364;0.104655;-0.151467;0.401281;0.897262;-0.315093;0.041295;-0.133999;0.938646;-0.395968;0.029419;-0.137097;0.907496;-0.395968;0.029419;-0.137097;0.907496;-0.244903;-0.392858;0.257723;0.848094;0.437687;0.889310;-0.115359;-0.065192;0.577435;0.683023;-0.445773;-0.036546;-0.464085;-0.232726;0.781711;-0.345531;-0.348775;0.158858;0.781264;-0.492694;0.599101;0.612953;-0.509801;-0.073956;0.599101;0.612953;-0.509801;-0.073956;0.612309;0.128221;-0.265066;0.733742;-0.026444;0.595015;-0.153451;0.788486;0.699270;-0.159451;0.593486;-0.365201;0.556587;-0.395237;0.542254;-0.489857;0.743833;0.102069;0.659047;0.044166;0.326720;0.064447;0.928660;0.163375;0.013969;0.845154;0.390138;0.365119;0.200914;0.687981;0.596966;0.360482;-0.111614;0.911160;-0.059991;0.392086;0.518925;-0.399554;0.706125;-0.269188;0.518925;-0.399554;0.706125;-0.269188;0.557280;0.216778;0.781833;0.176591;0.269188;0.706124;0.399554;0.518925;0.557280;0.216778;0.781833;0.176591;0.518925;-0.399554;0.706125;-0.269188
500222;1;0.508836;-0.477823;0.660865;-0.275731;0.559568;-0.308197;0.755032;-0.147735;0.516733;-0.412806;0.704122;-0.258438;0.535794;-0.355010;0.734959;-0.216167;0.845963;-0.385573;0.217950;0.296947;0.648471;-0.391199;0.197071;0.622585;0.082650;-0.166718;0.405066;0.895151;-0.324874;0.077823;-0.151250;0.930335;-0.383865;0.067964;-0.155930;0.907587;-0.383865;0.067964;-0.155930;0.907587;-0.251558;-0.372605;0.224196;0.864650;0.454007;0.880888;-0.119983;-0.059312;0.585114;0.686139;-0.429606;-0.047901;-0.473013;-0.235981;0.774378;-0.347723;-0.191589;0.239069;0.896950;-0.318780;0.347052;0.842260;-0.390219;-0.133723;0.347052;0.842260;-0.390219;-0.133723;0.601888;-0.013685;-0.524918;0.601668;-0.019121;0.611585;-0.143760;0.777773;0.689158;-0.171362;0.604483;-0.360966;0.580931;-0.356185;0.569422;-0.459793;0.739867;0.149138;0.650821;0.082386;0.331157;0.069966;0.924313;0.176309;0.008906;0.839717;0.392500;0.375154;0.201367;0.684028;0.593655;0.373002;-0.120108;0.906075;-0.059508;0.401324;0.486089;-0.407610;0.727606;-0.261078;0.486089;-0.407610;0.727606;-0.261078;0.528327;0.226271;0.802718;0.159107;0.261078;0.727606;0.407610;0.486089;0.528327;0.226271;0.802718;0.159107;0.486089;-0.407610;0.727606;-0.261078
533544;1;0.505077;-0.477130;0.664889;-0.274164;0.554935;-0.309691;0.757511;-0.149384;0.511602;-0.413113;0.708917;-0.255025;0.530405;-0.354932;0.739763;-0.213176;0.847404;-0.383175;0.228085;0.288202;0.644151;-0.387055;0.214599;0.623863;0.058553;-0.142780;0.418902;0.894822;-0.371747;0.084629;-0.220469;0.897795;0.522171;-0.045011;0.231824;-0.819493;0.522171;-0.045011;0.231824;-0.819493;-0.365017;-0.359881;0.180895;0.839360;0.448385;0.886180;-0.099935;-0.060411;0.575256;0.702247;-0.417903;-0.035869;-0.448427;-0.235575;0.782495;-0.362104;-0.169905;0.308403;0.868812;-0.348117;0.371887;0.803930;-0.451268;-0.108411;0.371887;0.803930;-0.451268;-0.108411;0.645934;0.054010;-0.472037;0.597523;-0.020891;0.626478;-0.151201;0.764348;0.680466;-0.168216;0.622175;-0.348666;0.581664;-0.349591;0.592237;-0.434405;0.722558;0.169999;0.662458;0.100795;0.322133;0.079831;0.925570;0.182146;0.003198;0.841657;0.393191;0.370141;0.186029;0.686448;0.598737;0.368370;-0.127724;0.911289;-0.057560;0.387203;0.482103;-0.428776;0.694285;-0.318898;0.482103;-0.428776;0.694285;-0.318898;0.566394;0.187743;0.794124;0.115404;0.318898;0.694285;0.428776;0.482103;0.566394;0.187743;0.794124;0.115404;0.482103;-0.428776;0.694285;-0.318898
566888;1;0.512586;-0.441528;0.684057;-0.272715;0.552318;-0.315355;0.750622;-0.179062;0.488739;-0.439118;0.699600;-0.280837;0.509686;-0.381601;0.732561;-0.240739;0.831369;-0.421839;0.234655;0.275343;0.648507;-0.378891;0.197430;0.630001;0.058610;-0.148678;0.400539;0.902235;-0.408687;0.072231;-0.220667;0.882646;0.556015;-0.032738;0.229868;-0.798082;0.556015;-0.032738;0.229868;-0.798082;-0.320753;-0.397248;0.133395;0.849422;0.479820;0.873030;-0.070550;-0.051127;0.569190;0.703441;-0.422876;-0.048675;-0.456555;-0.242067;0.784256;-0.343372;-0.112314;0.331688;0.914328;-0.203403;0.219593;0.844265;-0.482939;-0.075934;0.219593;0.844265;-0.482939;-0.075934;0.609589;-0.145876;-0.660391;0.413526;-0.038237;0.637495;-0.161659;0.752332;0.675915;-0.168845;0.635678;-0.332480;0.612118;-0.294329;0.619708;-0.393247;0.715043;0.228849;0.643042;0.151125;0.308458;0.087092;0.925770;0.200547;-0.012047;0.837362;0.404223;0.367810;0.155806;0.712081;0.568159;0.381916;-0.158953;0.907885;-0.097139;0.375558;0.503824;-0.397397;0.703588;-0.305290;0.503824;-0.397397;0.703588;-0.305290;0.572130;0.216510;0.778513;0.140385;0.305290;0.703588;0.397397;0.503824;0.572130;0.216510;0.778513;0.140385;0.503824;-0.397397;0.703588;-0.305290
600222;1;0.529650;-0.415728;0.697587;-0.244974;0.545197;-0.366933;0.724444;-0.208092;0.467892;-0.459254;0.697995;-0.288038;0.489484;-0.401801;0.732576;-0.249588;0.810481;-0.434858;0.246788;0.305146;0.652965;-0.395367;0.187561;0.618177;0.054585;-0.160617;0.407059;0.897511;-0.412546;0.065280;-0.141620;0.897490;0.562814;-0.039568;0.150838;-0.811740;0.562814;-0.039568;0.150838;-0.811740;-0.323268;-0.412559;0.195404;0.828921;0.500477;0.861812;-0.068879;-0.045363;0.560596;0.728720;-0.391720;-0.035415;-0.451099;-0.303891;0.769499;-0.334711;-0.278417;0.325982;0.903311;-0.015784;0.088998;0.784636;-0.553698;-0.264281;0.088998;0.784636;-0.553698;-0.264281;0.562528;-0.083287;-0.674629;0.470640;-0.051355;0.633853;-0.177302;0.751104;0.673775;-0.167895;0.636457;-0.335799;0.660153;-0.198307;0.642449;-0.334860;0.707674;0.313420;0.591543;0.225926;0.297872;0.106302;0.926640;0.203249;-0.009507;0.836572;0.412369;0.360567;0.045001;0.755960;0.548268;0.354825;-0.218808;0.924456;-0.141816;0.278196;0.480404;-0.415150;0.719553;-0.281258;0.480404;-0.415150;0.719553;-0.281258;0.538576;0.215245;0.802356;0.140817;0.281258;0.719553;0.415150;0.480404;0.538576;0.215245;0.802356;0.140817;0.480404;-0.415150;0.719553;-0.281258
633555;1;0.518829;-0.421598;0.708343;-0.226543;0.523687;-0.405912;0.717447;-0.215074;0.469565;-0.460727;0.714340;-0.238658;0.487191;-0.401958;0.748987;-0.200233;0.821332;-0.403330;0.245534;0.320082;0.643396;-0.396018;0.183750;0.628847;0.007590;-0.148866;0.410406;0.899638;-0.414311;0.059590;-0.264878;0.868697;0.558896;-0.012679;0.271202;-0.783533;0.558896;-0.012679;0.271202;-0.783533;-0.302925;-0.407014;0.087879;0.857236;0.472716;0.876165;-0.022740;-0.091417;0.583056;0.726052;-0.357460;-0.071537;-0.495745;-0.333665;0.737290;-0.315133;0.590147;-0.168970;-0.775641;0.146824;0.403492;0.609134;-0.509043;-0.455000;0.403492;0.609134;-0.509043;-0.455000;0.385414;0.034444;-0.520944;0.760846;-0.058538;0.644756;-0.180849;0.740376;0.664941;-0.176707;0.645950;-0.330722;0.676211;-0.152645;0.665819;-0.275906;0.677426;0.362584;0.576111;0.278789;0.313314;0.108512;0.919397;0.211587;0.002466;0.819932;0.429784;0.378142;0.030573;0.772976;0.513774;0.370958;-0.240625;0.912252;-0.178162;0.279562;0.420292;-0.461368;0.721759;-0.299263;0.420292;-0.461368;0.721759;-0.299263;0.508802;0.184125;0.836597;0.085580;0.299263;0.721759;0.461368;0.420292;0.508802;0.184125;0.836597;0.085580;0.420292;-0.461368;0.721759;-0.299263
