timestamp;body_idx;PELVIS (c);PELVIS (x);PELVIS (y);PELVIS (z);SPINE_NAVEL (c);SPINE_NAVEL (x);SPINE_NAVEL (y);SPINE_NAVEL (z);SPINE_CHEST (c);SPINE_CHEST (x);SPINE_CHEST (y);SPINE_CHEST (z);NECK (c);NECK (x);NECK (y);NECK (z);CLAVICLE_LEFT (c);CLAVICLE_LEFT (x);CLAVICLE_LEFT (y);CLAVICLE_LEFT (z);SHOULDER_LEFT (c);SHOULDER_LEFT (x);SHOULDER_LEFT (y);SHOULDER_LEFT (z);ELBOW_LEFT (c);ELBOW_LEFT (x);ELBOW_LEFT (y);ELBOW_LEFT (z);WRIST_LEFT (c);WRIST_LEFT (x);WRIST_LEFT (y);WRIST_LEFT (z);HAND_LEFT (c);HAND_LEFT (x);HAND_LEFT (y);HAND_LEFT (z);HANDTIP_LEFT (c);HANDTIP_LEFT (x);HANDTIP_LEFT (y);HANDTIP_LEFT (z);THUMB_LEFT (c);THUMB_LEFT (x);THUMB_LEFT (y);THUMB_LEFT (z);CLAVICLE_RIGHT (c);CLAVICLE_RIGHT (x);CLAVICLE_RIGHT (y);CLAVICLE_RIGHT (z);SHOULDER_RIGHT (c);SHOULDER_RIGHT (x);SHOULDER_RIGHT (y);SHOULDER_RIGHT (z);ELBOW_RIGHT (c);ELBOW_RIGHT (x);ELBOW_RIGHT (y);ELBOW_RIGHT (z);WRIST_RIGHT (c);WRIST_RIGHT (x);WRIST_RIGHT (y);WRIST_RIGHT (z);HAND_RIGHT (c);HAND_RIGHT (x);HAND_RIGHT (y);HAND_RIGHT (z);HANDTIP_RIGHT (c);HANDTIP_RIGHT (x);HANDTIP_RIGHT (y);HANDTIP_RIGHT (z);THUMB_RIGHT (c);THUMB_RIGHT (x);THUMB_RIGHT (y);THUMB_RIGHT (z);HIP_LEFT (c);HIP_LEFT (x);HIP_LEFT (y);HIP_LEFT (z);KNEE_LEFT (c);KNEE_LEFT (x);KNEE_LEFT (y);KNEE_LEFT (z);ANKLE_LEFT (c);ANKLE_LEFT (x);ANKLE_LEFT (y);ANKLE_LEFT (z);FOOT_LEFT (c);FOOT_LEFT (x);FOOT_LEFT (y);FOOT_LEFT (z);HIP_RIGHT (c);HIP_RIGHT (x);HIP_RIGHT (y);HIP_RIGHT (z);KNEE_RIGHT (c);KNEE_RIGHT (x);KNEE_RIGHT (y);KNEE_RIGHT (z);ANKLE_RIGHT (c);ANKLE_RIGHT (x);ANKLE_RIGHT (y);ANKLE_RIGHT (z);FOOT_RIGHT (c);FOOT_RIGHT (x);FOOT_RIGHT (y);FOOT_RIGHT (z);HEAD (c);HEAD (x);HEAD (y);HEAD (z);NOSE (c);NOSE (x);NOSE (y);NOSE (z);EYE_LEFT (c);EYE_LEFT (x);EYE_LEFT (y);EYE_LEFT (z);EAR_LEFT (c);EAR_LEFT (x);EAR_LEFT (y);EAR_LEFT (z);EYE_RIGHT (c);EYE_RIGHT (x);EYE_RIGHT (y);EYE_RIGHT (z);EAR_RIGHT (c);EAR_RIGHT (x);EAR_RIGHT (y);EAR_RIGHT (z)
333511;1;2;16.327301;110.481499;2326.264648;2;-34.812107;3.051966;2236.983643;2;-77.723000;-77.789055;2161.052490;2;-150.156525;-180.235611;2030.566895;2;-112.754883;-167.369751;2040.852783;2;0.298776;-146.370316;2009.472656;2;160.684311;-2.436608;2091.014648;2;131.958633;188.781204;2088.027100;0;136.551926;267.525818;2073.048096;0;100.903656;347.111694;2095.683350;0;72.053596;293.772522;2095.139404;2;-163.274033;-160.686340;2064.339355;2;-243.463089;-99.702271;2107.632080;2;-270.067993;128.441177;2156.212646;2;-228.023621;307.767761;2089.688721;0;-228.726654;387.357697;2123.425781;0;-239.620895;465.884613;2162.887207;0;-172.209122;402.808685;2112.288086;2;84.074104;106.736557;2291.966064;2;107.873573;438.460693;2263.466553;2;197.235107;652.920471;2482.066895;2;194.581558;803.547363;2440.793945;2;-44.762970;113.858482;2357.193115;1;-47.233311;445.563568;2391.037842;1;97.942413;596.346313;2636.202148;1;90.985458;739.882568;2637.796143;2;-178.728683;-209.130234;1975.907349;2;-215.372665;-115.352516;1887.511108;2;-204.857529;-157.566055;1870.615845;2;-142.908630;-237.475739;1901.430298;2;-242.232178;-148.893982;1891.312134;2;-264.688080;-225.439651;1965.949829
366888;1;2;20.406448;117.187180;2344.266602;2;-32.765186;9.266607;2255.099365;2;-77.729141;-70.303535;2177.774658;2;-152.900513;-168.875397;2044.201904;2;-114.844246;-158.322754;2055.735352;2;1.571387;-143.437836;2030.762451;2;163.966782;-4.843071;2121.440186;2;139.578537;188.089478;2112.311768;0;141.130402;265.162537;2088.018066;0;110.153870;350.393311;2086.485352;0;68.251205;285.921936;2091.015137;2;-165.888397;-148.320282;2077.763916;2;-240.306641;-76.704407;2116.729492;2;-255.674988;157.498749;2144.495361;2;-236.614304;352.031158;2118.794434;0;-245.014969;438.240387;2127.226318;0;-279.920990;519.621582;2137.543457;0;-207.206253;427.803040;2163.868408;2;88.750931;111.601082;2310.272949;2;109.141701;442.242676;2253.901611;2;189.821747;677.868225;2456.642578;2;183.096527;822.207947;2394.612305;2;-41.222775;122.224411;2374.920410;1;-44.282207;456.078491;2409.655518;1;94.676094;616.250122;2655.316895;1;80.906502;759.723572;2642.785645;2;-181.713593;-196.195023;1988.302368;2;-211.478836;-114.506531;1885.184692;2;-200.687088;-159.038757;1874.806763;2;-141.783463;-235.103958;1920.275269;2;-239.318924;-147.152100;1891.901978;2;-267.786652;-212.949814;1975.298462
400211;1;2;22.303621;119.423965;2349.796387;2;-31.129436;11.694945;2260.520996;2;-76.447830;-67.134277;2182.622314;2;-151.757095;-163.852188;2047.746216;2;-113.661858;-153.877563;2059.677246;2;3.436312;-140.256790;2037.226685;2;165.049530;-3.347576;2131.853271;2;141.092087;189.601685;2121.484375;0;141.101944;265.308990;2093.147949;0;111.099083;350.516571;2084.913818;0;68.422394;284.945801;2094.140137;2;-164.766006;-143.340881;2081.333252;2;-238.486160;-70.816490;2119.984863;2;-253.861374;163.526062;2146.815430;2;-234.633179;358.072662;2121.150879;0;-243.212067;444.597900;2125.080566;0;-277.199188;526.776550;2131.514404;0;-191.140640;435.675385;2159.515381;2;90.710243;113.538025;2315.956055;2;109.400497;442.966766;2252.127930;2;187.462753;680.667297;2453.533203;2;177.456802;821.042542;2383.333252;2;-39.381638;124.731567;2380.311523;1;-43.559620;458.617065;2415.048340;1;93.194939;621.015869;2660.539551;1;76.257896;763.777344;2644.138916;2;-180.444168;-190.430664;1991.415405;2;-208.746307;-109.350685;1887.386719;2;-197.737625;-153.930756;1877.422729;2;-139.425766;-229.667938;1924.214600;2;-236.646088;-142.001511;1893.862915;2;-266.298096;-207.380814;1977.194580
433555;1;2;22.590483;120.094131;2350.826904;2;-30.897087;12.435868;2261.379395;2;-76.292252;-66.183830;2183.226807;2;-151.462769;-162.483337;2047.857300;2;-113.361443;-152.626022;2059.933350;2;3.968619;-139.308990;2038.218018;2;165.373566;-2.765179;2133.991699;2;141.430313;190.255722;2123.191406;0;141.178406;265.504059;2093.553955;0;111.285439;350.563416;2083.187500;0;68.642456;284.747681;2092.867920;2;-164.530243;-141.996109;2081.460693;2;-238.417450;-69.405457;2119.817871;2;-255.232727;165.052536;2145.752686;2;-237.162735;359.787170;2119.951660;0;-246.663681;446.294220;2122.974121;0;-281.345490;528.287537;2128.603027;0;-209.836487;447.847626;2151.116455;2;91.054169;114.161179;2317.028076;2;109.329674;443.646179;2252.531250;2;186.916183;680.296631;2455.593750;2;175.687485;820.116089;2384.310059;2;-39.146236;125.444130;2381.304932;1;-43.598610;459.474274;2416.161377;1;92.674080;622.130615;2661.953857;1;74.897942;764.767883;2644.771484;2;-180.055084;-188.887711;1991.356934;2;-207.606522;-107.592773;1887.211304;2;-196.547760;-152.184601;1877.250000;2;-138.574005;-228.062012;1924.349121;2;-235.581192;-140.253876;1893.446777;2;-265.858398;-205.776962;1976.509155
466877;1;2;50.704586;123.713509;2447.080811;2;-5.241402;-1.914844;2342.816406;2;-52.900734;-38.115376;2218.504395;2;-139.411942;-152.688812;2065.223877;2;-96.283752;-147.654419;2084.269043;2;40.594891;-161.888321;2070.704346;2;238.936188;-11.073277;2167.523682;2;144.696884;188.656387;2127.961914;0;130.235794;268.529541;2082.270264;0;84.802124;362.400665;2075.231445;0;60.427525;294.978973;2087.632324;2;-154.217773;-121.400681;2098.133789;2;-238.734512;-33.355110;2134.031738;2;-289.752991;228.972137;2186.656494;2;-278.445831;455.447235;2172.450684;0;-294.399872;553.448059;2158.299316;0;-243.482056;638.216370;2130.415283;0;-226.103836;565.454590;2122.633301;2;133.313614;109.863060;2419.443115;2;126.354683;361.521851;2125.181396;2;142.191559;622.775940;2386.850098;2;160.029831;741.463623;2251.071045;2;-23.787607;136.203064;2472.002930;1;-24.480980;494.482513;2326.115234;1;79.571991;606.992004;2667.270020;1;55.877632;761.103271;2608.210205;2;-169.209595;-185.649857;1999.881104;2;-204.165100;-85.973351;1885.843384;2;-194.209030;-137.256241;1871.612061;2;-127.930672;-229.297577;1918.239014;2;-237.395706;-122.608810;1893.482300;2;-269.574982;-200.614014;1988.050903
500222;1;2;47.845169;129.700836;2458.615723;2;-4.864320;-2.356261;2356.800781;2;-47.593853;-33.955486;2227.485596;2;-134.754791;-151.598633;2073.037842;2;-91.166565;-146.482269;2092.592529;2;47.217033;-160.294830;2075.408691;2;246.834579;-3.751546;2170.409912;2;138.351440;192.655487;2133.720215;0;124.748642;269.221161;2080.219727;0;94.164688;370.586029;2077.244141;0;59.474228;298.648010;2078.799072;2;-149.827774;-119.379745;2105.859375;2;-235.675186;-29.437580;2139.905762;2;-296.188446;235.720963;2186.916260;2;-286.381378;464.037323;2158.936768;0;-302.257629;564.413696;2160.253418;0;-246.106522;644.545227;2124.681152;0;-236.263626;576.673340;2128.994873;2;132.529556;114.635597;2434.314941;2;125.113350;357.330536;2126.023193;2;142.176590;631.186707;2381.691895;2;168.411987;750.201660;2244.322266;2;-28.518461;143.285843;2480.529053;1;-26.729765;490.378815;2298.343994;1;68.767746;610.684326;2644.806641;1;55.998493;766.767395;2581.390625;2;-164.646576;-185.696808;2007.041260;2;-193.483505;-62.975250;1912.601196;2;-186.567856;-111.864723;1888.677612;2;-125.390587;-216.212753;1917.161743;2;-229.395721;-98.771797;1913.597656;2;-267.058044;-192.143921;1993.336426
533544;1;2;47.681385;132.519562;2454.134033;2;-6.528761;3.374472;2351.841309;2;-52.139557;-28.879513;2224.936523;2;-142.578094;-146.938965;2075.171387;2;-98.810356;-141.534546;2093.219482;2;38.475662;-154.016525;2075.609375;2;241.410782;-4.026994;2167.764893;2;138.853104;194.200943;2135.694336;0;125.202400;267.554657;2079.159912;0;93.221527;366.490204;2064.204346;0;59.400761;299.324341;2081.743408;2;-156.697357;-114.850700;2107.958496;2;-241.449615;-25.792040;2143.044434;2;-300.990753;237.204010;2190.126953;2;-287.879669;462.192719;2153.460938;0;-301.413605;561.880798;2159.669922;0;-247.582794;645.520081;2131.957764;0;-235.035583;575.019958;2123.620605;2;131.116959;118.408142;2427.732910;2;123.477180;361.304321;2123.740234;2;143.900787;629.284973;2380.863525;2;167.749741;750.380188;2246.937256;2;-27.556137;145.244431;2477.940918;1;-25.735262;491.821350;2301.805420;1;76.170372;616.480225;2641.429443;1;58.352699;770.366333;2577.562500;2;-174.014221;-181.314148;2010.855957;2;-193.617569;-60.653873;1913.593018;2;-180.905396;-108.650185;1891.330322;2;-120.459137;-209.287827;1928.840698;2;-227.239792;-97.801582;1909.188965;2;-271.867981;-192.433472;1981.832520
566888;1;2;42.559578;134.593735;2453.851807;2;-11.112064;0.898346;2355.772949;2;-57.632359;-32.561371;2228.771484;2;-146.216934;-154.266235;2079.365479;2;-102.359535;-147.873276;2097.486572;2;35.781799;-154.295486;2078.055664;2;237.511673;1.825109;2166.417725;2;141.882629;206.450668;2148.515137;0;124.840248;266.946167;2078.525391;0;92.994926;365.687744;2059.074463;0;55.300179;299.264404;2081.553955;2;-161.013779;-121.960030;2111.982422;2;-246.210861;-31.263464;2143.927490;2;-304.658417;233.461319;2190.453613;2;-280.253357;457.871735;2149.352295;0;-300.736023;556.975220;2153.538330;0;-251.625687;645.986938;2132.792969;0;-235.382172;576.914429;2120.414795;2;126.303436;120.815239;2426.806641;2;123.949883;360.929840;2118.122314;2;148.844360;626.783630;2379.646973;2;173.068848;751.768982;2248.176514;2;-32.955944;147.018417;2478.239502;1;-33.032944;493.433655;2297.645996;1;70.657341;620.801025;2637.754150;1;54.006741;776.284790;2575.312744;2;-177.115097;-189.997910;2015.050171;2;-201.146072;-58.761791;1932.339844;2;-185.806854;-103.283447;1904.549561;2;-120.899780;-205.408432;1930.902588;2;-233.072342;-96.757538;1922.773071;2;-274.396820;-201.955231;1982.839966
600211;1;2;34.681160;133.888474;2454.566895;2;-16.091663;-1.386955;2356.077393;2;-60.264763;-35.769157;2227.978516;2;-148.805435;-157.193726;2077.317871;2;-104.841354;-150.856262;2095.621582;2;34.199924;-154.226807;2078.642578;2;235.998856;4.461050;2165.006348;2;143.854172;211.980972;2153.831543;0;119.029457;263.293396;2078.607666;0;92.079285;363.052795;2055.400879;0;55.726097;296.754028;2079.699463;2;-163.726776;-124.936104;2110.163330;2;-247.225189;-33.497795;2145.971680;2;-304.698120;231.888275;2195.293213;2;-268.115509;452.856018;2142.079590;0;-286.051636;552.816772;2138.437988;0;-253.295059;650.782288;2125.516602;0;-222.077698;572.264282;2100.622314;2;119.284836;120.821625;2428.899658;2;124.966309;359.268433;2117.324463;2;146.160431;627.992615;2378.024414;2;174.446716;754.682556;2248.155029;2;-41.609692;145.671417;2477.712158;1;-34.349007;494.710815;2299.510010;1;63.592495;628.704956;2640.176514;1;49.365173;784.225586;2575.742920;2;-179.663925;-192.747971;2012.556030;2;-199.220200;-57.693348;1933.918701;2;-178.784134;-100.209267;1905.909668;2;-113.048386;-201.592499;1934.886230;2;-228.272766;-96.347008;1918.641479;2;-272.161774;-206.416199;1968.141479
633555;1;2;35.824490;135.887817;2454.387207;2;-14.038183;-0.046775;2356.357422;2;-58.495396;-35.237762;2228.584473;2;-149.488129;-156.761993;2079.489014;2;-105.285667;-150.630768;2097.274902;2;33.509441;-155.916687;2078.887939;2;233.234619;5.888820;2164.238037;2;139.774643;212.890167;2154.729736;0;115.968155;263.224976;2078.528809;0;88.545738;361.776428;2051.119629;0;56.253880;296.192810;2074.884521;2;-163.832428;-124.257393;2112.344482;2;-247.709778;-33.390553;2148.693848;2;-305.139008;231.149490;2202.342041;2;-266.883728;447.269470;2132.916260;0;-274.221344;548.341980;2125.395752;0;-251.611237;649.499512;2115.803223;0;-206.276016;557.183655;2073.525879;2;120.425644;123.652786;2428.320801;2;124.591682;361.104126;2115.987549;2;146.974670;627.073120;2379.372070;2;167.005096;750.528687;2244.945801;2;-40.464092;146.920685;2477.892334;1;-34.431934;496.428314;2300.608887;1;64.974953;635.265015;2638.881592;1;46.385090;788.965332;2571.291260;2;-181.292694;-192.407974;2015.242310;2;-198.068817;-56.412712;1937.606445;2;-174.572159;-97.934608;1910.527588;2;-108.818336;-198.324020;1942.717773;2;-224.955704;-95.420746;1919.530029;2;-269.819061;-207.333862;1963.720215
