timestamp;body_idx;PELVIS (c);PELVIS (x);PELVIS (y);SPINE_NAVEL (c);SPINE_NAVEL (x);SPINE_NAVEL (y);SPINE_CHEST (c);SPINE_CHEST (x);SPINE_CHEST (y);NECK (c);NECK (x);NECK (y);CLAVICLE_LEFT (c);CLAVICLE_LEFT (x);CLAVICLE_LEFT (y);SHOULDER_LEFT (c);SHOULDER_LEFT (x);SHOULDER_LEFT (y);ELBOW_LEFT (c);ELBOW_LEFT (x);ELBOW_LEFT (y);WRIST_LEFT (c);WRIST_LEFT (x);WRIST_LEFT (y);HAND_LEFT (c);HAND_LEFT (x);HAND_LEFT (y);HANDTIP_LEFT (c);HANDTIP_LEFT (x);HANDTIP_LEFT (y);THUMB_LEFT (c);THUMB_LEFT (x);THUMB_LEFT (y);CLAVICLE_RIGHT (c);CLAVICLE_RIGHT (x);CLAVICLE_RIGHT (y);SHOULDER_RIGHT (c);SHOULDER_RIGHT (x);SHOULDER_RIGHT (y);ELBOW_RIGHT (c);ELBOW_RIGHT (x);ELBOW_RIGHT (y);WRIST_RIGHT (c);WRIST_RIGHT (x);WRIST_RIGHT (y);HAND_RIGHT (c);HAND_RIGHT (x);HAND_RIGHT (y);HANDTIP_RIGHT (c);HANDTIP_RIGHT (x);HANDTIP_RIGHT (y);THUMB_RIGHT (c);THUMB_RIGHT (x);THUMB_RIGHT (y);HIP_LEFT (c);HIP_LEFT (x);HIP_LEFT (y);KNEE_LEFT (c);KNEE_LEFT (x);KNEE_LEFT (y);ANKLE_LEFT (c);ANKLE_LEFT (x);ANKLE_LEFT (y);FOOT_LEFT (c);FOOT_LEFT (x);FOOT_LEFT (y);HIP_RIGHT (c);HIP_RIGHT (x);HIP_RIGHT (y);KNEE_RIGHT (c);KNEE_RIGHT (x);KNEE_RIGHT (y);ANKLE_RIGHT (c);ANKLE_RIGHT (x);ANKLE_RIGHT (y);FOOT_RIGHT (c);FOOT_RIGHT (x);FOOT_RIGHT (y);HEAD (c);HEAD (x);HEAD (y);NOSE (c);NOSE (x);NOSE (y);EYE_LEFT (c);EYE_LEFT (x);EYE_LEFT (y);EAR_LEFT (c);EAR_LEFT (x);EAR_LEFT (y);EYE_RIGHT (c);EYE_RIGHT (x);EYE_RIGHT (y);EAR_RIGHT (c);EAR_RIGHT (x);EAR_RIGHT (y)
333511;1;2;921.076111;734.616760;2;908.325439;683.599976;2;894.690063;648.808960;2;873.295410;597.255493;2;889.137634;604.432373;2;938.425720;624.141479;2;971.167603;725.548096;2;910.580750;783.863525;2;873.946167;798.254272;2;831.897034;818.109009;2;876.072266;812.563049;2;865.068481;607.364990;2;826.868103;635.205078;2;807.387390;734.989563;2;814.262329;825.333435;0;809.961914;867.524414;0;809.047241;911.976501;0;830.852417;861.425537;2;950.462036;733.496216;2;1003.791016;842.799072;2;993.311584;906.576782;2;1009.090271;974.627563;2;895.022766;735.643066;2;855.081482;872.901245;1;902.163940;910.254761;1;883.012390;970.543274;2;864.036194;580.259155;2;830.807983;569.601440;2;843.381714;552.228577;2;884.877563;548.772705;2;824.792603;558.729370;2;829.399536;563.584534
366888;1;2;921.078979;734.700073;2;908.292725;683.674316;2;894.627747;648.887817;2;873.117310;597.347656;2;888.978577;604.500122;2;938.303650;624.142883;2;971.161865;725.536865;2;910.611267;783.931641;2;873.971985;798.399048;2;831.927368;818.301514;2;875.764099;812.691895;2;864.910889;607.476501;2;826.797363;635.461670;2;807.684998;735.426270;2;814.909424;825.782471;0;810.999390;868.029968;0;810.772339;912.391113;0;831.586426;862.835938;2;950.470154;733.560059;2;1003.917664;842.668091;2;993.555908;906.770447;2;1009.400757;974.669189;2;895.020935;735.743530;2;854.304565;872.817444;1;901.622620;910.559570;1;882.158447;970.786316;2;863.816223;580.357727;2;830.341919;569.670898;2;842.969482;552.303711;2;884.613525;548.873169;2;824.412354;558.795715;2;829.246338;563.659363
400222;1;2;918.717957;733.926636;2;909.500610;680.698853;2;898.032959;653.968018;2;875.153625;599.044678;2;892.542297;606.231140;2;948.294495;618.933167;2;991.567139;728.134583;2;912.896118;787.197510;2;871.165100;802.298828;2;828.669556;831.849731;2;855.032288;799.207764;2;865.904846;610.357483;2;822.585327;640.727295;2;803.786011;755.530762;2;813.679077;857.494751;0;813.284790;905.250977;0;824.250183;954.212280;0;833.851746;910.680603;2;951.018372;733.449524;2;1000.096130;813.166565;2;989.839417;902.778992;2;1008.582886;975.554688;2;889.923584;734.391907;2;814.530823;834.351807;1;869.419006;885.067383;1;848.901184;952.812195;2;865.451538;580.906921;2;829.690552;568.739929;2;843.094421;549.369751;2;888.188965;545.371765;2;822.393799;557.145813;2;826.526367;563.491638
433555;1;2;918.336975;734.812012;2;909.129517;681.434326;2;897.653015;654.729797;2;874.904724;599.740662;2;892.321777;606.948303;2;948.237549;619.799988;2;992.100220;728.939331;2;913.515747;789.484009;2;872.048950;806.408997;2;830.563843;838.107056;2;854.140747;805.637939;2;865.582520;611.057190;2;822.196106;641.609253;2;803.562622;756.836182;2;813.338928;859.233215;0;813.749634;907.041504;0;826.660950;955.434937;0;833.209412;912.527161;2;950.725464;734.335144;2;1000.003723;811.681396;2;990.096741;903.976807;2;1009.452698;975.857849;2;889.462769;735.277344;2;810.348267;829.096375;1;865.032593;883.856384;1;841.320923;950.843872;2;865.256958;581.587219;2;829.254028;569.402954;2;843.279358;550.148315;2;888.882507;546.776062;2;822.382629;557.289734;2;826.788391;562.904602
466866;1;2;918.316833;734.856384;2;909.106140;681.483398;2;897.622498;654.798889;2;874.841309;599.844788;2;892.265564;607.047180;2;948.177795;619.979248;2;991.838379;729.251038;2;913.243958;789.800781;2;871.881348;806.951965;2;830.584900;838.932495;2;854.074707;806.326843;2;865.524048;611.154541;2;822.154053;641.724243;2;803.628784;756.962219;2;813.508911;859.350342;0;814.103760;907.140259;0;827.082397;955.517334;0;833.458923;912.769531;2;950.708313;734.382751;2;999.970398;811.840454;2;990.053711;904.006836;2;1009.379639;975.916260;2;889.440186;735.318848;2;810.227417;828.924927;1;864.856201;883.935608;1;841.030212;950.901001;2;865.178101;581.708008;2;829.184448;569.554321;2;843.210083;550.289001;2;888.813965;546.897461;2;822.305237;557.428284;2;826.695801;563.015198
500222;1;2;918.316772;734.857849;2;909.106140;681.485229;2;897.622498;654.801575;2;874.841003;599.848999;2;892.265320;607.051086;2;948.177673;619.984131;2;991.837097;729.257507;2;913.245056;789.810181;2;871.884644;806.966309;2;830.592163;838.953125;2;854.080994;806.346741;2;865.523804;611.158447;2;822.154236;641.728760;2;803.631470;756.967163;2;813.514893;859.354980;0;814.115295;907.144653;0;827.095520;955.521484;0;833.472534;912.777100;2;950.708313;734.384277;2;999.970825;811.843994;2;990.053833;904.006836;2;1009.380188;975.915894;2;889.440125;735.320312;2;810.225769;828.921997;1;864.853210;883.937622;1;841.025146;950.902344;2;865.177734;581.712830;2;829.184937;569.561768;2;843.209961;550.295776;2;888.813232;546.902222;2;822.304993;557.435242;2;826.694458;563.020447
533555;1;2;918.316772;734.858093;2;909.106079;681.485657;2;897.622498;654.802185;2;874.840820;599.850098;2;892.265137;607.052124;2;948.177368;619.985474;2;991.836182;729.259155;2;913.244080;789.812012;2;871.883606;806.968750;2;830.591064;838.955688;2;854.079590;806.349792;2;865.523682;611.159485;2;822.154297;641.729736;2;803.632141;756.967896;2;813.515991;859.355408;0;814.117310;907.144653;0;827.097412;955.521606;0;833.475525;912.777710;2;950.708191;734.384521;2;999.970703;811.844604;2;990.053711;904.006470;2;1009.379944;975.915527;2;889.440125;735.320496;2;810.225159;828.921143;1;864.852600;883.937744;1;841.024109;950.902283;2;865.177490;581.714172;2;829.184937;569.564087;2;843.209839;550.297852;2;888.812866;546.903625;2;822.304810;557.437317;2;826.694092;563.021851
566888;1;2;918.316772;734.858093;2;909.106079;681.485657;2;897.622498;654.802185;2;874.840820;599.850098;2;892.265137;607.052124;2;948.177368;619.985474;2;991.836182;729.259155;2;913.244080;789.812012;2;871.883606;806.968750;2;830.591064;838.955688;2;854.079590;806.349792;2;865.523682;611.159485;2;822.154297;641.729736;2;803.632141;756.967896;2;813.515991;859.355408;0;814.117310;907.144653;0;827.097412;955.521606;0;833.475525;912.777710;2;950.708191;734.384521;2;999.970703;811.844604;2;990.053711;904.006470;2;1009.379944;975.915527;2;889.440125;735.320496;2;810.225159;828.921143;1;864.852600;883.937744;1;841.024109;950.902283;2;865.177490;581.714172;2;829.184937;569.564087;2;843.209839;550.297852;2;888.812866;546.903625;2;822.304810;557.437317;2;826.694092;563.021851
600200;1;2;912.041992;739.907288;2;906.609558;686.762451;2;896.421814;659.649414;2;877.861389;602.606628;2;895.000427;611.286255;2;951.647034;626.125183;2;990.220825;740.475952;2;902.839539;794.605347;2;864.449402;820.191162;2;828.645142;860.869873;2;843.614563;819.301147;2;867.425171;613.182434;2;818.239075;638.048035;2;794.574463;754.761414;2;817.070312;856.185059;0;823.837952;904.956177;0;829.437378;954.893555;0;836.068787;906.421509;2;944.740601;742.874146;2;1001.068298;808.539917;2;989.521118;905.394897;2;1009.359680;975.170593;2;882.967407;737.312378;2;799.385193;818.211609;1;854.017761;873.335205;1;823.177856;938.694214;2;869.548889;583.682129;2;829.927673;571.522461;2;844.713013;551.740234;2;892.915771;548.061279;2;823.808167;559.051819;2;830.935730;564.546814
633555;1;2;912.050049;741.807678;2;906.623413;688.619446;2;896.240723;661.380432;2;877.790039;603.502380;2;894.921997;612.288208;2;951.967590;626.085388;2;990.073914;740.659424;2;903.629395;795.488281;2;864.667236;820.975708;2;827.887329;863.290161;2;843.541626;819.551514;2;867.316772;614.255493;2;817.879761;638.811584;2;794.859619;755.808228;2;815.247620;857.987183;0;823.347656;906.378906;0;830.958008;957.121460;0;829.300171;911.314575;2;944.728516;745.009338;2;1001.446289;808.093750;2;989.788513;904.602539;2;1009.155823;976.145020;2;883.011292;739.005920;2;797.946533;818.729126;1;853.254517;871.783936;1;821.931641;937.000244;2;869.534119;584.217834;2;831.370667;572.669189;2;846.347900;552.925598;2;893.977661;549.451599;2;825.069397;559.629211;2;830.940125;564.003540
