timestamp;body_idx;PELVIS (c);PELVIS (x);PELVIS (y);PELVIS (z);SPINE_NAVEL (c);SPINE_NAVEL (x);SPINE_NAVEL (y);SPINE_NAVEL (z);SPINE_CHEST (c);SPINE_CHEST (x);SPINE_CHEST (y);SPINE_CHEST (z);NECK (c);NECK (x);NECK (y);NECK (z);CLAVICLE_LEFT (c);CLAVICLE_LEFT (x);CLAVICLE_LEFT (y);CLAVICLE_LEFT (z);SHOULDER_LEFT (c);SHOULDER_LEFT (x);SHOULDER_LEFT (y);SHOULDER_LEFT (z);ELBOW_LEFT (c);ELBOW_LEFT (x);ELBOW_LEFT (y);ELBOW_LEFT (z);WRIST_LEFT (c);WRIST_LEFT (x);WRIST_LEFT (y);WRIST_LEFT (z);HAND_LEFT (c);HAND_LEFT (x);HAND_LEFT (y);HAND_LEFT (z);HANDTIP_LEFT (c);HANDTIP_LEFT (x);HANDTIP_LEFT (y);HANDTIP_LEFT (z);THUMB_LEFT (c);THUMB_LEFT (x);THUMB_LEFT (y);THUMB_LEFT (z);CLAVICLE_RIGHT (c);CLAVICLE_RIGHT (x);CLAVICLE_RIGHT (y);CLAVICLE_RIGHT (z);SHOULDER_RIGHT (c);SHOULDER_RIGHT (x);SHOULDER_RIGHT (y);SHOULDER_RIGHT (z);ELBOW_RIGHT (c);ELBOW_RIGHT (x);ELBOW_RIGHT (y);ELBOW_RIGHT (z);WRIST_RIGHT (c);WRIST_RIGHT (x);WRIST_RIGHT (y);WRIST_RIGHT (z);HAND_RIGHT (c);HAND_RIGHT (x);HAND_RIGHT (y);HAND_RIGHT (z);HANDTIP_RIGHT (c);HANDTIP_RIGHT (x);HANDTIP_RIGHT (y);HANDTIP_RIGHT (z);THUMB_RIGHT (c);THUMB_RIGHT (x);THUMB_RIGHT (y);THUMB_RIGHT (z);HIP_LEFT (c);HIP_LEFT (x);HIP_LEFT (y);HIP_LEFT (z);KNEE_LEFT (c);KNEE_LEFT (x);KNEE_LEFT (y);KNEE_LEFT (z);ANKLE_LEFT (c);ANKLE_LEFT (x);ANKLE_LEFT (y);ANKLE_LEFT (z);FOOT_LEFT (c);FOOT_LEFT (x);FOOT_LEFT (y);FOOT_LEFT (z);HIP_RIGHT (c);HIP_RIGHT (x);HIP_RIGHT (y);HIP_RIGHT (z);KNEE_RIGHT (c);KNEE_RIGHT (x);KNEE_RIGHT (y);KNEE_RIGHT (z);ANKLE_RIGHT (c);ANKLE_RIGHT (x);ANKLE_RIGHT (y);ANKLE_RIGHT (z);FOOT_RIGHT (c);FOOT_RIGHT (x);FOOT_RIGHT (y);FOOT_RIGHT (z);HEAD (c);HEAD (x);HEAD (y);HEAD (z);NOSE (c);NOSE (x);NOSE (y);NOSE (z);EYE_LEFT (c);EYE_LEFT (x);EYE_LEFT (y);EYE_LEFT (z);EAR_LEFT (c);EAR_LEFT (x);EAR_LEFT (y);EAR_LEFT (z);EYE_RIGHT (c);EYE_RIGHT (x);EYE_RIGHT (y);EYE_RIGHT (z);EAR_RIGHT (c);EAR_RIGHT (x);EAR_RIGHT (y);EAR_RIGHT (z)
401188;1;2;-93.772171;120.892754;2378.167480;2;-34.852676;1.425534;2310.842529;2;28.732769;-58.825104;2229.822754;2;135.369614;-112.587769;2092.975098;2;137.814590;-111.335854;2133.888672;2;217.311539;-76.481102;2216.156250;2;255.394424;127.930077;2317.215576;2;219.689362;315.660400;2283.558350;0;196.548203;390.077820;2263.158447;0;173.401306;432.023987;2186.500244;0;185.735840;322.630707;2184.209473;2;97.095001;-97.719284;2097.471436;2;31.214960;-17.570667;2060.856689;2;26.869202;217.682190;2072.076416;2;81.055969;406.343445;2081.035645;0;113.955780;485.865723;2091.870605;0;166.210358;556.493713;2105.150146;0;105.581184;502.789154;2072.821045;2;-32.012039;126.305161;2422.612549;2;263.308929;257.873779;2335.173828;1;67.312477;447.887299;2502.298096;1;172.642578;563.805115;2507.955566;2;-149.464005;116.012146;2338.089111;2;-87.640686;421.106506;2215.515625;2;-186.238754;661.686218;2407.913330;2;-166.596802;719.745056;2277.390869;2;179.140305;-122.168571;2041.375366;2;236.364136;-39.581478;1952.063110;2;258.923309;-79.446831;1961.784912;2;263.722137;-144.904312;2045.093506;2;223.273880;-77.787910;1936.495239;2;151.236115;-155.524170;1964.465210
434522;1;2;-94.674644;122.010414;2480.895996;2;-33.269615;5.429529;2379.090820;2;30.784428;-41.513321;2272.255615;2;131.731216;-109.003571;2110.039795;2;140.393372;-103.519691;2154.623535;2;242.916504;-82.630432;2237.412109;1;280.405090;146.994705;2348.717041;1;242.663727;355.701752;2305.386230;0;204.122070;403.687012;2239.894775;0;148.416641;441.645996;2164.882812;0;185.646500;323.045990;2186.186768;2;89.191261;-94.024185;2119.505371;2;2.754420;-24.802551;2066.564209;2;1.792741;237.888916;2073.974365;2;82.464172;441.548950;2082.291992;0;116.356293;527.741638;2110.331299;0;180.992523;602.337341;2119.507568;0;113.877831;559.297424;2081.504150;2;-21.614044;122.383339;2524.536377;2;287.926392;284.275482;2391.925049;2;100.600914;493.484802;2612.499268;1;224.697266;616.304626;2603.140869;2;-160.556610;121.674133;2441.543457;2;-92.375420;373.594116;2174.715332;2;-164.851196;645.356628;2400.771973;2;-162.163666;724.596558;2260.796875;2;173.043243;-122.399376;2047.377808;2;249.091278;-54.398006;1937.444946;2;268.434326;-99.466476;1955.437866;2;263.492706;-158.004684;2058.143555;2;229.577179;-97.063530;1926.016968;2;138.716675;-167.922562;1966.970093
467844;1;2;-95.842194;136.679718;2529.959961;2;-35.680267;8.173421;2420.553711;2;30.049610;-38.974972;2302.340332;2;136.034668;-111.577484;2126.166504;2;147.055328;-102.514481;2173.279297;2;249.403473;-61.621288;2265.280518;2;252.454697;211.489151;2314.523926;2;206.980820;430.960724;2251.098633;0;230.716324;521.687744;2227.487061;0;251.862503;625.044495;2202.058105;0;179.720200;532.625061;2154.923096;2;89.617996;-98.638771;2137.869873;2;-9.212203;-35.843163;2076.767822;2;-12.502804;246.864594;2082.334473;2;92.756615;457.921631;2086.353760;0;133.018188;548.069885;2119.439209;0;195.766571;631.542480;2141.184326;0;164.540588;565.165527;2096.490723;2;-15.917197;136.047882;2574.652344;2;315.363464;294.100433;2410.571045;1;104.207802;479.510925;2672.637451;1;221.700348;625.146118;2653.029053;2;-167.914062;137.249481;2489.658691;2;-92.684769;352.647736;2159.133789;2;-167.030304;640.447876;2408.951416;2;-168.803375;722.154663;2256.355469;2;178.344727;-125.847336;2057.344238;2;249.918274;-65.965698;1925.681519;2;270.187408;-114.233444;1946.157959;2;274.172180;-169.193985;2060.932373;2;225.231049;-111.223984;1919.194336;2;129.202927;-178.187088;1979.269897
501188;1;2;-88.391418;147.019608;2534.400635;2;-30.950829;17.259583;2424.727783;2;33.721401;-33.020195;2307.054443;2;128.812912;-118.168053;2130.021484;2;141.686172;-109.267403;2176.743164;2;253.486160;-88.801353;2264.683350;2;268.810638;178.948547;2337.125977;2;190.495285;361.121887;2214.475342;0;182.496643;440.178528;2159.189941;0;174.261551;531.917419;2101.610352;0;149.839798;448.460754;2109.980225;2;83.979668;-100.870247;2142.447754;2;-8.699462;-27.623564;2083.089111;2;2.185357;255.222412;2082.742432;2;112.884102;463.651306;2089.938477;0;158.559280;551.755737;2121.793213;0;217.006927;634.748291;2154.899902;0;197.029312;560.154663;2107.404053;2;-8.593880;144.290848;2579.422607;1;213.153564;384.208954;2344.410400;1;29.168203;524.243469;2651.767578;1;119.882599;687.829773;2629.912842;2;-160.348358;149.480255;2493.802246;2;-104.193420;346.686188;2148.011475;2;-160.858658;636.065308;2401.203125;2;-171.891098;729.826599;2255.910645;2;168.129730;-137.466721;2060.558838;2;236.393524;-81.242073;1925.381348;2;258.592987;-127.791496;1947.883545;2;265.581085;-177.194763;2065.150635;2;213.276505;-127.649933;1921.258545;2;120.172623;-195.174133;1985.447510
534511;1;2;-90.516205;147.936737;2523.646484;2;-30.062616;18.524408;2413.317139;2;41.286243;-29.867985;2297.615967;2;132.812271;-123.015938;2121.020020;2;146.137405;-113.979301;2167.919434;2;262.462189;-96.478401;2252.042725;2;273.630432;170.403152;2334.534180;2;191.601364;358.145782;2220.167969;0;172.816849;432.657593;2160.294189;0;159.823380;515.466370;2090.127686;0;167.192902;454.885529;2130.829102;2;88.604340;-103.182892;2133.157471;2;-3.024772;-27.217768;2073.711182;2;5.141249;257.381348;2082.495361;2;111.519852;469.643646;2091.805176;0;175.229156;546.854248;2123.131348;0;235.778625;622.630493;2169.356934;0;206.891739;553.751343;2094.499268;2;-13.565406;140.929230;2574.030518;2;306.762878;338.618347;2424.583740;2;83.594810;522.488953;2681.876709;1;202.925919;669.678223;2685.642334;2;-159.906113;154.255707;2478.213379;2;-117.298317;345.652863;2124.343018;2;-161.654572;631.135559;2387.995361;2;-170.922531;736.784363;2249.584717;2;171.449768;-145.484314;2051.510986;2;234.706528;-104.560051;1907.462036;2;257.339966;-149.267014;1933.831421;2;269.004456;-186.727249;2055.932129;2;210.564789;-150.967926;1909.196777;2;118.895378;-210.041412;1984.535889
567855;1;2;-80.004707;146.351379;2523.020264;2;-24.447210;15.101806;2412.271484;2;45.605942;-32.756519;2295.550781;2;133.616684;-124.939781;2116.661621;2;147.841476;-116.225395;2163.360352;2;267.528168;-103.190163;2243.497314;2;279.057922;158.592224;2340.970459;2;188.715485;333.593842;2213.399170;0;178.069992;396.660553;2139.914307;0;168.807678;495.723114;2094.619629;0;179.949341;470.464264;2182.418213;2;89.680077;-105.106583;2129.757568;2;-1.783714;-27.103424;2072.728516;2;4.266356;257.560211;2081.643799;2;109.361191;470.629700;2086.235596;0;176.440247;543.761475;2120.221191;0;239.892456;619.049072;2163.255371;0;212.994431;556.307800;2088.992920;2;-3.174067;136.585129;2573.136719;2;303.269379;355.247498;2423.728760;1;86.167114;489.557861;2714.685547;1;190.547455;646.463135;2734.889404;2;-149.286270;155.158051;2477.828125;2;-125.763268;342.927155;2120.224854;2;-160.928421;626.125793;2387.730713;2;-172.854431;737.808777;2254.339844;2;170.896637;-147.032532;2046.290649;2;231.086929;-129.908295;1896.247070;2;251.747757;-172.241898;1927.674438;2;265.644714;-194.069290;2053.293457;2;204.042068;-173.883591;1904.882935;2;111.676216;-215.989471;1990.126953
601177;1;2;-75.314026;145.083817;2517.915039;2;-20.654037;14.241070;2408.445557;2;48.858986;-35.043400;2293.340820;2;134.155319;-133.766922;2118.693848;2;148.441849;-124.084213;2164.785156;2;268.943939;-112.110428;2241.855225;2;288.667053;149.074249;2333.443115;2;191.080368;300.273621;2185.613037;0;160.029938;368.277344;2124.292725;0;141.358826;428.955963;2036.306641;0;155.389648;423.590302;2212.084961;2;91.013809;-112.690460;2131.045410;2;2.492733;-33.506618;2073.325684;2;-0.821989;249.132767;2079.622314;2;87.796631;467.600769;2085.826904;0;150.972961;543.090942;2119.713135;0;223.579086;621.061462;2124.466309;0;175.030380;557.523132;2079.122559;2;0.531286;134.742096;2568.146973;2;300.735840;363.605804;2429.985840;1;80.560432;489.116638;2718.702393;1;182.480606;645.298584;2743.296143;2;-143.707062;154.409393;2472.618896;2;-124.595039;344.836243;2119.611084;2;-161.351013;624.657104;2386.178467;2;-171.563904;734.266846;2252.630859;2;170.676743;-158.610657;2049.579834;2;225.969040;-143.615295;1898.742798;2;244.857208;-187.229904;1928.738281;2;261.724426;-211.258331;2052.600098;2;196.717270;-185.568420;1907.859619;2;105.671349;-222.485153;1995.357300
634522;1;2;-50.376236;155.883301;2507.961426;2;-3.487114;22.287010;2404.673340;2;57.157536;-32.672749;2290.953125;2;129.805908;-133.353027;2117.542480;2;145.860016;-124.388542;2162.043213;2;269.167969;-116.716042;2228.801514;2;298.334839;120.733826;2357.098389;2;196.236633;300.864563;2262.012695;0;144.523346;343.000000;2194.943604;0;104.734970;376.017273;2102.239746;0;110.070358;350.632751;2171.370117;2;89.037468;-110.838348;2131.092041;2;5.982093;-27.547636;2077.665771;2;2.565249;249.007141;2081.375000;2;94.137985;460.774628;2079.384766;0;135.177704;548.600098;2110.625488;0;200.951019;629.509949;2106.964355;0;144.584717;579.812073;2080.493164;2;26.810669;148.326538;2552.775879;2;347.007202;293.520264;2376.554932;1;131.967850;438.683441;2648.482422;1;229.290161;592.392334;2676.230957;2;-119.979065;162.697571;2467.550537;2;-125.723526;347.024658;2120.680908;2;-159.128662;620.887512;2381.697510;2;-168.242355;736.244141;2258.089600;2;161.876343;-159.414047;2048.755859;2;223.141708;-151.689529;1903.482056;2;240.421890;-192.657974;1935.828003;2;251.034027;-209.889359;2058.707275;2;194.389481;-192.493027;1913.047852;2;101.413101;-225.072433;1995.872192
667844;1;2;-43.980568;152.289093;2496.290283;2;2.693903;18.846304;2397.696289;2;63.728535;-33.221844;2285.671143;2;135.007385;-130.618225;2114.134033;2;150.744553;-122.408356;2158.034180;2;270.764252;-118.658859;2226.253906;2;299.333954;118.270851;2345.924805;2;196.167053;298.470062;2261.708740;0;148.588348;337.217468;2191.787598;0;104.255501;358.149780;2099.626709;0;102.812248;339.091064;2175.276855;2;95.008598;-108.409058;2127.630127;2;9.808421;-28.454819;2077.730225;2;1.892688;243.439560;2080.203857;2;77.465256;457.382141;2078.195801;0;86.454643;552.559021;2108.085938;0;75.685562;653.478088;2123.178467;0;98.962143;570.816650;2080.371094;2;31.964115;146.184814;2540.504395;2;346.687744;295.435120;2372.412354;1;136.410919;439.350739;2640.165283;1;229.363876;590.991272;2673.641846;2;-112.463234;157.793579;2456.420410;2;-133.936981;344.041718;2118.618408;2;-159.600906;617.512817;2371.727295;2;-166.555771;739.466980;2258.561768;2;166.557327;-155.625626;2046.258911;2;215.104019;-162.790390;1898.979858;2;234.790314;-199.697418;1933.248047;2;254.978058;-204.312317;2053.957031;2;187.867035;-201.658096;1914.655640;2;103.420731;-224.944092;2006.025269
701188;1;2;-45.138355;153.917694;2495.520508;2;3.944267;19.551559;2398.805664;2;67.116501;-32.333286;2287.566895;2;137.626953;-129.854324;2115.305664;2;153.489822;-121.913788;2159.305176;2;274.093445;-119.651505;2227.081299;2;304.791412;119.754677;2342.326416;2;197.142487;296.481903;2255.296631;0;156.607300;336.145142;2181.336670;0;115.417213;357.364594;2087.576416;0;103.581169;338.390015;2169.016357;2;97.741501;-107.334770;2128.937500;2;13.089917;-25.885374;2079.925781;2;4.611141;246.476776;2084.233154;2;78.725159;461.384125;2085.147461;0;87.242439;560.020874;2101.535400;0;77.995415;662.187439;2094.886475;0;101.376251;573.650696;2080.268066;2;30.472000;148.969131;2540.767578;2;347.647430;296.131592;2373.785889;1;131.768112;439.246399;2638.444092;1;224.607407;591.147400;2672.867920;2;-113.319550;158.380051;2454.719238;2;-133.340103;344.515808;2115.942871;2;-161.116592;614.471436;2373.590820;2;-171.892487;736.749329;2260.616699;2;168.986816;-154.912979;2047.190430;2;213.236923;-171.916763;1899.062134;2;233.095871;-207.273788;1934.984375;2;256.642548;-205.265839;2055.387939;2;185.542389;-209.200150;1917.785645;2;103.074432;-225.070892;2012.805664
