timestamp;body_idx;PELVIS (w);PELVIS (x);PELVIS (y);PELVIS (z);SPINE_NAVEL (w);SPINE_NAVEL (x);SPINE_NAVEL (y);SPINE_NAVEL (z);SPINE_CHEST (w);SPINE_CHEST (x);SPINE_CHEST (y);SPINE_CHEST (z);NECK (w);NECK (x);NECK (y);NECK (z);CLAVICLE_LEFT (w);CLAVICLE_LEFT (x);CLAVICLE_LEFT (y);CLAVICLE_LEFT (z);SHOULDER_LEFT (w);SHOULDER_LEFT (x);SHOULDER_LEFT (y);SHOULDER_LEFT (z);ELBOW_LEFT (w);ELBOW_LEFT (x);ELBOW_LEFT (y);ELBOW_LEFT (z);WRIST_LEFT (w);WRIST_LEFT (x);WRIST_LEFT (y);WRIST_LEFT (z);HAND_LEFT (w);HAND_LEFT (x);HAND_LEFT (y);HAND_LEFT (z);HANDTIP_LEFT (w);HANDTIP_LEFT (x);HANDTIP_LEFT (y);HANDTIP_LEFT (z);THUMB_LEFT (w);THUMB_LEFT (x);THUMB_LEFT (y);THUMB_LEFT (z);CLAVICLE_RIGHT (w);CLAVICLE_RIGHT (x);CLAVICLE_RIGHT (y);CLAVICLE_RIGHT (z);SHOULDER_RIGHT (w);SHOULDER_RIGHT (x);SHOULDER_RIGHT (y);SHOULDER_RIGHT (z);ELBOW_RIGHT (w);ELBOW_RIGHT (x);ELBOW_RIGHT (y);ELBOW_RIGHT (z);WRIST_RIGHT (w);WRIST_RIGHT (x);WRIST_RIGHT (y);WRIST_RIGHT (z);HAND_RIGHT (w);HAND_RIGHT (x);HAND_RIGHT (y);HAND_RIGHT (z);HANDTIP_RIGHT (w);HANDTIP_RIGHT (x);HANDTIP_RIGHT (y);HANDTIP_RIGHT (z);THUMB_RIGHT (w);THUMB_RIGHT (x);THUMB_RIGHT (y);THUMB_RIGHT (z);HIP_LEFT (w);HIP_LEFT (x);HIP_LEFT (y);HIP_LEFT (z);KNEE_LEFT (w);KNEE_LEFT (x);KNEE_LEFT (y);KNEE_LEFT (z);ANKLE_LEFT (w);ANKLE_LEFT (x);ANKLE_LEFT (y);ANKLE_LEFT (z);FOOT_LEFT (w);FOOT_LEFT (x);FOOT_LEFT (y);FOOT_LEFT (z);HIP_RIGHT (w);HIP_RIGHT (x);HIP_RIGHT (y);HIP_RIGHT (z);KNEE_RIGHT (w);KNEE_RIGHT (x);KNEE_RIGHT (y);KNEE_RIGHT (z);ANKLE_RIGHT (w);ANKLE_RIGHT (x);ANKLE_RIGHT (y);ANKLE_RIGHT (z);FOOT_RIGHT (w);FOOT_RIGHT (x);FOOT_RIGHT (y);FOOT_RIGHT (z);HEAD (w);HEAD (x);HEAD (y);HEAD (z);NOSE (w);NOSE (x);NOSE (y);NOSE (z);EYE_LEFT (w);EYE_LEFT (x);EYE_LEFT (y);EYE_LEFT (z);EAR_LEFT (w);EAR_LEFT (x);EAR_LEFT (y);EAR_LEFT (z);EYE_RIGHT (w);EYE_RIGHT (x);EYE_RIGHT (y);EYE_RIGHT (z);EAR_RIGHT (w);EAR_RIGHT (x);EAR_RIGHT (y);EAR_RIGHT (z)
401177;1;0.830670;-0.079977;0.314069;-0.452715;0.838306;-0.074583;0.315394;-0.438414;0.826913;-0.031825;0.399003;-0.394967;0.855923;0.000275;0.400270;-0.327382;0.857211;-0.373304;-0.354672;-0.006345;0.702674;-0.335838;-0.457803;0.428811;0.526350;-0.465786;-0.324676;0.632918;-0.156183;0.517481;0.826720;0.156061;-0.181014;0.653776;0.723760;0.126419;-0.181014;0.653776;0.723760;0.126419;0.618720;-0.328014;-0.699338;0.143243;0.169857;0.869870;-0.443036;0.134886;-0.032290;0.752229;-0.656463;-0.046533;0.020213;-0.573217;0.817444;0.052910;0.540140;0.310222;-0.330811;-0.708925;0.633371;0.261266;-0.370693;-0.627031;0.633371;0.261266;-0.370693;-0.627031;0.343068;0.630379;-0.627891;-0.301132;0.716946;0.045261;0.318069;-0.618685;0.893193;0.158064;0.279638;-0.314682;0.884703;0.143531;0.287016;-0.338114;0.866475;0.306307;0.097568;0.381940;0.626713;0.399484;0.111608;0.659687;0.284613;0.408891;-0.069966;0.864238;0.278925;0.395749;-0.101673;0.869049;-0.416039;0.214120;-0.348408;0.812204;0.675224;-0.303786;0.385648;-0.550510;0.675224;-0.303786;0.385648;-0.550510;0.866725;0.057885;0.487504;0.088186;0.550510;0.385648;0.303786;0.675224;0.866725;0.057885;0.487504;0.088186;0.675224;-0.303786;0.385648;-0.550510
434522;1;0.768664;-0.226815;0.543836;-0.248904;0.781408;-0.195973;0.555695;-0.205425;0.799318;-0.092730;0.514480;-0.296313;0.820506;-0.051174;0.520260;-0.231259;0.913822;-0.266455;-0.305935;-0.018316;0.718972;-0.300082;-0.401368;0.481596;0.397411;-0.456491;-0.206788;0.768713;0.536873;-0.512870;-0.651018;0.157819;0.556165;-0.391520;-0.730460;0.061806;0.556165;-0.391520;-0.730460;0.061806;0.828904;0.123980;-0.424927;0.342029;0.174892;0.888407;-0.405771;0.124483;0.050674;0.713619;-0.693913;-0.081638;-0.064083;-0.582248;0.807313;0.071596;-0.429093;-0.458032;0.412081;0.660512;0.538347;0.378607;-0.486066;-0.574960;0.538347;0.378607;-0.486066;-0.574960;-0.227371;-0.659539;0.693289;0.180724;0.667209;-0.284388;0.472606;-0.500599;0.799337;-0.103101;0.541829;-0.238437;0.772745;-0.181582;0.545942;-0.268032;0.739996;0.257987;0.511111;0.353007;0.279291;0.588890;0.318254;0.688418;0.296813;0.580654;0.333152;0.680994;0.379629;0.535369;0.361061;0.662493;-0.197753;0.638675;-0.119484;0.733969;0.688565;-0.321381;0.328401;-0.561021;0.688565;-0.321381;0.328401;-0.561021;0.883591;0.004964;0.459466;0.090187;0.561021;0.328401;0.321381;0.688565;0.883591;0.004964;0.459466;0.090187;0.688565;-0.321381;0.328401;-0.561021
467844;1;0.776397;-0.222234;0.541629;-0.233364;0.790568;-0.184581;0.555590;-0.179590;0.797602;-0.084791;0.521338;-0.291288;0.818392;-0.042710;0.526458;-0.226388;0.928695;-0.255559;-0.268472;-0.011774;0.764630;-0.155332;-0.376341;0.499580;0.541985;-0.276995;-0.298386;0.735182;0.677127;-0.264942;-0.568770;0.384456;0.599549;-0.360232;-0.513738;0.496838;0.599549;-0.360232;-0.513738;0.496838;0.591320;0.485308;-0.298712;0.570603;0.164797;0.888956;-0.404068;0.139023;0.056300;0.711838;-0.695160;-0.082883;-0.069695;-0.581904;0.807062;0.071985;-0.472971;-0.370117;0.273633;0.751290;0.609927;0.309899;-0.340330;-0.645079;0.609927;0.309899;-0.340330;-0.645079;0.295849;0.641660;-0.619279;-0.342402;0.606136;-0.268134;0.461480;-0.589695;0.805578;-0.034134;0.532612;-0.257301;0.778124;-0.133789;0.549328;-0.273611;0.747565;0.294278;0.479786;0.352636;0.326005;0.576735;0.276477;0.696174;0.296880;0.587787;0.252269;0.709034;0.322819;0.579903;0.364809;0.653004;-0.231574;0.672657;-0.147989;0.687027;0.677232;-0.319520;0.341576;-0.567969;0.677232;-0.319520;0.341576;-0.567969;0.880490;0.015596;0.467466;0.077261;0.567969;0.341576;0.319520;0.677232;0.880490;0.015596;0.467466;0.077261;0.677232;-0.319520;0.341576;-0.567969
501188;1;0.772730;-0.225356;0.544486;-0.235877;0.786917;-0.188006;0.558484;-0.183062;0.795076;-0.076422;0.521115;-0.300755;0.816634;-0.034386;0.525565;-0.236027;0.932066;-0.251976;-0.257763;-0.036313;0.752330;-0.173762;-0.401805;0.492300;0.588391;-0.277334;-0.338712;0.679820;0.684955;-0.074116;-0.662590;0.293799;0.623478;-0.188131;-0.639629;0.408358;0.623478;-0.188131;-0.639629;0.408358;0.662643;0.161236;-0.242612;0.689961;0.163738;0.883804;-0.412766;0.147326;-0.044042;-0.704619;0.704789;0.069609;-0.054137;-0.588958;0.803955;0.062082;-0.476240;-0.375537;0.274874;0.746064;0.595874;0.323477;-0.334584;-0.654484;0.595874;0.323477;-0.334584;-0.654484;0.308979;0.643188;-0.618925;-0.328288;0.592820;-0.309889;0.455310;-0.587560;0.796131;-0.066949;0.546664;-0.250703;0.774503;-0.138626;0.556768;-0.266340;0.739921;0.296105;0.488517;0.355232;0.306845;0.572907;0.298520;0.698935;0.278983;0.584352;0.275571;0.710466;0.313359;0.570822;0.357282;0.669565;-0.249946;0.660938;-0.146830;0.692192;0.687169;-0.318191;0.328948;-0.564222;0.687169;-0.318191;0.328948;-0.564222;0.884867;0.007606;0.457597;0.086937;0.564222;0.328948;0.318191;0.687169;0.884867;0.007606;0.457597;0.086937;0.687169;-0.318191;0.328948;-0.564222
534511;1;0.778366;-0.214623;0.535954;-0.246653;0.794277;-0.174978;0.550175;-0.189249;0.800961;-0.056433;0.516961;-0.296695;0.822175;-0.014794;0.519821;-0.231508;0.939286;-0.231141;-0.247720;-0.054315;0.754469;-0.160526;-0.392571;0.500894;0.622306;-0.244800;-0.346344;0.657916;0.668787;0.002749;-0.568340;0.479276;0.606480;-0.065433;-0.564568;0.556025;0.606480;-0.065433;-0.564568;0.556025;0.539329;0.172031;-0.080101;0.820435;0.144369;0.882463;-0.422572;0.147818;0.047815;0.706718;-0.701980;-0.074072;-0.058558;-0.591324;0.801600;0.065908;0.508025;0.326522;-0.230334;-0.763047;0.610346;0.290861;-0.273990;-0.683964;0.610346;0.290861;-0.273990;-0.683964;0.273153;0.626077;-0.602643;-0.412597;-0.355294;0.280334;-0.450620;0.769493;0.779531;0.094071;0.522304;-0.332686;0.731878;0.120983;0.491858;-0.455844;0.841941;0.433598;0.258912;0.189981;0.341551;0.550176;0.284540;0.706885;0.313932;0.560872;0.262955;0.719530;0.388869;0.529985;0.354220;0.665150;-0.193070;0.630085;-0.120576;0.742414;0.673106;-0.328288;0.323200;-0.578529;0.673106;-0.328288;0.323200;-0.578529;0.885040;-0.003598;0.460672;0.066876;0.578529;0.323200;0.328288;0.673106;0.885040;-0.003598;0.460672;0.066876;0.673106;-0.328288;0.323200;-0.578529
567855;1;0.775853;-0.217284;0.537863;-0.248078;0.791439;-0.178748;0.551868;-0.192654;0.796710;-0.059292;0.520085;-0.302074;0.818369;-0.017394;0.523165;-0.237211;0.938339;-0.237011;-0.245218;-0.056695;0.750992;-0.171757;-0.399944;0.496543;0.610406;-0.262443;-0.347245;0.661777;0.680931;0.016317;-0.568661;0.461185;0.611445;-0.061623;-0.565547;0.549994;0.611445;-0.061623;-0.565547;0.549994;0.539274;0.191883;-0.092087;0.814791;0.150981;0.880866;-0.424020;0.146582;-0.050298;-0.703305;0.704989;0.076303;-0.061263;-0.588556;0.803274;0.067815;0.502200;0.330123;-0.227035;-0.766335;0.606837;0.294180;-0.272000;-0.686457;0.606837;0.294180;-0.272000;-0.686457;0.300241;0.627869;-0.595450;-0.401341;0.528092;-0.227207;0.457672;-0.678257;0.779963;0.007374;0.510900;-0.361365;0.754818;-0.068802;0.534038;-0.374591;0.801880;0.329108;0.422826;0.264378;0.342305;0.552389;0.264686;0.712485;0.314130;0.562427;0.242769;0.725301;0.351129;0.552582;0.309002;0.689840;-0.237532;0.614229;-0.168333;0.733461;0.674003;-0.346881;0.334495;-0.559917;0.674003;-0.346881;0.334495;-0.559917;0.872513;-0.008758;0.481806;0.080671;0.559917;0.334495;0.346881;0.674003;0.872513;-0.008758;0.481806;0.080671;0.674003;-0.346881;0.334495;-0.559917
601166;1;0.775862;-0.217606;0.537865;-0.247762;0.791490;-0.178884;0.551953;-0.192073;0.797459;-0.059758;0.519507;-0.300999;0.819029;-0.017904;0.522626;-0.236078;0.937148;-0.238343;-0.249473;-0.052048;0.746054;-0.172457;-0.405109;0.499549;0.608666;-0.262347;-0.353594;0.660054;0.704281;-0.013882;-0.545095;0.454606;0.608714;-0.113846;-0.533254;0.576321;0.608714;-0.113846;-0.533254;0.576321;0.551350;0.185148;-0.071825;0.810293;0.150391;0.881184;-0.423256;0.147482;-0.049898;-0.703583;0.704793;0.075817;-0.060847;-0.588227;0.803586;0.067347;-0.498433;-0.340490;0.238870;0.760639;0.600726;0.303398;-0.284503;-0.682742;0.600726;0.303398;-0.284503;-0.682742;0.280407;0.637769;-0.598508;-0.395489;0.519220;-0.242890;0.446102;-0.687319;0.786319;0.002277;0.507924;-0.351726;0.763279;-0.080744;0.536107;-0.351390;0.791586;0.322220;0.432769;0.286838;0.343148;0.555219;0.263438;0.710339;0.315078;0.565198;0.241429;0.723180;0.335286;0.564629;0.338428;0.673976;-0.237536;0.643373;-0.155927;0.710869;0.669437;-0.337395;0.341333;-0.567019;0.669437;-0.337395;0.341333;-0.567019;0.874306;0.002784;0.479933;0.072420;0.567019;0.341333;0.337395;0.669437;0.874306;0.002784;0.479933;0.072420;0.669437;-0.337395;0.341333;-0.567019
634522;1;0.775833;-0.217579;0.537821;-0.247975;0.791448;-0.178940;0.551881;-0.192401;0.797370;-0.059193;0.519296;-0.301709;0.818997;-0.017359;0.522371;-0.236793;0.937402;-0.237711;-0.248512;-0.054892;0.748135;-0.170982;-0.406550;0.495758;0.611765;-0.261147;-0.355415;0.656678;0.694519;-0.004533;-0.560671;0.450855;0.603876;-0.103580;-0.551039;0.566535;0.603876;-0.103580;-0.551039;0.566535;0.544467;0.184439;-0.089067;0.813391;0.150293;0.880669;-0.424055;0.148362;-0.049767;-0.702806;0.705733;0.074353;-0.060534;-0.586845;0.804740;0.065885;-0.496073;-0.340656;0.237973;0.762387;0.593199;0.305924;-0.281226;-0.689519;0.593199;0.305924;-0.281226;-0.689519;0.274579;0.642635;-0.592823;-0.400235;0.519849;-0.248686;0.440375;-0.688464;0.790799;-0.000663;0.505731;-0.344779;0.767646;-0.084386;0.533275;-0.345277;0.790379;0.317683;0.433334;0.294279;0.341821;0.559803;0.262210;0.707832;0.312938;0.570033;0.239301;0.721018;0.337638;0.566932;0.340918;0.669599;-0.232784;0.646754;-0.155809;0.709398;0.668410;-0.329571;0.341496;-0.572706;0.668410;-0.329571;0.341496;-0.572706;0.877601;0.008432;0.474516;0.067673;0.572706;0.341496;0.329571;0.668410;0.877601;0.008432;0.474516;0.067673;0.668410;-0.329571;0.341496;-0.572706
667855;1;0.766810;-0.240650;0.551482;-0.223514;0.777186;-0.212287;0.563009;-0.184220;0.788389;-0.066084;0.531442;-0.302729;0.810127;-0.023253;0.535030;-0.238531;0.942484;-0.240130;-0.226800;-0.051220;0.761305;-0.153520;-0.391616;0.493440;0.604058;-0.251446;-0.337204;0.676892;0.689152;-0.012999;-0.565452;0.452951;0.599303;-0.111701;-0.554462;0.566508;0.599303;-0.111701;-0.554462;0.566508;0.530786;0.172001;-0.093819;0.824548;0.159922;0.882741;-0.420288;0.136202;-0.031538;-0.701521;0.710741;0.041492;-0.037296;-0.589394;0.806163;0.036404;-0.475223;-0.360983;0.257521;0.759959;0.589060;0.315884;-0.311196;-0.675561;0.589060;0.315884;-0.311196;-0.675561;0.282847;0.641331;-0.610183;-0.369281;0.588079;-0.293058;0.475698;-0.584800;0.770343;-0.083059;0.552500;-0.307272;0.750702;-0.139155;0.564146;-0.314361;0.756912;0.300641;0.494026;0.304363;0.286634;0.582535;0.324926;0.687689;0.258085;0.595513;0.300597;0.698855;0.281014;0.585558;0.346603;0.676771;-0.278090;0.663774;-0.164626;0.674514;0.684445;-0.345001;0.325679;-0.553573;0.684445;-0.345001;0.325679;-0.553573;0.875410;-0.013663;0.474243;0.092541;0.553573;0.325679;0.345001;0.684445;0.875410;-0.013663;0.474243;0.092541;0.684445;-0.345001;0.325679;-0.553573
701188;1;0.766699;-0.240584;0.551611;-0.223644;0.777084;-0.212209;0.563137;-0.184348;0.788097;-0.065691;0.531700;-0.303123;0.809867;-0.022841;0.535255;-0.238946;0.942961;-0.239571;-0.225043;-0.052786;0.763626;-0.151184;-0.388360;0.493149;0.603287;-0.249853;-0.333548;0.679974;0.686855;-0.002066;-0.567374;0.454217;0.597432;-0.100670;-0.558376;0.566708;0.597432;-0.100670;-0.558376;0.566708;0.528374;0.179258;-0.096270;0.824269;0.159860;0.882445;-0.420707;0.136898;-0.031793;-0.701057;0.711277;0.039922;-0.037293;-0.589403;0.806226;0.034839;-0.477520;-0.357267;0.253710;0.761555;0.589791;0.313624;-0.306021;-0.678334;0.589791;0.313624;-0.306021;-0.678334;0.292949;0.634678;-0.612626;-0.368855;0.600180;-0.303995;0.477046;-0.565506;0.773287;-0.093803;0.557826;-0.286459;0.755834;-0.145826;0.568141;-0.290974;0.744113;0.298839;0.501636;0.324582;0.285733;0.585477;0.329719;0.683270;0.258802;0.598017;0.306502;0.693869;0.288933;0.583905;0.331998;0.682165;-0.276320;0.652371;-0.173841;0.683987;0.682004;-0.334361;0.327792;-0.561805;0.682004;-0.334361;0.327792;-0.561805;0.879506;-0.004645;0.468213;0.084993;0.561805;0.327792;0.334361;0.682004;0.879506;-0.004645;0.468213;0.084993;0.682004;-0.334361;0.327792;-0.561805
