timestamp;body_idx;PELVIS (c);PELVIS (x);PELVIS (y);SPINE_NAVEL (c);SPINE_NAVEL (x);SPINE_NAVEL (y);SPINE_CHEST (c);SPINE_CHEST (x);SPINE_CHEST (y);NECK (c);NECK (x);NECK (y);CLAVICLE_LEFT (c);CLAVICLE_LEFT (x);CLAVICLE_LEFT (y);SHOULDER_LEFT (c);SHOULDER_LEFT (x);SHOULDER_LEFT (y);ELBOW_LEFT (c);ELBOW_LEFT (x);ELBOW_LEFT (y);WRIST_LEFT (c);WRIST_LEFT (x);WRIST_LEFT (y);HAND_LEFT (c);HAND_LEFT (x);HAND_LEFT (y);HANDTIP_LEFT (c);HANDTIP_LEFT (x);HANDTIP_LEFT (y);THUMB_LEFT (c);THUMB_LEFT (x);THUMB_LEFT (y);CLAVICLE_RIGHT (c);CLAVICLE_RIGHT (x);CLAVICLE_RIGHT (y);SHOULDER_RIGHT (c);SHOULDER_RIGHT (x);SHOULDER_RIGHT (y);ELBOW_RIGHT (c);ELBOW_RIGHT (x);ELBOW_RIGHT (y);WRIST_RIGHT (c);WRIST_RIGHT (x);WRIST_RIGHT (y);HAND_RIGHT (c);HAND_RIGHT (x);HAND_RIGHT (y);HANDTIP_RIGHT (c);HANDTIP_RIGHT (x);HANDTIP_RIGHT (y);THUMB_RIGHT (c);THUMB_RIGHT (x);THUMB_RIGHT (y);HIP_LEFT (c);HIP_LEFT (x);HIP_LEFT (y);KNEE_LEFT (c);KNEE_LEFT (x);KNEE_LEFT (y);ANKLE_LEFT (c);ANKLE_LEFT (x);ANKLE_LEFT (y);FOOT_LEFT (c);FOOT_LEFT (x);FOOT_LEFT (y);HIP_RIGHT (c);HIP_RIGHT (x);HIP_RIGHT (y);KNEE_RIGHT (c);KNEE_RIGHT (x);KNEE_RIGHT (y);ANKLE_RIGHT (c);ANKLE_RIGHT (x);ANKLE_RIGHT (y);FOOT_RIGHT (c);FOOT_RIGHT (x);FOOT_RIGHT (y);HEAD (c);HEAD (x);HEAD (y);NOSE (c);NOSE (x);NOSE (y);EYE_LEFT (c);EYE_LEFT (x);EYE_LEFT (y);EAR_LEFT (c);EAR_LEFT (x);EAR_LEFT (y);EYE_RIGHT (c);EYE_RIGHT (x);EYE_RIGHT (y);EAR_RIGHT (c);EAR_RIGHT (x);EAR_RIGHT (y)
401188;1;2;922.316101;561.488098;2;924.660461;492.456909;2;929.650269;436.669373;2;935.356079;345.633667;2;946.439514;361.319946;2;1000.137756;372.294861;2;1003.266968;477.318665;2;1005.129211;565.450195;0;1007.207275;602.301270;0;1010.700073;637.263733;0;998.456543;614.680542;2;921.772217;360.765686;2;876.396240;376.200531;2;878.602966;498.816833;2;920.700684;589.967529;0;943.267212;621.505554;0;960.866394;653.920593;0;950.554749;622.091309;2;954.495544;559.311096;2;1002.530884;707.193115;2;1021.081421;848.446655;2;1066.011597;901.100281;2;892.313477;563.521179;2;881.717529;723.004089;2;865.052856;874.523315;2;864.054688;942.644653;2;940.311157;310.589600;2;974.366150;291.583374;2;978.098572;276.608276;2;975.279663;286.222839;2;958.292175;275.227234;2;911.625244;276.760254
434522;1;2;929.013977;560.315491;2;931.702393;490.818390;2;936.861450;434.461700;2;937.053467;342.220459;2;948.832275;357.593994;2;1001.766357;363.357727;2;1004.307251;473.732452;2;1012.852844;563.106995;0;1013.225769;600.190063;0;1007.448059;633.981201;0;995.329773;602.628723;2;924.602539;358.054443;2;880.284668;376.559692;2;880.260498;499.700470;2;922.503235;591.163208;0;942.604126;627.220764;0;966.000244;648.735840;0;958.891846;624.925293;2;961.127441;558.053040;2;1010.491150;707.232605;2;1022.025513;848.059265;2;1065.564209;900.099365;2;899.047668;562.429810;2;882.965942;723.650452;2;868.758179;875.269165;2;863.207642;941.144897;2;940.081482;306.465820;2;972.545288;286.370117;2;976.183167;271.097168;2;974.630615;280.675018;2;956.019897;270.475433;2;909.943176;273.583740
467844;1;2;932.516418;559.494385;2;934.117920;489.598938;2;937.416870;432.411469;2;937.233154;339.878174;2;949.089294;355.347595;2;1002.297913;362.703766;2;1005.564453;473.514862;2;1014.487183;563.261902;0;1017.459839;600.519348;0;1008.342224;631.039429;0;996.684204;603.177551;2;924.830261;355.700317;2;880.031677;371.558228;2;876.986084;495.099640;2;922.452087;585.211670;0;940.273071;622.669556;0;963.812195;642.276001;0;960.010132;617.165344;2;965.012390;556.916443;2;1010.261536;707.843018;2;1022.172852;849.370850;2;1065.430420;899.899292;2;902.235535;561.899597;2;883.765930;724.098450;2;867.936890;877.961548;2;863.753113;942.383057;2;940.119324;303.975647;2;974.965454;282.863312;2;977.657104;267.851288;2;973.924744;278.167267;2;958.049194;267.147400;2;910.464966;270.950043
501188;1;2;931.444702;557.039062;2;934.722046;486.770050;2;938.705872;429.067261;2;937.351990;336.346558;2;949.411804;351.897217;2;1002.657410;355.143494;2;1007.357300;466.843262;2;1015.718628;556.772034;0;1018.921326;594.021973;0;1008.132751;623.549805;0;999.197266;594.547302;2;925.142456;352.113892;2;880.387695;367.115082;2;877.155334;490.764160;2;921.994385;581.415161;0;940.488220;617.846619;0;966.103455;637.062256;0;960.003479;615.232178;2;964.374207;555.529846;2;1009.133667;707.081909;2;1022.445740;849.252747;2;1066.045410;900.686829;2;900.786255;558.446655;2;883.226196;721.267944;2;867.811218;875.717163;2;861.420349;941.313110;2;939.768066;300.299194;2;973.798340;279.697357;2;976.617004;264.406342;2;973.517395;274.079620;2;956.892456;264.007263;2;909.786499;267.714905
534511;1;2;934.113281;556.320068;2;936.596252;485.879944;2;939.437378;427.978455;2;938.172607;335.820007;2;950.216980;351.334808;2;1003.470581;355.570068;2;1005.619751;466.979004;2;1014.351135;557.186890;0;1008.452393;593.655334;0;1000.005371;622.487244;0;993.034058;593.209778;2;925.963196;351.415161;2;881.832825;366.670715;2;877.578308;489.428436;2;922.362305;579.223755;0;940.524109;614.352417;0;966.355408;637.205505;0;959.932617;615.507263;2;966.600586;554.607056;2;1006.998657;706.406128;2;1023.356201;847.769287;2;1065.776611;900.250610;2;903.822937;557.919434;2;883.640747;721.155518;2;870.066589;875.840576;2;862.863159;940.712891;2;940.552368;299.994934;2;975.069885;274.150330;2;976.454224;260.172363;2;972.216064;273.188934;2;957.337952;259.997803;2;909.848450;268.242310
567855;1;2;935.384460;554.589966;2;936.749756;483.767792;2;938.485413;425.723328;2;936.625732;333.890259;2;948.656860;349.268250;2;1001.679810;355.270386;2;1006.462219;465.903137;2;1018.437744;555.307495;0;996.992493;584.671692;0;998.798950;613.277039;0;995.372681;583.570740;2;924.625122;349.523193;2;880.900146;365.055176;2;875.431824;487.300385;2;921.569458;575.627625;0;939.133301;608.473877;0;966.270752;629.618652;0;961.398926;608.409302;2;968.026855;552.950745;2;1005.390747;704.721558;2;1023.810730;846.265869;2;1065.992432;900.304443;2;904.969116;556.119141;2;884.916138;719.749695;2;869.731018;873.600708;2;863.094055;937.947876;2;938.806702;298.169647;2;973.551147;269.914398;2;974.281067;256.646149;2;969.483826;271.320312;2;955.489929;256.454651;2;907.866455;266.682983
601177;1;2;935.200989;552.737061;2;936.728394;481.382690;2;938.706604;423.029846;2;935.389587;330.972961;2;947.709290;346.392059;2;1000.806396;351.053284;2;1009.982239;462.394226;2;1024.492554;552.259521;0;993.711365;571.873596;0;996.475403;600.568420;0;997.154480;574.861877;2;923.592468;346.606628;2;879.376953;361.122253;2;872.161560;483.497437;2;921.484863;569.659607;0;937.866150;602.650635;0;966.129761;620.754211;0;963.247620;600.886169;2;968.087524;551.490234;2;1003.762451;703.956909;2;1023.644043;845.826416;2;1066.796265;898.498413;2;904.557922;553.900208;2;885.069153;718.572632;2;869.610413;873.575073;2;863.089539;938.302368;2;936.987122;295.086426;2;972.385315;267.480072;2;972.612000;253.770538;2;967.069092;267.521454;2;954.064270;254.045837;2;905.968018;264.200958
634522;1;2;935.683838;551.748779;2;937.506592;480.330872;2;939.004272;421.825256;2;935.930359;329.890503;2;948.334534;345.471069;2;1001.703369;349.436066;2;1004.089417;461.053589;2;1019.055420;549.590210;0;997.472900;573.634094;0;996.115295;600.348206;0;993.320129;582.591064;2;923.983765;345.274231;2;879.376831;358.274231;2;869.099243;480.225311;2;919.452576;565.964661;0;940.313477;589.513306;0;957.262451;614.106934;0;963.621216;595.450806;2;968.877258;550.645630;2;1003.559265;703.351013;2;1023.204956;845.198914;2;1066.859131;898.435547;2;904.792786;552.776550;2;885.117859;717.488464;2;869.583496;873.111084;2;861.671387;936.721191;2;937.521973;294.042206;2;972.217285;264.881836;2;973.063049;252.130066;2;968.300476;267.872009;2;954.312805;251.492432;2;906.848816;262.026489
667844;1;2;936.128662;548.884399;2;937.681030;477.047089;2;938.546509;418.154572;2;934.785645;325.799438;2;947.363525;341.456604;2;1001.280701;345.644775;2;1000.079651;457.619080;2;1013.331848;546.300537;0;1003.591431;577.116943;0;997.929993;596.143005;0;995.804688;583.663757;2;922.893555;341.241394;2;878.248108;354.189270;2;869.053406;476.758667;2;920.956909;562.083069;0;940.942078;585.519226;0;957.014465;612.084839;0;963.931458;592.460083;2;969.805054;547.762085;2;1003.012878;701.779053;2;1023.185486;845.053101;2;1065.171509;900.338562;2;904.831726;549.927673;2;884.940674;715.285583;2;869.619263;871.405396;2;861.242188;936.946899;2;936.115417;289.733124;2;970.224304;263.766937;2;973.043152;250.844757;2;969.670654;265.801392;2;953.635315;248.834442;2;906.932068;255.344360
701188;1;2;936.084778;548.214661;2;937.617004;476.273102;2;938.340881;417.311890;2;934.854248;325.115845;2;947.490417;340.898132;2;1001.370239;345.805695;2;1001.934387;457.883423;2;1014.539429;547.228027;0;993.893311;576.405762;0;997.927307;593.261719;0;996.899536;577.210754;2;922.825623;340.338318;2;877.957336;353.293335;2;869.468628;475.689697;2;920.979797;561.412415;0;942.109985;585.845520;0;959.768372;611.826477;0;964.496277;591.928467;2;969.959961;547.166199;2;1002.633118;701.242981;2;1023.586182;844.386902;2;1063.605225;900.361755;2;904.626831;549.188293;2;885.122070;714.701294;2;869.611023;871.534790;2;861.194946;936.657349;2;936.206787;289.105652;2;967.072266;260.656189;2;971.028320;248.660950;2;970.526367;265.783875;2;950.957520;246.227997;2;906.374146;254.390350
734511;1;2;936.487854;547.239624;2;938.060791;475.028564;2;939.032532;415.926575;2;934.357788;324.243896;2;947.262268;340.037598;2;1000.970215;346.232483;2;1006.109192;458.363831;2;1018.304810;548.786499;0;992.783325;576.310486;0;994.323181;594.262756;0;997.947571;574.966125;2;922.467468;339.206299;2;877.191895;351.413269;2;870.306213;473.388031;2;924.810608;556.648804;0;943.819153;588.509888;0;959.337158;609.974915;0;963.272522;590.311462;2;970.871460;546.487610;2;1002.107544;700.848633;2;1023.528931;843.894470;2;1063.402832;900.489868;2;904.625061;547.936279;2;884.835144;713.694397;2;869.749939;870.752014;2;861.159058;936.334961;2;935.182251;288.369354;2;965.231323;260.587830;2;969.387024;248.384460;2;969.489380;264.889069;2;949.258362;246.137207;2;905.268616;253.982849
767855;1;2;936.325195;547.482361;2;937.967163;475.237122;2;939.284302;416.263184;2;933.656738;324.956635;2;946.634460;340.607849;2;1000.138672;346.430054;2;1008.903442;458.036102;2;1021.529541;548.703186;0;999.959717;580.086548;0;992.944885;594.655151;0;1000.319641;578.500732;2;922.005798;339.927429;2;876.399536;351.238464;2;870.084167;472.890350;2;925.102417;555.391724;0;944.935059;587.391541;0;962.353027;611.829590;0;965.105591;588.850830;2;970.697815;546.986877;2;1001.765015;701.042480;2;1023.289490;843.800781;2;1063.822144;900.336304;2;904.470764;547.941528;2;885.126343;713.643494;2;869.736511;870.006592;2;861.117432;934.954590;2;934.142212;289.204498;2;966.890686;260.103577;2;970.458374;249.005798;2;968.217285;267.462372;2;950.970947;245.708221;2;905.607971;253.652496
