timestamp;body_idx;PELVIS (w);PELVIS (x);PELVIS (y);PELVIS (z);SPINE_NAVEL (w);SPINE_NAVEL (x);SPINE_NAVEL (y);SPINE_NAVEL (z);SPINE_CHEST (w);SPINE_CHEST (x);SPINE_CHEST (y);SPINE_CHEST (z);NECK (w);NECK (x);NECK (y);NECK (z);CLAVICLE_LEFT (w);CLAVICLE_LEFT (x);CLAVICLE_LEFT (y);CLAVICLE_LEFT (z);SHOULDER_LEFT (w);SHOULDER_LEFT (x);SHOULDER_LEFT (y);SHOULDER_LEFT (z);ELBOW_LEFT (w);ELBOW_LEFT (x);ELBOW_LEFT (y);ELBOW_LEFT (z);WRIST_LEFT (w);WRIST_LEFT (x);WRIST_LEFT (y);WRIST_LEFT (z);HAND_LEFT (w);HAND_LEFT (x);HAND_LEFT (y);HAND_LEFT (z);HANDTIP_LEFT (w);HANDTIP_LEFT (x);HANDTIP_LEFT (y);HANDTIP_LEFT (z);THUMB_LEFT (w);THUMB_LEFT (x);THUMB_LEFT (y);THUMB_LEFT (z);CLAVICLE_RIGHT (w);CLAVICLE_RIGHT (x);CLAVICLE_RIGHT (y);CLAVICLE_RIGHT (z);SHOULDER_RIGHT (w);SHOULDER_RIGHT (x);SHOULDER_RIGHT (y);SHOULDER_RIGHT (z);ELBOW_RIGHT (w);ELBOW_RIGHT (x);ELBOW_RIGHT (y);ELBOW_RIGHT (z);WRIST_RIGHT (w);WRIST_RIGHT (x);WRIST_RIGHT (y);WRIST_RIGHT (z);HAND_RIGHT (w);HAND_RIGHT (x);HAND_RIGHT (y);HAND_RIGHT (z);HANDTIP_RIGHT (w);HANDTIP_RIGHT (x);HANDTIP_RIGHT (y);HANDTIP_RIGHT (z);THUMB_RIGHT (w);THUMB_RIGHT (x);THUMB_RIGHT (y);THUMB_RIGHT (z);HIP_LEFT (w);HIP_LEFT (x);HIP_LEFT (y);HIP_LEFT (z);KNEE_LEFT (w);KNEE_LEFT (x);KNEE_LEFT (y);KNEE_LEFT (z);ANKLE_LEFT (w);ANKLE_LEFT (x);ANKLE_LEFT (y);ANKLE_LEFT (z);FOOT_LEFT (w);FOOT_LEFT (x);FOOT_LEFT (y);FOOT_LEFT (z);HIP_RIGHT (w);HIP_RIGHT (x);HIP_RIGHT (y);HIP_RIGHT (z);KNEE_RIGHT (w);KNEE_RIGHT (x);KNEE_RIGHT (y);KNEE_RIGHT (z);ANKLE_RIGHT (w);ANKLE_RIGHT (x);ANKLE_RIGHT (y);ANKLE_RIGHT (z);FOOT_RIGHT (w);FOOT_RIGHT (x);FOOT_RIGHT (y);FOOT_RIGHT (z);HEAD (w);HEAD (x);HEAD (y);HEAD (z);NOSE (w);NOSE (x);NOSE (y);NOSE (z);EYE_LEFT (w);EYE_LEFT (x);EYE_LEFT (y);EYE_LEFT (z);EAR_LEFT (w);EAR_LEFT (x);EAR_LEFT (y);EAR_LEFT (z);EYE_RIGHT (w);EYE_RIGHT (x);EYE_RIGHT (y);EYE_RIGHT (z);EAR_RIGHT (w);EAR_RIGHT (x);EAR_RIGHT (y);EAR_RIGHT (z)
333555;1;0.516703;-0.299608;0.742172;-0.304029;0.557582;-0.180953;0.779641;-0.220267;0.588457;-0.046617;0.767948;-0.248597;0.606498;0.015117;0.769213;-0.200606;0.983856;-0.151088;0.091643;-0.028299;0.842393;0.005944;-0.177890;0.508620;0.351575;-0.104696;-0.143941;0.919084;0.251512;0.101212;-0.524373;0.807174;0.519947;0.279591;-0.455017;0.666666;0.519947;0.279591;-0.455017;0.666666;0.320097;0.122727;0.109249;0.933028;0.180920;0.897648;-0.366560;-0.164712;0.195347;0.712651;-0.640156;-0.210163;-0.209607;-0.665991;0.688569;0.195943;0.640129;-0.376307;0.486626;-0.460243;-0.427419;0.528228;-0.315256;0.662496;-0.427419;0.528228;-0.315256;0.662496;-0.425477;-0.070598;-0.230437;0.872287;-0.168745;0.667776;-0.274816;0.670878;0.622143;-0.219269;0.688056;-0.302388;0.599084;-0.267556;0.697607;-0.287850;0.631717;0.303112;0.679908;0.216289;0.550190;0.306136;0.755383;0.181572;0.137412;0.802843;0.140283;0.562922;0.181153;0.790067;0.192161;0.553219;-0.263470;0.699281;-0.418394;0.516271;0.784487;-0.019030;0.557000;-0.271972;0.784487;-0.019030;0.557000;-0.271972;0.747029;0.380402;0.407315;0.362403;0.271972;0.557000;0.019030;0.784487;0.747029;0.380402;0.407315;0.362403;0.784487;-0.019030;0.557000;-0.271972
366877;1;0.535357;-0.294733;0.733290;-0.298013;0.580243;-0.157973;0.774355;-0.196816;0.583415;-0.062995;0.767236;-0.258857;0.602295;-0.001265;0.769817;-0.211237;0.980986;-0.177219;0.069081;-0.038582;0.827706;0.001710;-0.187367;0.528954;0.300119;-0.118188;-0.145400;0.935318;0.350790;0.217204;-0.516310;0.750461;0.491484;0.314471;-0.463532;0.666851;0.491484;0.314471;-0.463532;0.666851;0.298405;0.221159;0.076722;0.925287;0.200080;0.889608;-0.357846;-0.201275;0.227794;0.699164;-0.624719;-0.262690;-0.250120;-0.641215;0.684067;0.241530;0.714962;-0.174965;0.186526;-0.650710;0.687325;-0.182560;0.179099;-0.679838;0.687325;-0.182560;0.179099;-0.679838;-0.409325;-0.391602;0.000600;0.824076;-0.129405;0.680296;-0.201040;0.692845;0.627984;-0.255584;0.661781;-0.319936;-0.466322;0.480640;-0.521400;0.528840;0.707533;0.026269;0.704647;-0.046681;0.538879;0.382000;0.711285;0.240332;0.137178;0.796878;0.129483;0.573936;0.276719;0.711075;0.409616;0.500013;-0.156925;0.796514;-0.208998;0.545216;0.774812;-0.058303;0.564892;-0.277784;0.774812;-0.058303;0.564892;-0.277784;0.744298;0.358213;0.440665;0.351451;0.277784;0.564892;0.058303;0.774812;0.744298;0.358213;0.440665;0.351451;0.774812;-0.058303;0.564892;-0.277784
400222;1;0.530341;-0.316131;0.735756;-0.278320;0.574128;-0.167994;0.782978;-0.170591;0.578557;-0.071748;0.769358;-0.261174;0.597638;-0.009819;0.772634;-0.213937;0.979812;-0.184620;0.072523;-0.024993;0.831057;-0.029389;-0.194332;0.520304;0.267443;-0.152138;-0.124429;0.943316;0.417076;0.267062;-0.480283;0.723915;0.452220;0.290389;-0.466549;0.702498;0.452220;0.290389;-0.466549;0.702498;0.224982;0.219205;0.049950;0.948070;0.212547;0.882461;-0.368341;-0.201026;0.239611;0.698824;-0.618032;-0.268827;-0.266170;-0.631042;0.687099;0.242559;0.614349;-0.270855;0.268186;-0.690861;0.653855;-0.254640;0.283627;-0.653596;0.653855;-0.254640;0.283627;-0.653596;-0.445912;-0.243393;0.129162;0.851610;-0.120800;0.679690;-0.201865;0.694751;0.626223;-0.250544;0.663335;-0.324127;0.468028;-0.486948;0.534819;-0.507740;0.693951;0.031342;0.718691;-0.030540;0.502389;0.408006;0.709021;0.280045;0.121637;0.801820;0.161881;0.562213;0.269339;0.703176;0.437606;0.491427;-0.155970;0.810550;-0.183569;0.533839;0.789202;-0.029813;0.555011;-0.261217;0.789202;-0.029813;0.555011;-0.261217;0.742758;0.371371;0.413533;0.373341;0.261217;0.555011;0.029813;0.789202;0.742758;0.371371;0.413533;0.373341;0.789202;-0.029813;0.555011;-0.261217
433533;1;0.522942;-0.349380;0.736280;-0.249713;0.563469;-0.188448;0.792882;-0.135377;0.579209;-0.069056;0.777528;-0.234944;0.596184;-0.006481;0.780562;-0.187738;0.983208;-0.160065;0.086284;-0.015406;0.831035;-0.016534;-0.193423;0.521244;0.263228;-0.142493;-0.131839;0.945000;0.346230;0.223653;-0.400417;0.818395;0.477515;0.287131;-0.357645;0.749417;0.477515;0.287131;-0.357645;0.749417;0.171563;0.261157;0.194885;0.929722;0.197088;0.891759;-0.363991;-0.182847;0.223008;0.697885;-0.631352;-0.254204;-0.249898;-0.623334;0.705055;0.227824;0.571201;-0.135129;0.133304;-0.798561;0.702576;-0.109616;0.154965;-0.685826;0.702576;-0.109616;0.154965;-0.685826;-0.477132;-0.335040;0.299261;0.755338;-0.116607;0.676474;-0.205235;0.697614;0.626161;-0.245523;0.662959;-0.328827;0.456043;-0.504497;0.530563;-0.505975;0.684259;0.015852;0.728094;-0.037648;0.461099;0.228331;0.834051;0.199028;0.061680;0.834913;0.224975;0.498499;0.177899;0.733421;0.470318;0.457435;-0.196943;0.854537;-0.181407;0.445051;0.778485;-0.084863;0.554715;-0.281161;0.778485;-0.084863;0.554715;-0.281161;0.749283;0.332235;0.452250;0.351661;0.281161;0.554715;0.084863;0.778485;0.749283;0.332235;0.452250;0.351661;0.778485;-0.084863;0.554715;-0.281161
466888;1;0.522942;-0.349380;0.736280;-0.249713;0.563469;-0.188448;0.792882;-0.135377;0.579209;-0.069056;0.777528;-0.234944;0.596184;-0.006481;0.780562;-0.187738;0.983208;-0.160065;0.086284;-0.015406;0.831035;-0.016534;-0.193423;0.521244;0.263228;-0.142493;-0.131839;0.945000;0.346230;0.223653;-0.400417;0.818395;0.477515;0.287131;-0.357645;0.749417;0.477515;0.287131;-0.357645;0.749417;0.171563;0.261157;0.194885;0.929722;0.197088;0.891759;-0.363991;-0.182847;0.223008;0.697885;-0.631352;-0.254204;-0.249898;-0.623334;0.705055;0.227824;0.571201;-0.135129;0.133304;-0.798561;0.702576;-0.109616;0.154965;-0.685826;0.702576;-0.109616;0.154965;-0.685826;-0.477132;-0.335040;0.299261;0.755338;-0.116607;0.676474;-0.205235;0.697614;0.626161;-0.245523;0.662959;-0.328827;0.456043;-0.504497;0.530563;-0.505975;0.684259;0.015852;0.728094;-0.037648;0.461099;0.228331;0.834051;0.199028;0.061680;0.834913;0.224975;0.498499;0.177899;0.733421;0.470318;0.457435;-0.196943;0.854537;-0.181407;0.445051;0.778485;-0.084863;0.554715;-0.281161;0.778485;-0.084863;0.554715;-0.281161;0.749283;0.332235;0.452250;0.351661;0.281161;0.554715;0.084863;0.778485;0.749283;0.332235;0.452250;0.351661;0.778485;-0.084863;0.554715;-0.281161
500211;1;0.522942;-0.349380;0.736281;-0.249713;0.563469;-0.188448;0.792883;-0.135377;0.579208;-0.069055;0.777529;-0.234943;0.596184;-0.006480;0.780562;-0.187738;0.983208;-0.160064;0.086284;-0.015406;0.831035;-0.016535;-0.193423;0.521244;0.263227;-0.142493;-0.131839;0.945000;0.346231;0.223650;-0.400418;0.818395;0.477515;0.287128;-0.357647;0.749417;0.477515;0.287128;-0.357647;0.749417;0.171568;0.261149;0.194884;0.929724;0.197087;0.891759;-0.363991;-0.182849;0.223007;0.697884;-0.631352;-0.254207;-0.249897;-0.623333;0.705055;0.227826;0.571200;-0.135125;0.133305;-0.798562;0.702575;-0.109611;0.154966;-0.685827;0.702575;-0.109611;0.154966;-0.685827;-0.477122;-0.335039;0.299271;0.755341;-0.116607;0.676474;-0.205235;0.697613;0.626160;-0.245524;0.662959;-0.328828;0.456041;-0.504497;0.530562;-0.505976;0.684259;0.015852;0.728094;-0.037649;0.461097;0.228331;0.834051;0.199029;0.061678;0.834914;0.224974;0.498498;0.177897;0.733421;0.470319;0.457435;-0.196944;0.854538;-0.181407;0.445049;0.778484;-0.084862;0.554717;-0.281160;0.778484;-0.084862;0.554717;-0.281160;0.749281;0.332237;0.452251;0.351661;0.281160;0.554717;0.084862;0.778484;0.749281;0.332237;0.452251;0.351661;0.778484;-0.084862;0.554717;-0.281160
533555;1;0.522942;-0.349380;0.736281;-0.249713;0.563469;-0.188448;0.792883;-0.135377;0.579208;-0.069055;0.777529;-0.234943;0.596184;-0.006480;0.780562;-0.187738;0.983208;-0.160064;0.086284;-0.015406;0.831035;-0.016535;-0.193423;0.521244;0.263227;-0.142493;-0.131839;0.945000;0.346231;0.223650;-0.400418;0.818395;0.477515;0.287128;-0.357647;0.749417;0.477515;0.287128;-0.357647;0.749417;0.171568;0.261149;0.194884;0.929724;0.197087;0.891759;-0.363991;-0.182849;0.223007;0.697884;-0.631352;-0.254207;-0.249897;-0.623333;0.705055;0.227826;0.571200;-0.135125;0.133305;-0.798562;0.702575;-0.109611;0.154966;-0.685827;0.702575;-0.109611;0.154966;-0.685827;-0.477122;-0.335039;0.299271;0.755341;-0.116607;0.676474;-0.205235;0.697613;0.626160;-0.245524;0.662959;-0.328828;0.456041;-0.504497;0.530562;-0.505976;0.684259;0.015852;0.728094;-0.037649;0.461097;0.228331;0.834051;0.199029;0.061678;0.834914;0.224974;0.498498;0.177897;0.733421;0.470319;0.457435;-0.196944;0.854538;-0.181407;0.445049;0.778484;-0.084862;0.554717;-0.281160;0.778484;-0.084862;0.554717;-0.281160;0.749281;0.332237;0.452251;0.351661;0.281160;0.554717;0.084862;0.778484;0.749281;0.332237;0.452251;0.351661;0.778484;-0.084862;0.554717;-0.281160
566877;1;0.510518;-0.376742;0.748643;-0.192279;0.535716;-0.244444;0.801653;-0.102996;0.590938;-0.077146;0.776622;-0.204204;0.605411;-0.014618;0.780307;-0.156157;0.986071;-0.141760;0.086790;-0.006002;0.827844;-0.034824;-0.182169;0.529411;0.257762;-0.148152;-0.111577;0.948241;-0.428232;-0.137926;0.665713;-0.595332;0.526890;0.253637;-0.630766;0.510087;0.526890;0.253637;-0.630766;0.510087;0.334849;0.241654;-0.136595;0.900456;0.182549;0.904405;-0.352513;-0.156401;0.202086;0.691839;-0.642074;-0.261270;-0.239503;-0.586037;0.739906;0.227462;0.571768;-0.219833;0.227844;-0.756863;0.694838;-0.176795;0.262646;-0.645725;0.694838;-0.176795;0.262646;-0.645725;-0.440895;-0.206182;0.340158;0.804608;-0.099114;0.671264;-0.199885;0.706843;0.627527;-0.237870;0.658806;-0.340004;0.464284;-0.483587;0.539929;-0.508980;0.692176;0.037308;0.719957;-0.034092;0.404463;0.270082;0.833024;0.263699;-0.002338;0.846428;0.224428;0.482893;0.104961;0.746585;0.467384;0.461678;-0.251781;0.861531;-0.192441;0.396657;0.762608;-0.085348;0.576508;-0.280685;0.762608;-0.085348;0.576508;-0.280685;0.737719;0.347302;0.468003;0.340771;0.280685;0.576508;0.085348;0.762608;0.737719;0.347302;0.468003;0.340771;0.762608;-0.085348;0.576508;-0.280685
600222;1;0.510511;-0.376735;0.748657;-0.192255;0.535708;-0.244411;0.801673;-0.102959;0.590901;-0.077100;0.776670;-0.204148;0.605369;-0.014568;0.780351;-0.156104;0.986084;-0.141697;0.086748;-0.005935;0.827726;-0.035093;-0.182443;0.529483;0.257637;-0.148534;-0.111601;0.948212;-0.428110;-0.136873;0.665904;-0.595449;0.526322;0.252055;-0.631372;0.510708;0.526322;0.252055;-0.631372;0.510708;0.335451;0.240581;-0.136660;0.900510;0.182497;0.904404;-0.352497;-0.156506;0.202017;0.691838;-0.642033;-0.261425;-0.239444;-0.586088;0.739829;0.227641;0.572186;-0.219054;0.227436;-0.756896;0.695242;-0.176104;0.262105;-0.645699;0.695242;-0.176104;0.262105;-0.645699;-0.440733;-0.207737;0.339186;0.804706;-0.099106;0.671277;-0.199889;0.706830;0.627509;-0.237880;0.658817;-0.340007;0.464268;-0.483585;0.539934;-0.508991;0.692173;0.037313;0.719959;-0.034110;0.404365;0.269834;0.833124;0.263787;-0.002536;0.846411;0.224566;0.482858;0.104608;0.746540;0.467522;0.461690;-0.252039;0.861595;-0.192310;0.396418;0.762449;-0.085323;0.576812;-0.280499;0.762449;-0.085323;0.576812;-0.280499;0.737476;0.347535;0.468200;0.340790;0.280499;0.576812;0.085323;0.762449;0.737476;0.347535;0.468200;0.340790;0.762449;-0.085323;0.576812;-0.280499
633544;1;0.510881;-0.365837;0.750394;-0.205117;0.541478;-0.209221;0.808179;-0.099369;0.576434;-0.078230;0.781663;-0.224960;0.592618;-0.015294;0.785419;-0.178009;0.984271;-0.163032;0.068005;-0.002673;0.825923;-0.043583;-0.204475;0.523585;0.233803;-0.172973;-0.117431;0.949540;-0.469038;-0.081142;0.625064;-0.618639;0.545949;0.162228;-0.609074;0.551952;0.545949;0.162228;-0.609074;0.551952;0.328687;0.353657;-0.085157;0.871573;0.202329;0.887631;-0.356938;-0.209211;0.244506;0.665560;-0.635722;-0.305130;-0.277521;-0.589201;0.707075;0.275444;0.619335;-0.103120;0.096298;-0.772345;0.728777;-0.087410;0.110755;-0.670058;0.728777;-0.087410;0.110755;-0.670058;-0.461869;-0.417430;0.243963;0.743580;-0.107903;0.679791;-0.199931;0.697329;0.628367;-0.236159;0.668114;-0.320950;0.455177;-0.494857;0.529541;-0.517220;0.691527;0.021923;0.720533;-0.046269;0.317804;0.293996;0.844819;0.314402;-0.073054;0.859471;0.247828;0.441083;0.093463;0.736033;0.504007;0.442150;-0.245997;0.879702;-0.159044;0.374587;0.767217;-0.090992;0.561955;-0.295473;0.767217;-0.090992;0.561955;-0.295473;0.751436;0.333022;0.461703;0.333573;0.295473;0.561955;0.090992;0.767217;0.751436;0.333022;0.461703;0.333573;0.767217;-0.090992;0.561955;-0.295473
