timestamp;body_idx;PELVIS (c);PELVIS (x);PELVIS (y);PELVIS (z);SPINE_NAVEL (c);SPINE_NAVEL (x);SPINE_NAVEL (y);SPINE_NAVEL (z);SPINE_CHEST (c);SPINE_CHEST (x);SPINE_CHEST (y);SPINE_CHEST (z);NECK (c);NECK (x);NECK (y);NECK (z);CLAVICLE_LEFT (c);CLAVICLE_LEFT (x);CLAVICLE_LEFT (y);CLAVICLE_LEFT (z);SHOULDER_LEFT (c);SHOULDER_LEFT (x);SHOULDER_LEFT (y);SHOULDER_LEFT (z);ELBOW_LEFT (c);ELBOW_LEFT (x);ELBOW_LEFT (y);ELBOW_LEFT (z);WRIST_LEFT (c);WRIST_LEFT (x);WRIST_LEFT (y);WRIST_LEFT (z);HAND_LEFT (c);HAND_LEFT (x);HAND_LEFT (y);HAND_LEFT (z);HANDTIP_LEFT (c);HANDTIP_LEFT (x);HANDTIP_LEFT (y);HANDTIP_LEFT (z);THUMB_LEFT (c);THUMB_LEFT (x);THUMB_LEFT (y);THUMB_LEFT (z);CLAVICLE_RIGHT (c);CLAVICLE_RIGHT (x);CLAVICLE_RIGHT (y);CLAVICLE_RIGHT (z);SHOULDER_RIGHT (c);SHOULDER_RIGHT (x);SHOULDER_RIGHT (y);SHOULDER_RIGHT (z);ELBOW_RIGHT (c);ELBOW_RIGHT (x);ELBOW_RIGHT (y);ELBOW_RIGHT (z);WRIST_RIGHT (c);WRIST_RIGHT (x);WRIST_RIGHT (y);WRIST_RIGHT (z);HAND_RIGHT (c);HAND_RIGHT (x);HAND_RIGHT (y);HAND_RIGHT (z);HANDTIP_RIGHT (c);HANDTIP_RIGHT (x);HANDTIP_RIGHT (y);HANDTIP_RIGHT (z);THUMB_RIGHT (c);THUMB_RIGHT (x);THUMB_RIGHT (y);THUMB_RIGHT (z);HIP_LEFT (c);HIP_LEFT (x);HIP_LEFT (y);HIP_LEFT (z);KNEE_LEFT (c);KNEE_LEFT (x);KNEE_LEFT (y);KNEE_LEFT (z);ANKLE_LEFT (c);ANKLE_LEFT (x);ANKLE_LEFT (y);ANKLE_LEFT (z);FOOT_LEFT (c);FOOT_LEFT (x);FOOT_LEFT (y);FOOT_LEFT (z);HIP_RIGHT (c);HIP_RIGHT (x);HIP_RIGHT (y);HIP_RIGHT (z);KNEE_RIGHT (c);KNEE_RIGHT (x);KNEE_RIGHT (y);KNEE_RIGHT (z);ANKLE_RIGHT (c);ANKLE_RIGHT (x);ANKLE_RIGHT (y);ANKLE_RIGHT (z);FOOT_RIGHT (c);FOOT_RIGHT (x);FOOT_RIGHT (y);FOOT_RIGHT (z);HEAD (c);HEAD (x);HEAD (y);HEAD (z);NOSE (c);NOSE (x);NOSE (y);NOSE (z);EYE_LEFT (c);EYE_LEFT (x);EYE_LEFT (y);EYE_LEFT (z);EAR_LEFT (c);EAR_LEFT (x);EAR_LEFT (y);EAR_LEFT (z);EYE_RIGHT (c);EYE_RIGHT (x);EYE_RIGHT (y);EYE_RIGHT (z);EAR_RIGHT (c);EAR_RIGHT (x);EAR_RIGHT (y);EAR_RIGHT (z)
333555;1;2;-34.787064;184.489288;2351.099854;2;-65.066322;40.032597;2301.891113;2;-100.570366;-43.703281;2217.047607;2;-144.458282;-183.258835;2096.861572;2;-108.724106;-164.289993;2110.658936;2;7.382274;-122.867035;2092.088623;2;80.895248;104.135796;2125.886230;2;-46.192272;226.738815;2027.251709;0;-99.814003;291.334991;2029.195801;0;-152.615585;369.375671;2030.297729;0;-143.595291;301.594269;2019.200317;2;-165.424164;-157.340591;2124.114258;2;-260.675629;-97.985283;2147.719482;2;-287.871490;143.514664;2182.835693;2;-262.160736;342.632843;2142.279785;0;-254.985687;431.998291;2154.010010;0;-268.220947;523.455078;2147.720947;0;-257.315704;440.987457;2133.197754;2;40.625904;176.870895;2327.061279;2;144.104813;376.052338;2059.656738;2;114.278465;600.114197;2305.076904;2;115.219826;722.009521;2196.303955;2;-102.790253;191.359146;2372.776855;2;-340.483673;332.756927;2160.332764;1;-194.456375;538.773438;2383.742676;1;-272.188110;661.165894;2344.098877;2;-161.844299;-227.261948;2043.605835;2;-221.850800;-265.653839;1922.930542;2;-192.337997;-298.063477;1944.406494;2;-105.451271;-292.092529;2012.504639;2;-234.489349;-289.138062;1959.324097;1;-235.826797;-273.860168;2072.550293
366877;1;2;-32.281223;200.186737;2517.774170;2;-53.780453;41.512207;2421.714844;2;-97.840324;-36.885448;2302.563721;2;-143.594589;-183.984344;2135.521729;2;-101.582321;-163.098495;2156.271973;2;42.165367;-139.207138;2122.328857;2;131.666153;135.640366;2132.526367;2;-56.884827;234.883087;2016.209351;0;-123.449165;308.427307;2034.041382;0;-206.276718;375.362579;2072.116211;0;-174.671494;316.127167;2049.798584;2;-170.187653;-157.935333;2171.366455;2;-293.065826;-96.697762;2181.218018;2;-301.151459;197.881119;2178.269287;2;-251.998367;435.889313;2141.287109;0;-270.440002;542.697632;2136.015381;0;-272.166565;653.409241;2126.140869;0;-227.772842;563.001831;2109.334229;2;53.452667;212.778488;2477.786377;2;133.742371;315.478790;2079.571533;2;111.083588;632.848389;2322.713867;2;112.220779;724.603577;2149.433105;2;-109.591248;188.832214;2553.832764;2;-375.294464;290.996002;2246.985107;1;-222.037628;501.868317;2556.487549;1;-338.966766;631.885315;2512.125977;2;-161.766800;-227.925781;2064.467529;2;-227.213409;-267.915833;1914.789185;2;-191.141434;-306.936188;1939.450806;2;-89.912636;-300.784058;2025.009644;2;-242.663208;-299.208405;1956.194458;1;-249.367279;-289.102448;2092.789795
400222;1;2;-36.299774;201.700729;2520.951172;2;-55.108265;41.566982;2423.985107;2;-98.457840;-37.184036;2303.389160;2;-144.616821;-189.985275;2139.245117;2;-102.282227;-168.320236;2159.502686;2;41.731239;-140.824509;2124.404785;2;136.440628;134.602585;2134.479736;2;-52.636223;234.731674;2015.933716;0;-119.277481;308.490692;2036.694824;0;-199.577393;377.097107;2079.480225;0;-171.378769;316.541077;2051.691895;2;-171.391434;-162.804550;2174.680420;2;-294.309326;-99.212944;2183.758057;2;-300.848419;197.609924;2178.385254;2;-247.485794;436.299377;2139.229980;0;-271.584717;542.931885;2137.164551;0;-266.869873;653.576477;2120.384766;0;-224.698273;562.903748;2116.686523;2;49.838982;215.978470;2480.664307;2;134.755112;313.269867;2078.706299;2;110.300964;635.470154;2320.346191;2;113.417297;726.976868;2145.275635;2;-113.974876;188.825867;2557.279785;2;-382.830933;299.026306;2251.607910;1;-221.216934;485.892029;2575.962891;1;-337.630737;621.275391;2541.898682;2;-162.978851;-236.215881;2068.911133;2;-228.893600;-267.993866;1916.061890;2;-190.971802;-307.668518;1937.791748;2;-88.447258;-304.012421;2023.519531;2;-242.963806;-302.939819;1955.531616;2;-248.777954;-302.809723;2093.583496
433533;1;2;-39.093884;208.045532;2517.145264;2;-56.555935;47.622814;2420.088135;2;-96.117004;-33.551975;2299.634033;2;-141.191315;-187.421967;2135.910156;2;-98.958061;-165.643951;2156.371826;2;45.505047;-141.238480;2120.288330;2;138.366684;134.755402;2137.110596;2;-49.376652;235.641525;2016.664307;0;-114.743980;311.562225;2033.796753;0;-194.839966;384.066528;2070.345459;0;-166.802017;321.326385;2046.979858;2;-168.234558;-159.994064;2171.015869;2;-293.385620;-101.091682;2182.687500;2;-300.138855;195.987549;2177.507324;2;-247.844818;435.177063;2138.603027;0;-270.282074;542.215332;2134.647949;0;-268.768372;654.096985;2127.718018;0;-220.327148;564.945435;2121.243164;2;48.454857;221.327530;2479.440430;2;134.229507;318.346069;2077.214111;2;107.731972;638.971313;2321.305664;2;117.349350;726.328003;2144.170166;2;-118.040436;196.068573;2551.145020;2;-385.828064;299.229736;2241.598145;1;-223.393509;482.998016;2567.752686;1;-338.857788;618.980164;2532.040039;2;-159.075363;-234.094971;2065.653809;2;-228.711273;-277.676697;1917.266357;2;-191.146759;-316.160645;1941.725708;2;-86.793190;-307.282440;2025.011108;2;-242.713287;-308.752045;1959.933350;1;-245.778275;-296.430603;2097.643555
466888;1;2;-40.175407;207.913879;2516.026367;2;-57.591721;46.984283;2418.931885;2;-97.130371;-34.714676;2298.377930;2;-141.796021;-189.497025;2134.640137;2;-99.531807;-167.530914;2155.147461;2;45.266518;-142.969040;2119.014893;2;139.183792;133.450745;2134.976318;2;-48.878223;236.149521;2015.379883;0;-112.580040;313.964600;2031.699951;0;-192.422150;386.293549;2069.957031;0;-162.592789;327.854584;2041.103638;2;-169.003555;-161.954910;2169.713379;2;-294.449677;-102.887108;2181.302979;2;-300.794434;194.905319;2176.048584;2;-247.927017;434.500763;2136.666748;0;-270.222656;541.772522;2131.296143;0;-268.358673;653.872559;2123.703125;0;-219.650070;563.869385;2121.583740;2;47.578732;221.223495;2478.225342;2;133.218307;317.812073;2074.813721;2;104.261215;639.601746;2318.680664;2;114.776428;729.768311;2142.482422;2;-119.307175;195.912018;2550.113281;2;-388.647369;300.182983;2240.917725;1;-224.413971;484.488007;2567.081543;1;-339.508575;621.539062;2532.066650;2;-159.537155;-236.513016;2064.324951;2;-224.670654;-283.752686;1914.558228;2;-186.670898;-321.070496;1940.449341;2;-84.342209;-308.534302;2026.249634;2;-238.947998;-314.715515;1957.381592;2;-245.615570;-300.751617;2095.137939
500222;1;2;-37.742561;211.374466;2518.891113;2;-57.891880;52.630112;2417.395264;2;-96.589432;-34.206070;2299.450195;2;-142.195099;-191.456192;2137.070557;2;-99.695457;-168.875046;2156.924805;2;44.059917;-141.766006;2116.261230;2;138.606995;135.415405;2135.803955;2;-50.107731;237.481796;2014.737427;0;-110.861626;318.967468;2026.119507;0;-189.037704;395.734619;2060.283936;0;-164.502243;333.517700;2027.354492;2;-169.294556;-163.703888;2172.364746;2;-295.429352;-104.869736;2184.187256;2;-300.729980;194.024490;2175.509766;2;-246.581711;433.769226;2132.796143;0;-269.342926;541.499817;2131.011719;0;-268.904877;654.297058;2129.365723;0;-216.198624;565.352539;2122.350830;2;49.901695;225.093185;2480.034912;2;134.571121;315.051453;2073.164062;2;101.624237;637.308472;2318.526367;2;111.911652;732.922852;2144.327393;2;-116.775246;199.003693;2553.929443;2;-393.129669;314.652771;2252.815186;1;-227.585938;497.465607;2581.151855;1;-343.799866;635.020874;2548.161865;2;-160.493774;-239.445984;2067.142578;2;-224.734726;-287.390045;1916.463501;2;-185.669220;-324.087463;1942.183594;2;-83.259315;-309.592804;2028.396118;2;-238.286545;-319.123108;1959.231934;2;-245.285553;-306.261810;2097.622070
533555;1;2;-44.690449;209.355942;2519.298584;2;-60.376709;50.593914;2419.510254;2;-99.268898;-33.420971;2300.937012;2;-142.576965;-188.197464;2137.824219;2;-100.644127;-165.643127;2157.965332;2;41.841312;-136.866180;2117.914795;2;134.097748;139.129944;2134.364014;2;-49.802586;239.140030;2007.775024;0;-116.651627;314.724182;2019.335938;0;-191.512817;398.539276;2038.310547;0;-164.599670;330.665649;2017.669678;2;-169.864273;-161.237564;2173.047607;2;-295.092529;-102.598969;2184.001709;2;-303.155853;194.150864;2175.334961;2;-247.756180;430.808929;2127.432129;0;-263.643188;538.994568;2125.882568;0;-278.347412;649.971680;2130.063965;0;-217.061920;564.635437;2116.960449;2;41.198788;225.980637;2479.347412;2;134.135864;315.397034;2077.271729;2;102.347984;637.767578;2317.925293;2;112.889465;730.237854;2143.620605;2;-122.140556;194.364716;2555.324219;2;-387.119446;313.516968;2249.541992;1;-229.636917;490.380768;2581.520752;1;-344.159607;627.846558;2549.297852;2;-160.056427;-235.250214;2067.796387;2;-224.765747;-282.540070;1918.457642;2;-187.062469;-319.790588;1944.461060;2;-85.222992;-307.380768;2030.214966;2;-239.199677;-313.249481;1961.194946;1;-246.142181;-298.943115;2098.471436
566866;1;2;-44.820831;209.365311;2519.171631;2;-60.443954;50.526901;2419.301514;2;-99.284325;-33.579685;2300.672119;2;-142.246521;-188.585159;2137.510010;2;-100.341949;-165.942581;2157.683350;2;42.190372;-136.796906;2117.756836;2;133.230194;139.782272;2134.008545;2;-50.923885;238.653473;2006.638306;0;-118.680275;313.654510;2017.153931;0;-194.791290;396.653900;2035.087158;0;-167.101166;329.105316;2013.492798;2;-169.618195;-161.637451;2172.718994;2;-295.035828;-103.205681;2183.569092;2;-303.816101;193.679596;2174.686035;2;-249.004440;430.606201;2126.734863;0;-265.625885;538.734497;2124.742920;0;-282.149292;649.533508;2128.467041;0;-218.472504;564.908020;2114.921631;2;41.116810;226.034317;2479.216797;2;134.169495;315.793732;2077.002197;2;102.236771;638.058533;2318.146729;2;112.864433;730.797363;2143.867432;2;-122.314583;194.334137;2555.200928;2;-387.998657;313.726593;2249.806885;1;-229.224075;490.104187;2581.702148;1;-343.745300;627.800110;2549.899902;2;-159.607666;-235.723892;2067.452637;2;-223.688477;-283.830475;1917.998657;2;-185.473068;-320.605255;1944.004883;2;-83.767410;-306.866364;2029.828735;2;-237.724396;-314.767853;1960.742188;2;-244.884064;-300.614166;2098.098877
600222;1;2;-54.759235;208.958237;2515.762695;2;-66.734436;49.943878;2418.183838;2;-102.768913;-33.932468;2299.845215;2;-143.372345;-187.994476;2137.443359;2;-102.030251;-165.372223;2157.868408;2;40.427326;-136.135315;2121.938965;2;127.070633;140.015869;2131.378418;2;-55.065243;239.764633;2005.093384;0;-123.115700;313.687408;2014.388306;0;-196.764465;398.310242;2029.745850;0;-169.991943;327.618469;2003.566040;2;-170.971848;-161.325592;2172.142578;2;-294.536255;-101.529633;2184.297363;2;-304.736450;193.179672;2174.250000;2;-250.062073;427.662506;2123.213623;0;-263.673523;535.406311;2126.388672;0;-300.236145;638.941284;2144.576660;0;-226.953720;561.168945;2095.400879;2;31.168364;225.921417;2477.574463;2;128.965881;314.498199;2079.354980;2;97.788437;632.919861;2320.962402;2;114.852287;728.572571;2150.381348;2;-132.243927;193.661774;2550.198975;2;-399.589722;318.214966;2252.503174;1;-240.863297;493.825195;2581.296631;1;-351.047058;633.254028;2549.020020;2;-159.792496;-234.861267;2067.721436;2;-224.572571;-281.801025;1919.552856;2;-184.014679;-316.877472;1943.320190;2;-81.726631;-300.097198;2026.404907;2;-235.684723;-314.458710;1961.377686;2;-239.976807;-304.757202;2098.263916
633555;1;2;-50.626228;205.314972;2522.156494;2;-63.325806;48.935623;2420.219971;2;-102.432625;-33.706753;2301.836670;2;-142.698395;-186.795715;2138.179199;2;-101.429001;-163.711166;2158.336182;2;41.539566;-134.777771;2123.712158;2;120.163910;144.121994;2128.577148;2;-60.261806;243.768341;1999.412964;0;-133.379395;312.856323;2008.295044;0;-207.581070;396.298462;2027.612427;0;-167.162170;326.384155;1991.819946;2;-170.291977;-160.921906;2173.540771;2;-295.087280;-103.183952;2184.239990;2;-306.171326;191.783600;2175.879395;2;-249.529144;425.973724;2124.690430;0;-263.220612;533.818970;2122.449219;0;-306.606140;636.181091;2129.285400;0;-222.534088;560.245239;2090.054932;2;32.835400;225.856949;2480.245361;2;125.558678;316.065002;2080.824951;2;101.270706;636.123657;2321.593994;2;111.971069;726.158081;2147.295898;2;-125.887260;186.791397;2559.949463;2;-392.015350;318.122253;2263.604004;1;-234.086975;488.903107;2595.710449;1;-351.185608;624.026306;2569.163330;2;-159.280273;-233.216553;2068.113525;2;-219.811203;-276.244873;1916.839111;2;-180.533035;-312.416748;1941.222290;2;-80.752594;-298.811951;2028.024658;2;-232.776718;-309.593689;1957.629028;2;-241.480377;-302.571930;2094.580078
