timestamp;body_idx;PELVIS (c);PELVIS (x);PELVIS (y);SPINE_NAVEL (c);SPINE_NAVEL (x);SPINE_NAVEL (y);SPINE_CHEST (c);SPINE_CHEST (x);SPINE_CHEST (y);NECK (c);NECK (x);NECK (y);CLAVICLE_LEFT (c);CLAVICLE_LEFT (x);CLAVICLE_LEFT (y);SHOULDER_LEFT (c);SHOULDER_LEFT (x);SHOULDER_LEFT (y);ELBOW_LEFT (c);ELBOW_LEFT (x);ELBOW_LEFT (y);WRIST_LEFT (c);WRIST_LEFT (x);WRIST_LEFT (y);HAND_LEFT (c);HAND_LEFT (x);HAND_LEFT (y);HANDTIP_LEFT (c);HANDTIP_LEFT (x);HANDTIP_LEFT (y);THUMB_LEFT (c);THUMB_LEFT (x);THUMB_LEFT (y);CLAVICLE_RIGHT (c);CLAVICLE_RIGHT (x);CLAVICLE_RIGHT (y);SHOULDER_RIGHT (c);SHOULDER_RIGHT (x);SHOULDER_RIGHT (y);ELBOW_RIGHT (c);ELBOW_RIGHT (x);ELBOW_RIGHT (y);WRIST_RIGHT (c);WRIST_RIGHT (x);WRIST_RIGHT (y);HAND_RIGHT (c);HAND_RIGHT (x);HAND_RIGHT (y);HANDTIP_RIGHT (c);HANDTIP_RIGHT (x);HANDTIP_RIGHT (y);THUMB_RIGHT (c);THUMB_RIGHT (x);THUMB_RIGHT (y);HIP_LEFT (c);HIP_LEFT (x);HIP_LEFT (y);KNEE_LEFT (c);KNEE_LEFT (x);KNEE_LEFT (y);ANKLE_LEFT (c);ANKLE_LEFT (x);ANKLE_LEFT (y);FOOT_LEFT (c);FOOT_LEFT (x);FOOT_LEFT (y);HIP_RIGHT (c);HIP_RIGHT (x);HIP_RIGHT (y);KNEE_RIGHT (c);KNEE_RIGHT (x);KNEE_RIGHT (y);ANKLE_RIGHT (c);ANKLE_RIGHT (x);ANKLE_RIGHT (y);FOOT_RIGHT (c);FOOT_RIGHT (x);FOOT_RIGHT (y);HEAD (c);HEAD (x);HEAD (y);NOSE (c);NOSE (x);NOSE (y);EYE_LEFT (c);EYE_LEFT (x);EYE_LEFT (y);EAR_LEFT (c);EAR_LEFT (x);EAR_LEFT (y);EYE_RIGHT (c);EYE_RIGHT (x);EYE_RIGHT (y);EAR_RIGHT (c);EAR_RIGHT (x);EAR_RIGHT (y)
333555;1;2;909.680481;635.483459;2;900.439209;571.156616;2;890.240356;519.645020;2;872.376221;436.674622;2;888.380676;449.717346;2;935.947021;461.106750;2;943.056763;569.943298;2;874.995056;493.420593;2;866.791687;472.898895;0;861.663086;478.380920;2;825.551575;473.632874;2;862.984070;451.706818;2;812.085815;468.867584;2;769.370361;574.690735;2;825.271240;525.247986;2;834.162354;480.670807;2;843.612976;433.490387;2;834.250732;475.259338;2;941.736389;636.876892;2;977.818542;777.056213;2;991.414246;898.839600;2;985.208130;975.661499;2;881.558655;634.282166;2;792.579346;766.255798;2;829.239929;882.163025;2;784.892029;935.919800;2;863.171509;405.711548;2;830.143616;384.718079;2;847.265320;368.657043;2;892.630188;375.552551;2;825.503784;371.644409;2;828.837402;379.494751
366877;1;2;912.915894;631.014832;2;904.388306;563.269470;2;893.873413;509.980896;2;875.039917;422.803986;2;892.012573;436.459290;2;941.207458;447.017578;2;945.098572;561.879272;2;869.583862;482.801239;2;865.050049;445.088013;0;844.242554;429.396606;2;825.925598;441.995392;2;865.039062;438.744171;2;810.379456;455.141296;2;767.814941;566.629272;2;827.546997;500.509460;0;829.242249;451.268921;0;836.310120;429.374573;0;837.137512;448.950378;2;947.200195;631.980591;2;979.740356;774.271790;2;990.597046;904.316162;2;985.364685;976.940979;2;882.764893;630.188477;2;783.567627;761.012329;2;827.184875;880.518677;2;779.326599;936.011841;2;865.427979;390.084106;2;833.588135;367.570007;2;852.010925;351.041992;2;898.376831;359.762512;2;828.479126;353.089539;2;829.675781;360.549683
400222;1;2;911.526306;623.141357;2;904.520264;554.286865;2;894.743225;499.990692;2;878.849792;409.999084;2;895.650330;424.449219;2;945.532654;434.664734;2;954.026672;551.364502;2;865.275208;480.383881;2;870.473083;433.368164;0;845.995972;414.535339;0;832.152832;428.400757;2;868.015381;426.138763;2;811.608093;441.186340;2;766.475403;555.286011;2;829.291016;488.772888;0;834.191772;438.483521;0;845.671997;416.643311;0;841.109863;435.835327;2;945.802063;625.483337;2;979.565491;769.247253;2;989.810547;906.121216;2;986.914185;978.212402;2;881.467529;621.108948;2;788.989014;756.817444;2;825.692932;881.201294;2;779.659241;938.706421;2;870.387268;375.981995;2;836.889648;351.094849;2;855.887146;334.610474;2;903.677856;344.699890;2;832.153564;336.858032;2;834.499756;346.113861
433555;1;2;912.695557;615.050232;2;906.978943;544.939697;2;898.668701;489.181152;2;883.722839;397.308044;2;900.534668;412.013489;2;951.871277;419.200897;2;952.584351;533.386414;2;864.868469;459.621155;0;875.565552;419.118683;0;860.767029;385.598511;0;851.804932;402.917175;2;872.539551;413.837219;2;815.606750;428.694977;2;768.742920;542.484253;2;831.213440;472.720520;0;837.130920;422.655396;0;847.170349;399.413574;0;842.313782;419.224304;2;947.639709;617.437683;2;978.507446;765.211060;2;988.535645;906.150513;2;985.964722;977.903992;2;882.008911;612.973816;2;791.242798;751.823608;2;826.840210;880.929810;2;779.843323;938.748413;2;875.692810;362.407196;2;843.532043;337.472687;2;862.537842;320.837982;2;909.794983;331.147827;2;838.405273;322.862183;2;839.427979;331.810120
466866;1;2;913.767822;606.378357;2;907.977905;534.851685;2;900.142517;477.483826;2;886.999084;383.114929;2;903.690918;398.270844;2;955.621643;402.711884;2;957.784424;518.858765;2;867.877380;444.686340;0;880.210388;411.237030;0;862.777954;377.197968;0;868.237976;387.088196;2;875.310303;400.033936;2;817.203979;412.244568;2;769.286072;524.503357;2;838.096741;453.714844;0;846.175720;403.969055;0;858.787659;380.719574;0;853.258850;401.746094;2;949.560913;608.090027;2;977.475403;760.681458;2;989.724731;906.040894;2;984.312195;976.781860;2;882.282959;604.891235;2;793.715576;748.037720;2;826.078491;880.194214;2;779.868652;939.003418;2;879.700684;347.043884;2;843.935059;321.319977;2;862.825073;303.994690;2;912.226196;313.460693;2;839.012146;307.315277;2;842.665771;317.973999
500222;1;2;911.613892;597.140320;2;908.376892;525.181030;2;903.199829;466.723877;2;889.861938;371.929871;2;906.614990;386.962646;2;959.207886;390.988373;2;957.384521;505.028168;2;871.378296;428.056519;0;879.263672;394.287933;0;865.930115;361.474854;0;863.531799;371.801514;2;878.153748;389.114899;2;820.628540;403.137878;2;768.924622;515.081482;2;839.150940;445.469574;0;850.460693;395.705139;0;866.494507;393.046997;0;861.774658;396.807312;2;947.205933;600.085266;2;977.324036;756.100891;2;988.492676;905.063965;2;984.734375;977.232300;2;880.328125;594.567810;2;799.867554;743.189148;2;825.475952;879.312988;2;781.234619;939.199158;2;882.600098;335.604797;2;848.853516;303.631531;2;868.392700;288.202728;2;916.703247;302.656616;2;844.420410;290.926178;2;846.926025;305.888672
533544;1;2;911.324524;586.369995;2;908.228455;514.094177;2;903.716675;454.942871;2;893.005676;359.282501;2;909.273682;374.659027;2;961.303406;378.694916;2;961.332153;490.397583;2;877.125793;411.256836;0;882.221375;378.234802;0;863.595886;350.550262;0;863.183350;357.007874;2;880.874146;376.398193;2;823.275940;388.707672;2;769.871094;497.917786;2;848.466248;430.417572;0;859.256348;380.312500;0;861.299194;364.377258;0;861.172424;375.458679;2;946.931519;589.081421;2;975.331543;748.458984;2;988.253723;902.148682;2;982.198608;976.531311;2;880.016174;583.998901;2;805.644165;736.123291;2;825.669678;876.577515;2;781.461853;937.015930;2;886.796631;322.459229;2;853.963867;293.015533;2;872.294983;276.524475;2;919.702026;288.257446;2;848.362000;280.175781;2;849.654602;294.107178
566888;1;2;911.763733;577.688110;2;909.821594;504.713715;2;906.868164;444.639893;2;895.773132;348.506897;2;912.080444;363.821472;2;963.457031;367.196350;2;963.284973;477.811188;2;878.438721;401.244263;0;882.856567;364.522949;0;862.135132;338.968872;0;862.703552;346.584595;2;883.736694;365.846558;2;826.149231;377.951416;2;770.711487;484.050171;2;853.422974;415.731384;0;869.644531;368.765076;0;864.589294;364.462982;0;868.581177;363.584106;2;947.570679;580.564636;2;975.421631;743.579529;2;986.929138;900.344482;2;982.928772;975.392212;2;880.265686;575.168274;2;812.886963;730.950623;2;826.206665;872.995483;2;782.068298;933.755615;2;889.402283;311.428009;2;856.589172;280.247925;2;875.423035;264.343872;2;922.932190;277.758392;2;851.514099;267.527863;2;853.109131;282.306915
600222;1;2;911.783936;567.617859;2;909.823120;493.852417;2;907.602844;432.975952;2;896.909607;336.602692;2;913.133118;351.913330;2;962.819336;356.326599;2;966.685547;466.052399;2;882.090149;387.453247;0;883.197998;354.567078;0;867.276306;325.080078;0;862.965637;334.563934;2;884.804749;354.031799;2;827.655640;366.346405;2;777.683105;474.425568;2;859.158020;400.287903;0;868.908020;365.341858;0;866.690430;342.852844;0;866.775818;362.944122;2;947.860107;569.814453;2;974.268677;736.266052;2;988.068359;898.300903;2;983.589722;974.708008;2;880.022888;565.691589;2;819.155273;724.780640;2;828.293701;870.299133;2;784.165405;931.097656;2;890.759766;299.336487;2;860.913269;273.482056;2;879.512817;256.726593;2;925.328491;267.699432;2;855.260071;258.655548;2;854.438599;268.024414
633555;1;2;911.338501;561.081177;2;908.739502;487.058777;2;906.781982;425.739502;2;897.549561;328.775879;2;913.545654;344.237244;2;963.691223;348.372253;2;969.968262;457.417542;2;882.885376;386.120239;0;880.101685;337.908081;0;863.097351;314.156067;0;862.971741;324.690460;2;885.156616;346.227112;2;827.697205;356.820648;2;781.054138;466.673004;2;861.673584;392.551117;0;864.709961;361.399689;0;870.598022;337.129150;0;867.396240;357.064270;2;947.678833;562.762146;2;971.997131;732.447144;2;987.116882;896.908875;2;981.443542;973.069580;2;879.308838;559.605103;2;823.616943;720.828003;2;830.112427;868.404724;2;785.752563;929.573669;2;892.031616;291.173096;2;867.027527;261.274078;2;885.246582;245.768707;2;928.067383;260.020691;2;860.550964;247.253174;2;855.833984;259.401550
