timestamp;body_idx;PELVIS (c);PELVIS (x);PELVIS (y);PELVIS (z);SPINE_NAVEL (c);SPINE_NAVEL (x);SPINE_NAVEL (y);SPINE_NAVEL (z);SPINE_CHEST (c);SPINE_CHEST (x);SPINE_CHEST (y);SPINE_CHEST (z);NECK (c);NECK (x);NECK (y);NECK (z);CLAVICLE_LEFT (c);CLAVICLE_LEFT (x);CLAVICLE_LEFT (y);CLAVICLE_LEFT (z);SHOULDER_LEFT (c);SHOULDER_LEFT (x);SHOULDER_LEFT (y);SHOULDER_LEFT (z);ELBOW_LEFT (c);ELBOW_LEFT (x);ELBOW_LEFT (y);ELBOW_LEFT (z);WRIST_LEFT (c);WRIST_LEFT (x);WRIST_LEFT (y);WRIST_LEFT (z);HAND_LEFT (c);HAND_LEFT (x);HAND_LEFT (y);HAND_LEFT (z);HANDTIP_LEFT (c);HANDTIP_LEFT (x);HANDTIP_LEFT (y);HANDTIP_LEFT (z);THUMB_LEFT (c);THUMB_LEFT (x);THUMB_LEFT (y);THUMB_LEFT (z);CLAVICLE_RIGHT (c);CLAVICLE_RIGHT (x);CLAVICLE_RIGHT (y);CLAVICLE_RIGHT (z);SHOULDER_RIGHT (c);SHOULDER_RIGHT (x);SHOULDER_RIGHT (y);SHOULDER_RIGHT (z);ELBOW_RIGHT (c);ELBOW_RIGHT (x);ELBOW_RIGHT (y);ELBOW_RIGHT (z);WRIST_RIGHT (c);WRIST_RIGHT (x);WRIST_RIGHT (y);WRIST_RIGHT (z);HAND_RIGHT (c);HAND_RIGHT (x);HAND_RIGHT (y);HAND_RIGHT (z);HANDTIP_RIGHT (c);HANDTIP_RIGHT (x);HANDTIP_RIGHT (y);HANDTIP_RIGHT (z);THUMB_RIGHT (c);THUMB_RIGHT (x);THUMB_RIGHT (y);THUMB_RIGHT (z);HIP_LEFT (c);HIP_LEFT (x);HIP_LEFT (y);HIP_LEFT (z);KNEE_LEFT (c);KNEE_LEFT (x);KNEE_LEFT (y);KNEE_LEFT (z);ANKLE_LEFT (c);ANKLE_LEFT (x);ANKLE_LEFT (y);ANKLE_LEFT (z);FOOT_LEFT (c);FOOT_LEFT (x);FOOT_LEFT (y);FOOT_LEFT (z);HIP_RIGHT (c);HIP_RIGHT (x);HIP_RIGHT (y);HIP_RIGHT (z);KNEE_RIGHT (c);KNEE_RIGHT (x);KNEE_RIGHT (y);KNEE_RIGHT (z);ANKLE_RIGHT (c);ANKLE_RIGHT (x);ANKLE_RIGHT (y);ANKLE_RIGHT (z);FOOT_RIGHT (c);FOOT_RIGHT (x);FOOT_RIGHT (y);FOOT_RIGHT (z);HEAD (c);HEAD (x);HEAD (y);HEAD (z);NOSE (c);NOSE (x);NOSE (y);NOSE (z);EYE_LEFT (c);EYE_LEFT (x);EYE_LEFT (y);EYE_LEFT (z);EAR_LEFT (c);EAR_LEFT (x);EAR_LEFT (y);EAR_LEFT (z);EYE_RIGHT (c);EYE_RIGHT (x);EYE_RIGHT (y);EYE_RIGHT (z);EAR_RIGHT (c);EAR_RIGHT (x);EAR_RIGHT (y);EAR_RIGHT (z)
434522;1;2;3.590730;-106.762245;2365.517578;2;21.614351;-274.836456;2287.629639;2;40.398987;-404.474030;2217.055908;2;70.812531;-603.809387;2113.910400;2;97.115028;-574.509949;2146.535645;2;240.929550;-539.644409;2165.040527;2;344.403442;-271.983582;2137.436523;2;239.818420;-482.393341;2079.674561;0;179.203217;-447.934326;2007.357178;0;178.908157;-547.481201;1954.465576;0;177.732712;-515.471558;1948.138916;2;33.667484;-568.269775;2117.135254;2;-62.773109;-524.237488;2030.053589;2;-54.025188;-240.200989;1955.673828;2;117.103516;-414.499176;1936.347534;0;173.414810;-463.871307;2014.390503;2;145.589432;-509.244873;1917.209473;0;139.877731;-540.686768;1950.334961;2;89.428650;-116.059250;2405.442871;2;316.023834;227.174973;2332.839600;2;235.488510;573.851807;2513.507080;2;337.634552;675.753235;2381.678955;2;-73.813095;-98.378723;2329.515137;2;-92.716797;258.175049;2113.730469;2;-153.952332;602.183105;2315.199219;2;-157.618286;713.631165;2174.135742;2;87.822845;-671.249146;2064.668701;2;161.003357;-691.203064;1915.174683;2;164.108810;-735.982056;1952.522217;2;162.329514;-748.836243;2084.136963;2;118.772667;-723.364319;1924.945190;2;9.502735;-723.079407;2007.061035
467844;1;2;9.357378;-124.035927;2366.418945;2;21.605141;-296.949402;2290.229004;2;37.819550;-429.759430;2219.421875;2;66.536713;-639.486206;2128.395020;2;92.993217;-608.361023;2160.606689;2;239.079453;-576.799988;2186.732666;2;348.573547;-309.127197;2137.893066;2;228.961487;-520.826965;2099.498291;0;169.222626;-486.997620;2023.789185;0;163.536026;-578.584900;1955.000977;0;171.430557;-528.389465;1957.865845;2;29.694960;-602.219910;2128.091797;2;-63.953453;-558.536011;2034.262207;2;-57.788578;-269.772705;1957.539062;2;132.017776;-431.098541;1948.084473;0;175.799423;-487.421539;2031.870361;0;154.361343;-539.429077;1934.182495;0;145.584808;-565.886902;1940.520752;2;93.055740;-138.537903;2412.785889;2;318.012024;213.949631;2337.389404;2;243.227280;572.685059;2512.344238;2;339.834320;681.010010;2376.449707;2;-66.117119;-110.958862;2324.607666;2;-92.778961;262.638794;2124.950684;2;-153.681580;614.372681;2327.323242;2;-157.692596;711.951294;2172.635742;2;83.575546;-711.536743;2083.283447;2;159.316574;-727.048035;1931.266113;2;164.439972;-772.754700;1968.865967;2;162.839310;-787.110107;2102.638184;2;117.860672;-761.780518;1940.772461;2;6.553408;-767.312378;2023.944824
501188;1;2;7.613748;-144.630753;2362.085938;2;19.326883;-319.851929;2288.343506;2;33.753052;-456.174072;2222.056152;2;66.359459;-666.373352;2129.989258;2;91.792824;-635.208496;2163.458252;2;238.290298;-608.146912;2196.595215;2;349.444702;-340.221252;2142.743164;2;231.804398;-555.021362;2106.195801;0;173.974564;-523.772888;2027.153198;0;171.281204;-619.657532;1963.069824;0;174.722061;-548.143921;1964.200684;2;29.194521;-629.012268;2128.746094;2;-65.583572;-590.885925;2032.433716;2;-51.622116;-298.239655;1965.149048;2;133.978668;-466.130371;1980.681152;0;172.243286;-533.600769;2059.648438;0;167.527481;-583.396057;1957.885864;0;150.661621;-595.458862;1946.484619;2;90.210938;-159.825958;2411.311035;2;307.778717;201.334564;2341.324463;2;244.324005;568.176758;2509.377930;2;339.118958;683.385681;2376.176758;2;-66.867767;-130.928558;2317.697510;2;-94.540474;255.550980;2138.405762;2;-155.663254;612.105835;2337.159424;2;-158.356430;712.872131;2183.210938;2;85.224579;-738.461731;2084.680908;2;146.837173;-757.259399;1925.681519;2;156.395599;-802.043091;1964.072510;2;167.820480;-812.632935;2098.515381;2;106.878601;-792.555176;1940.119629;2;3.476542;-797.463257;2034.193970
534511;1;2;13.298502;-164.098907;2357.728271;2;26.515345;-338.981079;2281.974854;2;38.459908;-477.814453;2219.455078;2;64.505440;-693.019958;2135.452393;2;91.067795;-661.234924;2167.686035;2;237.158783;-640.168152;2208.261719;2;349.421814;-372.986816;2148.452637;2;233.585922;-590.482422;2117.426758;0;174.299057;-561.700562;2038.123657;0;163.715851;-655.244019;1970.848511;0;178.726791;-571.574402;1975.480713;2;28.356318;-654.526306;2132.823730;2;-69.167389;-622.270752;2036.488525;2;-49.340260;-332.629517;1955.091797;2;139.252640;-494.604462;1993.214722;0;174.525955;-567.259094;2069.395264;0;169.498856;-606.445923;1962.744873;0;148.173584;-618.648560;1946.990723;2;95.603348;-179.617920;2407.914795;2;295.627594;195.584366;2353.241699;2;248.501343;568.653564;2515.873779;2;337.403534;683.310974;2377.332031;2;-60.919388;-150.104721;2312.472900;2;-96.605598;246.049561;2153.826904;2;-156.088211;612.194336;2337.676025;2;-158.273911;713.077515;2183.131836;2;81.085762;-767.600647;2092.857910;2;140.965439;-789.989075;1933.103271;2;152.439835;-833.307983;1972.905518;2;166.259109;-839.098633;2107.827148;2;102.157036;-826.018005;1949.388916;2;0.081308;-830.749939;2045.527222
567855;1;2;14.442098;-189.140274;2353.729004;2;25.787569;-366.647491;2278.980957;2;35.863613;-507.834198;2217.694824;2;63.537582;-727.140625;2138.544678;2;90.468040;-693.819336;2169.757080;2;238.105621;-670.402954;2209.188232;2;358.479309;-405.087189;2142.632080;2;233.579010;-620.945923;2115.802979;0;177.990723;-592.682739;2032.403442;0;166.129837;-687.762390;1965.512329;0;172.849274;-575.408325;1989.088745;2;26.512360;-688.795410;2135.390381;2;-73.441948;-656.734497;2039.429688;2;-40.032085;-366.778961;1952.637817;2;145.681137;-534.579590;1995.896973;0;172.155228;-611.472229;2073.090088;0;172.996674;-664.602661;1971.258911;0;144.471024;-657.082336;1945.866455;2;98.962364;-204.169693;2402.248535;2;276.941925;188.516144;2362.736816;2;248.323792;569.033447;2522.690430;2;331.426605;684.180603;2378.187256;2;-61.773540;-175.587601;2309.976807;2;-101.720284;233.536453;2175.594727;2;-155.452728;612.951416;2342.853760;2;-158.567139;709.677124;2183.543457;2;80.542755;-803.433411;2097.383057;2;131.497803;-813.093018;1931.524780;2;145.401947;-859.800293;1967.429321;2;167.281479;-876.225830;2101.769531;2;93.322983;-850.824768;1947.323120;2;-3.927406;-863.631897;2049.574219
601177;1;2;17.781769;-213.032822;2346.054688;2;27.947367;-390.635834;2275.291504;2;35.542904;-532.996094;2219.595703;2;59.077938;-752.097229;2143.959229;2;86.934006;-718.740173;2173.590332;2;236.607132;-696.001831;2198.373535;2;349.730988;-428.095306;2140.315918;2;226.728058;-642.069397;2108.146729;0;165.564117;-610.280945;2031.163208;0;159.291489;-709.641113;1971.716309;0;163.515747;-659.494934;1968.292358;2;22.551102;-713.810425;2141.250000;2;-74.202499;-683.687927;2043.024536;2;-54.048355;-396.478638;1951.344604;2;136.369278;-561.277527;1961.847168;0;178.196640;-608.542603;2053.475342;0;173.837875;-688.905640;1972.769287;0;143.911057;-692.753296;1956.094971;2;103.098213;-226.473129;2392.043701;2;257.093750;174.378342;2379.104492;2;249.609573;559.050842;2522.428467;2;325.524994;682.414307;2383.020508;2;-59.151825;-200.913132;2304.584717;2;-105.088562;211.317749;2194.483154;2;-154.388367;594.734314;2345.138916;2;-158.166412;706.125854;2197.524902;2;74.192291;-828.601257;2103.921875;2;130.549164;-835.863647;1941.113770;2;142.634689;-882.944946;1976.399902;2;159.390686;-901.729248;2110.092529;2;91.790489;-873.197632;1954.770264;2;-8.407384;-886.700073;2052.478516
634522;1;2;18.978580;-233.679138;2339.752197;2;28.226086;-412.917725;2270.048096;2;32.085686;-558.773376;2221.018555;2;56.638054;-780.267944;2148.665771;2;84.134560;-746.369202;2178.548096;2;230.668274;-720.604431;2219.353271;2;343.520935;-453.047638;2151.384521;2;232.264160;-675.490356;2123.181396;0;188.512146;-658.357849;2030.489868;0;151.600449;-725.309387;1942.434692;0;183.323242;-669.186646;1981.531494;2;20.087366;-741.705444;2144.622803;2;-76.256355;-709.051941;2045.652832;2;-53.735359;-419.046295;1957.739380;2;141.546509;-578.406677;1984.569336;0;174.206436;-656.241028;2058.021484;0;174.361984;-729.970093;1970.257812;0;145.384537;-708.958679;1947.954834;2;107.171547;-245.473160;2381.780029;2;238.128067;166.075806;2393.676758;2;252.186295;557.824036;2523.385010;2;331.179749;683.018188;2385.680420;2;-60.548893;-223.043961;2301.854004;2;-106.621910;197.379150;2215.925293;2;-153.948547;589.117371;2351.555908;2;-159.142303;705.926758;2206.883789;2;72.428192;-857.826843;2109.845215;2;138.344879;-856.866638;1949.446655;2;149.707825;-905.378174;1983.598877;2;159.490677;-929.545410;2117.905029;2;99.637161;-895.860107;1959.388672;2;-6.086111;-915.936523;2051.112549
667844;1;2;21.845181;-242.607437;2323.112305;2;27.692730;-426.146820;2264.833252;2;29.309893;-574.719482;2224.261719;2;54.391609;-796.819275;2153.485352;2;82.174568;-762.388916;2182.542480;2;229.608994;-727.949036;2212.675049;2;347.877533;-461.048767;2150.781006;2;235.363022;-682.474854;2118.467529;0;186.166321;-661.049072;2029.396484;0;152.531906;-742.056213;1952.439453;0;177.322693;-670.317383;1980.620483;2;17.421749;-758.578125;2149.772217;2;-78.656647;-720.150146;2052.504395;2;-46.899628;-433.467804;1956.274048;2;137.909958;-603.608948;1991.329956;0;173.689880;-689.299927;2053.881348;0;171.367020;-748.334473;1955.572876;0;143.092209;-731.429749;1946.206177;2;110.393433;-253.053223;2364.894043;2;221.540329;162.303482;2409.883301;2;248.491745;557.933472;2525.874268;2;318.972076;678.873047;2379.813721;2;-58.002686;-233.188004;2285.435791;2;-107.283401;193.626312;2241.874268;2;-155.503143;590.938354;2360.750732;2;-158.882584;698.750793;2209.060059;2;70.115944;-874.658386;2115.075439;2;123.817505;-874.601013;1950.067505;2;140.754562;-921.271729;1984.541138;2;161.984695;-940.640564;2118.390625;2;88.492050;-915.602783;1963.942627;2;-8.718934;-939.318420;2063.975342
701188;1;2;24.923244;-246.456192;2316.435791;2;29.519405;-429.470337;2256.519775;2;29.205126;-578.447021;2217.524414;2;48.257042;-803.472290;2154.679443;2;76.839310;-768.873596;2182.728516;2;224.015945;-736.204834;2215.819580;2;344.066711;-469.492950;2156.847900;2;237.344498;-693.028992;2120.040771;0;183.663086;-668.840637;2034.350830;0;152.502670;-751.182556;1957.798706;0;172.054764;-675.870605;1986.322998;2;12.447377;-764.337952;2149.370605;2;-82.257004;-728.472351;2049.836914;2;-45.506241;-443.696503;1949.949341;2;136.584930;-613.271484;1998.915527;0;168.198288;-702.432068;2058.771729;0;168.683548;-761.999756;1960.780762;0;144.891953;-741.840332;1950.781006;2;115.389206;-256.469360;2353.960693;2;212.175262;159.852234;2418.356201;2;250.574051;555.966553;2529.111328;2;320.905548;675.833801;2382.143311;2;-56.653896;-237.426880;2282.597900;2;-107.981773;190.739426;2260.802734;2;-154.525482;591.933350;2366.320068;2;-159.458633;697.259521;2212.971436;2;61.951309;-883.010803;2119.111572;2;133.617523;-887.779236;1961.178345;2;149.094635;-931.617371;1999.790894;2;156.284653;-943.148926;2135.991943;2;99.232857;-930.083618;1973.367188;2;-7.084723;-954.653931;2063.396484
734511;1;2;27.819662;-248.362793;2304.996338;2;32.537254;-432.187744;2247.589111;2;31.816963;-582.317749;2213.268066;2;48.177345;-810.271301;2161.070801;2;77.173302;-774.734863;2187.480225;2;224.177750;-745.131409;2224.075928;2;343.904083;-480.684570;2155.020752;2;237.409683;-705.671753;2127.460449;0;179.687164;-682.460205;2044.153442;0;154.014160;-765.694153;1966.526611;0;170.682297;-686.326355;1994.126465;2;12.835978;-771.002502;2153.909180;2;-83.619652;-737.899536;2055.091064;2;-48.628765;-455.583008;1947.811646;2;135.374939;-624.889404;1990.188965;0;172.488831;-709.050659;2054.006104;0;168.656525;-771.206116;1957.703247;0;144.047943;-757.415100;1958.443604;2;120.022133;-256.477814;2338.558350;2;200.938232;158.671646;2427.791748;2;252.326523;554.144470;2535.622559;2;321.034241;675.111511;2388.771973;2;-55.323364;-241.045151;2274.731689;2;-108.490555;187.231277;2289.209961;2;-155.468704;593.319092;2373.839844;2;-154.756088;693.484497;2216.983154;2;60.919926;-891.555420;2129.284180;2;127.422363;-890.168884;1969.032593;2;141.529160;-937.169678;2004.311523;2;152.140869;-957.750000;2139.224121;2;91.061455;-931.211670;1979.722046;2;-13.736066;-955.593689;2071.579102
