timestamp;body_idx;PELVIS (c);PELVIS (x);PELVIS (y);SPINE_NAVEL (c);SPINE_NAVEL (x);SPINE_NAVEL (y);SPINE_CHEST (c);SPINE_CHEST (x);SPINE_CHEST (y);NECK (c);NECK (x);NECK (y);CLAVICLE_LEFT (c);CLAVICLE_LEFT (x);CLAVICLE_LEFT (y);SHOULDER_LEFT (c);SHOULDER_LEFT (x);SHOULDER_LEFT (y);ELBOW_LEFT (c);ELBOW_LEFT (x);ELBOW_LEFT (y);WRIST_LEFT (c);WRIST_LEFT (x);WRIST_LEFT (y);HAND_LEFT (c);HAND_LEFT (x);HAND_LEFT (y);HANDTIP_LEFT (c);HANDTIP_LEFT (x);HANDTIP_LEFT (y);THUMB_LEFT (c);THUMB_LEFT (x);THUMB_LEFT (y);CLAVICLE_RIGHT (c);CLAVICLE_RIGHT (x);CLAVICLE_RIGHT (y);SHOULDER_RIGHT (c);SHOULDER_RIGHT (x);SHOULDER_RIGHT (y);ELBOW_RIGHT (c);ELBOW_RIGHT (x);ELBOW_RIGHT (y);WRIST_RIGHT (c);WRIST_RIGHT (x);WRIST_RIGHT (y);HAND_RIGHT (c);HAND_RIGHT (x);HAND_RIGHT (y);HANDTIP_RIGHT (c);HANDTIP_RIGHT (x);HANDTIP_RIGHT (y);THUMB_RIGHT (c);THUMB_RIGHT (x);THUMB_RIGHT (y);HIP_LEFT (c);HIP_LEFT (x);HIP_LEFT (y);KNEE_LEFT (c);KNEE_LEFT (x);KNEE_LEFT (y);ANKLE_LEFT (c);ANKLE_LEFT (x);ANKLE_LEFT (y);FOOT_LEFT (c);FOOT_LEFT (x);FOOT_LEFT (y);HIP_RIGHT (c);HIP_RIGHT (x);HIP_RIGHT (y);KNEE_RIGHT (c);KNEE_RIGHT (x);KNEE_RIGHT (y);ANKLE_RIGHT (c);ANKLE_RIGHT (x);ANKLE_RIGHT (y);FOOT_RIGHT (c);FOOT_RIGHT (x);FOOT_RIGHT (y);HEAD (c);HEAD (x);HEAD (y);NOSE (c);NOSE (x);NOSE (y);EYE_LEFT (c);EYE_LEFT (x);EYE_LEFT (y);EAR_LEFT (c);EAR_LEFT (x);EAR_LEFT (y);EYE_RIGHT (c);EYE_RIGHT (x);EYE_RIGHT (y);EAR_RIGHT (c);EAR_RIGHT (x);EAR_RIGHT (y)
333511;1;2;931.777405;768.829590;2;917.957214;709.128052;2;908.982849;670.125977;2;884.758789;624.968445;2;901.483826;628.568970;2;957.486755;631.427734;2;1004.086487;707.424988;2;929.117676;753.865356;0;903.519470;780.205444;0;902.284180;815.928650;0;903.257446;794.001953;2;876.454590;636.479614;2;839.984314;669.865112;2;826.969482;780.888550;2;846.321289;874.765259;0;845.438843;922.259644;0;841.252869;972.685791;0;867.092957;931.130737;2;963.346924;760.702515;2;970.915466;823.212769;2;985.373230;915.157410;2;1004.278442;989.026306;2;903.123413;776.250000;1;895.658630;832.846924;1;937.922729;940.067383;1;943.313110;1009.151550;2;875.549377;610.786865;2;847.391174;607.691406;2;861.322998;588.624451;2;902.104858;582.438171;2;840.194519;592.579346;2;839.289917;588.448486
366888;1;2;930.372131;770.292358;2;917.269043;709.687744;2;908.094055;671.433228;2;883.842041;626.337036;2;900.738464;629.916260;2;957.353333;633.208679;2;1002.581482;712.716980;2;927.088623;761.037598;0;900.968933;784.892456;0;894.764771;819.335083;0;893.017822;796.228699;2;875.384094;637.852295;2;838.993958;672.600403;2;826.734131;786.046509;2;848.316040;881.531006;0;845.696411;930.080688;0;854.901855;978.420776;0;871.897461;939.681885;2;962.498291;763.098633;2;970.177856;817.526978;2;986.191528;915.984558;2;1005.224243;991.740479;2;901.298645;776.847961;1;889.401306;835.547607;1;931.735168;941.036987;1;936.532227;1012.051514;2;874.614868;612.234619;2;850.784729;609.411987;2;864.437012;590.085510;2;903.023193;583.845581;2;842.432617;593.912170;2;837.510132;589.321899
400211;1;2;927.894348;769.335571;2;918.229248;708.397095;2;908.626465;672.455688;2;883.623840;627.328491;2;900.698486;631.111267;2;957.466125;633.864990;2;1001.286377;712.927673;2;926.964233;763.200134;0;900.481995;787.143127;0;895.016052;821.477051;0;891.273560;795.938843;2;875.279419;638.641113;2;838.194641;672.804993;2;827.769287;786.662109;2;847.991821;882.669678;0;847.084106;931.287903;0;856.058899;980.378418;0;871.308289;940.058472;2;960.349121;765.654663;2;970.146179;815.853394;2;986.356140;915.139648;2;1004.879517;992.485107;2;898.781067;772.682678;1;878.159668;845.110840;1;919.186157;941.776855;1;918.570068;1015.111328;2;873.950073;613.260132;2;848.951721;608.782043;2;863.400574;589.982300;2;902.956848;585.462341;2;841.388611;593.210938;2;837.664429;589.220764
433555;1;2;928.767883;766.208008;2;920.249390;708.264038;2;907.145325;674.664062;2;883.767822;628.895203;2;900.722168;633.599121;2;957.439697;635.997498;2;999.984436;716.237732;2;925.360657;766.261414;0;898.394348;790.032043;0;890.353760;824.623474;0;887.875671;796.424927;2;875.033569;639.499573;2;834.879517;671.760559;2;827.296936;785.650269;2;850.671509;880.771729;0;847.044617;929.352661;0;856.693665;978.197510;0;870.841736;938.897095;2;960.021790;766.985474;2;966.730225;814.009460;2;987.050354;915.792358;2;1002.225708;993.892212;2;901.114441;765.561646;2;812.844238;813.892334;1;877.885864;898.625244;1;860.441895;969.417114;2;874.431458;614.638428;2;849.024780;611.053345;2;863.353577;592.065369;2;903.073059;586.825562;2;841.439331;595.404053;2;838.032288;590.871155
466877;1;2;928.761353;766.207275;2;920.243225;708.263428;2;907.138855;674.662170;2;883.765625;628.889221;2;900.718994;633.594604;2;957.434143;636.008728;2;999.951599;716.269531;2;925.303955;766.253540;0;898.315186;789.983154;0;890.105835;824.549622;0;887.787170;796.353516;2;875.030884;639.493530;2;834.879578;671.755249;2;827.299683;785.645447;2;850.676331;880.759094;0;847.053101;929.338379;0;856.665161;978.211182;0;870.879211;938.869263;2;960.014099;766.985107;2;966.713318;813.991089;2;987.033081;915.777588;2;1002.195618;993.864136;2;901.108887;765.560669;2;812.667603;813.825073;1;877.968506;898.494629;1;860.523804;969.280640;2;874.430786;614.630554;2;849.048096;611.010376;2;863.375366;592.029053;2;903.079773;586.812561;2;841.459351;595.368591;2;838.033508;590.863159
500222;1;2;928.749695;766.142517;2;920.227112;708.201904;2;907.123779;674.565735;2;883.767456;628.707153;2;900.708923;633.429871;2;957.382202;635.887573;2;999.836792;716.211426;2;925.181396;766.094360;0;898.221985;789.751526;0;890.006714;824.251770;0;887.748718;796.096802;2;875.038086;639.323608;2;834.945007;671.592346;2;827.485229;785.410522;2;850.847961;880.421021;0;847.289917;928.963135;0;857.004578;977.774170;0;870.975098;938.509766;2;959.985535;766.911133;2;966.693176;813.760437;2;987.025452;915.484253;2;1002.236511;993.366272;2;901.112427;765.504028;2;811.595764;813.433716;1;878.620850;897.326294;1;861.149353;968.023926;2;874.438782;614.408020;2;849.128113;610.125488;2;863.512268;591.295776;2;903.173523;586.566406;2;841.603516;594.602539;2;838.169128;590.565735
533555;1;2;925.218384;762.174377;2;920.049194;703.223206;2;907.134033;668.076782;2;883.245117;623.670837;2;900.508728;628.371582;2;957.742126;632.719299;2;999.125549;716.861389;2;923.671387;768.953247;0;891.972961;787.478821;0;870.776306;818.653687;0;881.318665;794.056885;2;874.425598;633.814575;2;835.590027;668.373535;2;828.391113;785.494873;2;851.182983;883.758789;0;849.399353;933.764160;0;862.658813;983.348511;0;870.960083;943.864990;2;955.861877;766.407227;2;967.314148;805.807922;2;987.045532;915.521301;2;1001.673645;993.155518;2;898.278748;758.493652;2;771.580933;791.692200;1;852.987122;873.331055;1;828.402222;940.136353;2;873.565735;610.083374;2;849.678528;605.981262;2;864.144043;586.793457;2;903.415710;581.948608;2;841.596619;590.053101;2;836.519287;585.661804
566888;1;2;924.888550;757.050659;2;920.121521;696.834473;2;906.682739;661.609009;2;882.616943;619.800476;2;899.999512;623.975464;2;957.464783;629.781494;2;997.133789;716.609253;2;920.608704;768.520691;0;889.853210;781.558044;0;875.937683;804.467773;0;881.977539;794.501404;2;873.748779;629.575867;2;835.733398;665.789124;2;828.867371;783.980042;2;849.254761;884.340454;0;850.056030;934.681641;0;862.021606;985.619385;0;867.888367;944.902100;2;955.649658;761.159973;2;967.390808;800.434509;2;986.544006;913.484497;2;1002.333130;991.562500;2;897.859009;753.479980;2;772.044128;791.147461;1;853.907166;869.029724;1;830.097900;936.170837;2;872.915710;607.360107;2;852.493103;600.238220;2;866.674500;581.400818;2;904.022766;578.504028;2;843.585083;584.759216;2;835.425049;582.650574
600211;1;2;920.890930;752.836182;2;916.373108;693.841919;2;904.992798;657.167847;2;884.047485;615.254700;2;900.857422;619.973328;2;957.573669;626.649780;2;993.157837;712.479492;2;918.943298;764.834351;0;891.647827;780.568115;0;875.208801;804.718872;0;884.696106;792.290283;2;874.663940;624.530945;2;834.452454;657.405334;2;828.377441;773.494873;2;851.151306;870.417969;0;849.085266;919.674316;0;858.408569;969.929626;0;869.005493;929.199341;2;951.636963;756.649963;2;966.718750;803.803833;2;984.855042;916.053955;2;1001.169067;990.916504;2;893.801880;749.515747;2;768.752258;790.830688;1;848.614319;867.341797;1;823.755676;933.027588;2;875.526245;602.730835;2;851.739990;593.991821;2;866.461609;575.821838;2;905.620178;574.199219;2;844.028381;579.031616;2;839.148865;578.121704
633555;1;2;923.380005;751.275391;2;917.813721;691.146973;2;906.311157;653.463623;2;885.888245;607.258179;2;902.679504;613.004761;2;959.089294;623.112610;2;992.297607;711.819458;2;914.774719;760.205322;0;887.955811;773.238403;0;875.854126;799.683350;0;883.657349;777.833923;2;876.357300;617.003296;2;834.979736;648.821838;2;825.609070;764.973267;2;848.124329;861.884521;0;843.699829;911.023438;0;853.839111;961.250366;0;867.130554;921.495605;2;954.737061;753.727234;2;967.183167;803.327026;2;985.587769;915.237183;2;999.760132;992.517273;2;895.701111;749.151489;2;768.541016;781.756470;2;833.135925;878.412048;1;800.002991;942.469971;2;877.423645;592.868774;2;849.224609;590.258850;2;864.409058;571.130615;2;906.301025;565.770569;2;842.413391;573.873291;2;841.224854;567.883484
