timestamp;body_idx;PELVIS (c);PELVIS (x);PELVIS (y);SPINE_NAVEL (c);SPINE_NAVEL (x);SPINE_NAVEL (y);SPINE_CHEST (c);SPINE_CHEST (x);SPINE_CHEST (y);NECK (c);NECK (x);NECK (y);CLAVICLE_LEFT (c);CLAVICLE_LEFT (x);CLAVICLE_LEFT (y);SHOULDER_LEFT (c);SHOULDER_LEFT (x);SHOULDER_LEFT (y);ELBOW_LEFT (c);ELBOW_LEFT (x);ELBOW_LEFT (y);WRIST_LEFT (c);WRIST_LEFT (x);WRIST_LEFT (y);HAND_LEFT (c);HAND_LEFT (x);HAND_LEFT (y);HANDTIP_LEFT (c);HANDTIP_LEFT (x);HANDTIP_LEFT (y);THUMB_LEFT (c);THUMB_LEFT (x);THUMB_LEFT (y);CLAVICLE_RIGHT (c);CLAVICLE_RIGHT (x);CLAVICLE_RIGHT (y);SHOULDER_RIGHT (c);SHOULDER_RIGHT (x);SHOULDER_RIGHT (y);ELBOW_RIGHT (c);ELBOW_RIGHT (x);ELBOW_RIGHT (y);WRIST_RIGHT (c);WRIST_RIGHT (x);WRIST_RIGHT (y);HAND_RIGHT (c);HAND_RIGHT (x);HAND_RIGHT (y);HANDTIP_RIGHT (c);HANDTIP_RIGHT (x);HANDTIP_RIGHT (y);THUMB_RIGHT (c);THUMB_RIGHT (x);THUMB_RIGHT (y);HIP_LEFT (c);HIP_LEFT (x);HIP_LEFT (y);KNEE_LEFT (c);KNEE_LEFT (x);KNEE_LEFT (y);ANKLE_LEFT (c);ANKLE_LEFT (x);ANKLE_LEFT (y);FOOT_LEFT (c);FOOT_LEFT (x);FOOT_LEFT (y);HIP_RIGHT (c);HIP_RIGHT (x);HIP_RIGHT (y);KNEE_RIGHT (c);KNEE_RIGHT (x);KNEE_RIGHT (y);ANKLE_RIGHT (c);ANKLE_RIGHT (x);ANKLE_RIGHT (y);FOOT_RIGHT (c);FOOT_RIGHT (x);FOOT_RIGHT (y);HEAD (c);HEAD (x);HEAD (y);NOSE (c);NOSE (x);NOSE (y);EYE_LEFT (c);EYE_LEFT (x);EYE_LEFT (y);EAR_LEFT (c);EAR_LEFT (x);EAR_LEFT (y);EYE_RIGHT (c);EYE_RIGHT (x);EYE_RIGHT (y);EAR_RIGHT (c);EAR_RIGHT (x);EAR_RIGHT (y)
401177;1;2;940.909058;719.481262;2;948.418884;671.424866;2;961.366272;636.874268;2;996.962585;603.024475;2;998.083801;605.503052;2;1026.309326;618.703735;2;1052.985352;686.583313;2;1073.875732;755.707275;0;1087.883545;754.181458;0;1091.332031;776.433777;0;1074.738770;774.831848;2;983.077820;611.699219;2;961.520630;648.124634;2;959.473267;743.343140;2;976.279053;820.821289;0;989.312805;846.031982;2;994.492126;870.235474;0;994.463196;858.444031;2;960.749207;712.395264;2;1053.089844;776.559631;2;1026.452637;868.003052;2;1067.418213;906.657227;2;922.284851;726.150208;2;892.099121;854.279968;2;871.838318;906.866333;2;871.321716;960.875488;2;1013.644958;593.262451;2;1055.460449;624.430237;2;1058.858521;605.347168;2;1042.534058;574.866028;2;1049.134399;611.797852;2;1009.724060;587.433044
434522;1;2;924.616394;708.321533;2;937.497925;662.295044;2;957.384277;636.181091;2;997.194275;603.845215;2;1000.117493;605.802856;2;1039.323608;610.754761;2;1054.186646;694.855835;2;1074.493042;762.423279;0;1087.432495;759.441895;0;1090.600586;775.327820;0;1073.529663;772.458374;2;979.814880;612.527527;2;942.491150;643.732666;2;945.447998;759.244141;2;984.774414;850.339233;0;995.523560;891.079895;0;999.535828;938.082520;0;1002.920532;898.870361;2;950.172302;700.289062;2;1062.595825;772.833862;2;1022.686646;883.788574;2;1071.610840;918.255127;2;900.658142;715.877075;2;885.382996;810.473145;2;876.368469;909.798767;2;872.455627;964.631836;2;1015.948914;595.476318;2;1056.165405;626.049194;2;1062.628296;603.920105;2;1054.154053;576.460876;2;1045.685059;607.127075;2;999.863098;577.204712
467844;1;2;925.975342;711.607239;2;938.220581;664.775635;2;957.269409;637.172119;2;997.071838;603.806152;2;1000.339905;605.798584;2;1040.515991;608.843689;2;1057.349731;696.196533;2;1077.156860;765.588013;0;1085.670166;759.752930;0;1108.422729;769.938354;0;1074.981079;770.253174;2;979.303833;612.822388;2;939.508972;643.038330;2;943.421692;761.534546;2;986.804443;854.258850;0;998.349976;895.953369;0;1004.747070;944.344604;0;1010.035339;903.016968;2;952.253845;703.011780;2;1065.837158;771.550598;2;1023.563232;881.447998;2;1072.633545;919.647949;2;901.336609;719.693726;2;884.498230;807.601990;2;876.587158;908.232056;2;871.770874;965.528809;2;1015.963806;595.095825;2;1055.341675;630.390076;2;1062.948364;607.446960;2;1056.075195;576.530090;2;1045.065430;610.945740;2;999.194519;577.716370
501188;1;2;925.035522;714.159729;2;936.437134;665.988953;2;955.085938;638.202698;2;996.391418;606.160583;2;999.197510;607.991455;2;1041.523804;607.281189;2;1059.966553;693.357544;2;1077.183472;763.080322;0;1086.082520;761.675720;0;1104.633667;770.304077;0;1078.405396;769.759399;2;978.579468;614.862244;2;939.263977;644.571167;2;941.484436;762.672852;2;984.824707;854.630066;0;998.018494;895.269287;0;1005.302979;943.172974;0;1009.683350;902.328979;2;951.590881;706.260254;2;1065.965210;770.409119;2;1024.368530;879.016846;2;1072.723145;920.175293;2;900.160156;721.587463;2;883.660400;807.910278;2;876.718262;907.652100;2;876.881409;965.596436;2;1015.812256;598.017517;2;1054.689941;631.273438;2;1062.276855;608.799927;2;1055.615479;579.899841;2;1044.499390;611.649048;2;999.167297;579.259155
534511;1;2;926.609192;720.328186;2;938.329773;672.004639;2;956.377563;643.380859;2;996.071350;607.652405;2;999.341309;610.329590;2;1040.956909;610.641541;2;1061.549072;696.290649;2;1080.146851;763.025574;0;1090.899902;765.016724;0;1105.709106;765.587830;0;1083.271973;757.090576;2;978.360657;616.796631;2;939.195435;646.619751;2;938.386597;765.674683;2;982.619629;858.803589;0;998.141479;897.902588;0;1009.588379;944.670166;0;1011.442993;903.619141;2;953.770752;712.973999;2;1068.517456;769.954102;2;1026.026611;875.765869;2;1074.303589;919.693665;2;901.193115;727.239868;2;881.403870;810.814331;2;878.189148;910.980713;2;876.170471;964.912537;2;1014.875366;597.950256;2;1053.348877;632.396667;2;1061.412842;609.919312;2;1055.232422;580.497314;2;1043.506470;612.514648;2;998.552856;578.971252
567855;1;2;927.281006;722.944275;2;938.545410;673.823914;2;956.309387;644.684326;2;996.575317;608.713074;2;999.746460;611.475830;2;1041.554810;611.907715;2;1062.419434;697.721863;2;1077.417969;764.395935;0;1088.598389;764.878662;0;1104.136597;764.254211;0;1083.534668;756.701050;2;978.762329;617.851746;2;939.697876;647.677612;2;936.377502;767.128296;2;982.656250;859.778564;0;998.068970;899.502075;0;1008.806335;946.866516;0;1011.465881;905.591309;2;954.654785;715.648926;2;1069.890381;768.887329;2;1027.290649;873.568604;2;1074.195312;918.889832;2;901.670959;729.800598;2;882.013184;808.819824;2;879.002808;910.487000;2;875.954346;965.665771;2;1015.612915;598.934265;2;1052.871216;634.360718;2;1061.030396;611.535889;2;1056.125610;580.891541;2;1042.547607;614.668335;2;997.716858;581.003540
601177;1;2;927.337585;723.025330;2;938.612793;673.915161;2;956.400940;644.816284;2;996.675232;608.955078;2;999.857788;611.688782;2;1041.819946;612.172546;2;1062.963623;698.283264;2;1077.605591;764.857727;0;1088.505127;765.436096;0;1103.853882;765.273621;0;1082.998047;757.294739;2;978.846436;618.084778;2;939.723816;647.968750;2;936.399841;767.443115;2;982.688843;860.118774;0;998.196045;899.817932;0;1008.978455;947.164062;0;1011.738342;905.907227;2;954.723938;715.717529;2;1070.091553;769.013733;2;1027.377319;873.599854;2;1074.370605;919.097229;2;901.715576;729.893311;2;881.998291;809.193115;2;878.964722;910.646301;2;875.703003;966.317139;2;1015.718018;599.226074;2;1053.332886;635.149963;2;1061.444336;612.246460;2;1056.231323;581.124207;2;1043.051147;615.533142;2;998.045532;581.671753
634522;1;2;927.340210;723.030884;2;938.612854;673.920105;2;956.399048;644.821289;2;996.664673;608.960144;2;999.850769;611.693176;2;1041.829102;612.181885;2;1063.003418;698.322144;2;1077.615234;764.880432;0;1088.484619;765.455383;0;1103.803467;765.302979;0;1082.943237;757.312927;2;978.835266;618.090515;2;939.706543;647.975464;2;936.377380;767.460999;2;982.665161;860.149170;0;998.167786;899.860229;0;1008.945129;947.222900;0;1011.708740;905.946838;2;954.728699;715.721619;2;1070.108398;769.010681;2;1027.399902;873.611450;2;1074.421631;919.104370;2;901.716248;729.900269;2;881.987610;809.233032;2;878.967651;910.651611;2;875.695190;966.356506;2;1015.704346;599.231323;2;1053.321167;635.166199;2;1061.432495;612.259033;2;1056.220093;581.124878;2;1043.037109;615.550049;2;998.026855;581.684631
667844;1;2;932.073608;726.138977;2;940.922363;676.037109;2;956.888855;645.610474;2;996.020569;608.634705;2;999.797791;611.358276;2;1043.499634;612.675964;2;1062.110474;702.665649;2;1074.906128;766.681824;0;1091.894287;765.223145;0;1113.562256;760.747925;0;1084.936646;758.572144;2;977.949951;618.182922;2;936.773193;646.886292;2;935.636292;769.175537;2;984.501404;863.360474;0;1002.091370;903.949707;0;1011.803772;952.416687;0;1012.883972;912.689331;2;960.001099;717.543762;2;1074.214478;767.770508;2;1027.344604;872.846497;2;1076.270020;919.242310;2;905.955688;734.210693;2;881.833313;806.021240;2;879.898193;912.578552;2;874.364014;966.649902;2;1014.746643;598.490662;2;1052.590576;637.752075;2;1061.266602;614.102661;2;1056.580444;580.282837;2;1042.247559;617.827332;2;996.531494;581.807312
701188;1;2;932.317627;726.712891;2;940.936401;676.415039;2;956.774780;645.908936;2;995.599487;608.938293;2;999.479248;611.591736;2;1043.010254;612.737610;2;1061.985596;702.327515;2;1075.235596;767.265259;0;1090.892334;766.499939;0;1110.802979;762.595154;0;1085.286255;759.638855;2;977.526306;618.559204;2;936.242310;647.580994;2;935.597778;770.580200;2;985.019348;865.140991;0;1002.203979;906.202026;0;1013.517761;954.027222;0;1013.508850;914.085632;2;960.335815;718.055054;2;1075.144287;765.802124;2;1027.809326;871.702026;2;1076.475098;920.219238;2;906.116882;734.842896;2;881.845215;804.602051;2;880.081909;912.807495;2;874.131531;969.145874;2;1014.227722;598.797913;2;1052.834717;637.381409;2;1061.280640;613.633118;2;1055.989746;580.207458;2;1042.333984;617.395935;2;996.062195;581.825317
