timestamp;body_idx;PELVIS (c);PELVIS (x);PELVIS (y);PELVIS (z);SPINE_NAVEL (c);SPINE_NAVEL (x);SPINE_NAVEL (y);SPINE_NAVEL (z);SPINE_CHEST (c);SPINE_CHEST (x);SPINE_CHEST (y);SPINE_CHEST (z);NECK (c);NECK (x);NECK (y);NECK (z);CLAVICLE_LEFT (c);CLAVICLE_LEFT (x);CLAVICLE_LEFT (y);CLAVICLE_LEFT (z);SHOULDER_LEFT (c);SHOULDER_LEFT (x);SHOULDER_LEFT (y);SHOULDER_LEFT (z);ELBOW_LEFT (c);ELBOW_LEFT (x);ELBOW_LEFT (y);ELBOW_LEFT (z);WRIST_LEFT (c);WRIST_LEFT (x);WRIST_LEFT (y);WRIST_LEFT (z);HAND_LEFT (c);HAND_LEFT (x);HAND_LEFT (y);HAND_LEFT (z);HANDTIP_LEFT (c);HANDTIP_LEFT (x);HANDTIP_LEFT (y);HANDTIP_LEFT (z);THUMB_LEFT (c);THUMB_LEFT (x);THUMB_LEFT (y);THUMB_LEFT (z);CLAVICLE_RIGHT (c);CLAVICLE_RIGHT (x);CLAVICLE_RIGHT (y);CLAVICLE_RIGHT (z);SHOULDER_RIGHT (c);SHOULDER_RIGHT (x);SHOULDER_RIGHT (y);SHOULDER_RIGHT (z);ELBOW_RIGHT (c);ELBOW_RIGHT (x);ELBOW_RIGHT (y);ELBOW_RIGHT (z);WRIST_RIGHT (c);WRIST_RIGHT (x);WRIST_RIGHT (y);WRIST_RIGHT (z);HAND_RIGHT (c);HAND_RIGHT (x);HAND_RIGHT (y);HAND_RIGHT (z);HANDTIP_RIGHT (c);HANDTIP_RIGHT (x);HANDTIP_RIGHT (y);HANDTIP_RIGHT (z);THUMB_RIGHT (c);THUMB_RIGHT (x);THUMB_RIGHT (y);THUMB_RIGHT (z);HIP_LEFT (c);HIP_LEFT (x);HIP_LEFT (y);HIP_LEFT (z);KNEE_LEFT (c);KNEE_LEFT (x);KNEE_LEFT (y);KNEE_LEFT (z);ANKLE_LEFT (c);ANKLE_LEFT (x);ANKLE_LEFT (y);ANKLE_LEFT (z);FOOT_LEFT (c);FOOT_LEFT (x);FOOT_LEFT (y);FOOT_LEFT (z);HIP_RIGHT (c);HIP_RIGHT (x);HIP_RIGHT (y);HIP_RIGHT (z);KNEE_RIGHT (c);KNEE_RIGHT (x);KNEE_RIGHT (y);KNEE_RIGHT (z);ANKLE_RIGHT (c);ANKLE_RIGHT (x);ANKLE_RIGHT (y);ANKLE_RIGHT (z);FOOT_RIGHT (c);FOOT_RIGHT (x);FOOT_RIGHT (y);FOOT_RIGHT (z);HEAD (c);HEAD (x);HEAD (y);HEAD (z);NOSE (c);NOSE (x);NOSE (y);NOSE (z);EYE_LEFT (c);EYE_LEFT (x);EYE_LEFT (y);EYE_LEFT (z);EAR_LEFT (c);EAR_LEFT (x);EAR_LEFT (y);EAR_LEFT (z);EYE_RIGHT (c);EYE_RIGHT (x);EYE_RIGHT (y);EYE_RIGHT (z);EAR_RIGHT (c);EAR_RIGHT (x);EAR_RIGHT (y);EAR_RIGHT (z)
434522;1;2;34.140759;258.924133;2230.377930;2;59.749157;130.744171;2223.593994;2;85.202011;31.455555;2202.539062;2;124.203400;-100.399025;2122.141357;2;137.374466;-82.027687;2150.108643;2;222.295074;-62.378460;2208.434082;2;268.744568;125.701698;2268.202148;2;299.809509;269.558899;2182.789795;0;296.125427;306.751678;2122.839600;0;245.051117;358.360352;2091.019775;0;303.674622;346.797272;2145.075928;2;97.383438;-76.052605;2121.776855;2;36.098427;-15.249536;2078.692383;2;43.044239;190.205078;2099.040283;2;106.855156;349.954254;2088.976562;0;134.143143;420.692566;2095.101318;0;178.141846;484.701935;2088.875000;0;101.427261;423.360291;2071.660889;2;96.276283;270.168854;2252.465576;2;328.363373;345.341827;2088.911621;2;188.134827;568.533569;2185.407227;2;256.309967;687.743774;2179.778564;2;-21.889582;248.784256;2210.460693;2;-101.796867;467.266266;2031.686768;2;-126.681793;634.243408;2259.624756;2;-141.874695;738.484375;2189.668945;2;143.953094;-143.932739;2085.997070;2;213.430405;-168.681946;1994.026123;2;212.251999;-196.154053;2024.525146;2;195.278885;-192.729889;2115.906494;2;183.903671;-192.006271;1999.019409;2;98.239319;-188.913666;2042.516724
467844;1;2;38.871082;285.065521;2277.416748;2;54.810505;142.057068;2273.341553;2;74.929237;34.163357;2238.727539;2;116.190933;-101.215454;2135.493652;2;130.903259;-84.520447;2168.188477;2;230.447098;-72.326866;2225.169678;2;281.300446;136.839905;2283.315186;2;310.120087;286.888824;2175.251221;0;325.345337;302.258698;2100.627441;0;249.435043;342.918488;2086.991455;0;300.249512;242.801163;2071.253418;2;86.996429;-74.218430;2137.946777;2;25.241434;0.107124;2094.106445;2;48.802437;225.820847;2104.824707;2;125.376343;398.958862;2096.161133;0;153.905487;473.539734;2121.108643;0;203.456818;541.890625;2135.842529;0;124.578491;481.804962;2088.784912;2;109.775169;292.449921;2295.610596;2;318.195740;285.661346;2048.916748;2;201.459824;535.012939;2188.551514;2;298.367889;649.632507;2206.454834;2;-25.066246;278.406708;2261.010498;2;-114.180206;454.100952;2005.454590;2;-123.649155;630.440308;2262.615234;2;-140.084381;748.560913;2191.066162;2;137.371964;-144.886566;2090.900879;2;212.750519;-167.097046;1987.771973;2;214.009811;-197.517609;2021.128662;2;197.597488;-195.383377;2122.070312;2;181.950806;-194.610870;1993.861938;2;88.884445;-196.915680;2043.958130
501188;1;2;38.563671;288.257690;2283.122314;2;54.314480;143.810791;2278.707275;2;74.541885;35.371357;2242.128906;2;115.778534;-99.457687;2135.285156;2;130.679413;-83.288582;2168.626221;2;231.717941;-71.851524;2225.445557;2;284.217285;139.565460;2282.445312;2;310.167145;282.695129;2161.791992;0;323.714630;297.672913;2085.973145;0;239.076736;320.876404;2078.895020;0;287.355499;273.028168;2045.360107;2;86.391212;-72.143585;2138.274170;2;24.801622;4.202813;2095.135986;2;49.488247;231.883835;2108.950684;2;126.630547;406.940033;2103.376709;0;157.245377;483.247345;2122.796143;0;208.688538;552.281250;2131.607422;0;127.228256;490.132019;2091.018799;2;110.253410;295.521393;2301.232178;2;316.818726;274.725098;2049.621582;2;204.213226;533.641113;2181.800293;2;318.404785;630.578247;2152.383301;2;-26.082117;281.707703;2266.791992;2;-114.923210;452.811707;2004.092163;2;-125.227036;631.479919;2263.352051;2;-140.451569;748.204285;2186.745850;2;137.034378;-142.760239;2089.421875;2;213.980362;-167.073761;1986.310913;2;215.680115;-196.678909;2020.962280;2;198.653214;-191.592072;2122.719482;2;183.369308;-195.220963;1993.234253;2;89.238968;-197.681046;2043.544067
534511;1;2;43.409248;293.716187;2428.056885;2;47.069744;143.755066;2366.882324;2;73.328842;48.743179;2282.880127;2;112.903473;-92.550079;2151.218994;2;131.286118;-77.341705;2188.791504;2;245.404633;-81.849457;2250.488525;2;299.882477;161.452911;2278.816406;2;292.308380;276.870789;2102.812744;0;298.795471;282.710052;2015.811157;0;306.479126;325.830475;2103.610840;0;279.933868;372.307892;2009.517700;2;80.530380;-62.338909;2158.246826;2;6.753668;12.319058;2101.293457;2;47.770397;264.683411;2102.399414;2;132.746704;460.237762;2097.545166;0;177.101639;538.998962;2123.867676;0;243.373550;607.799438;2137.130371;0;153.627029;553.653015;2096.033691;2;115.566971;279.902039;2466.238037;2;384.070099;318.840149;2224.291504;2;272.620056;563.128845;2444.743164;2;388.424011;679.563477;2400.351807;2;-21.658537;306.173035;2393.627441;2;-105.649200;380.495361;2048.250000;2;-124.892326;639.035278;2284.970215;2;-141.204483;738.217651;2165.000488;2;133.950394;-137.015396;2095.704590;2;222.249359;-168.729126;1983.954590;2;221.487259;-201.402603;2022.878418;2;199.023712;-193.875198;2135.528564;2;186.621399;-198.582001;1990.778809;2;79.902084;-196.444107;2043.323486
567855;1;2;41.561962;296.835571;2440.587402;2;44.585316;143.712311;2378.422852;2;73.014442;48.895367;2290.886719;2;113.901001;-92.443054;2153.736572;2;132.716949;-77.479523;2192.261963;2;248.921402;-81.720749;2255.660889;2;303.207977;168.220901;2267.091797;2;293.649689;276.976868;2082.008545;0;304.572449;278.958618;1993.488892;0;275.175903;307.121490;2084.947266;2;283.878479;293.460938;1952.960205;2;80.658432;-62.025738;2161.627930;2;4.159183;12.541990;2103.037598;2;41.169930;270.742554;2099.184814;2;130.026901;469.094452;2088.585693;0;176.181396;547.872559;2118.432373;0;245.654114;614.258301;2139.628418;0;166.273819;561.801453;2093.474854;2;114.723587;282.196167;2480.205322;2;385.268188;310.694733;2228.092529;2;270.661957;564.150574;2447.801758;2;389.416931;682.700134;2403.437988;2;-24.411097;310.036560;2404.862305;2;-101.746391;363.364075;2046.467529;2;-120.922653;635.952087;2278.053711;2;-144.209229;738.153015;2157.582764;2;135.465057;-136.587524;2096.170410;2;217.833786;-162.498245;1974.895264;2;222.753555;-195.769897;2014.365967;2;208.993073;-189.652786;2130.847656;2;184.462067;-195.480484;1984.699829;2;80.542603;-201.069702;2047.185913
601177;1;2;41.540550;296.899231;2440.555908;2;44.561409;143.749222;2378.393311;2;72.999985;48.916065;2290.849121;2;113.888947;-92.434097;2153.669189;2;132.706238;-77.473747;2192.203369;2;248.923843;-81.758469;2255.615234;2;303.296448;168.197510;2267.153076;2;293.702026;277.019928;2082.074951;0;304.476227;279.003143;1993.523926;0;275.262665;307.188324;2085.050049;2;283.587646;293.482941;1953.008179;2;80.643921;-62.009918;2161.562256;2;4.143789;12.583945;2102.969727;2;41.188137;270.817749;2099.111816;2;130.087448;469.185211;2088.512695;0;176.284760;548.006470;2118.223389;0;245.794540;614.417603;2139.284180;0;166.293503;561.915771;2093.174805;2;114.709038;282.256897;2480.186035;2;385.319122;310.726990;2228.061279;2;270.694092;564.245544;2447.770996;2;389.475281;682.790283;2403.366211;2;-24.438690;310.102844;2404.819824;2;-101.632370;363.075684;2046.286377;2;-120.900276;636.469849;2276.992920;2;-143.893600;738.087097;2155.942627;2;135.456116;-136.581741;2096.092285;2;218.031738;-162.544724;1974.942627;2;222.806610;-195.867767;2014.397583;2;208.819672;-189.831787;2130.873779;2;184.570557;-195.475113;1984.649902;2;80.498589;-200.919052;2046.928833
634522;1;2;41.830254;304.048737;2448.697998;2;41.826206;148.111435;2385.162842;2;69.462044;51.237026;2295.872559;2;113.058044;-91.304161;2155.268799;2;131.784622;-76.337730;2194.834717;2;249.229874;-84.609375;2260.729980;2;308.387329;169.289749;2268.620850;2;290.806763;274.014954;2077.194092;0;303.035278;275.811493;1987.154541;0;276.464294;305.532837;2081.023926;2;282.908081;286.736267;1945.531006;2;78.987396;-60.530956;2163.260498;2;1.630083;14.686402;2101.903320;2;40.681984;277.532837;2098.496094;2;131.892365;479.464020;2091.715820;0;183.444138;555.122437;2126.271484;0;251.980774;622.704468;2154.276367;0;169.766602;571.897278;2094.030762;2;115.656662;287.359497;2489.654541;2;385.087952;305.916687;2225.399414;2;274.142822;563.986633;2452.308838;2;389.789337;688.256653;2402.845703;2;-24.742264;319.098175;2411.765869;2;-100.493271;352.941925;2043.557373;2;-116.009666;634.689331;2274.927734;2;-147.160645;744.898743;2159.393799;2;135.776535;-135.651505;2096.435791;2;216.631989;-164.047714;1971.305664;2;219.379730;-199.551392;2010.327759;2;206.683868;-196.281174;2129.258057;2;180.294250;-195.345200;1980.499512;2;74.740311;-195.291092;2044.923340
667844;1;2;30.706745;305.123016;2457.714111;2;33.969395;146.743820;2394.557373;2;63.726738;50.051830;2303.162842;2;113.161446;-91.645767;2159.819336;2;131.469513;-76.182442;2200.080322;2;250.261810;-83.817421;2267.184326;2;309.106293;173.700836;2266.679443;2;291.324493;281.268158;2073.630615;0;300.025177;282.538788;1982.005005;0;266.125732;294.161224;2078.878418;2;286.830597;280.942871;1941.821777;2;77.610268;-61.705090;2168.020996;2;-0.783183;13.551183;2104.820801;2;39.183208;279.662720;2099.241455;2;130.896408;484.522583;2093.927979;0;186.150681;559.600769;2127.583984;0;255.536469;628.153198;2155.759033;0;171.549805;576.419128;2091.305664;2;106.806145;290.744110;2497.703857;2;377.188080;299.808075;2227.044434;2;272.053253;567.344055;2453.155273;2;390.359833;691.361511;2401.269287;2;-37.915428;318.089142;2421.653809;2;-97.687645;353.880737;2045.786621;2;-118.682312;640.997620;2277.534180;2;-146.184250;743.137573;2151.212158;2;137.863480;-135.303024;2099.977295;2;216.556839;-160.696060;1970.530518;2;221.113617;-197.179260;2009.400635;2;211.680573;-195.884979;2130.207520;2;180.603622;-193.188995;1980.403442;2;75.642448;-196.034576;2048.674561
701188;1;2;39.584221;313.847778;2458.081055;2;41.077858;154.065369;2395.222900;2;69.398087;57.208530;2302.161133;2;112.607765;-90.337433;2160.649902;2;132.258835;-74.205589;2200.387695;2;251.584412;-83.517044;2268.244873;2;314.966034;174.753967;2263.990234;2;292.427734;285.713409;2071.606445;0;306.877441;290.025635;1980.163452;0;265.144073;294.821198;2075.299805;2;286.703888;285.478241;1936.668701;2;77.752174;-59.089973;2168.832275;2;-2.363875;14.784999;2104.452148;2;36.313744;282.942688;2098.395752;2;130.774521;488.268616;2093.979492;0;190.296432;559.327576;2130.932129;0;256.359894;630.235352;2163.447754;0;179.868607;577.522522;2097.724609;2;117.039284;299.372162;2496.718018;2;383.833252;296.194550;2218.739014;2;270.803833;558.491821;2451.163086;2;389.341064;687.820129;2409.526611;2;-30.260422;326.901093;2423.240479;2;-97.437195;350.954865;2045.020386;2;-117.156448;641.832581;2276.246582;2;-146.921722;744.159790;2149.112305;2;135.124771;-136.444016;2101.082031;2;220.036865;-156.736008;1973.422607;2;224.163300;-194.233673;2011.880127;2;209.939285;-196.043716;2133.047607;2;184.435303;-190.671188;1981.201172;2;76.303070;-198.087296;2045.654785
734522;1;2;44.711086;309.961212;2462.382324;2;43.364502;150.092010;2398.890625;2;71.266159;53.937019;2304.614014;2;113.803909;-90.296700;2158.982666;2;133.504547;-75.379227;2199.268555;2;253.264450;-85.460251;2266.758057;2;314.302521;173.905975;2266.124023;2;286.013916;282.852264;2072.879639;0;303.026093;288.982086;1981.810791;0;259.683319;294.618256;2076.386963;2;286.329865;286.539398;1938.163574;2;79.105270;-58.955677;2167.940186;2;-0.100806;17.787769;2105.361816;2;35.954437;286.835724;2100.685059;2;135.710312;490.072571;2095.139893;0;192.502625;562.015015;2135.051514;0;253.943451;635.731628;2170.807861;0;179.997238;581.449646;2100.523193;2;121.618164;293.678406;2501.750488;2;384.219238;309.493530;2219.274658;2;271.398132;568.680664;2456.305908;2;389.923218;689.813660;2393.796143;2;-24.639408;324.644104;2426.882324;2;-93.245667;343.518921;2047.912354;2;-116.174248;638.046753;2275.280518;2;-145.486465;740.759766;2147.958252;2;136.169693;-135.020157;2098.128418;2;219.602356;-161.655365;1970.318359;2;223.138962;-198.027588;2010.032471;2;209.895630;-195.498001;2131.521484;2;183.175522;-194.476700;1979.507935;2;75.256767;-197.074310;2045.132202
