timestamp;body_idx;PELVIS (w);PELVIS (x);PELVIS (y);PELVIS (z);SPINE_NAVEL (w);SPINE_NAVEL (x);SPINE_NAVEL (y);SPINE_NAVEL (z);SPINE_CHEST (w);SPINE_CHEST (x);SPINE_CHEST (y);SPINE_CHEST (z);NECK (w);NECK (x);NECK (y);NECK (z);CLAVICLE_LEFT (w);CLAVICLE_LEFT (x);CLAVICLE_LEFT (y);CLAVICLE_LEFT (z);SHOULDER_LEFT (w);SHOULDER_LEFT (x);SHOULDER_LEFT (y);SHOULDER_LEFT (z);ELBOW_LEFT (w);ELBOW_LEFT (x);ELBOW_LEFT (y);ELBOW_LEFT (z);WRIST_LEFT (w);WRIST_LEFT (x);WRIST_LEFT (y);WRIST_LEFT (z);HAND_LEFT (w);HAND_LEFT (x);HAND_LEFT (y);HAND_LEFT (z);HANDTIP_LEFT (w);HANDTIP_LEFT (x);HANDTIP_LEFT (y);HANDTIP_LEFT (z);THUMB_LEFT (w);THUMB_LEFT (x);THUMB_LEFT (y);THUMB_LEFT (z);CLAVICLE_RIGHT (w);CLAVICLE_RIGHT (x);CLAVICLE_RIGHT (y);CLAVICLE_RIGHT (z);SHOULDER_RIGHT (w);SHOULDER_RIGHT (x);SHOULDER_RIGHT (y);SHOULDER_RIGHT (z);ELBOW_RIGHT (w);ELBOW_RIGHT (x);ELBOW_RIGHT (y);ELBOW_RIGHT (z);WRIST_RIGHT (w);WRIST_RIGHT (x);WRIST_RIGHT (y);WRIST_RIGHT (z);HAND_RIGHT (w);HAND_RIGHT (x);HAND_RIGHT (y);HAND_RIGHT (z);HANDTIP_RIGHT (w);HANDTIP_RIGHT (x);HANDTIP_RIGHT (y);HANDTIP_RIGHT (z);THUMB_RIGHT (w);THUMB_RIGHT (x);THUMB_RIGHT (y);THUMB_RIGHT (z);HIP_LEFT (w);HIP_LEFT (x);HIP_LEFT (y);HIP_LEFT (z);KNEE_LEFT (w);KNEE_LEFT (x);KNEE_LEFT (y);KNEE_LEFT (z);ANKLE_LEFT (w);ANKLE_LEFT (x);ANKLE_LEFT (y);ANKLE_LEFT (z);FOOT_LEFT (w);FOOT_LEFT (x);FOOT_LEFT (y);FOOT_LEFT (z);HIP_RIGHT (w);HIP_RIGHT (x);HIP_RIGHT (y);HIP_RIGHT (z);KNEE_RIGHT (w);KNEE_RIGHT (x);KNEE_RIGHT (y);KNEE_RIGHT (z);ANKLE_RIGHT (w);ANKLE_RIGHT (x);ANKLE_RIGHT (y);ANKLE_RIGHT (z);FOOT_RIGHT (w);FOOT_RIGHT (x);FOOT_RIGHT (y);FOOT_RIGHT (z);HEAD (w);HEAD (x);HEAD (y);HEAD (z);NOSE (w);NOSE (x);NOSE (y);NOSE (z);EYE_LEFT (w);EYE_LEFT (x);EYE_LEFT (y);EYE_LEFT (z);EAR_LEFT (w);EAR_LEFT (x);EAR_LEFT (y);EAR_LEFT (z);EYE_RIGHT (w);EYE_RIGHT (x);EYE_RIGHT (y);EYE_RIGHT (z);EAR_RIGHT (w);EAR_RIGHT (x);EAR_RIGHT (y);EAR_RIGHT (z)
333511;1;0.492040;-0.333272;0.730980;-0.335401;0.518523;-0.270569;0.756436;-0.292800;0.588297;-0.154912;0.744167;-0.275905;0.608528;-0.094736;0.754194;-0.227839;0.959538;-0.270216;-0.046495;0.064099;0.812661;-0.239727;-0.308130;0.432629;0.337153;-0.382389;-0.078689;0.856688;0.159788;-0.336168;-0.330493;0.867314;0.261704;-0.294521;-0.368092;0.842186;0.261704;-0.294521;-0.368092;0.842186;0.392230;-0.453656;0.197164;0.775550;0.269547;0.879529;-0.281588;-0.272913;0.266089;0.696297;-0.537995;-0.393611;-0.353268;-0.545766;0.690223;0.317702;-0.360249;0.530099;-0.460402;0.614203;-0.269665;0.589941;-0.380716;0.659019;-0.269665;0.589941;-0.380716;0.659019;-0.223351;0.145535;0.612974;0.743772;-0.183192;0.571031;-0.332357;0.727944;0.649158;-0.160586;0.640933;-0.376843;0.540314;-0.375937;0.630913;-0.410707;0.676782;0.178496;0.708723;0.088414;0.427299;0.609819;0.503007;0.438772;0.156781;0.778271;0.138559;0.592044;0.281140;0.715930;0.358371;0.529127;-0.174522;0.764011;-0.248696;0.569192;0.512752;-0.353620;0.704672;-0.339815;0.512752;-0.353620;0.704672;-0.339815;0.602856;0.248231;0.748326;0.122285;0.339815;0.704672;0.353620;0.512753;0.602856;0.248231;0.748326;0.122285;0.512752;-0.353620;0.704672;-0.339815
366888;1;0.491762;-0.335317;0.728994;-0.338084;0.519459;-0.270240;0.755539;-0.293756;0.586729;-0.151399;0.744817;-0.279419;0.607247;-0.091182;0.754559;-0.231467;0.960851;-0.268743;-0.028288;0.061180;0.814240;-0.236116;-0.300665;0.436880;0.333240;-0.374999;-0.074333;0.861859;0.149823;-0.355075;-0.348846;0.854273;0.249803;-0.311326;-0.388391;0.830558;0.249803;-0.311326;-0.388391;0.830558;0.349251;-0.377402;0.233453;0.825283;0.270444;0.875214;-0.292430;-0.274491;0.268295;0.685846;-0.549656;-0.394350;-0.357698;-0.528137;0.702550;0.315510;-0.420110;0.461024;-0.405750;0.668081;-0.266120;0.537690;-0.296759;0.742970;-0.266120;0.537690;-0.296759;0.742970;-0.203661;0.026006;0.049391;0.977449;-0.168990;0.583263;-0.308373;0.732225;0.649098;-0.175090;0.636145;-0.378596;0.497024;-0.425347;0.573870;-0.492666;0.703806;0.102741;0.702923;0.000188;0.415234;0.599557;0.527945;0.435186;0.137949;0.784318;0.151807;0.585465;0.299913;0.695746;0.404979;0.511841;-0.148743;0.782511;-0.201542;0.570030;0.494263;-0.383844;0.693960;-0.356073;0.494263;-0.383844;0.693960;-0.356073;0.601278;0.219285;0.762122;0.097715;0.356073;0.693960;0.383844;0.494263;0.601278;0.219285;0.762122;0.097715;0.494263;-0.383844;0.693960;-0.356073
400211;1;0.539624;-0.355419;0.698593;-0.307329;0.583975;-0.231627;0.748801;-0.211231;0.586954;-0.159029;0.741534;-0.283410;0.607791;-0.099051;0.751899;-0.235428;0.963520;-0.266622;0.022074;0.007446;0.806100;-0.216700;-0.269906;0.479995;0.312534;-0.339220;-0.068833;0.884598;0.193055;-0.279961;-0.178658;0.923273;0.269566;-0.264045;-0.201438;0.903901;0.269566;-0.264045;-0.201438;0.903901;0.285203;-0.247686;0.432806;0.818529;0.273838;0.887958;-0.269951;-0.252328;0.275127;0.680251;-0.565774;-0.376115;-0.369721;-0.493883;0.734113;0.283662;-0.462792;0.371795;-0.433213;0.678173;-0.144383;0.516628;-0.242901;0.808238;-0.144383;0.516628;-0.242901;0.808238;-0.414355;-0.013401;0.123731;0.901566;-0.078405;0.624368;-0.235733;0.740572;0.631220;-0.199657;0.636867;-0.395094;0.497427;-0.391342;0.571205;-0.522629;0.725063;0.124868;0.676945;-0.020909;0.521516;0.539137;0.516462;0.413060;0.186104;0.738612;0.108816;0.638731;0.349217;0.667854;0.361595;0.548878;-0.139885;0.732515;-0.212750;0.631341;0.493061;-0.395749;0.706938;-0.317037;0.493061;-0.395749;0.706938;-0.317037;0.572826;0.220043;0.779718;0.124468;0.317037;0.706938;0.395749;0.493061;0.572826;0.220043;0.779718;0.124468;0.493061;-0.395749;0.706938;-0.317037
433555;1;0.520902;-0.391170;0.711757;-0.262773;0.564110;-0.234861;0.777465;-0.148890;0.571501;-0.171110;0.747844;-0.291266;0.593018;-0.110587;0.759158;-0.244498;0.958964;-0.280073;0.035212;-0.026592;0.816593;-0.186932;-0.246644;0.487236;0.316097;-0.301449;-0.070040;0.896831;0.131754;-0.282800;-0.040801;0.949210;0.319241;-0.268893;-0.096628;0.903573;0.319241;-0.268893;-0.096628;0.903573;0.246035;-0.208722;0.563864;0.760236;0.289107;0.884225;-0.262830;-0.255899;0.276993;0.674295;-0.584246;-0.356732;-0.368408;-0.476273;0.754441;0.261263;0.547387;-0.276198;0.384124;-0.690312;-0.200747;0.413630;-0.229666;0.857825;-0.200747;0.413630;-0.229666;0.857825;-0.357869;-0.088011;0.314819;0.874685;-0.027761;0.652295;-0.179365;0.735913;0.636259;-0.197997;0.646931;-0.370745;0.552044;-0.342742;0.618049;-0.442483;0.707314;0.192898;0.676027;0.074058;0.510148;0.533009;0.534193;0.412660;0.154699;0.747889;0.100537;0.637670;0.280717;0.695868;0.328166;0.573823;-0.206338;0.728680;-0.255824;0.600836;0.487186;-0.404282;0.695980;-0.338848;0.487186;-0.404282;0.695980;-0.338848;0.584095;0.206261;0.778002;0.104891;0.338848;0.695980;0.404282;0.487186;0.584095;0.206261;0.778002;0.104891;0.487186;-0.404282;0.695980;-0.338848
466888;1;0.517993;-0.402998;0.706147;-0.265767;0.561138;-0.251359;0.773221;-0.155153;0.576502;-0.167707;0.745332;-0.289828;0.597887;-0.107397;0.756380;-0.242663;0.960134;-0.275866;0.038587;-0.023491;0.820163;-0.185381;-0.235716;0.487241;0.327484;-0.292650;-0.065453;0.896006;0.116927;-0.283026;-0.134066;0.942470;0.293104;-0.252554;-0.185186;0.903334;0.293104;-0.252554;-0.185186;0.903334;0.225768;-0.185750;0.493579;0.819088;0.285820;0.883524;-0.268714;-0.255899;0.282174;0.665550;-0.597211;-0.347506;-0.369266;-0.468483;0.761670;0.253033;0.548770;-0.258360;0.400001;-0.687096;-0.231167;0.395843;-0.264686;0.848417;-0.231167;0.395843;-0.264686;0.848417;-0.344019;-0.094279;0.302931;0.883739;-0.015948;0.643708;-0.180942;0.743401;0.639108;-0.187281;0.641941;-0.379973;0.580602;-0.290186;0.630486;-0.425654;0.715551;0.239129;0.647763;0.105864;0.508272;0.537950;0.522598;0.423274;0.152878;0.743900;0.095389;0.643538;0.272210;0.705472;0.277643;0.592558;-0.225820;0.699961;-0.298344;0.608318;0.481988;-0.414916;0.694899;-0.335631;0.481988;-0.414916;0.694899;-0.335631;0.578144;0.197978;0.784757;0.103490;0.335631;0.694899;0.414916;0.481988;0.578144;0.197978;0.784757;0.103490;0.481988;-0.414916;0.694899;-0.335631
500222;1;0.496795;-0.421544;0.716230;-0.250017;0.533067;-0.288793;0.779285;-0.158600;0.586531;-0.152048;0.746536;-0.274857;0.606684;-0.091691;0.756325;-0.226936;0.965697;-0.248961;0.069815;-0.023940;0.817543;-0.182022;-0.253755;0.483838;0.330797;-0.301157;-0.082632;0.890533;0.001227;-0.302765;-0.419854;0.855602;0.204642;-0.194246;-0.479805;0.830769;0.204642;-0.194246;-0.479805;0.830769;0.270171;-0.254378;0.196215;0.907634;0.268377;0.890692;-0.280583;-0.236463;0.286948;0.642272;-0.614693;-0.356792;-0.365488;-0.472450;0.753095;0.275786;0.511987;-0.262950;0.287985;-0.765370;-0.322797;0.321991;-0.220000;0.862394;-0.322797;0.321991;-0.220000;0.862394;-0.374028;-0.140373;0.308364;0.863313;-0.009283;0.646254;-0.167275;0.744506;0.636766;-0.199811;0.636995;-0.385801;0.617755;-0.234742;0.640644;-0.390960;0.717274;0.285908;0.615885;0.156400;0.177567;0.349925;0.851955;0.346692;-0.154523;0.880014;0.271736;0.357571;0.079278;0.861128;0.267646;0.424899;-0.245417;0.801935;-0.414958;0.352818;0.465588;-0.416221;0.690975;-0.364062;0.465588;-0.416221;0.690975;-0.364062;0.586651;0.194281;0.782906;0.071790;0.364062;0.690975;0.416221;0.465588;0.586651;0.194281;0.782906;0.071790;0.465588;-0.416221;0.690975;-0.364062
533533;1;0.485901;-0.429224;0.726060;-0.229137;0.518041;-0.298109;0.789004;-0.142255;0.595639;-0.131571;0.750596;-0.253987;0.614088;-0.070955;0.758730;-0.205403;0.973504;-0.218534;0.066958;-0.007052;0.817213;-0.175100;-0.251843;0.487933;0.322733;-0.295069;-0.083780;0.895410;0.034940;-0.337215;-0.285903;0.896284;0.186332;-0.283883;-0.338917;0.877397;0.186332;-0.283883;-0.338917;0.877397;0.254416;-0.230790;0.346054;0.873072;0.244571;0.898044;-0.297142;-0.213090;0.271816;0.645005;-0.633912;-0.328999;-0.341243;-0.478799;0.767221;0.256276;0.511501;-0.251335;0.274681;-0.774434;-0.343776;0.301828;-0.217988;0.862090;-0.343776;0.301828;-0.217988;0.862090;-0.378343;-0.169766;0.279779;0.865887;-0.018449;0.652528;-0.174856;0.737083;0.629715;-0.206225;0.643352;-0.383443;0.580901;-0.294959;0.643926;-0.401139;0.698558;0.245314;0.660759;0.123431;0.245075;0.271112;0.873991;0.320275;-0.127058;0.875245;0.266978;0.382787;0.048946;0.847720;0.307515;0.429431;-0.269922;0.820384;-0.377066;0.334564;0.459636;-0.431196;0.686278;-0.363080;0.459636;-0.431196;0.686278;-0.363080;0.581748;0.180370;0.790174;0.068276;0.363080;0.686278;0.431196;0.459636;0.581748;0.180370;0.790174;0.068276;0.459636;-0.431196;0.686278;-0.363080
566888;1;0.481956;-0.442341;0.724959;-0.215611;0.512572;-0.306649;0.791958;-0.126648;0.592325;-0.125234;0.754367;-0.253766;0.610768;-0.064336;0.761981;-0.205449;0.974436;-0.214455;0.066628;-0.006624;0.818709;-0.175132;-0.245029;0.488881;0.327160;-0.290433;-0.079744;0.895688;-0.017294;-0.300257;-0.332607;0.893823;0.284875;-0.170635;-0.414326;0.847387;0.284875;-0.170635;-0.414326;0.847387;0.294266;-0.258267;0.283969;0.875253;0.242068;0.894412;-0.308488;-0.215093;-0.271394;-0.636883;0.646892;0.319774;-0.333611;-0.483475;0.768336;0.254193;0.536270;-0.200367;0.192273;-0.797056;-0.359520;0.235852;-0.146594;0.890859;-0.359520;0.235852;-0.146594;0.890859;-0.376138;-0.210878;0.391260;0.812998;-0.003970;0.653665;-0.168084;0.737872;0.628498;-0.202755;0.643803;-0.386521;0.593953;-0.267345;0.653064;-0.386333;0.697308;0.271456;0.647787;0.142987;0.258093;0.257907;0.879370;0.305909;-0.116835;0.878592;0.260473;0.382856;0.042898;0.854584;0.294363;0.425671;-0.271651;0.815955;-0.391229;0.327663;0.463245;-0.426553;0.678965;-0.377442;0.463245;-0.426553;0.678965;-0.377442;0.594456;0.178482;0.781720;0.060672;0.377442;0.678965;0.426553;0.463245;0.594456;0.178482;0.781720;0.060672;0.463245;-0.426553;0.678965;-0.377442
600222;1;0.478343;-0.445642;0.724874;-0.217138;0.508618;-0.313987;0.790854;-0.131411;0.595702;-0.122227;0.752744;-0.252141;0.614004;-0.061469;0.760122;-0.203558;0.975127;-0.210017;0.070615;-0.005810;0.817684;-0.177649;-0.249278;0.487539;0.326268;-0.295151;-0.081144;0.894344;0.032333;-0.291753;-0.209558;0.932695;0.321088;-0.212017;-0.289971;0.876281;0.321088;-0.212017;-0.289971;0.876281;0.281820;-0.255189;0.405827;0.831120;0.238653;0.896915;-0.312714;-0.201986;-0.258976;-0.639812;0.653073;0.311558;-0.318140;-0.489906;0.771917;0.250846;0.560164;-0.147148;0.042043;-0.814123;-0.399583;0.152390;-0.014044;0.903833;-0.399583;0.152390;-0.014044;0.903833;-0.403191;-0.313662;0.448374;0.733494;-0.001926;0.652511;-0.168151;0.738885;0.626964;-0.204254;0.642174;-0.390907;0.600895;-0.254350;0.664979;-0.363364;0.686040;0.289191;0.647146;0.164074;0.254884;0.258767;0.880357;0.305032;-0.119631;0.881108;0.256130;0.379124;0.036394;0.864866;0.265658;0.424392;-0.275529;0.803008;-0.418827;0.322251;0.461735;-0.434505;0.674955;-0.377416;0.461735;-0.434505;0.674955;-0.377416;0.593369;0.170024;0.784507;0.059622;0.377416;0.674955;0.434505;0.461735;0.593369;0.170024;0.784507;0.059622;0.461735;-0.434505;0.674955;-0.377416
633555;1;0.478944;-0.447209;0.724714;-0.213089;0.506920;-0.325186;0.787058;-0.133515;0.600774;-0.116974;0.750503;-0.249265;0.618828;-0.056412;0.757467;-0.200284;0.976534;-0.203375;0.070843;-0.000488;0.811668;-0.187074;-0.256776;0.490167;0.312549;-0.307854;-0.078464;0.895200;0.096383;-0.269354;-0.091131;0.953863;0.340044;-0.236577;-0.157757;0.896389;0.340044;-0.236577;-0.157757;0.896389;0.280001;-0.236409;0.512104;0.776826;0.233125;0.896748;-0.319440;-0.198628;-0.270307;-0.636635;0.644750;0.325465;-0.332693;-0.486850;0.764189;0.261359;0.556162;-0.138068;0.088803;-0.814700;-0.406928;0.151343;-0.063595;0.898588;-0.406928;0.151343;-0.063595;0.898588;-0.365719;-0.296402;0.448334;0.759864;-0.004433;0.648804;-0.169901;0.741732;0.628590;-0.204258;0.638870;-0.393699;0.596300;-0.265266;0.656902;-0.377545;0.692786;0.275679;0.649070;0.150851;0.256699;0.260114;0.878944;0.306438;-0.119925;0.880700;0.254031;0.381383;0.040017;0.862749;0.269007;0.426259;-0.274250;0.803887;-0.414965;0.326124;0.440602;-0.426972;0.690865;-0.382453;0.440602;-0.426972;0.690865;-0.382453;0.581988;0.186601;0.790430;0.041117;0.382453;0.690865;0.426972;0.440602;0.581988;0.186601;0.790430;0.041117;0.440602;-0.426972;0.690865;-0.382453
