timestamp;body_idx;PELVIS (w);PELVIS (x);PELVIS (y);PELVIS (z);SPINE_NAVEL (w);SPINE_NAVEL (x);SPINE_NAVEL (y);SPINE_NAVEL (z);SPINE_CHEST (w);SPINE_CHEST (x);SPINE_CHEST (y);SPINE_CHEST (z);NECK (w);NECK (x);NECK (y);NECK (z);CLAVICLE_LEFT (w);CLAVICLE_LEFT (x);CLAVICLE_LEFT (y);CLAVICLE_LEFT (z);SHOULDER_LEFT (w);SHOULDER_LEFT (x);SHOULDER_LEFT (y);SHOULDER_LEFT (z);ELBOW_LEFT (w);ELBOW_LEFT (x);ELBOW_LEFT (y);ELBOW_LEFT (z);WRIST_LEFT (w);WRIST_LEFT (x);WRIST_LEFT (y);WRIST_LEFT (z);HAND_LEFT (w);HAND_LEFT (x);HAND_LEFT (y);HAND_LEFT (z);HANDTIP_LEFT (w);HANDTIP_LEFT (x);HANDTIP_LEFT (y);HANDTIP_LEFT (z);THUMB_LEFT (w);THUMB_LEFT (x);THUMB_LEFT (y);THUMB_LEFT (z);CLAVICLE_RIGHT (w);CLAVICLE_RIGHT (x);CLAVICLE_RIGHT (y);CLAVICLE_RIGHT (z);SHOULDER_RIGHT (w);SHOULDER_RIGHT (x);SHOULDER_RIGHT (y);SHOULDER_RIGHT (z);ELBOW_RIGHT (w);ELBOW_RIGHT (x);ELBOW_RIGHT (y);ELBOW_RIGHT (z);WRIST_RIGHT (w);WRIST_RIGHT (x);WRIST_RIGHT (y);WRIST_RIGHT (z);HAND_RIGHT (w);HAND_RIGHT (x);HAND_RIGHT (y);HAND_RIGHT (z);HANDTIP_RIGHT (w);HANDTIP_RIGHT (x);HANDTIP_RIGHT (y);HANDTIP_RIGHT (z);THUMB_RIGHT (w);THUMB_RIGHT (x);THUMB_RIGHT (y);THUMB_RIGHT (z);HIP_LEFT (w);HIP_LEFT (x);HIP_LEFT (y);HIP_LEFT (z);KNEE_LEFT (w);KNEE_LEFT (x);KNEE_LEFT (y);KNEE_LEFT (z);ANKLE_LEFT (w);ANKLE_LEFT (x);ANKLE_LEFT (y);ANKLE_LEFT (z);FOOT_LEFT (w);FOOT_LEFT (x);FOOT_LEFT (y);FOOT_LEFT (z);HIP_RIGHT (w);HIP_RIGHT (x);HIP_RIGHT (y);HIP_RIGHT (z);KNEE_RIGHT (w);KNEE_RIGHT (x);KNEE_RIGHT (y);KNEE_RIGHT (z);ANKLE_RIGHT (w);ANKLE_RIGHT (x);ANKLE_RIGHT (y);ANKLE_RIGHT (z);FOOT_RIGHT (w);FOOT_RIGHT (x);FOOT_RIGHT (y);FOOT_RIGHT (z);HEAD (w);HEAD (x);HEAD (y);HEAD (z);NOSE (w);NOSE (x);NOSE (y);NOSE (z);EYE_LEFT (w);EYE_LEFT (x);EYE_LEFT (y);EYE_LEFT (z);EAR_LEFT (w);EAR_LEFT (x);EAR_LEFT (y);EAR_LEFT (z);EYE_RIGHT (w);EYE_RIGHT (x);EYE_RIGHT (y);EYE_RIGHT (z);EAR_RIGHT (w);EAR_RIGHT (x);EAR_RIGHT (y);EAR_RIGHT (z)
367855;1;0.860453;-0.100991;0.314973;-0.387573;0.868682;-0.094115;0.317096;-0.368761;0.895138;0.071523;0.395591;-0.192664;0.907706;0.103016;0.388582;-0.120260;0.896673;-0.158416;-0.406784;0.073540;0.742557;-0.348256;-0.453115;0.349305;0.741898;-0.349108;-0.452459;0.350702;-0.204730;0.850921;0.448274;0.181849;-0.131148;0.649126;0.709685;0.240382;-0.131148;0.649126;0.709685;0.240382;0.621154;-0.340018;-0.646539;0.283799;-0.034311;0.919737;-0.361238;0.149711;-0.016972;0.723413;-0.689851;0.022181;0.019157;-0.648862;0.760394;-0.020324;-0.206516;-0.600953;0.736905;0.230602;-0.182347;-0.671827;0.672921;0.250151;-0.182347;-0.671827;0.672921;0.250151;-0.014679;-0.630809;0.694596;-0.345545;0.617769;-0.061911;0.324531;-0.713589;0.906267;0.124185;0.306120;-0.263721;0.896635;0.136978;0.301193;-0.294219;0.844086;0.311873;0.112372;0.421457;0.649192;0.316741;0.281836;0.631501;0.371301;0.398266;0.145405;0.826061;0.442057;0.319797;0.026141;0.837635;-0.277255;0.250755;-0.204984;0.904562;0.845765;-0.261308;0.378444;-0.270519;0.845765;-0.261308;0.378444;-0.270519;0.789331;0.082828;0.452373;0.406760;0.270519;0.378444;0.261308;0.845765;0.789331;0.082828;0.452373;0.406760;0.845765;-0.261308;0.378444;-0.270519
401177;1;0.848384;-0.168164;0.367865;-0.341527;0.882470;-0.124041;0.384991;-0.240088;0.883274;0.053517;0.442073;-0.146749;0.892197;0.088795;0.436357;-0.075444;0.913620;-0.122062;-0.368768;0.120042;0.771824;-0.189633;-0.429643;0.428642;0.691606;-0.257148;-0.392974;0.548751;0.272714;0.717003;0.335571;0.546741;0.362647;0.648638;0.453838;0.491718;0.362647;0.648638;0.453838;0.491718;-0.129503;0.438586;0.739491;0.493989;-0.049429;0.912832;-0.376206;0.150878;0.004862;0.729896;-0.683313;0.017619;-0.002133;-0.617772;0.786145;-0.018152;0.025048;-0.647632;0.761539;0.002030;0.025127;-0.696480;0.717136;0.000373;0.025127;-0.696480;0.717136;0.000373;0.077031;-0.561209;0.599469;-0.565463;-0.496723;0.218616;-0.302750;0.783464;0.910468;0.069551;0.366898;-0.177753;0.888197;0.046773;0.369226;-0.269428;0.821261;0.295894;0.224343;0.433184;0.706621;0.295604;0.374851;0.522295;0.301006;0.453399;0.149315;0.825548;0.403469;0.411773;0.120093;0.808229;-0.283938;0.381935;-0.203015;0.855740;0.812927;-0.279366;0.434178;-0.269434;0.812927;-0.279366;0.434178;-0.269434;0.765344;0.109469;0.504552;0.384307;0.269434;0.434178;0.279366;0.812927;0.765344;0.109469;0.504552;0.384307;0.812927;-0.279366;0.434178;-0.269434
434522;1;0.770134;-0.198005;0.512174;-0.324601;0.812419;-0.112767;0.537412;-0.196081;0.854951;0.001565;0.504778;-0.119394;0.861772;0.042039;0.503027;-0.050449;0.966885;-0.068850;-0.220308;0.108889;0.739947;-0.085717;-0.351402;0.567140;0.711730;-0.102567;-0.346858;0.602170;0.394959;0.622500;0.254222;0.625997;0.705550;0.311833;0.595730;0.223750;0.705550;0.311833;0.595730;0.223750;0.100085;0.338831;0.764088;0.539764;-0.022460;0.930120;-0.259723;0.258682;0.088072;-0.655090;0.738188;-0.134830;0.098967;-0.591504;0.790055;-0.127047;0.303563;-0.633409;0.711526;0.019328;0.302431;-0.601782;0.738467;0.032546;0.302431;-0.601782;0.738467;0.032546;0.276434;-0.466318;0.628421;-0.557869;-0.051494;0.335436;-0.188802;0.921512;0.848000;0.019625;0.384469;-0.364272;0.663985;-0.227417;0.377211;-0.604249;0.899312;0.104776;0.422802;0.038702;0.745430;0.078474;0.636496;0.181794;0.284146;0.564023;0.305048;0.712801;0.581709;0.318504;0.592951;0.456705;0.092497;0.648001;0.196177;0.730106;0.830828;-0.229575;0.439202;-0.253222;0.830828;-0.229575;0.439202;-0.253222;0.766539;0.148229;0.472897;0.408429;0.253222;0.439202;0.229575;0.830828;0.766539;0.148229;0.472897;0.408429;0.830828;-0.229575;0.439202;-0.253222
467844;1;0.763298;-0.198868;0.488115;-0.373592;0.822042;-0.098562;0.517774;-0.215504;0.858287;-0.004535;0.500317;-0.114038;0.864668;0.035602;0.499070;-0.044842;0.959970;-0.077994;-0.227690;0.143289;0.723361;-0.148306;-0.396908;0.545177;0.708919;-0.158592;-0.392912;0.563829;0.274189;0.596989;0.352607;0.666403;0.627019;0.252120;0.645882;0.355134;0.627019;0.252120;0.645882;0.355134;-0.034846;0.332308;0.917739;0.214739;-0.017644;0.931765;-0.222640;0.286240;0.054202;-0.662755;0.742983;-0.076117;0.062348;-0.575818;0.812220;-0.069602;0.232761;-0.579001;0.779587;0.053142;0.236615;-0.647164;0.724000;0.031863;0.236615;-0.647164;0.724000;0.031863;0.270899;-0.412998;0.690929;-0.527885;-0.054660;0.329785;-0.146093;0.931080;0.850369;-0.023417;0.359988;-0.383057;0.645999;-0.148307;0.324310;-0.674917;0.935830;0.123260;0.329307;-0.024209;0.743731;0.041458;0.654362;0.130214;0.289586;0.574202;0.316365;0.697385;0.567174;0.364057;0.558112;0.484032;0.062599;0.655860;0.139537;0.739228;0.828152;-0.216383;0.458367;-0.239253;0.828152;-0.216383;0.458367;-0.239253;0.754769;0.171109;0.477120;0.416415;0.239253;0.458367;0.216383;0.828152;0.754769;0.171109;0.477120;0.416415;0.828152;-0.216383;0.458367;-0.239253
501188;1;0.760536;-0.197105;0.484859;-0.384248;0.822442;-0.095180;0.514664;-0.222827;0.859128;-0.003632;0.499128;-0.112951;0.865418;0.036406;0.497812;-0.043691;0.959044;-0.077409;-0.233051;0.141172;0.723189;-0.141974;-0.392205;0.550468;0.704460;-0.154954;-0.387261;0.574242;0.281082;0.611957;0.335040;0.658977;0.646014;0.238781;0.655535;0.309716;0.646014;0.238781;0.655535;0.309716;-0.039875;0.376634;0.912777;0.152952;-0.015920;0.935098;-0.213607;0.282331;0.067907;-0.658539;0.744614;-0.085230;0.076407;-0.577487;0.809094;-0.077702;0.238525;-0.559728;0.792151;0.048025;0.242388;-0.644415;0.724934;0.021179;0.242388;-0.644415;0.724934;0.021179;0.287312;-0.361095;0.718062;-0.521008;-0.055206;0.322566;-0.145619;0.933648;0.849911;-0.023218;0.353202;-0.390334;0.647183;-0.138431;0.318181;-0.678787;0.939333;0.125935;0.317978;-0.026135;0.733931;0.042581;0.667807;0.116474;0.287492;0.590079;0.315393;0.685334;0.556562;0.387325;0.553222;0.483904;0.055038;0.668892;0.119723;0.731588;0.832802;-0.211424;0.447507;-0.247948;0.832802;-0.211424;0.447507;-0.247948;0.764205;0.166936;0.465935;0.413554;0.247948;0.447507;0.211424;0.832802;0.764205;0.166936;0.465935;0.413554;0.832802;-0.211424;0.447507;-0.247948
534511;1;0.767373;-0.187071;0.488176;-0.371251;0.822207;-0.094909;0.514105;-0.225086;0.857330;-0.002712;0.500512;-0.120271;0.864214;0.037434;0.499118;-0.051132;0.960353;-0.079353;-0.240109;0.117355;0.723465;-0.156165;-0.404771;0.537002;0.700632;-0.172775;-0.397964;0.566470;0.294452;0.597949;0.335220;0.665869;0.635008;0.277360;0.626887;0.356158;0.635008;0.277360;0.626887;0.356158;-0.032109;0.414248;0.887465;0.199433;-0.007994;0.939651;-0.214654;0.266300;0.055273;-0.660767;0.747100;-0.046622;0.060593;-0.563750;0.822774;-0.039461;0.154500;-0.506245;0.847605;0.037579;0.158963;-0.675991;0.719551;0.003626;0.158963;-0.675991;0.719551;0.003626;0.345286;-0.352442;0.674253;-0.549496;-0.066652;0.308079;-0.161053;0.935258;0.850507;-0.008349;0.347586;-0.394653;0.643042;-0.124297;0.317871;-0.685570;0.941118;0.135700;0.307786;-0.033921;0.732919;0.050765;0.666185;0.128255;0.288358;0.587829;0.317370;0.685991;0.563388;0.380008;0.554809;0.479974;0.062689;0.664826;0.125958;0.733629;0.824354;-0.213592;0.445776;-0.275868;0.824354;-0.213592;0.445776;-0.275868;0.777974;0.164179;0.466244;0.387838;0.275868;0.445776;0.213592;0.824354;0.777974;0.164179;0.466244;0.387838;0.824354;-0.213592;0.445776;-0.275868
567855;1;0.774469;-0.185662;0.484667;-0.361697;0.829654;-0.088784;0.511361;-0.205673;0.863953;-0.019580;0.491875;-0.106114;0.869680;0.019928;0.491861;-0.036489;0.948224;-0.089394;-0.269401;0.142488;0.702150;-0.213540;-0.452392;0.506683;0.688565;-0.225378;-0.446612;0.524996;0.300472;0.581019;0.326154;0.682464;0.650906;0.267367;0.610307;0.363815;0.650906;0.267367;0.610307;0.363815;0.001272;0.456080;0.885976;0.083882;-0.008782;0.945162;-0.207858;0.251769;-0.001004;-0.689135;0.721855;0.063378;-0.013082;-0.538683;0.840121;0.062021;0.060166;-0.604272;0.788426;0.098084;0.068192;-0.668356;0.734888;0.092684;0.068192;-0.668356;0.734888;0.092684;0.266088;-0.483089;0.684079;-0.477345;-0.088904;0.303621;-0.172672;0.932789;0.852505;-0.002090;0.349330;-0.388843;0.633614;-0.132929;0.320399;-0.691526;0.938672;0.131297;0.315677;-0.044767;0.727364;0.067856;0.666562;0.148433;0.284242;0.590250;0.316863;0.685864;0.567813;0.370937;0.564888;0.469996;0.072937;0.665461;0.139442;0.729656;0.792307;-0.225461;0.495643;-0.275238;0.792307;-0.225461;0.495643;-0.275238;0.754868;0.191048;0.509897;0.365623;0.275238;0.495643;0.225461;0.792307;0.754868;0.191048;0.509897;0.365623;0.792307;-0.225461;0.495643;-0.275238
601166;1;0.770540;-0.182212;0.488418;-0.366763;0.829134;-0.078799;0.515310;-0.201951;0.866094;-0.008261;0.487573;-0.109933;0.872120;0.030866;0.486666;-0.040124;0.939857;-0.094213;-0.296753;0.140464;0.678731;-0.278845;-0.484487;0.476279;0.679190;-0.278378;-0.484756;0.475624;0.126247;0.649277;0.479935;0.576336;0.436613;0.251525;0.767225;0.396825;0.436613;0.251525;0.767225;0.396825;-0.180313;0.508270;0.839215;-0.069759;-0.019624;0.939313;-0.243061;0.241304;0.015985;0.700969;-0.698211;-0.144530;-0.054675;-0.484753;0.862479;0.134741;0.014285;-0.666966;0.728735;0.154588;0.014097;-0.666082;0.729544;0.154605;0.014097;-0.666082;0.729544;0.154605;0.183807;-0.553060;0.699063;-0.414308;-0.112123;0.294609;-0.194181;0.928939;0.849872;0.010912;0.352722;-0.391390;0.633684;-0.139950;0.331473;-0.684825;0.934071;0.134147;0.328508;-0.039980;0.724607;0.078426;0.667759;0.151301;0.285898;0.594624;0.313630;0.682877;0.546058;0.387870;0.569793;0.476145;0.053112;0.680872;0.131115;0.718611;0.799596;-0.208725;0.496444;-0.265750;0.799596;-0.208725;0.496444;-0.265750;0.753313;0.203448;0.498630;0.377487;0.265750;0.496444;0.208725;0.799596;0.753313;0.203448;0.498630;0.377487;0.799596;-0.208725;0.496444;-0.265750
634522;1;0.779984;-0.146681;0.484947;-0.367337;0.829571;-0.065367;0.502410;-0.234783;0.866527;0.016835;0.477187;-0.145398;0.875396;0.055048;0.474300;-0.075441;0.929316;-0.101754;-0.351226;0.051564;0.726839;-0.337318;-0.463535;0.378230;0.666317;-0.399246;-0.411401;0.476837;0.061426;0.467954;0.347923;0.810059;0.403407;0.273150;0.515190;0.705146;0.403407;0.273150;0.515190;0.705146;-0.044559;0.437390;0.880454;0.177496;-0.006870;0.939307;-0.262425;0.220880;0.033750;-0.677666;0.718004;0.155240;-0.013095;-0.438232;0.884711;0.158325;-0.033997;-0.631873;0.760985;0.143122;0.013348;0.733442;-0.663643;-0.146497;0.013348;0.733442;-0.663643;-0.146497;0.019833;-0.631460;0.637286;-0.441284;-0.147585;0.263120;-0.230594;0.925102;0.855339;0.049234;0.346421;-0.382051;0.666139;-0.076180;0.341708;-0.658553;0.938364;0.186835;0.290801;0.001236;0.708055;0.089198;0.681154;0.163496;0.270566;0.609862;0.316045;0.674520;0.516318;0.430480;0.539261;0.507248;0.009790;0.689627;0.079685;0.719701;0.813245;-0.227099;0.474665;-0.248499;0.813245;-0.227099;0.474665;-0.248499;0.750767;0.175055;0.496222;0.399336;0.248499;0.474665;0.227099;0.813245;0.750767;0.175055;0.496222;0.399336;0.813245;-0.227099;0.474665;-0.248499
667855;1;0.778219;-0.153700;0.477874;-0.377343;0.835233;-0.061231;0.498235;-0.224497;0.864207;0.002806;0.484322;-0.136270;0.872352;0.041636;0.482537;-0.066528;0.922541;-0.115957;-0.356097;0.093092;0.707734;-0.348716;-0.458514;0.408992;0.689312;-0.368292;-0.442944;0.439330;0.167923;0.337260;0.300243;0.876306;0.759187;0.006815;0.451491;0.468769;0.759187;0.006815;0.451491;0.468769;-0.079459;0.383554;0.787516;0.475806;-0.004598;0.941208;-0.262523;0.212572;0.042128;-0.672087;0.718459;0.174188;-0.016598;-0.402971;0.897495;0.178440;-0.052846;-0.592596;0.786722;0.164635;-0.029913;-0.694298;0.698608;0.170302;-0.029913;-0.694298;0.698608;0.170302;-0.026579;-0.624299;0.657632;-0.420791;-0.139918;0.278726;-0.225102;0.923073;0.861473;0.047557;0.355141;-0.359829;0.673756;-0.082231;0.348307;-0.646508;0.935329;0.187272;0.299765;0.015146;0.698835;0.095364;0.690508;0.160417;0.266295;0.621789;0.314903;0.665809;0.529453;0.429544;0.541880;0.491464;0.030245;0.690797;0.082083;0.717738;0.806624;-0.218437;0.487446;-0.253060;0.806624;-0.218437;0.487446;-0.253060;0.749310;0.190218;0.499134;0.391429;0.253060;0.487446;0.218437;0.806624;0.749310;0.190218;0.499134;0.391429;0.806624;-0.218437;0.487446;-0.253060
